,Concept_ID,da,cv
0,Auge::N,øje,куҫ
1,Ohr::N,øre,хӑлха
2,Nase::N,næse,сӑмса
3,Mund::N,mund,ҫӑвар
4,Zahn::N,tand,шӑл
5,Zunge::N,tunge,чӗлхе
6,Lippe::N,læbe,тута
7,Wange::N,kind,пит ҫӑмарти
8,Gesicht::N,ansigt,пит
9,Gesicht::N,ansigt,пит-куҫ
10,Stirn::N,pande,ҫамка
11,Haar::N,hår,ҫӳҫ
12,Schnurrbart::N,overskæg,усси
13,Bart::N,skæg,сухал
14,Kinn::N,hage,янах
15,Kiefer[Anatomie]::N,kæbe,янах
16,Kehle::N,strube,пыр
17,Kehle::N,strube,карланкӑ
18,Hals::N,hals,пыр
19,Genick::N,nakke,ӗнсе
20,Kopf::N,hoved,пуҫ
21,Rücken::N,ryg,ҫурӑм
22,Bauch::N,mave,
23,Nabel::N,navle,кӑвапа
24,Busen::N,barm,кӑкӑр
25,Brust::N,bryst,умӗ
26,Schulter::N,skulder,хул пуҫҫи
27,Arm::N,arm,алӑ
28,Ellenbogen::N,albue,чавса
29,Hand::N,hånd,алӑ сыппи
30,Handfläche::N,håndflade,ал лаппи
31,Finger::N,finger,пӳрне
32,Fingernagel::N,fingernegl,чӗрне
33,Nagel[Anatomie]::N,negl,чӗрне
34,Zeh::N,tå,пӳрне
35,Fuß::N,fod,ура лаппи
36,Ferse::N,hæl,кӗле
37,Knie::N,knæ,чӗркуҫҫи
38,Oberschenkel::N,lår,пӗҫӗ
39,Bein::N,ben,ура
40,Körper::N,krop,ӳт
41,Körper::N,krop,ӳт-пӳ
42,Körper::N,legeme,ӳт
43,Körper::N,legeme,ӳт-пӳ
44,Haut::N,hud,тир
45,Blut::N,blod,юн
46,Ader::N,åre,вена
47,Sehne::N,sene,шӑнӑр
48,Knochen::N,ben,шӑмӑ
49,Gehirn::N,hjerne,миме
50,Herz::N,hjerte,чӗре
51,Magen::N,mave,хырӑмлӑх
52,Leber::N,lever,пӗвер
53,Atem::N,ånde,сывлав
54,Hunger::N,sult,выҫлӑх
55,Träne::N,tåre,куҫҫуль
56,Geschmack::N,smag,техӗм
57,Geruch::N,lugt,шӑршӑ
58,Schlaf::N,søvn,ыйхӑ
59,Traum::N,drøm,тӗлӗк
60,Himmel::N,himmel,пӗлӗт
61,Sonne::N,sol,хӗвел
62,Mond::N,måne,уйӑх
63,Stern::N,stjerne,ҫӑлтӑр
64,Luft::N,luft,сывлӑш
65,Wind::N,vind,ҫил
66,Welle::N,bølge,хум
67,Wasser::N,vand,шыв
68,Wasser::N,vand,шыв-шур
69,Stein::N,sten,чул
70,Boden::N,jord,тӑпра
71,Erde::N,jord,ҫӗр
72,Staub::N,støv,тусан
73,Rauch::N,røg,тӗтӗм
74,Funke::N,gnist,хӗм
75,Feuer::N,ild,вут
76,Feuer::N,ild,ҫулӑм
77,Licht::N,lys,ҫутӑ
78,Schatten::N,skygge,сулхӑн
79,Wetter::N,vejr,ҫанталӑк
80,Nebel::N,tåge,тӗтре
81,Wolke::N,sky,пӗлӗт
82,Regen::N,regn,ҫумӑр
83,Schnee::N,sne,юр
84,Eis::N,is,пӑр
85,Frost::N,frost,сивӗ
86,Kälte::N,kulde,сивӗ
87,Hitze::N,hede,вӗри
88,Hitze::N,hede,шӑрӑх
89,Raureif::N,rimfrost,пас
90,Regenbogen::N,regnbue,асамат кӗперӗ
91,Donner::N,torden,аслати
92,Strömung::N,strømning,юхӑ
93,Tropfen::N,dråbe,тумлам
94,Schaum::N,skum,кӑпӑк
95,Schmutz::N,snavs,пылчӑк
96,See::N,sø,кӳлӗ
97,Sumpf::N,sump,шур
98,Sumpf::N,sump,шурлӑх
99,Moor::N,mose,торфлӑ шурлӑх
100,Wiese::N,eng,улӑх
101,Wiese::N,eng,ҫаран
102,Wald::N,skov,вӑрман
103,Hügel::N,høj,сӑрт
104,Hügel::N,høj,тӗмеске
105,Hügel::N,bakke,сӑрт
106,Hügel::N,bakke,тӗмеске
107,Anhöhe::N,høj,сӑрт
108,Anhöhe::N,bakke,сӑрт
109,Berg::N,bjerg,ту
110,Gipfel::N,top,тӳпе
111,Höhle::N,hule,ҫӗр хӑвӑлӗ
112,Abhang::N,skrænt,тӑвайкки
113,Abhang::N,skråning,тӑвайкки
114,Quelle::N,kilde,ҫӑл куҫ
115,Bach::N,bæk,пӗчӗк шыв
116,Fluss::N,flod,юхан шыв
117,Ufer::N,bred,ҫыран
118,Küste::N,kyst,тинӗс ҫыранӗ
119,Festland::N,fastland,тип ҫӗр
120,Meer::N,hav,тинӗс
121,Bucht::N,bugt,тинӗс кукӑрӗ
122,Insel::N,ø,утрав
123,Blume::N,blomst,чечек
124,Gras::N,græs,курӑк
125,Wurzel::N,rod,тымар
126,Baum::N,træ,йывӑҫ
127,Stamm::N,stamme,вулӑ
128,Rinde::N,bark,хуйӑр
129,Ast::N,gren,турат
130,Zweig::N,kvist,турат
131,Blatt::N,blad,ҫулҫӑ
132,Birke::N,birk,хурӑн
133,Kiefer[Baum]::N,fyrretræ,хыр
134,Weide[Baum]::N,piletræ,хӑва
135,Tanne::N,gran,чӑрӑш
136,Horn::N,horn,мӑйрака
137,Feder::N,fjer,тӗк
138,Fell::N,skind,ҫӑм
139,Flügel::N,vinge,ҫунат
140,Klaue::N,klov,чӗрне
141,Kralle::N,klo,ура
142,Schwanz::N,hale,хӳре
143,Ei::N,æg,ҫӑмарта
144,Nest::N,rede,йӑва
145,Bau::N,bo,йӗнӗ
146,Tier::N,dyr,выльӑх
147,Herde::N,flok,кӗтӳ
148,Kuh::N,ko,ӗне
149,Bulle::N,tyr,вӑкӑр
150,Pferd::N,hest,лаша
151,Schaf::N,får,сурӑх
152,Schwein::N,gris,сысна
153,Hund::N,hund,йытӑ
154,Katze::N,kat,кушак
155,Bär::N,bjørn,упа
156,Eichhörnchen::N,egern,пакша
157,Elch::N,elg,пӑши
158,Fuchs::N,ræv,тилӗ
159,Hase::N,hare,куян
160,Hase::N,hare,мулкач
161,Maus::N,mus,шӑши
162,Wolf::N,ulv,кашкӑр
163,Vogel::N,fugl,кайӑк
164,Vogel::N,fugl,вӗҫен кайӑк
165,Schwarm::N,sværm,ушкӑн
166,Huhn::N,høne,чӑх
167,Huhn::N,høne,чӑхӑ
168,Hahn::N,hane,автан
169,Gans::N,gås,хур
170,Adler::N,ørn,ӑмӑрт кайӑк
171,Ente::N,and,кӑвакал
172,Eule::N,ugle,тӑмана
173,Kranich::N,trane,тӑрна
174,Krähe::N,krage,ула курак
175,Kuckuck::N,gøg,куккук
176,Schwan::N,svane,акӑш
177,Fisch::N,fisk,пулӑ
178,Barsch::N,aborre,уланкӑ
179,Hecht::N,gedde,ҫӑрттан
180,Schlange[Tier]::N,slange,ҫӗлен
181,Wurm::N,orm,ӑман
182,Spinne::N,edderkop,эрешмен
183,Ameise::N,myre,кӑткӑ
184,Laus::N,lus,пыйтӑ
185,Mücke::N,myg,вӑрӑм туна
186,Fliege::N,flue,шӑна
187,Schmetterling::N,sommerfugl,лӗпӗш
188,Beere::N,bær,ҫырла
189,Apfel::N,æble,улма
190,Apfel::N,æble,пан улми
191,Pilz::N,svamp,кӑмпа
192,Zwiebel::N,løg,сухан
193,Saat::N,sæd,вӑрӑ
194,Korn::N,korn,тӗшӗ
195,Korn::N,korn,пӗрчӗ
196,Heu::N,hø,утӑ
197,Schale::N,skræl,хупӑ
198,Grube::N,grav,шӑтӑк
199,Falle::N,fælde,тапӑ
200,Falle::N,fælde,капкӑн
201,Schlinge::N,snare,йӑлӑ
202,Spur::N,spor,йӗр
203,Asche::N,aske,кӗл
204,Dreck::N,snavs,пылчӑк
205,Eisen::N,jern,тимӗр
206,Gold::N,guld,ылтӑн
207,Silber::N,sølv,кӗмӗл
208,Kohle::N,kul,кӑмрӑк
209,Glas::N,glas,кӗленче
210,Lehm::N,ler,тӑм
211,Sand::N,sand,хӑйӑр
212,Mensch::N,mennesge,ҫын
213,Mensch::N,mennesge,этем
214,Mann::N,mand,ар
215,Frau::N,kvinde,хӗрарӑм
216,Kind::N,barn,ача
217,Junge::N,dreng,ача
218,Junge::N,dreng,ар ҫын ача
219,Mädchen::N,pige,хӗр ача
220,Familie::N,familie,ҫемье
221,Familie::N,familie,кил-йыш
222,Großvater::N,bedstefar,кукаҫи
223,Großmutter::N,bedstemor,кукамай
224,Eltern::N,forældre,аҫа-ама
225,Vater::N,far,атте
226,Mutter::N,mor,анне
227,Sohn::N,søn,ывӑл
228,Tochter::N,datter,хӗр
229,Bruder::N,bror,ар тӑван
230,Schwester::N,søster,аппа
231,Schwester::N,søster,йӑмӑк
232,Onkel::N,onkel,мучи
233,Onkel::N,onkel,пичче
234,Tante::N,tante,аппа
235,Ehemann::N,ægtemand,упӑшка
236,Ehefrau::N,hustru,арӑм
237,Freude::N,glæde,савӑнӑҫ
238,Freude::N,glæde,хаваслӑх
239,Gelächter::N,latter,кулӑ
240,Glück::N,lykke,телей
241,Glück::N,lykke,ӑраскал
242,Kummer::N,sorg,хурлӑх
243,Wunsch::N,ønske,ӗмӗт
244,Wunsch::N,ønske,кӑмӑл
245,Lust::N,lyst,кӑмӑл
246,Geist::N,ånd,чун-чӗм
247,Geist::N,ånd,ыр-усал
248,Geist::N,ånd,чун хавалӗ
249,Gedanke::N,tanke,шухӑш
250,Gedächtnis::N,hukommelse,ас
251,Verstand::N,forstand,ӑс
252,Verstand::N,forstand,ӑс-тӑн
253,Verstand::N,forstand,ӑс-хакӑл
254,Sinn::N,mening,тупсӑм
255,Sinn::N,mening,пӗлтерӗш
256,Sinn::N,betydning,тупсӑм
257,Sinn::N,betydning,пӗлтерӗш
258,Grund::N,grund,сӑлтав
259,Wahrheit::N,sandhed,чӑнлӑх
260,Gespräch::N,samtale,калаҫу
261,Märchen::N,eventyr,юмах
262,Erzählung::N,fortælling,акалав
263,Erzählung::N,fortælling,каласа пани
264,Nachricht::N,efterretning,хыпар
265,Neuigkeit::N,nyhed,ҫӗнӗ хыпар
266,Name::N,navn,ят
267,Rätsel::N,gåde,сутмалли юмах
268,Rede::N,tale,сӑмах
269,Sprache::N,sprog,чӗлхе
270,Stimme::N,stemme,сасӑ
271,Wort::N,ord,сӑмах
272,Zeichen::N,tegn,паллӑ
273,Ruf::N,råb,йыхрав
274,Ruf::N,råb,чӗнӳ
275,Lärm::N,larm,шав
276,Laut::N,lyd,сасӑ
277,Ton::N,tone,сасӑ
278,Lied::N,sang,юрӑ
279,Ruhe::N,ro,канӑҫлӑх
280,Ruhe::N,ro,лӑпкӑлӑх
281,Ruhe::N,hvile,канӑҫлӑх
282,Ruhe::N,hvile,лӑпкӑлӑх
283,Leute::N,folk,ҫамрӑксем
284,Leute::N,folk,ҫамрӑк ҫынсем
285,Leute::N,mennesker,ҫамрӑксем
286,Leute::N,mennesker,ҫамрӑк ҫынсем
287,Volk::N,folk,халӑх
288,Arbeit::N,arbejde,ӗҫхӗл
289,Arbeit::N,arbejde,ӗҫлев
290,Gast::N,gæst,хӑна
291,Geschenk::N,gave,парне
292,Geschenk::N,gave,кучченеҫ
293,Spiel::N,leg,вӑйӑ
294,Gesellschaft::N,selskab,общество
295,Hilfe::N,hjælp,пулӑшу
296,Freund::N,ven,тус
297,Kamerad::N,kammerat,юлташ
298,Kamerad::N,kammerat,тус
299,Angelegenheit::N,sag,ӗҫ
300,Angelegenheit::N,anliggende,ӗҫ
301,Anzahl::N,antal,йыш
302,Anzahl::N,antal,хисеп
303,Art::N,art,тӗс
304,Stück::N,stykke,татӑк
305,Teil::N,del,пай
306,Hälfte::N,halvdel,ҫурӑ
307,Kreis::N,cirkel,ункӑ
308,Kreis::N,cirkel,ҫавракӑш
309,Kreuz::N,kors,хӗрес
310,Kreuz::N,kryds,хӗрес
311,Linie::N,linie,йӗр
312,Strich::N,streg,йӗр
313,Abstand::N,afstand,хушӑ
314,Entfernung::N,afstand,хушӑ
315,Gegend::N,egn,вырӑн
316,Platz::N,plads,хутлӑх
317,Ort::N,sted,вырӑн
318,Seite::N,side,ен
319,Seite::N,side,аяк
320,Seite::N,side,айӑк
321,Mitte::N,midte,варӑ
322,Gegenstand::N,genstand,япала
323,Sache::N,sag,япала
324,Rand::N,rand,вӗҫ
325,Rand::N,rand,хӗрӗ
326,Rand::N,rand,хӗрри
327,Kante::N,kant,хайкача
328,Kante::N,kant,хысак
329,Ecke::N,hjørne,кӗтес
330,Spitze::N,spids,вӗҫ
331,Ende::N,ende,вӗҫ
332,Loch::N,hul,шӑтӑк
333,Winkel::N,vinkel,кӗтес
334,Muster::N,mønster,эреш
335,Größe::N,størrelse,пысӑкӑш
336,Länge::N,længde,вӑрӑмӑш
337,Höhe::N,højde,ҫӳллӗш
338,Gewicht::N,vægt,виҫе
339,Gewicht::N,vægt,йывӑрӑш
340,Menge::N,mængde,йыш
341,Haufen::N,bunke,купа
342,Reihe::N,række,рет
343,Boot::N,båd,кимӗ
344,Ruder::N,åre,кӗсмен
345,Schlitten::N,kælk,ҫуна
346,Schlitten::N,slæde,ҫуна
347,Ski::N,ski,йӗлтӗр
348,Lagerfeuer::N,lejrbål,вут
349,Lagerfeuer::N,lejrbål,кӑвайт
350,Last::N,last,сулмаклӑх
351,Last::N,last,йывӑр япала
352,Last::N,byrde,сулмаклӑх
353,Last::N,byrde,йывӑр япала
354,Gang::N,gang,куҫӑм
355,Schritt::N,skridt,утӑм
356,Schritt::N,skridt,пусӑм
357,Norden::N,nord,ҫурҫӗр
358,Süden::N,syd,кӑнтӑр
359,Westen::N,vest,анӑҫ
360,Westen::N,vest,хӗвел анӑҫ
361,Osten::N,øst,хӗвел тухӑҫ
362,Holz::N,træ,йывӑҫ
363,Brett::N,bræt,хӑма
364,Platte::N,plade,плита
365,Stütze::N,støtte,ура
366,Stange::N,stang,шерте
367,Stock::N,stok,патак
368,Stab::N,stav,шӑчӑ
369,Rohr::N,rør,пӑрӑх
370,Haus::N,hus,ҫурт
371,Heim::N,hjem,кил
372,Ofen::N,ovn,кӑмака
373,Fußboden::N,gulv,урай
374,Tisch::N,bord,сӗтел
375,Stuhl::N,stol,пукан
376,Wiege::N,vugge,сӑпка
377,Bett::N,seng,кравать
378,Regal::N,reol,ҫӳлӗк
379,Regal::N,reol,сентре
380,Kiste::N,kasse,ещӗк
381,Kiste::N,kasse,сунтӑх
382,Fenster::N,vindue,чӳрече
383,Tür::N,dør,алӑк
384,Tor::N,port,хапха
385,Zaun::N,stakit,хӳме
386,Dach::N,tag,тӑрӑ
387,Leiter::N,stige,пусма
388,Besen::N,kost,шӑпӑр
389,Spaten::N,spade,кӗреҫе
390,Schaufel::N,skovl,кӗреҫе
391,Gabel::N,gaffel,вилка
392,Löffel::N,ske,кашӑк
393,Messer::N,kniv,ҫӗҫӗ
394,Nagel::N,søm,пӑта
395,Netz::N,net,тетел
396,Haken::N,krog,йӑрхах
397,Haken::N,krog,ҫекӗл
398,Griff::N,tag,хӑлӑп
399,Griff::N,håndtag,хӑлӑп
400,Schloss::N,lås,ҫӑра
401,Bild::N,billede,сӑн
402,Bild::N,billede,сӑнлӑх
403,Bild::N,billede,картина
404,Figur::N,figur,кӗлетке
405,Puppe::N,dukke,пукане
406,Beutel::N,pose,михӗ
407,Bündel::N,bylt,ҫыхӑ
408,Bündel::N,bylt,тӗрке
409,Bündel::N,bundt,ҫыхӑ
410,Bündel::N,bundt,тӗрке
411,Tasche::N,taske,сумка
412,Eimer::N,spand,витре
413,Deckel::N,låg,хупӑ
414,Geschirr::N,husgeråd,савӑт-сапа
415,Sack::N,sæk,михӗ
416,Tasse::N,kop,курка
417,Topf::N,gryde,кастрюль
418,Kessel::N,kedel,хуран
419,Essen::N,måltid,апат
420,Nahrung::N,mad,апат-ҫимӗс
421,Nahrung::N,næring,апат-ҫимӗс
422,Speise::N,ret,апат
423,Speise::N,ret,ҫимӗҫ
424,Fleisch::N,kød,аш
425,Fleisch::N,kød,какай
426,Getreide::N,korn,тырӑ
427,Brei::N,grød,пӑтӑ
