,Concept_ID,hu,fa
0,Auge::N,szem,چشم
1,Ohr::N,fül,گوش
2,Nase::N,orr,بینی
3,Mund::N,száj,دهان
4,Zahn::N,fog,دندان
5,Zunge::N,nyelv,زبان
6,Lippe::N,ajak,لب
7,Wange::N,orca,لپ
8,Gesicht::N,arc,رو
9,Gesicht::N,arc,چهره
10,Stirn::N,homlok,پیشانی
11,Haar::N,haj,مو
12,Schnurrbart::N,bajusz,سبیل
13,Bart::N,szakáll,ریش
14,Kinn::N,áll,چانه
15,Kiefer[Anatomie]::N,állkapocs,فک
16,Kiefer[Anatomie]::N,állkapocs,آرواره
17,Kehle::N,gége,حلق
18,Kehle::N,torok,حلق
19,Hals::N,nyak,گردن
20,Genick::N,tarkó,پشت گردن
21,Kopf::N,fő,سر
22,Kopf::N,fő,کله
23,Kopf::N,fej,سر
24,Kopf::N,fej,کله
25,Rücken::N,hát,پشت
26,Bauch::N,has,شکم
27,Nabel::N,köldök,ناف
28,Busen::N,mell,پستان
29,Busen::N,kebel,پستان
30,Brust::N,mell,سینه
31,Schulter::N,váll,دوش
32,Schulter::N,váll,شانه
33,Arm::N,kar,بازو
34,Ellenbogen::N,könyök,آرنج
35,Hand::N,kéz,دست
36,Handfläche::N,tenyér,کف دست
37,Finger::N,ujj,انگشت
38,Fingernagel::N,köröm,ناخن دست
39,Nagel[Anatomie]::N,köröm,ناخن
40,Zeh::N,lábujj,انگشت پا
41,Fuß::N,láb,پا
42,Ferse::N,sarok,پاشنه
43,Knie::N,térd,زانو
44,Oberschenkel::N,comb,ران
45,Bein::N,láb,پا
46,Bein::N,láb,لنگ
47,Bein::N,lábszár,پا
48,Bein::N,lábszár,لنگ
49,Körper::N,test,تن
50,Körper::N,test,بدن
51,Haut::N,bőr,پوست
52,Blut::N,vér,خون
53,Ader::N,ér,رگ
54,Sehne::N,ín,زردپی
55,Knochen::N,csont,استخوان
56,Gehirn::N,agy,مخ
57,Gehirn::N,agy,مغز
58,Gehirn::N,agyvelő,مخ
59,Gehirn::N,agyvelő,مغز
60,Herz::N,szív,دل
61,Herz::N,szív,قلب
62,Magen::N,gyomor,معده
63,Leber::N,máj,کبد
64,Atem::N,lehelet,نفس
65,Atem::N,lélegzet,نفس
66,Hunger::N,éhség,گرسنگی
67,Träne::N,könny,اشک
68,Geschmack::N,íz,مزه
69,Geruch::N,szag,بو
70,Schlaf::N,álom,خواب
71,Schlaf::N,alvás,خواب
72,Traum::N,álom,رؤیا
73,Himmel::N,ég,فلک
74,Himmel::N,ég,آسمان
75,Himmel::N,menny,فلک
76,Himmel::N,menny,آسمان
77,Sonne::N,nap,آفتاب
78,Sonne::N,nap,خورشید
79,Mond::N,hold,ماه
80,Stern::N,csillag,ستاره
81,Luft::N,levegő,هوا
82,Wind::N,szél,باد
83,Welle::N,hullám,موج
84,Wasser::N,víz,آب
85,Stein::N,kő,سنگ
86,Boden::N,föld,زمین
87,Boden::N,talaj,زمین
88,Erde::N,föld,خاک
89,Erde::N,föld,زمین
90,Staub::N,por,گرد
91,Staub::N,por,غبار
92,Rauch::N,füst,دود
93,Funke::N,szikra,جرقه
94,Feuer::N,tűz,آتش
95,Licht::N,fény,نور
96,Licht::N,fény,روشنی
97,Schatten::N,árnyék,سایه
98,Wetter::N,idő,هوا
99,Wetter::N,időjárás,هوا
100,Nebel::N,köd,مه
101,Wolke::N,felhő,ابر
102,Regen::N,eső,باران
103,Schnee::N,hó,برف
104,Eis::N,jég,یخ
105,Frost::N,fagy,یخبندان
106,Kälte::N,hideg,سرما
107,Hitze::N,hő,گرما
108,Hitze::N,hő,حرارت
109,Hitze::N,hőség,گرما
110,Hitze::N,hőség,حرارت
111,Raureif::N,zúzmara,برف ریزه
112,Regenbogen::N,szivárvány,رنگین‌کمان
113,Donner::N,dörgés,رعد
114,Donner::N,mennydörgés,رعد
115,Strömung::N,áramlat,جریان
116,Tropfen::N,csepp,قطره
117,Schaum::N,hab,کف
118,Schaum::N,tajték,کف
119,Schmutz::N,piszok,گل
120,Schmutz::N,piszok,کثافت
121,See::N,tó,دریاچه
122,Sumpf::N,mocsár,مرداب
123,Sumpf::N,mocsár,باتلاق
124,Moor::N,láp,باتلاق
125,Wiese::N,rét,چمن
126,Wiese::N,mező,چمن
127,Wald::N,erdő,جنگل
128,Hügel::N,domb,تل
129,Hügel::N,domb,تپه
130,Anhöhe::N,magaslat,بلندی
131,Berg::N,hegy,کوه
132,Gipfel::N,csúcs,قله
133,Höhle::N,barlang,غار
134,Abhang::N,lejtő,سرازیری
135,Quelle::N,forrás,چشمه
136,Bach::N,patak,نهر
137,Fluss::N,folyó,رود
138,Ufer::N,part,ساحل
139,Ufer::N,part,کرانه
140,Küste::N,tengerpart,ساحل
141,Festland::N,szárazföld,خشکی
142,Meer::N,tenger,دریا
143,Bucht::N,öböl,خلیج
144,Insel::N,sziget,جزیره
145,Blume::N,virág,گل
146,Gras::N,fű,علف
147,Wurzel::N,gyökér,ریشه
148,Baum::N,fa,درخت
149,Stamm::N,tő,تنه
150,Stamm::N,törzs,تنه
151,Rinde::N,kéreg,توژ
152,Rinde::N,kéreg,پوست
153,Ast::N,ág,شاخه
154,Zweig::N,gally,شاخه
155,Blatt::N,levél,برگ
156,Birke::N,nyír,غان
157,Kiefer[Baum]::N,fenyő,کاج
158,Weide[Baum]::N,fűz,بید
159,Tanne::N,fenyő,صنوبر
160,Horn::N,szarv,شاخ
161,Feder::N,toll,پر
162,Fell::N,szőr,خز
163,Fell::N,bunda,خز
164,Flügel::N,szárny,پر
165,Flügel::N,szárny,بال
166,Klaue::N,köröm,چنگ
167,Klaue::N,köröm,پنجه
168,Kralle::N,karom,پنجه
169,Schwanz::N,farok,دم
170,Ei::N,tojás,تخم
171,Nest::N,fészek,لانه
172,Bau::N,odú,بنا
173,Bau::N,odú,ساختمان
174,Tier::N,állat,هیوان
175,Herde::N,nyáj,رمه
176,Herde::N,csorda,رمه
177,Kuh::N,tehén,گاو
178,Bulle::N,bika,گاو نر
179,Pferd::N,ló,اسب
180,Schaf::N,juh,گوسفند
181,Schaf::N,birka,گوسفند
182,Schwein::N,sertés,خوک
183,Hund::N,eb,سگ
184,Hund::N,kutya,سگ
185,Katze::N,macska,گربه
186,Bär::N,medve,خرس
187,Eichhörnchen::N,mókus,سنجاب
188,Elch::N,jávorszarvas,گوزن شمالی
189,Fuchs::N,róka,روباه
190,Hase::N,nyúl,خرگوش
191,Maus::N,egér,موش
192,Wolf::N,farkas,گرگ
193,Vogel::N,madár,پرنده
194,Schwarm::N,raj,دسته
195,Huhn::N,tyúk,مرغ
196,Hahn::N,kakas,خروس
197,Gans::N,lúd,غاز
198,Gans::N,liba,غاز
199,Adler::N,sas,عقاب
200,Ente::N,kacsa,اردک
201,Ente::N,kacsa,مرغابی
202,Eule::N,bagoly,جغد
203,Kranich::N,daru,درنا
204,Krähe::N,varjú,زاغ
205,Krähe::N,varjú,کلاغ
206,Kuckuck::N,kakukk,فاخته
207,Schwan::N,hattyú,قو
208,Fisch::N,hal,ماهی
209,Barsch::N,sügér,ماهی خاردار
210,Hecht::N,csuka,اردک ماهی
211,Schlange[Tier]::N,kígyó,مار
212,Wurm::N,kukac,کرم
213,Spinne::N,pók,عنکبوت
214,Ameise::N,hangya,مورچه
215,Laus::N,tetű,شپش
216,Mücke::N,szúnyog,پشه
217,Fliege::N,légy,مگس
218,Schmetterling::N,lepke,پروانه
219,Schmetterling::N,pillangó,پروانه
220,Beere::N,bogyó,گیله
221,Apfel::N,alma,سیب
222,Pilz::N,gomba,قارچ
223,Zwiebel::N,hagyma,پیاز
224,Saat::N,vetőmag,بذر
225,Korn::N,mag,تخم
226,Korn::N,mag,دانه
227,Korn::N,szem,تخم
228,Korn::N,szem,دانه
229,Heu::N,széna,علف خشک
230,Schale::N,héj,پوست
231,Grube::N,verem,گودال
232,Falle::N,csapda,دام
233,Schlinge::N,tőr,حلقه
234,Spur::N,nyom,رد
235,Asche::N,hamu,خاکستر
236,Dreck::N,sár,کثافت
237,Dreck::N,piszok,کثافت
238,Eisen::N,vas,آهن
239,Gold::N,arany,زر
240,Gold::N,arany,طلا
241,Silber::N,ezüst,نقره
242,Kohle::N,szén,زغال
243,Glas::N,üveg,شیشه
244,Lehm::N,agyag,گل
245,Lehm::N,vályog,گل
246,Sand::N,homok,شن
247,Sand::N,homok,ماسه
248,Mensch::N,ember,آدم
249,Mensch::N,ember,انسان
250,Mann::N,úr,مرد
251,Mann::N,férfi,مرد
252,Frau::N,nő,زن
253,Frau::N,asszony,زن
254,Kind::N,gyerek,بچه
255,Kind::N,gyerek,کودک
256,Kind::N,gyermek,بچه
257,Kind::N,gyermek,کودک
258,Junge::N,fiú,پسر
259,Mädchen::N,lány,دختر
260,Familie::N,család,فامیل
261,Familie::N,család,خانواده
262,Großvater::N,nagyapa,پدربزرگ
263,Großmutter::N,nagyanya,مادر‌بزرگ
264,Eltern::N,szülők,والدین
265,Eltern::N,szülők,پدر‌و‌مادر
266,Vater::N,apa,پدر
267,Vater::N,atya,پدر
268,Mutter::N,anya,مادر
269,Sohn::N,fiú,پسر
270,Tochter::N,lány,دختر
271,Bruder::N,fivér,برادر
272,Bruder::N,testvér,برادر
273,Schwester::N,nővér,خواهر
274,Schwester::N,lánytestvér,خواهر
275,Onkel::N,nagybácsi,عمو
276,Onkel::N,nagybácsi,دایی
277,Tante::N,nagynéni,عمه
278,Tante::N,nagynéni,خاله
279,Ehemann::N,férj,همسر
280,Ehefrau::N,feleség,همسر
281,Freude::N,öröm,شادی
282,Gelächter::N,nevetés,خنده
283,Gelächter::N,nevetés,قاه‌قاه
284,Gelächter::N,hahotázás,خنده
285,Gelächter::N,hahotázás,قاه‌قاه
286,Glück::N,boldogság,اقبال
287,Kummer::N,bánat,غم
288,Kummer::N,bánat,غصه
289,Wunsch::N,óhaj,آرزو
290,Lust::N,kedv,هوس
291,Geist::N,elme,روح
292,Geist::N,szellem,روح
293,Gedanke::N,gondolat,فکر
294,Gedächtnis::N,emlékezet,حافظه
295,Verstand::N,ész,هوش
296,Verstand::N,értelem,هوش
297,Sinn::N,értelem,معنا
298,Sinn::N,értelem,مفهوم
299,Grund::N,ok,سبب
300,Grund::N,ok,دلیل
301,Grund::N,alap,سبب
302,Grund::N,alap,دلیل
303,Wahrheit::N,igaz,حقیقت
304,Wahrheit::N,igazság,حقیقت
305,Gespräch::N,beszélgetés,صحبت
306,Gespräch::N,beszélgetés,گفتگو
307,Märchen::N,mese,قصه
308,Märchen::N,mese,افسانه
309,Erzählung::N,elbeszélés,داستان
310,Nachricht::N,hír,خبر
311,Nachricht::N,híradás,خبر
312,Neuigkeit::N,újság,خبر تازه
313,Name::N,név,اسم
314,Rätsel::N,rejtvény,معما
315,Rede::N,beszéd,سخن
316,Rede::N,szónoklat,سخن
317,Sprache::N,nyelv,زبان
318,Stimme::N,hang,صدا
319,Wort::N,szó,کلمه
320,Zeichen::N,jel,نشان
321,Zeichen::N,jel,علامت
322,Ruf::N,kiáltás,صدا
323,Lärm::N,zaj,هیاهو
324,Laut::N,hang,صدا
325,Ton::N,hang,آهنگ
326,Lied::N,dal,آواز
327,Lied::N,dal,ترانه
328,Lied::N,ének,آواز
329,Lied::N,ének,ترانه
330,Ruhe::N,csend,آرامش
331,Ruhe::N,nyugalom,آرامش
332,Leute::N,emberek,مردم
333,Volk::N,nép,خلق
334,Arbeit::N,dolog,کار
335,Gast::N,vendég,مهمان
336,Geschenk::N,ajándék,هدیه
337,Spiel::N,játék,بازی
338,Gesellschaft::N,társaság,جمعیت
339,Hilfe::N,segítség,کمک
340,Freund::N,barát,دوست
341,Kamerad::N,társ,رفیق
342,Angelegenheit::N,ügy,امر
343,Angelegenheit::N,ügy,قضیه
344,Anzahl::N,szám,عده
345,Anzahl::N,szám,شمار
346,Art::N,faj,نوع
347,Art::N,fajta,نوع
348,Stück::N,darab,تکه
349,Stück::N,darab,قطعه
350,Teil::N,rész,بخش
351,Teil::N,rész,قسمت
352,Hälfte::N,fél,نیم
353,Kreis::N,kör,حلقه
