,Concept_ID,tt,sl
0,Auge::N,күз,okó
1,Ohr::N,колак,uhó
2,Nase::N,борын,nós
3,Mund::N,авыз,ústa
4,Mund::N,тамак,ústa
5,Zahn::N,теш,zób
6,Zunge::N,тел,jêzik
7,Lippe::N,ирен,ústnica
8,Wange::N,яңак,líce
9,Gesicht::N,йөз,oblíčje
10,Stirn::N,маңгай,čêlo
11,Haar::N,чәч,lás
12,Schnurrbart::N,мыек,bŕki
13,Bart::N,сакал,bráda
14,Kinn::N,ияк,bráda
15,Kiefer[Anatomie]::N,казналык,čeljúst
16,Kehle::N,тамак,gŕlo
17,Hals::N,бугаз,vrát
18,Genick::N,җилкә,zatílnik
19,Kopf::N,баш,gláva
20,Rücken::N,сырт,hrbèt
21,Bauch::N,корсак,trébuh
22,Nabel::N,кендек,pópek
23,Busen::N,түш,nédrja
24,Brust::N,имчәк,pŕsi
25,Brust::N,күкрәк,pŕsi
26,Schulter::N,иңбаш,ráma
27,Schulter::N,иңбаш,plêče
28,Schulter::N,кулбаш,ráma
29,Schulter::N,кулбаш,plêče
30,Arm::N,кул,rôka
31,Ellenbogen::N,терсәк,komólec
32,Hand::N,кул,rôka
33,Handfläche::N,уч,dlán
34,Finger::N,бармак,pŕst
35,Fingernagel::N,тырнак,nóht na rôki
36,Nagel[Anatomie]::N,тырнак,nóht
37,Zeh::N,бармак,pŕst na nôgi
38,Fuß::N,табан,nôga
39,Ferse::N,үкчә,pêta
40,Knie::N,тез,koléno
41,Oberschenkel::N,бот,stêgno
42,Bein::N,аяк,nôga
43,Körper::N,тән,teló
44,Körper::N,җисем,teló
45,Haut::N,тире,kóža
46,Blut::N,кан,krí
47,Ader::N,тамыр,žíla
48,Sehne::N,сеңер,kíta
49,Knochen::N,сөяк,kóst
50,Gehirn::N,ми,možgáni
51,Herz::N,йөрәк,srcé
52,Magen::N,ашказаны,želódec
53,Leber::N,бавыр,jétra
54,Atem::N,сулыш,díh
55,Hunger::N,ачлык,glád
56,Träne::N,яшь,sólza
57,Geschmack::N,тәм,okús
58,Geschmack::N,зәвык,okús
59,Geruch::N,ис,vónj
60,Schlaf::N,йокы,sèn
61,Schlaf::N,йокы,spánec
62,Traum::N,төш,sánje
63,Himmel::N,күк,nebó
64,Sonne::N,кояш,sónce
65,Mond::N,ай,lúna
66,Mond::N,ай,mésec
67,Stern::N,йолдыз,zvézda
68,Luft::N,һава,zràk
69,Wind::N,җил,véter
70,Welle::N,дулкын,vál
71,Wasser::N,су,vôda
72,Stein::N,таш,kámen
73,Boden::N,туфрак,tlà
74,Erde::N,җир,pŕst
75,Erde::N,җир,zêmlja
76,Staub::N,тузан,práh
77,Rauch::N,төтен,dìm
78,Funke::N,очкын,ískra
79,Feuer::N,ут,ôgenj
80,Licht::N,якты,lúč
81,Schatten::N,күләгә,sénca
82,Wetter::N,һава,vrême
83,Nebel::N,томан,meglà
84,Wolke::N,болыт,oblák
85,Regen::N,яңгыр,dèž
86,Schnee::N,кар,snég
87,Eis::N,боз,léd
88,Frost::N,суык,zmrzál
89,Frost::N,салкын,zmrzál
90,Kälte::N,суык,mràz
91,Kälte::N,салкын,mràz
92,Hitze::N,эсселек,pripéka
93,Raureif::N,бәс,ívje
94,Raureif::N,бәс,slána
95,Raureif::N,сыкы,ívje
96,Raureif::N,сыкы,slána
97,Regenbogen::N,салават күпере,mávrica
98,Donner::N,күкрәү,gròm
99,Strömung::N,агыш'агым,strúja
100,Tropfen::N,тамчы,káplja
101,Schaum::N,күбек,péna
102,Schmutz::N,пычрак,nesnága
103,See::N,күл,jézero
104,Sumpf::N,саз,močvírje
105,Moor::N,торфлык,bárje
106,Wiese::N,болын,trávnik
107,Wald::N,урман,lés
108,Wald::N,урман,gòzd
109,Hügel::N,калку,brég
110,Hügel::N,калку,goríca
111,Anhöhe::N,үр,gríč
112,Anhöhe::N,үр,višína
113,Berg::N,тау,gôra
114,Berg::N,тау,planína
115,Gipfel::N,оч,vŕh
116,Höhle::N,мәгарә,jáma
117,Höhle::N,мәгарә,votlína
118,Abhang::N,кабырга,pobóčje
119,Quelle::N,чишмә,izvír
120,Bach::N,елга,pôtok
121,Fluss::N,дәрья,réka
122,Ufer::N,су кырые,brég
123,Küste::N,яр буе,obála
124,Küste::N,яр буе,obréžje
125,Festland::N,коры җир,celína
126,Festland::N,коры җир,kopnína
127,Meer::N,диңгез,mórje
128,Bucht::N,бухта,zalív
129,Bucht::N,култык,zalív
130,Insel::N,атау,ôtok
131,Insel::N,утрау,ôtok
132,Blume::N,чәчкә,cvetlíca
133,Gras::N,үлән,tráva
134,Wurzel::N,тамыр,korenína
135,Baum::N,агач,drevó
136,Stamm::N,кәүсә,dêblo
137,Rinde::N,кабык,lúbje
138,Rinde::N,кабык,skórja
139,Ast::N,ботак,véja
140,Zweig::N,ботак,véja
141,Zweig::N,тармак,véja
142,Blatt::N,яфрак,líst
143,Birke::N,каен,bréza
144,Kiefer[Baum]::N,нарат,bòr
145,Weide[Baum]::N,тал,vŕba
146,Tanne::N,чыршы,hója
147,Horn::N,мөгез,róg
148,Feder::N,йон,peró
149,Fell::N,тире,kŕzno
150,Flügel::N,канат,krílo
151,Klaue::N,тырнак,párkelj
152,Kralle::N,тырнак,krémpelj
153,Schwanz::N,койрык,rèp
154,Ei::N,күкәй,jájce
155,Ei::N,йомырка,jájce
156,Nest::N,оя,gnézdo
157,Bau::N,өн,brlòg
158,Tier::N,хайван,živál
159,Herde::N,көтү,čréda
160,Kuh::N,сыер,kráva
161,Bulle::N,үгез,bìk
162,Pferd::N,ат,kònj
163,Schaf::N,сарык,ôvca
164,Schwein::N,дуңгыз,svínja
165,Hund::N,эт,pès
166,Katze::N,песи,máčka
167,Bär::N,аю,mêdved
168,Eichhörnchen::N,тиен,véverica
169,Elch::N,поши,lós
170,Fuchs::N,төлке,lisíca
171,Hase::N,куян,zájec
172,Maus::N,тычкан,mìš
173,Wolf::N,бүре,vólk
174,Vogel::N,кош,ptìč
175,Vogel::N,кош,ptíca
176,Schwarm::N,көтү,játa
177,Huhn::N,тавык,kokóš
178,Hahn::N,әтәч,petêlin
179,Gans::N,каз,gós
180,Adler::N,каракош,ôrel
181,Ente::N,үрдәк,ráca
182,Eule::N,ябалак,sôva
183,Kranich::N,торна,žerjàv
184,Krähe::N,карга,vrána
185,Kuckuck::N,күке,kúkavica
186,Kuckuck::N,кәккүк,kúkavica
187,Schwan::N,аккош,labód
188,Fisch::N,балык,ríba
189,Barsch::N,алабуга,ostríž
190,Hecht::N,чуртан,ščúka
191,Schlange[Tier]::N,елан,káča
192,Wurm::N,корт,čr̀v
193,Wurm::N,корт,glísta
194,Spinne::N,үрмәкүч,pájek
195,Ameise::N,кырмыска,mrávlja
196,Laus::N,бет,úš
197,Mücke::N,черки,komár
198,Mücke::N,озынборын,komár
199,Fliege::N,чебен,múha
