,Concept_ID,,lbe
0,Auge::N,,я
1,Ohr::N,,вичӏи
2,Nase::N,,май
3,Mund::N,,кьацӏ
4,Zahn::N,,ккарччи
5,Zunge::N,,маз
6,Lippe::N,,мурччи
7,Wange::N,,чӏав
8,Gesicht::N,,лажин
9,Stirn::N,,ненттабакӏ
10,Haar::N,,чӏара
11,Schnurrbart::N,,ссирссилтту
12,Bart::N,,чӏири
13,Kinn::N,,лунттубакӏ
14,Kiefer[Anatomie]::N,,ххинчулул
15,Kehle::N,,кьакьари
16,Hals::N,,ссурссу
17,Genick::N,,махъабакӏ
18,Kopf::N,,бакӏ
19,Rücken::N,,ттиликӏ
20,Bauch::N,,лякьа
21,Nabel::N,,цӏумуккутӏ
22,Busen::N,,ккукку
23,Brust::N,,хъазам
24,Schulter::N,,хъачӏ
25,Arm::N,,ка
26,Ellenbogen::N,,ссюрхъ
27,Hand::N,,бартка
28,Handfläche::N,,хъат
29,Handfläche::N,,битӏянхъ
30,Finger::N,,кӏисса
31,Fingernagel::N,,михь
32,Nagel[Anatomie]::N,,михь
33,Zeh::N,,кӏисса
34,Fuß::N,,чӏанччан
35,Ferse::N,,никъа
36,Knie::N,,ник
37,Oberschenkel::N,,жира
38,Bein::N,,ччан
39,Körper::N,,чурх
40,Haut::N,,бурчу
41,Blut::N,,оь
42,Ader::N,,тунну
43,Sehne::N,,хьхьа
44,Knochen::N,,ттаркӏ
45,Gehirn::N,,ня
46,Herz::N,,дакӏ
47,Herz::N,,къюкӏ
48,Magen::N,,лякьа
49,Atem::N,,ссихӏ ласаву
50,Atem::N,,ссихӏ бигьаву
51,Hunger::N,,ккаши
52,Träne::N,,макь
53,Geschmack::N,,тӏин
54,Geschmack::N,,тӏааьн
55,Geruch::N,,кьанкь
56,Schlaf::N,,шану
57,Traum::N,,макӏру
58,Himmel::N,,ссав
59,Sonne::N,,баргъ
60,Mond::N,,барз
61,Stern::N,,цӏуку
62,Luft::N,,гьава
63,Wind::N,,марч
64,Welle::N,,щатӏи
65,Wasser::N,,щин
66,Stein::N,,чару
67,Boden::N,,аьрщи
68,Erde::N,,аьрщи
69,Staub::N,,ххит
70,Rauch::N,,пуркӏу
71,Funke::N,,пиягь
72,Feuer::N,,цӏу
73,Licht::N,,чани
74,Schatten::N,,ххют
75,Wetter::N,,гьава
76,Nebel::N,,шархь ттурлу
77,Wolke::N,,ттурлу
78,Regen::N,,гъарал
79,Schnee::N,,марххала
80,Eis::N,,микӏ
81,Frost::N,,дяркъу
82,Frost::N,,замгьар
83,Kälte::N,,дяркъу
84,Hitze::N,,кӏиришиву
85,Raureif::N,,сил
86,Raureif::N,,бурса
87,Regenbogen::N,,ссурул ккуртта
88,Donner::N,,къув
89,Strömung::N,,экьинанаву
90,Tropfen::N,,кӏунтӏ
91,Schaum::N,,хьама
92,Schmutz::N,,кьяркьи
93,See::N,,бяр
94,Sumpf::N,,кунцӏа
95,Wiese::N,,кьан
96,Wald::N,,вацӏа
97,Hügel::N,,бакӏу
98,Berg::N,,зунтту
99,Gipfel::N,,мицӏ
100,Höhle::N,,нух
101,Abhang::N,,сун
102,Quelle::N,,дайдихьу
103,Quelle::N,,бакӏ
104,Bach::N,,чӏрир нех
105,Fluss::N,,нех
106,Ufer::N,,зума
107,Küste::N,,зумаинхалу
108,Küste::N,,зуманицӏалу
109,Festland::N,,кьири
110,Meer::N,,хьхьири
111,Insel::N,,жазира
112,Blume::N,,тӏутӏи
113,Gras::N,,уртту
114,Wurzel::N,,мархха
115,Baum::N,,мурхь
116,Stamm::N,,ттарцӏ
117,Rinde::N,,ккамара
118,Ast::N,,матӏи
119,Zweig::N,,къяртта
120,Blatt::N,,чӏапӏи
121,Birke::N,,кӏялахӏи
122,Birke::N,,кӏялахӏилул мурхь
123,Kiefer[Baum]::N,,ттар
124,Kiefer[Baum]::N,,ттарлил мурхь
125,Weide[Baum]::N,,щавщи
126,Tanne::N,,ттарлил мурхь
127,Horn::N,,хъи
128,Feder::N,,лелуххул тӏиму
129,Fell::N,,бурчу
130,Flügel::N,,хъа
131,Flügel::N,,ххурупӏайрал тӏиму
132,Klaue::N,,михь
133,Kralle::N,,ххяппа
134,Schwanz::N,,магъ
135,Ei::N,,ккунук
136,Nest::N,,кюру
137,Bau::N,,цукъуккутӏ
138,Tier::N,,хӏайван
139,Herde::N,,газу
140,Kuh::N,,оьл
141,Bulle::N,,ниц
142,Pferd::N,,чу
143,Schaf::N,,тта
144,Schwein::N,,дунгъуз
145,Hund::N,,ккаччи
146,Katze::N,,ччиту
147,Bär::N,,цуша
148,Eichhörnchen::N,,бюрхттукку
149,Elch::N,,ниц-бюрин
150,Fuchs::N,,цулчӏа
151,Fuchs::N,,куча цулчӏа
152,Hase::N,,бюрх
153,Maus::N,,кӏулу
154,Wolf::N,,барцӏ
155,Vogel::N,,лелуххи
156,Schwarm::N,,гьухъала
157,Huhn::N,,аьнакӏи
158,Hahn::N,,ажари
159,Gans::N,,къаз
160,Adler::N,,барзу
161,Ente::N,,урдак
162,Eule::N,,ису
163,Eule::N,,ччиккумяв
164,Kranich::N,,кьурукь
165,Krähe::N,,хъатӏу
166,Kuckuck::N,,ччикку
167,Schwan::N,,урттил къаз
168,Fisch::N,,чавахъ
169,Schlange[Tier]::N,,шатта
170,Wurm::N,,кьюнукьай шатта
171,Spinne::N,,ххялцу
172,Ameise::N,,митӏикьукьу
173,Mücke::N,,мичӏак
174,Fliege::N,,зимиз
175,Schmetterling::N,,чӏимучӏали
176,Beere::N,,хӏаллил ахъулсса
177,Apfel::N,,гьивч
178,Pilz::N,,ттуккул иис
179,Zwiebel::N,,лаччул чсмусул бакӏ
180,Saat::N,,гьанна
181,Korn::N,,къама
182,Heu::N,,ххулув
183,Schale::N,,ккиртту
184,Grube::N,,кӏаланг
185,Falle::N,,къатӏа
186,Schlinge::N,,хӏатӏ
187,Spur::N,,ша
188,Asche::N,,лах
189,Dreck::N,,кьяркьи
190,Dreck::N,,венп
191,Eisen::N,,мах
192,Gold::N,,муси
193,Silber::N,,арцу
194,Kohle::N,,кӏалаш
195,Kohle::N,,хъуручӏ
196,Glas::N,,пюрун
197,Lehm::N,,сина аьрщи
198,Sand::N,,къун
199,Mensch::N,,инсан
200,Mann::N,,чув
201,Mann::N,,адимина
202,Frau::N,,щарсса
203,Frau::N,,хъамитайпа
204,Kind::N,,чӏиви оьрчӏ
205,Junge::N,,оьрчӏ
206,Junge::N,,бурхьин оьрчӏ
207,Mädchen::N,,душ
208,Familie::N,,кулпат
209,Großvater::N,,ттатта
210,Großvater::N,,ниттил ппу
211,Großmutter::N,,буттал нину
212,Eltern::N,,нину-ппу
213,Vater::N,,ппу
214,Mutter::N,,нину
215,Sohn::N,,арс
216,Tochter::N,,душ
217,Bruder::N,,уссу
218,Schwester::N,,ссу
219,Onkel::N,,буттауссу
220,Tante::N,,буттал ссу
221,Ehemann::N,,лас
222,Ehefrau::N,,щар
223,Ehefrau::N,,щарсса
224,Freude::N,,шадшиву
225,Freude::N,,ххаришиву
226,Gelächter::N,,хъяхъаву
227,Glück::N,,талихӏ
228,Kummer::N,,дард
229,Wunsch::N,,мурад
230,Lust::N,,гьавас
231,Lust::N,,ччаву
232,Geist::N,,рухӏ
