,Concept_ID,sv,sk
0,Auge::N,öga,oko
1,Ohr::N,öra,ucho
2,Nase::N,näsa,nos
3,Mund::N,mun,ústa
4,Zahn::N,tand,zub
5,Zunge::N,tunga,jazyk
6,Lippe::N,läpp,pera
7,Wange::N,kind,líce
8,Gesicht::N,syn,tvár
9,Gesicht::N,syn,obličaj
10,Gesicht::N,ansikte,tvár
11,Gesicht::N,ansikte,obličaj
12,Stirn::N,panna,čelo
13,Haar::N,hår,vlas
14,Schnurrbart::N,mustasch,fúzy
15,Bart::N,skägg,brada
16,Kinn::N,haka,brada
17,Kiefer[Anatomie]::N,käke,čeľusť
18,Kehle::N,strupe,hrdlo
19,Hals::N,hals,krk
20,Genick::N,nacke,väzy
21,Kopf::N,huvud,hlava
22,Rücken::N,rygg,chrbát
23,Bauch::N,buk,brucho
24,Bauch::N,mage,brucho
25,Nabel::N,navel,pupok
26,Busen::N,barm,prsia
27,Brust::N,bröst,hruď
28,Schulter::N,skuldra,plece
29,Arm::N,arm,rameno
30,Ellenbogen::N,armbåge,lakeť
31,Hand::N,hand,ruka
32,Handfläche::N,handflata,dlaň
33,Finger::N,finger,prst
34,Fingernagel::N,fingernagel,necht
35,Nagel[Anatomie]::N,nagel,necht
36,Zeh::N,tå,prst na nohe
37,Fuß::N,fot,noha
38,Ferse::N,häl,päta
39,Knie::N,knä,koleno
40,Oberschenkel::N,lår,stehno
41,Bein::N,ben,noha
42,Körper::N,kropp,telo
43,Haut::N,hud,koža
44,Haut::N,skinn,koža
45,Blut::N,blod,krv
46,Ader::N,åder,žila
47,Sehne::N,sena,šľacha
48,Knochen::N,ben,kosť
49,Gehirn::N,hjärna,mozog
50,Herz::N,hjärta,srdce
51,Magen::N,mage,žalúdok
52,Leber::N,lever,pečeň
53,Atem::N,anda,dych
54,Atem::N,andedräkt,dych
55,Hunger::N,svält,hlad
56,Hunger::N,hunger,hlad
57,Träne::N,tår,slza
58,Geschmack::N,smak,chuť
59,Geruch::N,lukt,pach
60,Schlaf::N,sömn,spánok
61,Traum::N,dröm,sen
62,Himmel::N,himmel,nebo
63,Sonne::N,sol,slnko
64,Mond::N,måne,mesiac
65,Stern::N,stjärna,hviezda
66,Luft::N,luft,vzduch
67,Wind::N,vind,vietor
68,Welle::N,våg,vlna
69,Welle::N,bölja,vlna
70,Wasser::N,vatten,voda
71,Stein::N,sten,kameň
72,Boden::N,mark,zem
73,Boden::N,mark,pôda
74,Erde::N,jord,zem
75,Staub::N,damm,prach
76,Rauch::N,rök,dym
77,Funke::N,gnista,iskra
78,Feuer::N,eld,oheň
79,Licht::N,ljus,svetlo
80,Schatten::N,skugga,tieň
81,Wetter::N,väder,počasie
82,Nebel::N,dimma,hmla
83,Nebel::N,töcken,hmla
84,Wolke::N,sky,oblak
85,Wolke::N,sky,mračno
86,Wolke::N,moln,oblak
87,Wolke::N,moln,mračno
88,Regen::N,regn,dážď
89,Schnee::N,snö,sneh
90,Eis::N,is,ľad
91,Frost::N,frost,mráz
92,Kälte::N,köld,zima
93,Kälte::N,köld,chlad
94,Hitze::N,hetta,horúčava
95,Raureif::N,rimfrost,srieň
96,Raureif::N,rimfrost,inovať
97,Regenbogen::N,regnbåge,dúha
98,Donner::N,åska,hrom
99,Donner::N,dunder,hrom
100,Strömung::N,strömning,prúdenie
101,Tropfen::N,dropper,kvapka
102,Schaum::N,skum,pena
103,Schmutz::N,lort,špina
104,Schmutz::N,lort,nečistota
105,Schmutz::N,smuts,špina
106,Schmutz::N,smuts,nečistota
107,See::N,sjö,jazero
108,Sumpf::N,träsk,bahno
109,Moor::N,myr,močiar
110,Moor::N,mosse,močiar
111,Wiese::N,äng,lúka
112,Wald::N,skog,les
113,Wald::N,skog,hora
114,Hügel::N,höjd,vŕšok
115,Hügel::N,kulle,vŕšok
116,Anhöhe::N,höjd,výšina
117,Anhöhe::N,höjd,vyvýšenina
118,Anhöhe::N,backe,výšina
119,Anhöhe::N,backe,vyvýšenina
120,Berg::N,berg,hora
121,Berg::N,fjäll,hora
122,Gipfel::N,topp,vrchol
123,Höhle::N,håla,jaskyňa
124,Höhle::N,grotta,jaskyňa
125,Abhang::N,slänt,úbočie
126,Abhang::N,sluttning,úbočie
127,Quelle::N,källa,prameň
128,Bach::N,bäck,potok
129,Fluss::N,älv,rieka
130,Fluss::N,flod,rieka
131,Ufer::N,strand,breh
132,Küste::N,kust,pobrežie
133,Festland::N,fastland,pevnina
134,Meer::N,hav,more
135,Bucht::N,vik,záliv
136,Bucht::N,vik,zátoka
137,Bucht::N,bukt,záliv
138,Bucht::N,bukt,zátoka
139,Insel::N,ö,ostrov
140,Blume::N,blomma,kvet
141,Blume::N,blomma,kvetina
142,Blume::N,blomster,kvet
143,Blume::N,blomster,kvetina
144,Gras::N,gräs,tráva
145,Wurzel::N,rot,koreň
146,Baum::N,träd,strom
147,Stamm::N,stam,kmeň
148,Rinde::N,bark,kôra
149,Ast::N,gren,konár
150,Zweig::N,kvist,vetva
151,Blatt::N,löv,list
152,Blatt::N,blad,list
153,Birke::N,björk,breza
154,Kiefer[Baum]::N,tall,sosna
155,Kiefer[Baum]::N,tall,borovica
156,Weide[Baum]::N,pil,vŕba
157,Weide[Baum]::N,vide,vŕba
158,Tanne::N,gran,jedľa
159,Horn::N,horn,roh
160,Feder::N,fjäder,pero
161,Fell::N,fäll,koža
162,Fell::N,fäll,kožušina
163,Fell::N,skinn,koža
164,Fell::N,skinn,kožušina
165,Flügel::N,vinge,krídlo
166,Klaue::N,klöv,paznecht
167,Kralle::N,klo,pazúr
168,Schwanz::N,svans,chvost
169,Schwanz::N,stjärt,chvost
170,Ei::N,ägg,vajce
171,Ei::N,ägg,vajíčko
172,Nest::N,rede,hniezdo
173,Nest::N,näste,hniezdo
174,Bau::N,bo,nora
175,Tier::N,djur,zviera
176,Herde::N,flock,stádo
177,Kuh::N,ko,krava
178,Bulle::N,tjur,býk
179,Pferd::N,häst,kôň
180,Schaf::N,får,ovca
181,Schwein::N,svin,sviňa
182,Hund::N,hund,pes
183,Katze::N,katt,mačka
184,Bär::N,björn,medveď
185,Eichhörnchen::N,ekorre,veverička
186,Elch::N,älg,los
187,Fuchs::N,räv,líška
188,Hase::N,hare,zajac
189,Maus::N,mus,myš
190,Wolf::N,varg,vlk
191,Vogel::N,fågel,vták
192,Schwarm::N,svärm,roj
193,Huhn::N,höns,kurča
194,Huhn::N,höns,sliepka
195,Hahn::N,tupp,kohút
196,Gans::N,gås,hus
197,Adler::N,örn,orol
198,Ente::N,anka,kačka
199,Ente::N,anka,kačica
200,Eule::N,uggla,sova
201,Kranich::N,trana,žeriav
202,Krähe::N,kråka,vrana
203,Kuckuck::N,gök,kukučka
204,Schwan::N,svan,labuť
205,Fisch::N,fisk,ryba
206,Barsch::N,abborre,ostriež
207,Hecht::N,gädda,šťuka
208,Schlange[Tier]::N,orm,had
209,Wurm::N,mask,červ
210,Spinne::N,spindel,pavúk
211,Ameise::N,myra,mravec
212,Laus::N,lus,voš
213,Mücke::N,mygga,komár
