,Concept_ID,el,ady
0,Auge::N,μάτι,нэ
1,Auge::N,οφθαλμός,нэ
2,Ohr::N,αυτί,тхьакӏу́м
3,Nase::N,μύτη,пэ
4,Mund::N,στόμα,жэ
5,Zahn::N,δόντι,цэ
6,Zunge::N,γλώσσα,бзэгу
7,Lippe::N,χείλος,ӏупшӏэ́
8,Wange::N,παρειά,нэкӏу́шъу
9,Wange::N,μάγουλο,нэкӏу́шъу
10,Gesicht::N,πρόσωπο,нэ́гу
11,Stirn::N,μέτωπο,натӏэ́
12,Haar::N,μαλλιά,шъхьацы́
13,Schnurrbart::N,μουστάκι,
14,Bart::N,γένια,жакӏэ́
15,Kinn::N,πιγούνι,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,σαγόνι,жэпкъы́
17,Kehle::N,λαρύγγι,чый
18,Hals::N,λαιμός,пшъэ
19,Genick::N,σβέρκος,шъхьэпхэтыку
20,Kopf::N,κεφάλι,шъхьэ́
21,Rücken::N,ράχη,кӏыбы́
22,Bauch::N,κοιλιά,ныбэ́
23,Nabel::N,αφαλός,
24,Busen::N,στήθος,бгъэ́
25,Brust::N,στήθος,бгъэ́
26,Schulter::N,ώμος,блыпкъ
27,Arm::N,χέρι,ӏэ
28,Arm::N,μπράτςο,ӏэ
29,Ellenbogen::N,αγκώνας,ӏэнтэ́гъу
30,Hand::N,χέρι,ӏэтхьэцу
31,Handfläche::N,παλάμη,ӏэ́гу
32,Finger::N,δάχτυλο,ӏэхъуа́мб
33,Fingernagel::N,νύχι,ӏэбжъа́н
34,Nagel[Anatomie]::N,νύχι,ӏэбжъа́н
35,Zeh::N,δάχτυλο του ποδιού,ӏэхъуа́мб
36,Fuß::N,πόδι,лъэгу
37,Ferse::N,φτέρνα,лъэдакъэ
38,Knie::N,γόνατο,лъагуа́ндж
39,Oberschenkel::N,μηρός,ко
40,Bein::N,πόδι,лъакъо́
41,Körper::N,σώμα,пкъышъол
42,Körper::N,κορμί,пкъышъол
43,Haut::N,πετσί,кӏы́шъу
44,Blut::N,αίμα,лъы
45,Ader::N,φλέβα,льытф
46,Sehne::N,νεύρο,фэ
47,Sehne::N,τένοντας,фэ
48,Knochen::N,οστό,къупшъхьэ́
49,Knochen::N,κόκκαλο,къупшъхьэ́
50,Gehirn::N,μυαλό,куцӏы
51,Gehirn::N,εγκέφαλος,куцӏы
52,Herz::N,καρδιά,гу
53,Magen::N,στομάχι,мышкӏу
54,Leber::N,ήπαρ,шӏу
55,Leber::N,συκωτί,шӏу
56,Atem::N,αναπνοή,къэщэныр
57,Hunger::N,πείνα,гъаблэ́
58,Träne::N,δάκρυ,нэпсы
59,Geschmack::N,γεύση,ӏэшӏугъа́кӏ
60,Geruch::N,οσμή,мэ
61,Geruch::N,μυρωδία,мэ
62,Schlaf::N,ύπνος,пчыхьы́пӏ
63,Traum::N,όνειρο,пчыхьы́пӏ
64,Himmel::N,ουρανός,уашъо́
65,Sonne::N,ήλιος,тыгъэ
66,Mond::N,σελήνη,мазэ
67,Mond::N,φεγγάρι,мазэ
68,Stern::N,άστρο,жъуагъо́
69,Stern::N,αστέρι,жъуагъо́
70,Luft::N,αέρας,жьы
71,Wind::N,αέρας,жьыбгъэ́
72,Wind::N,άνεμος,жьыбгъэ́
73,Welle::N,κύμα,ор
74,Welle::N,κύμα,оры
75,Wasser::N,νερό,псы
76,Stein::N,πέτρα,мыжъо́
77,Boden::N,χώμα,чӏ́ыгу
78,Erde::N,γη,чӏ́ыгу
79,Staub::N,σκόνη,сап
80,Rauch::N,καπνός,ӏугъо́
81,Funke::N,σπίθα,мэшӏуа́ч
82,Funke::N,σπινθήρας,мэшӏуа́ч
83,Feuer::N,φωτιά,машӏо́
84,Licht::N,φως,нэфы
85,Licht::N,φως,нэфын
86,Schatten::N,σκιά,жьау́
87,Schatten::N,σκιά,ныбжьыкъу
88,Schatten::N,ίσκιος,жьау́
89,Schatten::N,ίσκιος,ныбжьыкъу
