,Concept_ID,ja,ml
0,Auge::N,目,കണ്ണ്
1,Ohr::N,耳,ചെവി
2,Nase::N,鼻,മൂക്ക്
3,Mund::N,口,വായ
4,Zahn::N,歯,പല്ല്
5,Zunge::N,舌,നാക്ക്
6,Lippe::N,唇,ചുണ്ട്
7,Wange::N,頬,കവിൾത്തടം
8,Gesicht::N,顔,മുഖം
9,Stirn::N,額,നെറ്റി
10,Haar::N,髪,തലമുടി
11,Schnurrbart::N,口髭,മീശ
12,Bart::N,髭,താടിരോമം
13,Kinn::N,顎,താടി
14,Kiefer[Anatomie]::N,顎,താടിയെല്ല്
15,Kehle::N,喉,കണ്ഠനാളം
16,Hals::N,首,കഴുത്ത്
17,Genick::N,首,പിടലി
18,Kopf::N,頭,തല
19,Rücken::N,背中,മുതുക്
20,Bauch::N,腹,നയറ്
21,Bauch::N,お腹,നയറ്
22,Nabel::N,へそ,നാഭി
23,Busen::N,乳房,സ്തനം
24,Brust::N,胸,സ്തനം
25,Schulter::N,肩,തോൾ
26,Arm::N,腕,കൈ
27,Ellenbogen::N,肘,കൈമുട്ട്
28,Hand::N,手,കൈ
29,Handfläche::N,手のひら,ഉള്ളം കൈ
30,Finger::N,指,വിരൽ
31,Fingernagel::N,爪,നഖം
32,Nagel[Anatomie]::N,爪,നഖം
33,Zeh::N,足の指,കാൽവിരൽ
34,Fuß::N,足,കാൽപ്പാദം
35,Ferse::N,かかと,ഉപ്പൂറ്റി
36,Knie::N,膝,കാൽമുട്ട്
37,Oberschenkel::N,上腿,തുട
38,Bein::N,足,കാൽ
39,Körper::N,体,ശരീരം
40,Haut::N,皮膚,ചർമ്മം
41,Blut::N,血,രക്തം
42,Ader::N,血管,ഞരമ്പ്
43,Sehne::N,腱,സ്നായു
44,Knochen::N,骨,അസ്ഥി
45,Gehirn::N,脳,തലച്ചോറ്
46,Herz::N,心,ഹൃദയം
47,Herz::N,心臓,ഹൃദയം
48,Magen::N,胃,വയർ
49,Leber::N,肝臓,കരൾ
50,Atem::N,息,ശ്വാസം
51,Atem::N,呼吸,ശ്വാസം
52,Hunger::N,空腹,വിശപ്പ്
53,Träne::N,涙,കണ്ണീർ
54,Geschmack::N,味,രുചി
55,Geruch::N,匂い,ഗന്ധം
56,Schlaf::N,睡眠,ഉറകും
57,Traum::N,夢,സ്വപ്നം
58,Himmel::N,空,ആകാശം
59,Sonne::N,太陽,സൂര്യൻ
60,Mond::N,月,ചന്ദ്രൻ
61,Stern::N,星,നക്ഷത്രം
62,Luft::N,空気,കാറ്റ്
63,Wind::N,風,കാറ്റ്
64,Welle::N,波,തിരമാല
65,Wasser::N,水,വെള്ളം
66,Stein::N,石,ശില
67,Stein::N,石,കല്ല്
68,Boden::N,土地,തറ
69,Boden::N,土地,നിലം
70,Erde::N,土,മണ്ണ്
71,Staub::N,埃,പൊടി
72,Rauch::N,煙,പുക
73,Funke::N,火花,തീപ്പൊരി
74,Feuer::N,火,തീ
75,Licht::N,光,വിളക്ക്
76,Licht::N,光,സൂര്യപ്രകാശം
77,Schatten::N,陰,തണൽ
78,Wetter::N,天気,കാലാവസ്ഥ
79,Nebel::N,霧,മൂടൽമഞ്ഞ്
80,Wolke::N,雲,മേഘം
81,Regen::N,雨,മഴ
82,Schnee::N,雪,മഞ്ഞ്
83,Eis::N,氷,ഐസ്
84,Frost::N,霜,മൂടൽമഞ്ഞ്
85,Kälte::N,寒さ,തണുപ്പ്
86,Hitze::N,暑さ,ചൂട്
87,Raureif::N,霧氷,കോടമഞ്ഞ്
88,Regenbogen::N,虹,മഴവില്ല്
89,Donner::N,雷,ഇടി
90,Strömung::N,流れ,പ്രവാഹം
91,Tropfen::N,滴,തുള്ളി
92,Schaum::N,泡,നുര
93,Schmutz::N,汚れ,അഴുക്ക്
94,See::N,湖,തടാകം
95,Sumpf::N,沼,ചതുപ്പുനിലം
96,Moor::N,湿原,പാഴ്നിലം
97,Wiese::N,草原,പുൽത്തകിടി
98,Wald::N,森,വനം
99,Wald::N,森,കാട്
100,Hügel::N,丘,കുന്ന്
101,Anhöhe::N,高み,ഉയർന്ന ഭൂമി
102,Berg::N,山,പർവ്വതം
103,Gipfel::N,頂上,ഉച്ചകോടി
104,Höhle::N,洞窟,ഗുഹ
105,Abhang::N,斜面,ചരിവ്
106,Quelle::N,泉,ഉറവിടം
107,Bach::N,小川,അരുവി
108,Fluss::N,川,നദി
109,Ufer::N,岸,തീരം
110,Küste::N,海岸,കടൽത്തീരം
111,Festland::N,陸,കര
112,Meer::N,海,കടൽ
113,Bucht::N,湾,ഉൾക്കടല്
114,Insel::N,島,ദ്വീപ്
115,Blume::N,花,പൂവ്
116,Gras::N,草,പുല്ല്
117,Wurzel::N,根,വേര്
118,Baum::N,木,മരം
119,Stamm::N,幹,തായ്ത്തടി
120,Rinde::N,皮層,പട്ട
121,Ast::N,枝,ശാഖ
122,Zweig::N,小枝,ശാഖ
123,Blatt::N,葉,ഇല
124,Birke::N,樺,പൂവരശ്
125,Kiefer[Baum]::N,松,പൈൻമരം
126,Weide[Baum]::N,柳,വില്ലോ
127,Tanne::N,樅,ദേവദാരു
128,Horn::N,角,മൃഗത്തിൻറെ കൊമ്പ്
129,Feder::N,羽根,തൂവൽ
130,Fell::N,毛皮,മൃദുരോമം
131,Flügel::N,羽,ചിറക്
132,Klaue::N,鉤爪,നഖം
133,Kralle::N,爪,നഖം
134,Schwanz::N,尻尾,വാൽ
135,Ei::N,卵,മുട്ട
136,Nest::N,巣,കൂട്
137,Bau::N,穴,മാളം
138,Tier::N,動物,മൃഗം
139,Herde::N,群れ,കൂട്ടം
140,Kuh::N,牛,പശു
141,Bulle::N,雄牛,കാള
142,Pferd::N,馬,കുതിര
143,Schaf::N,羊,ആട്
144,Schwein::N,豚,പന്നി
145,Hund::N,犬,നായ്
146,Katze::N,猫,പൂച്ച
147,Bär::N,熊,കരടി
148,Eichhörnchen::N,栗鼠,അണ്ണാൻ
149,Elch::N,ヘラジカ,കടമാന്
150,Fuchs::N,狐,കുറുക്കൻ
151,Hase::N,兎,മുയൽ
152,Maus::N,鼠,ചുണ്ടലി
153,Wolf::N,狼,ചെന്നായ
154,Vogel::N,鳥,പക്ഷി
155,Schwarm::N,群れ,കൂട്ടം
156,Huhn::N,鶏,കോഴി
