,Concept_ID,sah,br
0,Auge::N,харах,lagad
1,Ohr::N,кулгаах,skouarn
2,Nase::N,мурун,fri
3,Mund::N,айах,genoù
4,Zahn::N,тиис,dant
5,Zunge::N,тыл,teod
6,Lippe::N,уос,muzell
7,Wange::N,иэдэс,chot
8,Gesicht::N,сирэй,dremm
9,Stirn::N,сүүс,tal
10,Haar::N,баттах,blev
11,Schnurrbart::N,уос бытыга,mourenn
12,Bart::N,сэҥийэ бытыга,barv
13,Kinn::N,сэҥийэ,groñj
14,Kiefer[Anatomie]::N,сыҥаах,javed
15,Kehle::N,тамах,gouzoug
16,Kehle::N,күөмэй,gouzoug
17,Hals::N,моой,gouzoug
18,Genick::N,кэтэх,choug
19,Kopf::N,бас,penn
20,Rücken::N,көҕүс,kein
21,Bauch::N,ис,kof
22,Nabel::N,киин,begel
23,Busen::N,эмиий,bronn
24,Brust::N,түөс,bruched
25,Schulter::N,сарын,skoaz
26,Arm::N,илии,brec'h
27,Ellenbogen::N,тоҕонох,ilin
28,Hand::N,илии,dorn
29,Handfläche::N,ытыс,palv
30,Finger::N,тарбах,biz
31,Fingernagel::N,тыҥырах,ivin
32,Nagel[Anatomie]::N,тыҥырах,ivin
33,Zeh::N,тарбах,biz-troad
34,Fuß::N,уллуҥах,troad
35,Ferse::N,тилэх,seul
36,Knie::N,тобук,glin
37,Knie::N,дьилбэк,glin
38,Oberschenkel::N,уллук,morzhed
39,Oberschenkel::N,өттүк,morzhed
40,Bein::N,атах,gar
41,Körper::N,бэйэ,korf
42,Haut::N,тирии,kroc'hen
43,Blut::N,хаан,gwad
44,Ader::N,вена,gwazhi
45,Ader::N,күөх_тымыр,gwazhi
46,Sehne::N,иҥиир,stir
47,Knochen::N,уҥуох,askorn
48,Knochen::N,уҥгуох,askorn
49,Gehirn::N,мэйии,empenn
50,Herz::N,сүрэх,kalon
51,Magen::N,куртах,stomog
52,Leber::N,быар,avu
53,Atem::N,тыын,anal
54,Hunger::N,аас,naon
55,Träne::N,харах уута,daer
56,Geschmack::N,амтан,blaz
57,Geruch::N,сыт,c'hwezh
58,Schlaf::N,утуйуу,kousked
59,Traum::N,түүл,hune
60,Himmel::N,халлаан,oabl
61,Sonne::N,күн,heol
62,Mond::N,ый,loar
63,Stern::N,сулус,steredenn
64,Luft::N,салгын,aer
65,Wind::N,тыал,avel
66,Welle::N,долгун,houlenn
67,Welle::N,балхаан,houlenn
68,Wasser::N,уу,dour
69,Stein::N,таас,maen
70,Boden::N,сир,tachenn
71,Erde::N,буор,douar
72,Staub::N,быыл,poultr
73,Rauch::N,буруо,moged
74,Funke::N,кыым,ful
75,Feuer::N,уот,tan
76,Licht::N,уот,gouloù
77,Schatten::N,күлүк,disheol
