,Concept_ID,ga,el
0,Auge::N,súil,μάτι
1,Auge::N,súil,οφθαλμός
2,Ohr::N,cluas,αυτί
3,Nase::N,soc,μύτη
4,Mund::N,béal,στόμα
5,Zahn::N,fiacail,δόντι
6,Zunge::N,teanga,γλώσσα
7,Lippe::N,liopa,χείλος
8,Wange::N,grua,παρειά
9,Wange::N,grua,μάγουλο
10,Wange::N,leiceann,παρειά
11,Wange::N,leiceann,μάγουλο
12,Gesicht::N,éadan,πρόσωπο
13,Gesicht::N,aghaidh,πρόσωπο
14,Stirn::N,baithis,μέτωπο
15,Stirn::N,clár éadain,μέτωπο
16,Haar::N,gruaig,μαλλιά
17,Schnurrbart::N,croiméal,μουστάκι
18,Bart::N,féasóg,γένια
19,Kinn::N,smig,πιγούνι
20,Kiefer[Anatomie]::N,giall,σαγόνι
21,Kehle::N,scornach,λαρύγγι
22,Hals::N,muinéal,λαιμός
23,Genick::N,baic,σβέρκος
24,Kopf::N,ceann,κεφάλι
25,Rücken::N,droim,ράχη
26,Bauch::N,bolg,κοιλιά
27,Nabel::N,imleacán,αφαλός
28,Busen::N,cíoch,στήθος
29,Brust::N,brollach,στήθος
30,Schulter::N,gualainn,ώμος
31,Arm::N,lámh,χέρι
32,Arm::N,lámh,μπράτςο
33,Ellenbogen::N,uillinn,αγκώνας
34,Hand::N,lámh,χέρι
35,Handfläche::N,bos,παλάμη
36,Finger::N,méar,δάχτυλο
37,Fingernagel::N,ionga,νύχι
38,Nagel[Anatomie]::N,ionga,νύχι
39,Zeh::N,ladhar,δάχτυλο του ποδιού
40,Fuß::N,cos,πόδι
41,Fuß::N,troigh,πόδι
42,Ferse::N,sáil,φτέρνα
43,Knie::N,glúin,γόνατο
44,Oberschenkel::N,ceathrú,μηρός
45,Bein::N,cos,πόδι
46,Körper::N,corp,σώμα
47,Körper::N,corp,κορμί
48,Körper::N,colainn,σώμα
49,Körper::N,colainn,κορμί
50,Haut::N,cneas,πετσί
51,Haut::N,craiceann,πετσί
52,Blut::N,fuil,αίμα
53,Sehne::N,teannán,νεύρο
54,Sehne::N,teannán,τένοντας
55,Sehne::N,féitheog,νεύρο
56,Sehne::N,féitheog,τένοντας
57,Knochen::N,cnámh,οστό
58,Knochen::N,cnámh,κόκκαλο
59,Gehirn::N,inchinn,μυαλό
60,Gehirn::N,inchinn,εγκέφαλος
61,Herz::N,croí,καρδιά
62,Magen::N,bolg,στομάχι
63,Magen::N,goile,στομάχι
64,Leber::N,ae,ήπαρ
65,Leber::N,ae,συκωτί
66,Atem::N,anáil,αναπνοή
67,Hunger::N,ocras,πείνα
68,Träne::N,deoir,δάκρυ
69,Geschmack::N,blas,γεύση
70,Geruch::N,boladh,οσμή
71,Geruch::N,boladh,μυρωδία
72,Schlaf::N,suan,ύπνος
73,Schlaf::N,codladh,ύπνος
