,Concept_ID,es,myv
0,Auge::N,ojo,сельме
1,Ohr::N,oreja,пиле
2,Nase::N,nariz,судо
3,Mund::N,boca,курго
4,Zahn::N,diente,пей
5,Zunge::N,lengua,кель
6,Lippe::N,labio,турва
7,Wange::N,mejilla,чамабока
8,Wange::N,mejilla,чамаумарь
9,Gesicht::N,cara,чама
10,Stirn::N,frente,коня
11,Haar::N,cabello,черь
12,Schnurrbart::N,bigote,ус
13,Schnurrbart::N,bigote,муюк
14,Bart::N,barba,сакал
15,Kinn::N,barbilla,уло
16,Kiefer[Anatomie]::N,mandíbula,пейпакар
17,Kiefer[Anatomie]::N,mandíbula,пейловажа
18,Kehle::N,garganta,кирьгапарь
19,Hals::N,cuello,кирьга
20,Genick::N,nuca,човонь
21,Genick::N,cerviz,човонь
22,Kopf::N,cabeza,пря
23,Rücken::N,espalda,копорь
24,Bauch::N,vientre,пеке
25,Nabel::N,ombligo,почо
26,Busen::N,pecho,поте
27,Brust::N,pecho,меште
28,Schulter::N,hombro,лавтов
29,Arm::N,brazo,кедь
30,Ellenbogen::N,codo,кенерепакарь
31,Hand::N,mano,кедь
32,Handfläche::N,palma,кедькуншка
33,Handfläche::N,palma,кедьлапушка
34,Finger::N,dedo,сур
35,Fingernagel::N,uña,кенже
36,Nagel[Anatomie]::N,uña,кенже
37,Zeh::N,dedo del pie,пильге сур
38,Fuß::N,pie,пильге
39,Ferse::N,talón,кочкаря
40,Knie::N,rodilla,эле
41,Knie::N,rodilla,эзне
42,Knie::N,rodilla,кумажа
43,Oberschenkel::N,muslo,качо
44,Bein::N,pierna,пильге
45,Körper::N,cuerpo,рунго
46,Haut::N,piel,киське
47,Blut::N,sangre,верь
48,Ader::N,vena,сан
49,Sehne::N,tendón,коське сан
50,Knochen::N,hueso,пакарь
51,Gehirn::N,cerebro,удем
52,Gehirn::N,encéfalo,удем
53,Herz::N,corazón,седей
54,Magen::N,estómago,пеке
55,Leber::N,hígado,максо
56,Atem::N,aliento,лексема
57,Atem::N,aliento,оймень таргсема
58,Hunger::N,hambre,вачочи
59,Träne::N,lágrima,селведь
60,Geschmack::N,gusto,тансть
61,Geruch::N,olor,чине
62,Schlaf::N,sueño,удома
63,Traum::N,sueño,он
64,Traum::N,ensueño,он
65,Himmel::N,cielo,менель
66,Sonne::N,sol,чи
67,Mond::N,luna,ков
68,Stern::N,estrella,теште
69,Luft::N,aire,кошт
70,Wind::N,viento,варма
71,Welle::N,ola,толкун
72,Welle::N,onda,толкун
73,Wasser::N,agua,ведь
74,Stein::N,piedra,кев
75,Boden::N,suelo,мода
76,Erde::N,tierra,мастор
77,Staub::N,polvo,пуль
78,Rauch::N,humo,качамо
79,Funke::N,chispa,сятко
80,Feuer::N,fuego,тол
81,Licht::N,luz,валдо
82,Schatten::N,sombra,сулей
83,Schatten::N,sombra,сулейкс
84,Wetter::N,tiempo,ушо
85,Nebel::N,niebla,сув
86,Wolke::N,nube,пель
87,Regen::N,lluvia,пиземс
88,Schnee::N,nieve,лов
89,Eis::N,hielo,эй
90,Frost::N,helada,кельме
91,Kälte::N,frío,якшамо
92,Hitze::N,calor,пси
93,Raureif::N,escarcha,лекш
94,Regenbogen::N,arco iris,пурьгинечирьке
95,Regenbogen::N,arco iris,пурьгинеёнкс
96,Donner::N,trueno,пурьгине
97,Strömung::N,corriente,чудема
98,Strömung::N,corriente,чудевкс
99,Tropfen::N,gota,петнявкс
100,Schaum::N,espuma,чов
101,Schmutz::N,suciedad,рудаз
102,See::N,lago,эрьке
103,Sumpf::N,pantano,чей
104,Moor::N,turbera,чей
105,Wiese::N,prado,луга
106,Wiese::N,pradera,луга
107,Wald::N,bosque,вирь
108,Hügel::N,colina,губорь
109,Hügel::N,colina,пандыне
110,Anhöhe::N,cerro,губорь
111,Anhöhe::N,cerro,пандыне
112,Berg::N,monte,пандо
113,Berg::N,montaña,пандо
114,Gipfel::N,cima,пря
115,Gipfel::N,cumbre,пря
116,Höhle::N,cueva,пещера
117,Höhle::N,caverna,пещера
118,Abhang::N,cuesta,пандочама
119,Abhang::N,declive,пандочама
120,Quelle::N,fuente,ушодкс
121,Quelle::N,manantial,ушодкс
122,Bach::N,arroyo,чудикерькс
123,Fluss::N,río,лей
124,Ufer::N,orilla,чире
125,Küste::N,costa,лейчире
126,Festland::N,tierra firme,мода
127,Meer::N,mar,моря
128,Bucht::N,cala,усия
129,Bucht::N,bahía,усия
130,Insel::N,isla,усия
131,Blume::N,flor,цеця
132,Gras::N,hierba,тикше
133,Wurzel::N,raíz,юр
134,Wurzel::N,raíz,ундокс
135,Baum::N,árbol,чувто
136,Stamm::N,tronco,рунго
137,Rinde::N,corteza,суд
138,Rinde::N,corteza,керь
139,Ast::N,rama,морго
140,Zweig::N,ramo,тарад
141,Blatt::N,hoja,лопа
142,Birke::N,abedul,килей
143,Kiefer[Baum]::N,pino,пиче
144,Weide[Baum]::N,sauce,каль
145,Tanne::N,abeto,куз
146,Horn::N,asta,сюро
147,Horn::N,cuerno,сюро
148,Feder::N,pluma,толга
149,Fell::N,piel,пона
150,Flügel::N,ala,сёлмо
151,Klaue::N,garra,кенже
