,Concept_ID,sq,sl
0,Auge::N,sy,okó
1,Ohr::N,vesh,uhó
2,Nase::N,hundë,nós
3,Mund::N,gojë,ústa
4,Zahn::N,dhëmb,zób
5,Zunge::N,gjuhë,jêzik
6,Lippe::N,buzë,ústnica
7,Wange::N,faqe,líce
8,Wange::N,mollëz,líce
9,Gesicht::N,fytyrë,oblíčje
10,Stirn::N,ballë,čêlo
11,Haar::N,flokë,lás
12,Schnurrbart::N,mustaqe,bŕki
13,Bart::N,mjekër,bráda
14,Kinn::N,mjekër,bráda
15,Kiefer[Anatomie]::N,nofull,čeljúst
16,Kehle::N,fyt,gŕlo
17,Kehle::N,grykë,gŕlo
18,Hals::N,qafë,vrát
19,Genick::N,arrëz,zatílnik
20,Kopf::N,kokë,gláva
21,Rücken::N,kurriz,hrbèt
22,Bauch::N,bark,trébuh
23,Nabel::N,kërthizë,pópek
24,Busen::N,gji,nédrja
25,Brust::N,gjoks,pŕsi
26,Brust::N,kraharor,pŕsi
27,Schulter::N,sup,ráma
28,Schulter::N,sup,plêče
29,Schulter::N,krah,ráma
30,Schulter::N,krah,plêče
31,Arm::N,krah,rôka
32,Ellenbogen::N,bërryl,komólec
33,Hand::N,dorë,rôka
34,Handfläche::N,pëllëmbë,dlán
35,Finger::N,gisht,pŕst
36,Fingernagel::N,thua,nóht na rôki
37,Nagel[Anatomie]::N,thua,nóht
38,Zeh::N,gisht i këmbës,pŕst na nôgi
39,Fuß::N,këmbë,nôga
40,Ferse::N,thembër,pêta
41,Knie::N,gju,koléno
42,Oberschenkel::N,kofshë,stêgno
43,Bein::N,këmbë,nôga
44,Körper::N,trup,teló
45,Haut::N,lëkurë,kóža
46,Blut::N,gjak,krí
47,Ader::N,venë,žíla
48,Sehne::N,dell,kíta
49,Knochen::N,asht,kóst
50,Knochen::N,kockë,kóst
51,Gehirn::N,tru,možgáni
52,Herz::N,zemër,srcé
53,Magen::N,stomak,želódec
54,Leber::N,mëlçi,jétra
55,Atem::N,frymë,díh
56,Hunger::N,uri,glád
57,Träne::N,lot,sólza
58,Geschmack::N,shije,okús
59,Geruch::N,erë,vónj
60,Schlaf::N,gjumë,sèn
61,Schlaf::N,gjumë,spánec
62,Traum::N,ëndërr,sánje
63,Himmel::N,qiell,nebó
64,Sonne::N,diell,sónce
65,Mond::N,hënë,lúna
66,Mond::N,hënë,mésec
67,Stern::N,yll,zvézda
68,Luft::N,ajër,zràk
69,Wind::N,erë,véter
70,Welle::N,valë,vál
71,Welle::N,dallgë,vál
72,Wasser::N,ujë,vôda
73,Stein::N,gur,kámen
74,Boden::N,tokë,tlà
75,Boden::N,truall,tlà
76,Erde::N,dhe,pŕst
77,Erde::N,dhe,zêmlja
78,Erde::N,baltë,pŕst
79,Erde::N,baltë,zêmlja
80,Staub::N,pluhur,práh
81,Rauch::N,tym,dìm
82,Funke::N,xixë,ískra
83,Funke::N,shkëndijë,ískra
84,Feuer::N,zjarr,ôgenj
85,Licht::N,dritë,lúč
86,Schatten::N,hije,sénca
87,Wetter::N,mot,vrême
88,Nebel::N,mjegull,meglà
89,Wolke::N,re,oblák
90,Regen::N,shi,dèž
91,Schnee::N,borë,snég
92,Eis::N,akull,léd
93,Frost::N,ngricë,zmrzál
94,Kälte::N,të ftohtë,mràz
95,Hitze::N,vapë,pripéka
96,Hitze::N,nxehtësi,pripéka
97,Raureif::N,cikmë,ívje
98,Raureif::N,cikmë,slána
99,Regenbogen::N,ylber,mávrica
100,Donner::N,gjëmim,gròm
101,Donner::N,bubullimë,gròm
102,Strömung::N,rrymë,strúja
103,Tropfen::N,pikë,káplja
104,Schaum::N,shkumë,péna
105,Schmutz::N,baltë,nesnága
106,See::N,liqen,jézero
107,Sumpf::N,batak,močvírje
108,Moor::N,kënetë,bárje
109,Wiese::N,livadh,trávnik
110,Wald::N,pyll,lés
111,Wald::N,pyll,gòzd
112,Hügel::N,kodër,brég
113,Hügel::N,kodër,goríca
114,Anhöhe::N,bregore,gríč
115,Anhöhe::N,bregore,višína
116,Berg::N,mal,gôra
117,Berg::N,mal,planína
118,Gipfel::N,kulm,vŕh
119,Höhle::N,shpellë,jáma
120,Höhle::N,shpellë,votlína
121,Höhle::N,zgafelle,jáma
122,Höhle::N,zgafelle,votlína
123,Abhang::N,shpat,pobóčje
124,Abhang::N,tatëpjetë,pobóčje
125,Quelle::N,krua,izvír
126,Quelle::N,burim,izvír
127,Bach::N,virua,pôtok
128,Fluss::N,lumë,réka
129,Ufer::N,breg,brég
130,Küste::N,anëdet,obála
131,Küste::N,anëdet,obréžje
132,Küste::N,bregdet,obála
133,Küste::N,bregdet,obréžje
134,Festland::N,kontinent,celína
135,Festland::N,kontinent,kopnína
136,Meer::N,det,mórje
137,Bucht::N,gji deti,zalív
138,Insel::N,ishull,ôtok
139,Insel::N,ujdhesë,ôtok
140,Blume::N,lule,cvetlíca
141,Gras::N,bar,tráva
142,Wurzel::N,rrënjë,korenína
143,Baum::N,pemë,drevó
144,Stamm::N,trung,dêblo
145,Rinde::N,lëvore,lúbje
146,Rinde::N,lëvore,skórja
147,Ast::N,degë,véja
148,Zweig::N,bisk,véja
149,Blatt::N,fletë,líst
150,Blatt::N,gjethe,líst
151,Birke::N,mështekën,bréza
152,Kiefer[Baum]::N,pishë,bòr
153,Weide[Baum]::N,shelg,vŕba
154,Tanne::N,bredh,hója
155,Horn::N,bri,róg
156,Feder::N,pupël,peró
157,Fell::N,lëkurë,kŕzno
158,Flügel::N,krah,krílo
159,Flügel::N,fletë,krílo
160,Klaue::N,kthetër,párkelj
161,Kralle::N,thua,krémpelj
162,Kralle::N,kthetër,krémpelj
163,Schwanz::N,bisht,rèp
