,Concept_ID,ca,no
0,Auge::N,ull,øye
1,Ohr::N,orella,øre
2,Nase::N,nas,nese
3,Mund::N,boca,munn
4,Zahn::N,dent,tann
5,Zunge::N,llēngua,tunge
6,Lippe::N,llavi,leppe
7,Wange::N,galta,kinn
8,Gesicht::N,cara,fjes
9,Gesicht::N,cara,ansikt
10,Stirn::N,front,panne
11,Haar::N,cabēll,hår
12,Schnurrbart::N,bigoti,bart
13,Bart::N,barba,skjegg
14,Kinn::N,mentó,hake
15,Kinn::N,barbeta,hake
16,Kiefer[Anatomie]::N,queix,kjeve
17,Kiefer[Anatomie]::N,mandíbula,kjeve
18,Kehle::N,gola,strupe
19,Kehle::N,gorja,strupe
20,Hals::N,coll,hals
21,Genick::N,nuca,nakke
22,Kopf::N,cap,hode
23,Rücken::N,esquena,rygg
24,Bauch::N,panxa,buk
25,Bauch::N,panxa,mage
26,Nabel::N,llombrígol,navle
27,Busen::N,pit,barm
28,Busen::N,mama,barm
29,Brust::N,pit,bryst
30,Schulter::N,espatlla,skulder
31,Arm::N,braç,arm
32,Ellenbogen::N,colze,albue
33,Hand::N,mà,hånd
34,Handfläche::N,palma,håndflate
35,Finger::N,dit,finger
36,Fingernagel::N,ungla,fingernegl
37,Nagel[Anatomie]::N,ungla,negl
38,Zeh::N,dit del peu,tå
39,Fuß::N,peu,fot
40,Ferse::N,taló,hæl
41,Knie::N,genoll,kne
42,Oberschenkel::N,cuixa,lår
43,Bein::N,cama,bein
44,Körper::N,cos,kropp
45,Körper::N,cos,legeme
46,Haut::N,pell,hud
47,Haut::N,pell,skinn
48,Blut::N,sang,blod
49,Ader::N,vena,åre
50,Sehne::N,tendó,sene
51,Knochen::N,os,bein
52,Knochen::N,os,knokkel
53,Gehirn::N,cervell,hjerne
54,Herz::N,cor,hjerte
55,Magen::N,estómac,mage
56,Leber::N,fetge,lever
57,Atem::N,alè,pust
58,Atem::N,hàlit,pust
59,Hunger::N,fam,sult
60,Hunger::N,gana,sult
61,Träne::N,llàgrima,tåre
62,Geschmack::N,gust,smak
63,Geschmack::N,sabor,smak
64,Geruch::N,olor,lukt
65,Schlaf::N,son,søvn
