,Concept_ID,da,mhr
0,Auge::N,øje,шинча́
1,Ohr::N,øre,пы́лыш
2,Nase::N,næse,нер
3,Mund::N,mund,умша́
4,Zahn::N,tand,пӱй
5,Zunge::N,tunge,йы́лме
6,Lippe::N,læbe,тӱ́рвӧ
7,Wange::N,kind,шӱ́ргӧ
8,Gesicht::N,ansigt,чури́й
9,Stirn::N,pande,саҥга́
10,Haar::N,hår,ӱп
11,Schnurrbart::N,overskæg,ӧ́рыш
12,Bart::N,skæg,понда́ш
13,Kinn::N,hage,оҥыла́ш
14,Kiefer[Anatomie]::N,kæbe,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,kæbe,пӱйората́
16,Kehle::N,strube,лога́р
17,Hals::N,hals,шӱй
18,Genick::N,nakke,шӱйло́дыш
19,Kopf::N,hoved,вуй
20,Rücken::N,ryg,туп
21,Bauch::N,mave,мӱ́шкыр
22,Nabel::N,navle,кы́лымде
23,Busen::N,barm,чы́зе
24,Brust::N,bryst,оҥ
25,Schulter::N,skulder,ва́че
26,Arm::N,arm,кид
27,Ellenbogen::N,albue,кынерву́й
28,Hand::N,hånd,кид
29,Hand::N,hånd,копа́
30,Handfläche::N,håndflade,со́во
31,Finger::N,finger,парня́
32,Fingernagel::N,fingernegl,кидкӱ́ч
33,Fingernagel::N,fingernegl,парнягӱ́ч
34,Nagel[Anatomie]::N,negl,кӱч
35,Zeh::N,tå,йолварня́
36,Fuß::N,fod,йол
37,Fuß::N,fod,йолкопа́
38,Ferse::N,hæl,тага́н
39,Knie::N,knæ,пулву́й
40,Oberschenkel::N,lår,э́рде
41,Bein::N,ben,йол
42,Körper::N,krop,кап
43,Körper::N,legeme,кап
44,Haut::N,hud,кова́ште
45,Blut::N,blod,вӱр
46,Ader::N,åre,шӧн
47,Sehne::N,sene,шӧн
48,Sehne::N,sene,кӱсе́н
49,Knochen::N,ben,лу
50,Gehirn::N,hjerne,вем
51,Gehirn::N,hjerne,вуйве́м
52,Herz::N,hjerte,шӱм
53,Magen::N,mave,пага́р
54,Leber::N,lever,мокш
55,Atem::N,ånde,шӱ́лыш
56,Hunger::N,sult,шужыма́ш
57,Träne::N,tåre,шинчавӱ́д
58,Geschmack::N,smag,там
59,Geruch::N,lugt,пуш
60,Schlaf::N,søvn,о́мо
61,Traum::N,drøm,йӱдо́мо
62,Himmel::N,himmel,кава́
63,Sonne::N,sol,ке́че
64,Mond::N,måne,ты́лзе
65,Stern::N,stjerne,шӱ́дыр
66,Luft::N,luft,юж
67,Wind::N,vind,марде́ж
68,Welle::N,bølge,то́лкын
69,Wasser::N,vand,вӱд
70,Stein::N,sten,кӱ
71,Boden::N,jord,рок
72,Erde::N,jord,мла́нде
73,Staub::N,støv,пура́к
74,Rauch::N,røg,шикш
75,Funke::N,gnist,сеске́м
76,Funke::N,gnist,тулйы́п
77,Feuer::N,ild,тул
78,Licht::N,lys,со́то
79,Schatten::N,skygge,ӱ́мыл
80,Wetter::N,vejr,иге́че
81,Nebel::N,tåge,тӱтыра́
82,Wolke::N,sky,пыл
83,Regen::N,regn,йӱр
84,Schnee::N,sne,лум
85,Eis::N,is,ий
86,Frost::N,frost,чатлама́
87,Kälte::N,kulde,йӱ́штӧ
88,Hitze::N,hede,шо́кшо
89,Raureif::N,rimfrost,пӧрш
90,Raureif::N,rimfrost,по́кшым
91,Regenbogen::N,regnbue,шонанпы́л
92,Donner::N,torden,кӱ́дырчӧ
93,Strömung::N,strømning,йо́гын
94,Tropfen::N,dråbe,чӱча́лтыш
95,Schaum::N,skum,шоҥ
96,Schmutz::N,snavs,лавыра́
97,See::N,sø,ер
98,Sumpf::N,sump,лӱ́кӧ
99,Moor::N,mose,куп
100,Wiese::N,eng,о́лык
101,Wald::N,skov,чодыра́
102,Hügel::N,høj,арка́
103,Hügel::N,bakke,арка́
104,Anhöhe::N,høj,тӧва́
105,Anhöhe::N,høj,кӱкшака́
106,Anhöhe::N,bakke,тӧва́
107,Anhöhe::N,bakke,кӱкшака́
108,Berg::N,bjerg,ку́рык
109,Gipfel::N,top,чаҥга́
110,Gipfel::N,top,курыкву́й
111,Höhle::N,hule,пеще́р
112,Höhle::N,hule,курыкпо́мыш
113,Abhang::N,skrænt,та́йыл
114,Abhang::N,skråning,та́йыл
