,Concept_ID,sv,hr
0,Auge::N,öga,oko
1,Ohr::N,öra,uho
2,Nase::N,näsa,nos
3,Mund::N,mun,usta
4,Zahn::N,tand,zub
5,Zunge::N,tunga,jezik
6,Lippe::N,läpp,usna
7,Wange::N,kind,obraz
8,Gesicht::N,syn,lice
9,Gesicht::N,ansikte,lice
10,Stirn::N,panna,čelo
11,Haar::N,hår,kosa
12,Schnurrbart::N,mustasch,brkovi
13,Bart::N,skägg,brada
14,Kinn::N,haka,brada
15,Kinn::N,haka,podbradak
16,Kiefer[Anatomie]::N,käke,čeljust
17,Kehle::N,strupe,grlo
18,Hals::N,hals,vrat
19,Genick::N,nacke,zatiljak
20,Kopf::N,huvud,glava
21,Rücken::N,rygg,leđa
22,Rücken::N,rygg,hrbat
23,Bauch::N,buk,trbuh
24,Bauch::N,mage,trbuh
25,Nabel::N,navel,pupak
26,Busen::N,barm,sisa
27,Busen::N,barm,njedra
28,Brust::N,bröst,prsa
29,Schulter::N,skuldra,rame
30,Schulter::N,skuldra,pleći
31,Arm::N,arm,ruka
32,Ellenbogen::N,armbåge,lakat
33,Hand::N,hand,ruka
34,Handfläche::N,handflata,dlan
35,Finger::N,finger,prst
36,Fingernagel::N,fingernagel,nokat
37,Nagel[Anatomie]::N,nagel,nokat
38,Zeh::N,tå,nozni prst
39,Fuß::N,fot,noga
40,Fuß::N,fot,stopalo
41,Ferse::N,häl,peta
42,Knie::N,knä,koljeno
43,Oberschenkel::N,lår,bedro
44,Bein::N,ben,noga
45,Körper::N,kropp,tijelo
46,Haut::N,hud,put
47,Haut::N,hud,koža
48,Haut::N,skinn,put
49,Haut::N,skinn,koža
50,Blut::N,blod,krv
51,Ader::N,åder,žila
52,Sehne::N,sena,tetiva
53,Knochen::N,ben,kost
54,Gehirn::N,hjärna,
55,Herz::N,hjärta,srce
56,Magen::N,mage,stomak
57,Magen::N,mage,želudac
58,Leber::N,lever,jetra
59,Atem::N,anda,dah
60,Atem::N,andedräkt,dah
61,Hunger::N,svält,glad
62,Hunger::N,hunger,glad
63,Träne::N,tår,suza
64,Geschmack::N,smak,ukus
65,Geruch::N,lukt,njuh
66,Geruch::N,lukt,miris
67,Schlaf::N,sömn,san
68,Traum::N,dröm,san
69,Himmel::N,himmel,nebo
70,Sonne::N,sol,sunce
71,Mond::N,måne,mjesec
72,Stern::N,stjärna,zvijezda
73,Luft::N,luft,zrak
74,Wind::N,vind,vjetar
75,Welle::N,våg,val
76,Welle::N,våg,talas
77,Welle::N,bölja,val
78,Welle::N,bölja,talas
79,Wasser::N,vatten,voda
80,Stein::N,sten,kamen
81,Boden::N,mark,tlo
82,Boden::N,mark,zemlja
83,Erde::N,jord,zemlja
84,Staub::N,damm,prah
85,Staub::N,damm,prašina
86,Rauch::N,rök,dim
87,Funke::N,gnista,iskra
88,Funke::N,gnista,varnica
89,Feuer::N,eld,vatra
90,Licht::N,ljus,svjetlo
91,Schatten::N,skugga,hlad
92,Schatten::N,skugga,sjena
93,Wetter::N,väder,vrijeme
94,Nebel::N,dimma,magla
95,Nebel::N,töcken,magla
96,Wolke::N,sky,oblak
97,Wolke::N,moln,oblak
98,Regen::N,regn,kiša
99,Schnee::N,snö,snijeg
100,Eis::N,is,led
101,Frost::N,frost,mraz
102,Kälte::N,köld,studen
103,Kälte::N,köld,hladnoća
104,Hitze::N,hetta,vrućina
105,Raureif::N,rimfrost,inje
106,Regenbogen::N,regnbåge,duga
107,Donner::N,åska,grom
108,Donner::N,åska,grmljavina
109,Donner::N,dunder,grom
110,Donner::N,dunder,grmljavina
111,Strömung::N,strömning,struja
112,Strömung::N,strömning,strujanje
113,Tropfen::N,dropper,kap
114,Tropfen::N,dropper,kaplja
115,Schaum::N,skum,pjena
116,Schmutz::N,lort,nečistoća
117,Schmutz::N,lort,prljavština
