,Concept_ID,de,ml
0,Auge::N,Auge,കണ്ണ്
1,Ohr::N,Ohr,ചെവി
2,Nase::N,Nase,മൂക്ക്
3,Mund::N,Mund,വായ
4,Zahn::N,Zahn,പല്ല്
5,Zunge::N,Zunge,നാക്ക്
6,Lippe::N,Lippe,ചുണ്ട്
7,Wange::N,Wange,കവിൾത്തടം
8,Gesicht::N,Gesicht,മുഖം
9,Stirn::N,Stirn,നെറ്റി
10,Haar::N,Haar,തലമുടി
11,Schnurrbart::N,Schnurrbart,മീശ
12,Bart::N,Bart,താടിരോമം
13,Kinn::N,Kinn,താടി
14,Kiefer[Anatomie]::N,Kiefer,താടിയെല്ല്
15,Kehle::N,Kehle,കണ്ഠനാളം
16,Hals::N,Hals,കഴുത്ത്
17,Genick::N,Genick,പിടലി
18,Kopf::N,Kopf,തല
19,Rücken::N,Rücken,മുതുക്
20,Bauch::N,Bauch,നയറ്
21,Nabel::N,Nabel,നാഭി
22,Busen::N,Busen,സ്തനം
23,Brust::N,Brust,സ്തനം
24,Schulter::N,Schulter,തോൾ
25,Arm::N,Arm,കൈ
26,Ellenbogen::N,Ellenbogen,കൈമുട്ട്
27,Hand::N,Hand,കൈ
28,Handfläche::N,Handfläche,ഉള്ളം കൈ
29,Finger::N,Finger,വിരൽ
30,Fingernagel::N,Fingernagel,നഖം
31,Nagel[Anatomie]::N,Nagel,നഖം
32,Zeh::N,Zeh,കാൽവിരൽ
33,Fuß::N,Fuß,കാൽപ്പാദം
34,Ferse::N,Ferse,ഉപ്പൂറ്റി
35,Knie::N,Knie,കാൽമുട്ട്
36,Oberschenkel::N,Oberschenkel,തുട
37,Bein::N,Bein,കാൽ
38,Körper::N,Körper,ശരീരം
39,Haut::N,Haut,ചർമ്മം
40,Blut::N,Blut,രക്തം
41,Ader::N,Ader,ഞരമ്പ്
42,Sehne::N,Sehne,സ്നായു
43,Knochen::N,Knochen,അസ്ഥി
44,Gehirn::N,Gehirn,തലച്ചോറ്
45,Herz::N,Herz,ഹൃദയം
46,Magen::N,Magen,വയർ
47,Leber::N,Leber,കരൾ
48,Atem::N,Atem,ശ്വാസം
49,Hunger::N,Hunger,വിശപ്പ്
50,Träne::N,Träne,കണ്ണീർ
51,Geschmack::N,Geschmack,രുചി
52,Geruch::N,Geruch,ഗന്ധം
53,Schlaf::N,Schlaf,ഉറകും
54,Traum::N,Traum,സ്വപ്നം
55,Himmel::N,Himmel,ആകാശം
56,Sonne::N,Sonne,സൂര്യൻ
57,Mond::N,Mond,ചന്ദ്രൻ
58,Stern::N,Stern,നക്ഷത്രം
59,Luft::N,Luft,കാറ്റ്
60,Wind::N,Wind,കാറ്റ്
61,Welle::N,Welle,തിരമാല
62,Wasser::N,Wasser,വെള്ളം
63,Stein::N,Stein,ശില
64,Stein::N,Stein,കല്ല്
65,Boden::N,Boden,തറ
66,Boden::N,Boden,നിലം
67,Erde::N,Erde,മണ്ണ്
68,Staub::N,Staub,പൊടി
69,Rauch::N,Rauch,പുക
70,Funke::N,Funke,തീപ്പൊരി
71,Feuer::N,Feuer,തീ
72,Licht::N,Licht,വിളക്ക്
73,Licht::N,Licht,സൂര്യപ്രകാശം
74,Schatten::N,Schatten,തണൽ
75,Wetter::N,Wetter,കാലാവസ്ഥ
76,Nebel::N,Nebel,മൂടൽമഞ്ഞ്
77,Wolke::N,Wolke,മേഘം
78,Regen::N,Regen,മഴ
79,Schnee::N,Schnee,മഞ്ഞ്
80,Eis::N,Eis,ഐസ്
81,Frost::N,Frost,മൂടൽമഞ്ഞ്
82,Kälte::N,Kälte,തണുപ്പ്
83,Hitze::N,Hitze,ചൂട്
84,Raureif::N,Raureif,കോടമഞ്ഞ്
85,Regenbogen::N,Regenbogen,മഴവില്ല്
86,Donner::N,Donner,ഇടി
87,Strömung::N,Strömung,പ്രവാഹം
88,Tropfen::N,Tropfen,തുള്ളി
89,Schaum::N,Schaum,നുര
90,Schmutz::N,Schmutz,അഴുക്ക്
91,See::N,See,തടാകം
92,Sumpf::N,Sumpf,ചതുപ്പുനിലം
93,Moor::N,Moor,പാഴ്നിലം
94,Wiese::N,Wiese,പുൽത്തകിടി
95,Wald::N,Wald,വനം
96,Wald::N,Wald,കാട്
97,Hügel::N,Hügel,കുന്ന്
98,Anhöhe::N,Anhöhe,ഉയർന്ന ഭൂമി
99,Berg::N,Berg,പർവ്വതം
100,Gipfel::N,Gipfel,ഉച്ചകോടി
101,Höhle::N,Höhle,ഗുഹ
102,Abhang::N,Abhang,ചരിവ്
103,Quelle::N,Quelle,ഉറവിടം
104,Bach::N,Bach,അരുവി
105,Fluss::N,Fluss,നദി
106,Ufer::N,Ufer,തീരം
107,Küste::N,Küste,കടൽത്തീരം
108,Festland::N,Festland,കര
109,Meer::N,Meer,കടൽ
110,Bucht::N,Bucht,ഉൾക്കടല്
111,Insel::N,Insel,ദ്വീപ്
112,Blume::N,Blume,പൂവ്
113,Gras::N,Gras,പുല്ല്
114,Wurzel::N,Wurzel,വേര്
115,Baum::N,Baum,മരം
116,Stamm::N,Stamm,തായ്ത്തടി
117,Rinde::N,Rinde,പട്ട
118,Ast::N,Ast,ശാഖ
119,Zweig::N,Zweig,ശാഖ
120,Blatt::N,Blatt,ഇല
121,Birke::N,Birke,പൂവരശ്
122,Kiefer[Baum]::N,Kiefer,പൈൻമരം
123,Weide[Baum]::N,Weide,വില്ലോ
124,Tanne::N,Tanne,ദേവദാരു
125,Horn::N,Horn,മൃഗത്തിൻറെ കൊമ്പ്
126,Feder::N,Feder,തൂവൽ
127,Fell::N,Fell,മൃദുരോമം
128,Flügel::N,Flügel,ചിറക്
129,Klaue::N,Klaue,നഖം
130,Kralle::N,Kralle,നഖം
131,Schwanz::N,Schwanz,വാൽ
132,Ei::N,Ei,മുട്ട
133,Nest::N,Nest,കൂട്
134,Bau::N,Bau,മാളം
135,Tier::N,Tier,മൃഗം
136,Herde::N,Herde,കൂട്ടം
137,Kuh::N,Kuh,പശു
138,Bulle::N,Bulle,കാള
139,Pferd::N,Pferd,കുതിര
140,Schaf::N,Schaf,ആട്
141,Schwein::N,Schwein,പന്നി
142,Hund::N,Hund,നായ്
143,Katze::N,Katze,പൂച്ച
144,Bär::N,Bär,കരടി
145,Eichhörnchen::N,Eichhörnchen,അണ്ണാൻ
146,Elch::N,Elch,കടമാന്
147,Fuchs::N,Fuchs,കുറുക്കൻ
148,Hase::N,Hase,മുയൽ
149,Maus::N,Maus,ചുണ്ടലി
150,Wolf::N,Wolf,ചെന്നായ
151,Vogel::N,Vogel,പക്ഷി
152,Schwarm::N,Schwarm,കൂട്ടം
153,Huhn::N,Huhn,കോഴി
154,Hahn::N,Hahn,പൂവൻകോഴി
155,Gans::N,Gans,അരയന്നം
156,Adler::N,Adler,കഴുകൻ
157,Ente::N,Ente,താറാവ്
158,Eule::N,Eule,മൂങ്ങ
159,Kranich::N,Kranich,കൊക്ക്
