,Concept_ID,av,mn
0,Ohr::N,гӏин,чих
1,Nase::N,мегӏер,хамар
2,Mund::N,кӏал,ам
3,Zahn::N,гӏус,шүд
4,Zunge::N,мацӏ,хэл
5,Lippe::N,кӏветӏ,уруул
6,Wange::N,гӏоно,хацар
7,Gesicht::N,гьумер,царай
8,Gesicht::N,гьумер,нүүр
9,Stirn::N,нодо,дух
10,Haar::N,рас,үс
11,Schnurrbart::N,михъ,дээд сахал
12,Schnurrbart::N,михъ,живэр сахал
13,Bart::N,мегеж,сахал
14,Kinn::N,нилъу,эрүү
15,Kiefer[Anatomie]::N,чанагъ,эрүү
16,Kehle::N,щекъер,хоолой
17,Hals::N,габур,хүзүү
18,Genick::N,гъванща,шил
19,Genick::N,гъванща,хүзүү
20,Kopf::N,бетӏер,толгой
21,Rücken::N,мугъ,ар
22,Rücken::N,мугъ,нуруу
23,Bauch::N,чехь,хэвлий
24,Bauch::N,чехь,гэдэс
25,Nabel::N,цӏину,хүйс
26,Busen::N,керен,хөх
27,Brust::N,керен,цээж
28,Schulter::N,гъажазубетӏер,мөр
29,Schulter::N,гъажазубетӏер,бугалга
30,Arm::N,гъеж,гар
31,Ellenbogen::N,гӏункӏрукь,тохой
32,Hand::N,квер,гар
33,Hand::N,квер,алга
34,Handfläche::N,огъохъат,алга
35,Handfläche::N,жанисахъат,алга
36,Finger::N,килищ,хуруу
37,Fingernagel::N,малъ,хурууны хумс
38,Nagel[Anatomie]::N,малъ,хумс
39,Zeh::N,килищ,хуруу
40,Fuß::N,хӏетӏ,хөл
41,Fuß::N,хӏетӏе,хөл
42,Ferse::N,эгъе,өсгий
43,Knie::N,наку,өвдөг
44,Oberschenkel::N,мачӏ,гуя
45,Bein::N,бох,хөл
46,Körper::N,къаркъала,бие
47,Haut::N,тӏом,арьс
48,Blut::N,би,цус
49,Ader::N,бидурихь,судас
50,Knochen::N,ракьа,яс
51,Gehirn::N,гӏадалнах,тархи
52,Herz::N,ракӏ,зүрх
53,Magen::N,кванирукъ,ходоод
54,Leber::N,тӏул,элэг
55,Atem::N,хӏухь,амьсгаа
56,Hunger::N,ракъи,өлсгөлөн
57,Träne::N,магӏу,нулимс
58,Geschmack::N,тату,амт
59,Geruch::N,махӏ,үнэр
60,Schlaf::N,макьу,нойр
61,Traum::N,макьу,зүүд
62,Himmel::N,зоб,тэнгэр
63,Himmel::N,зоб,огторгуй
64,Sonne::N,бакъ,нар
65,Mond::N,моцӏ,сар
66,Stern::N,цӏва,од
67,Luft::N,гьава,агаар
68,Wind::N,гьури,салхи
69,Welle::N,карачел,долгио
70,Welle::N,карачел,давалгаа
71,Wasser::N,лъим,ус
72,Stein::N,гьецӏо,чулуу
73,Boden::N,ракь,хөрс
74,Erde::N,ракь,газар
75,Erde::N,ракь,шороо
76,Erde::N,дуниял,газар
77,Erde::N,дуниял,шороо
78,Staub::N,хӏур,тоос
79,Rauch::N,кӏкӏуй,утаа
80,Feuer::N,цӏа,гал
81,Licht::N,канлъи,гэрэл
82,Licht::N,канлъи,гэгээ
83,Schatten::N,рагӏад,сүүдэр
84,Wetter::N,гьава-бакъ,тэнгэр
85,Wetter::N,гьава-бакъ,цаг уур
86,Nebel::N,гӏодобнакӏкӏ,будан
87,Wolke::N,накӏкӏ,үүл
88,Regen::N,цӏад,бороо
89,Schnee::N,гӏазу,цас
90,Eis::N,цӏер,мөс
91,Frost::N,замгьари,хүйт
92,Kälte::N,квач,хүйт
93,Hitze::N,багӏари,халуун
94,Raureif::N,мартӏ,цан
95,Raureif::N,мартӏ,хяруу
96,Regenbogen::N,нур,солонго
97,Regenbogen::N,чамбара,солонго
98,Donner::N,гъугъай,тэнгэрийн дуу
99,Donner::N,гъугъади,тэнгэрийн дуу
100,Strömung::N,чвахи,урсгал
101,Tropfen::N,резел,дусал
102,Tropfen::N,тӏинкӏ,дусал
103,Tropfen::N,къатӏра,дусал
104,Tropfen::N,тӏенкӏел,дусал
105,Schaum::N,полоп,хөөс
106,Schmutz::N,чороклъи,хир
107,Schmutz::N,чороклъи,шавхай
108,See::N,хӏор,нуур
109,Sumpf::N,хьуцӏ,намаг
110,Sumpf::N,хьуцӏ,балчиг
111,Wiese::N,мегъ,нуга
112,Wiese::N,гӏурдаллъи,нуга
113,Wald::N,рохь,ой
114,Hügel::N,гохӏ,болдог
115,Anhöhe::N,сийитма,гүвээ
116,Berg::N,мегӏер,уул
117,Gipfel::N,тӏогь,орой
118,Gipfel::N,тӏогь,оргил
119,Höhle::N,нохъо,агуй
120,Abhang::N,лабаллъи,хүр
121,Quelle::N,ицц,булаг
122,Bach::N,лъар,горхи
123,Fluss::N,гӏор,гол
124,Fluss::N,гӏор,мөрөн
125,Ufer::N,рагӏал,эрэг
126,Küste::N,рагӏал,эрэг
127,Festland::N,ракь,хуурай газар
128,Festland::N,ракъдаллъи,хуурай газар
129,Meer::N,ралъад,далай
130,Meer::N,ралъад,тэнгис
131,Bucht::N,кӏветӏ,булан
132,Bucht::N,кӏветӏ,далайн тохой
133,Insel::N,чӏинкӏиллъи,арал
134,Blume::N,тӏегь,цэцэг
135,Gras::N,хер,өвс
136,Gras::N,хер,ногоо
137,Wurzel::N,кьибил,үндэс
138,Baum::N,гъветӏ,мод
139,Stamm::N,рохти,иш
140,Stamm::N,рохти,гуалин
141,Rinde::N,макъар,холтос
142,Ast::N,ноцӏ,гишүү
143,Zweig::N,гӏаркьел,салаа
144,Blatt::N,тӏамах,навч
145,Birke::N,мах,хус
146,Birke::N,махигъветӏ,хус
147,Kiefer[Baum]::N,накӏкӏигъветӏ,нарс
148,Weide[Baum]::N,рицӏцӏ,уд
149,Weide[Baum]::N,рицӏцӏ,бургас
150,Weide[Baum]::N,рицӏцӏигъветӏ,уд
151,Weide[Baum]::N,рицӏцӏигъветӏ,бургас
152,Tanne::N,ёлка,гачуур
153,Horn::N,лълъар,эвэр
154,Feder::N,хӏули,өд
155,Fell::N,тӏом,арьс
156,Fell::N,цӏоко,арьс
157,Flügel::N,кваркьи,жигүүр
158,Flügel::N,кваркьи,далавч
159,Klaue::N,галъ,савар
160,Klaue::N,галъ,хумс
161,Kralle::N,квачӏ,савар
162,Kralle::N,катиквачӏ,савар
163,Schwanz::N,рачӏ,сүүл
164,Ei::N,хоно,өндөг
165,Nest::N,бусен,үүр
166,Bau::N,каратӏ,нүх
167,Bau::N,каратӏ,элүү
168,Tier::N,хӏайван,амьтан
169,Tier::N,хӏайван,адгуус
170,Herde::N,рехъен,сүрэг
171,Herde::N,рехъед,сүрэг
172,Kuh::N,гӏака,үнээ
173,Bulle::N,оц,бух
174,Pferd::N,чу,морь
175,Pferd::N,чу,адуу
176,Schaf::N,чахъу,хонь
177,Schwein::N,болъон,гахай
178,Hund::N,гьой,нохой
179,Katze::N,кету,муур
180,Katze::N,кету,мигуй
181,Bär::N,ци,баавгай
182,Eichhörnchen::N,гвангва,хэрэм
183,Fuchs::N,цер,үнэг
184,Hase::N,гӏанкӏ,туулай
185,Maus::N,гӏункӏкӏ,хулгана
186,Wolf::N,бацӏ,чоно
187,Vogel::N,хӏинчӏ,шувуу
188,Schwarm::N,тӏел,сүрэг
189,Huhn::N,гӏанкӏу,тахиа
190,Hahn::N,хӏелеко,эр тахиа
191,Gans::N,хъаз,галуу
192,Adler::N,цӏум,бүргэд
193,Ente::N,ордек,нугас
194,Eule::N,беццаруз,ууль
195,Kranich::N,къункъра,тогоруу
196,Krähe::N,гъеду,хэрээ
197,Kuckuck::N,гагу,хөхөө
198,Schwan::N,хӏанкъва,хун
199,Fisch::N,ччугӏа,загас
200,Barsch::N,окунь,алгана
201,Hecht::N,щука,цурхай
202,Schlange[Tier]::N,борохь,могой
203,Wurm::N,хӏапара,өт
204,Wurm::N,хӏапара,хорхой
205,Spinne::N,хъанхъра,аалз
206,Ameise::N,цӏунцӏра,шоргоолж
207,Laus::N,нацӏ,бөөс
208,Mücke::N,кӏкӏара,шумуул
209,Fliege::N,тӏутӏ,ялаа
210,Schmetterling::N,кӏалкӏучӏ,эрвээхэй
211,Apfel::N,гӏеч,алим
212,Pilz::N,гӏурдахӏан,мөөг
213,Zwiebel::N,кӏочӏопер,сонгино
214,Saat::N,хьон,тариа
215,Korn::N,мугь,үр
216,Korn::N,мугь,мөхлөг
217,Heu::N,хер,өвс
218,Schale::N,хъал,хальс
219,Grube::N,гвенд,алам
220,Grube::N,гвенд,нүх
221,Falle::N,къор,хавх
222,Falle::N,къор,занга
223,Falle::N,къотен,хавх
224,Falle::N,къотен,занга
225,Schlinge::N,кӏичӏ,урхи
226,Spur::N,лъалкӏ,мөр
227,Asche::N,рахъу,үнс
228,Dreck::N,гъиз,хир
229,Dreck::N,хӏарщ,хир
230,Eisen::N,махх,төмөр
231,Gold::N,месед,алт
232,Silber::N,гӏарац,мөнгө
233,Kohle::N,тӏурччи,нүүрс
234,Glas::N,цӏер,шил
235,Lehm::N,хӏатӏ,шавар
236,Sand::N,сали,элс
237,Mensch::N,чи,хүн
238,Mann::N,бихьинчи,эр
239,Mann::N,бихьинчи,эрэгтэй
240,Frau::N,гӏадан,эмэгтэй
241,Frau::N,гӏадан,хатагтай
242,Kind::N,лъимер,хүүхэд
243,Junge::N,вас,хүү
244,Mädchen::N,яс,охин
245,Mädchen::N,яс,бүсгүй
246,Familie::N,хъизан,айл
247,Großvater::N,кӏудада,өвгөн аав
248,Großmutter::N,кӏодо,эмэг эх
249,Großmutter::N,кӏодо,эмгээ
250,Eltern::N,эбел-эмен,эцэг эх
251,Vater::N,эмен,аав
252,Vater::N,эмен,эцэг
253,Mutter::N,эбел,эх
254,Mutter::N,эбел,ээж
255,Sohn::N,вас,хүү
256,Tochter::N,яс,охин
257,Bruder::N,вац,ах
258,Bruder::N,вац,дүү
259,Schwester::N,яц,эгч
260,Schwester::N,яц,охин дүү
261,Onkel::N,даци,авга ах
262,Onkel::N,даци,нагац ах
263,Tante::N,ада,авга эгч
264,Tante::N,ада,нагац эгч
265,Ehemann::N,рос,нөхөр
266,Ehefrau::N,чӏужу,эхнэр
267,Ehefrau::N,чӏужу,гэргий
268,Freude::N,ракӏбохи,баяр
269,Freude::N,ракӏбохи,баясгалан
270,Gelächter::N,релъи,инээдэм
271,Glück::N,талихӏ,жаргалан
272,Glück::N,талихӏ-рохел,жаргалан
273,Kummer::N,хӏалкъай,гаслан
274,Wunsch::N,къасд,ерөөл
275,Lust::N,гъира,дур
276,Lust::N,гъира,хүсэл
277,Geist::N,чӏанкӏ,оюун
278,Geist::N,рухӏ-жан,оюун
279,Gedanke::N,пикру,сэтгэл
280,Verstand::N,лумалъи,ухаан
281,Verstand::N,цӏодорлъи,ухаан
282,Sinn::N,магӏна,утга
283,Grund::N,багьана,учир
284,Wahrheit::N,ритӏухълъи,үнэн
285,Gespräch::N,накъит,яриа
286,Märchen::N,маргьа,явган үлгэр
287,Erzählung::N,къиса,тууж
288,Nachricht::N,хабар,мэдээ
289,Neuigkeit::N,хабар-гӏазаб,сонин
290,Name::N,цӏар,нэр
291,Rätsel::N,бицанкӏо,оньсого
292,Rede::N,речь,хэлсэн үг
293,Rede::N,калам,хэлсэн үг
294,Sprache::N,мацӏ,хэл
