,Concept_ID,ja,kk
0,Auge::N,目,көз
1,Ohr::N,耳,құлақ
2,Nase::N,鼻,мұрын
3,Mund::N,口,ауыз
4,Zahn::N,歯,тіс
5,Zunge::N,舌,тіл
6,Lippe::N,唇,ерін
7,Wange::N,頬,ұрт
8,Gesicht::N,顔,бет-аузы
9,Stirn::N,額,маңдай
10,Haar::N,髪,қыл
11,Schnurrbart::N,口髭,мұрт
12,Bart::N,髭,сақал
13,Kinn::N,顎,иек
14,Kiefer[Anatomie]::N,顎,жақ
15,Kehle::N,喉,алқым
16,Hals::N,首,мойын
17,Genick::N,首,желке
18,Kopf::N,頭,кәллә
19,Rücken::N,背中,арқа
20,Bauch::N,腹,қарын
21,Bauch::N,お腹,қарын
22,Nabel::N,へそ,кіндік
23,Busen::N,乳房,омырау
24,Brust::N,胸,кеуде
25,Schulter::N,肩,иық
26,Arm::N,腕,қол
27,Ellenbogen::N,肘,шынтақ
28,Hand::N,手,қол
29,Handfläche::N,手のひら,алақан
30,Finger::N,指,саусақ
31,Fingernagel::N,爪,тырнақ
32,Nagel[Anatomie]::N,爪,тырнақ
33,Zeh::N,足の指,тырнақ
34,Zeh::N,足の指,тұяқ
35,Fuß::N,足,аяқ-басы
36,Ferse::N,かかと,өкше
37,Ferse::N,かかと,өкшелік
38,Knie::N,膝,тізе
39,Oberschenkel::N,上腿,жамбас
40,Bein::N,足,аяқ
41,Körper::N,体,дене
42,Haut::N,皮膚,тері
43,Blut::N,血,қан
44,Ader::N,血管,көктамыр
45,Ader::N,血管,күретамыр
46,Sehne::N,腱,сіңір
47,Knochen::N,骨,жілік
48,Gehirn::N,脳,ми
49,Herz::N,心,жүрек
50,Herz::N,心臓,жүрек
51,Magen::N,胃,асқазан
52,Leber::N,肝臓,бауыр
53,Atem::N,息,леп
54,Atem::N,呼吸,леп
55,Hunger::N,空腹,ашаршылық
56,Träne::N,涙,жас
57,Geschmack::N,味,дәм
58,Geschmack::N,味,татым
59,Geschmack::N,味,талғам
60,Geruch::N,匂い,иіс
61,Schlaf::N,睡眠,ұйқы
62,Schlaf::N,睡眠,ұйықтау
63,Traum::N,夢,түс
64,Himmel::N,空,аспан
65,Himmel::N,空,көқ
66,Himmel::N,空,таңдай
