,Concept_ID,ga,mdf
0,Auge::N,súil,сельме
1,Ohr::N,cluas,пиле
2,Nase::N,soc,шалхка
3,Mund::N,béal,курга
4,Zahn::N,fiacail,пей
5,Zunge::N,teanga,кяль
6,Lippe::N,liopa,търва́
7,Wange::N,grua,щёка
8,Wange::N,leiceann,щёка
9,Gesicht::N,éadan,шама
10,Gesicht::N,aghaidh,шама
11,Stirn::N,baithis,коня
12,Stirn::N,clár éadain,коня
13,Haar::N,gruaig,шя́ярь
14,Schnurrbart::N,croiméal,уса́
15,Bart::N,féasóg,сакал
16,Kinn::N,smig,ула
17,Kiefer[Anatomie]::N,giall,саласка
18,Kehle::N,scornach,кълдома
19,Kehle::N,scornach,кърга́парь
20,Hals::N,muinéal,сялдаз
21,Genick::N,baic,шовонь
22,Kopf::N,ceann,пря
23,Rücken::N,droim,копорь
24,Bauch::N,bolg,пеке
25,Nabel::N,imleacán,по́кон
26,Busen::N,cíoch,потя
27,Brust::N,brollach,мяште
28,Schulter::N,gualainn,лафту
29,Arm::N,lámh,кядь
30,Ellenbogen::N,uillinn,кенерьба́карь
31,Hand::N,lámh,кядь
32,Handfläche::N,bos,кядьлапш
33,Finger::N,méar,сур
34,Fingernagel::N,ionga,кенже
35,Nagel[Anatomie]::N,ionga,кенже
36,Zeh::N,ladhar,пильгосу́р
37,Fuß::N,cos,пильге
38,Fuß::N,cos,пильгелапа
39,Fuß::N,troigh,пильге
40,Fuß::N,troigh,пильгелапа
41,Ferse::N,sáil,кочкяря
42,Knie::N,glúin,эль
43,Knie::N,glúin,пълма́нжа
44,Oberschenkel::N,ceathrú,пильгепукша
45,Bein::N,cos,пильге
46,Körper::N,corp,ро́нга
47,Körper::N,corp,по́нда
48,Körper::N,colainn,ро́нга
49,Körper::N,colainn,по́нда
50,Haut::N,cneas,киське
51,Haut::N,craiceann,киське
52,Blut::N,fuil,вер
53,Sehne::N,teannán,коське сан
54,Sehne::N,féitheog,коське сан
55,Knochen::N,cnámh,пакарь
56,Gehirn::N,inchinn,уй
57,Herz::N,croí,седи
58,Magen::N,bolg,коткърдазь
59,Magen::N,goile,коткърдазь
60,Leber::N,ae,макса
61,Atem::N,anáil,лекома
62,Atem::N,anáil,ваймонь тарксема
63,Hunger::N,ocras,вачеши
64,Träne::N,deoir,сельмове́дь
65,Geschmack::N,blas,таньф
66,Geruch::N,boladh,шине
67,Schlaf::N,suan,удома́
68,Schlaf::N,codladh,удома́
69,Traum::N,taibhreamh,он
70,Himmel::N,spéir,менель
71,Sonne::N,grian,ши
72,Mond::N,ré,ков
73,Mond::N,gealach,ков
74,Stern::N,rinn,тяште
75,Stern::N,réalta,тяште
76,Luft::N,aer,кожф
77,Wind::N,gaoth,варма
78,Welle::N,tonn,тавла
79,Wasser::N,uisce,ведь
80,Stein::N,cloch,кев
81,Boden::N,talamh,мода
82,Boden::N,talamh,потмакс
83,Erde::N,cré,мода
84,Erde::N,cré,мастор
85,Erde::N,ithir,мода
86,Erde::N,ithir,мастор
87,Staub::N,dusta,пуль
88,Staub::N,deannach,пуль
89,Rauch::N,toit,качам
90,Rauch::N,deatach,качам
91,Funke::N,drithle,ця́тка
92,Feuer::N,tine,тол
93,Licht::N,solas,ва́лда
94,Schatten::N,scáth,цильф
95,Wetter::N,aimsir,уша
96,Nebel::N,ceo,тума́н
97,Wolke::N,néal,ковол
98,Wolke::N,scamall,ковол
99,Regen::N,báisteach,пизем
100,Regen::N,fearthainn,пизем
101,Schnee::N,sneachta,лов
102,Eis::N,oighear,эй
103,Frost::N,sioc,ке́льме
104,Kälte::N,fuacht,якшама
105,Hitze::N,teas,пси
106,Hitze::N,teocht,пси
107,Raureif::N,sioc bán,леш
108,Regenbogen::N,stua ceatha,а́тямъёнга
109,Regenbogen::N,bogha báistí,а́тямъёнга
110,Donner::N,toirneach,атям
111,Strömung::N,sruth,шудема́
112,Tropfen::N,deoir,путькс
113,Tropfen::N,deoir,пътняфкс
114,Schaum::N,cúr,шов
115,Schmutz::N,salachar,ърда́з
116,See::N,loch,эрьхке
117,Sumpf::N,portach,шяй
118,Moor::N,caorán,шяй
119,Moor::N,móinteán,шяй
120,Wiese::N,cluain,луга
121,Wiese::N,móinéar,луга
122,Wald::N,coill,вирь
123,Wald::N,foraois,вирь
124,Hügel::N,ard,губо́р
125,Hügel::N,ard,пандоня
126,Anhöhe::N,ard,губо́р
127,Anhöhe::N,ardán,губо́р
128,Berg::N,sliabh,панда
129,Gipfel::N,barr,пря
130,Gipfel::N,mullach,пря
131,Höhle::N,uaimh,у́нда
132,Höhle::N,pluais,у́нда
133,Abhang::N,fána,па́нда ша́ма
134,Quelle::N,foinse,эшиня
135,Bach::N,sruthán,шудерькс
136,Fluss::N,abhainn,ляй
137,Ufer::N,bruach,търва́
138,Küste::N,cósta,ляйтърва́
139,Küste::N,cladach,ляйтърва́
140,Festland::N,míntír,мода
141,Meer::N,muir,моря
142,Meer::N,farraige,моря
143,Bucht::N,bá,ведьуське
144,Bucht::N,cuan,ведьуське
145,Insel::N,inis,цёнга
146,Insel::N,oileán,цёнга
147,Blume::N,bláth,панчф
148,Gras::N,féar,тише
149,Wurzel::N,rúta,юр
150,Wurzel::N,rúta,ункс
151,Wurzel::N,fréamh,юр
152,Wurzel::N,fréamh,ункс
153,Baum::N,crann,шуфта
154,Stamm::N,stoc,ро́нга
155,Stamm::N,tamhan,ро́нга
156,Rinde::N,coirt,кер
