,Concept_ID,pl,sk
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,usta,ústa
4,Zahn::N,ząb,zub
5,Zunge::N,język,jazyk
6,Lippe::N,warga,pera
7,Wange::N,policzek,líce
8,Gesicht::N,twarz,tvár
9,Gesicht::N,twarz,obličaj
10,Stirn::N,czoło,čelo
11,Haar::N,włos,vlas
12,Haar::N,włosy,vlas
13,Schnurrbart::N,wąsy,fúzy
14,Bart::N,broda,brada
15,Kinn::N,podbródek,brada
16,Kiefer[Anatomie]::N,czeluść,čeľusť
17,Kehle::N,gardło,hrdlo
18,Hals::N,szyja,krk
19,Genick::N,kark,väzy
20,Kopf::N,głowa,hlava
21,Rücken::N,plecy,chrbát
22,Rücken::N,grzbiet,chrbát
23,Bauch::N,brzuch,brucho
24,Nabel::N,pępek,pupok
25,Busen::N,biust,prsia
26,Brust::N,pierś,hruď
27,Schulter::N,bark,plece
28,Schulter::N,ramię,plece
29,Arm::N,ręka,rameno
30,Arm::N,ramię,rameno
31,Ellenbogen::N,łokieć,lakeť
32,Hand::N,dłoń,ruka
33,Handfläche::N,dłoń,dlaň
34,Finger::N,palec,prst
35,Fingernagel::N,paznokieć,necht
36,Nagel[Anatomie]::N,paznokieć,necht
37,Zeh::N,palec,prst na nohe
38,Fuß::N,stopa,noha
39,Ferse::N,pięta,päta
40,Knie::N,kolano,koleno
41,Oberschenkel::N,udo,stehno
42,Bein::N,noga,noha
43,Körper::N,ciało,telo
44,Haut::N,skóra,koža
45,Blut::N,krew,krv
46,Ader::N,żyła,žila
47,Sehne::N,ścięgno,šľacha
48,Knochen::N,kość,kosť
49,Gehirn::N,mózg,mozog
50,Herz::N,serce,srdce
51,Magen::N,żołądek,žalúdok
52,Leber::N,wątroba,pečeň
53,Atem::N,dech,dych
54,Atem::N,oddech,dych
55,Hunger::N,głód,hlad
56,Träne::N,łza,slza
57,Geschmack::N,smak,chuť
58,Geruch::N,woń,pach
59,Geruch::N,zapach,pach
60,Schlaf::N,sen,spánok
61,Traum::N,sen,sen
62,Himmel::N,niebo,nebo
63,Sonne::N,słońce,slnko
64,Mond::N,księżyc,mesiac
65,Stern::N,gwiazda,hviezda
66,Luft::N,powietrze,vzduch
67,Wind::N,wiatr,vietor
68,Welle::N,fala,vlna
69,Wasser::N,woda,voda
70,Stein::N,kamień,kameň
71,Boden::N,grunt,zem
72,Boden::N,grunt,pôda
73,Erde::N,ziemia,zem
74,Staub::N,pył,prach
75,Staub::N,kurz,prach
76,Rauch::N,dym,dym
77,Funke::N,iskra,iskra
78,Feuer::N,ogień,oheň
79,Licht::N,światło,svetlo
80,Schatten::N,cień,tieň
81,Wetter::N,pogoda,počasie
82,Nebel::N,mgła,hmla
83,Wolke::N,obłok,oblak
84,Wolke::N,obłok,mračno
85,Wolke::N,chmura,oblak
86,Wolke::N,chmura,mračno
87,Regen::N,deszcz,dážď
88,Schnee::N,śnieg,sneh
89,Eis::N,lód,ľad
90,Frost::N,mróz,mráz
91,Kälte::N,chłód,zima
92,Kälte::N,chłód,chlad
93,Hitze::N,gorąco,horúčava
94,Raureif::N,szron,srieň
95,Raureif::N,szron,inovať
96,Regenbogen::N,tęcza,dúha
97,Donner::N,grzmot,hrom
98,Strömung::N,nurt,prúdenie
99,Tropfen::N,kropla,kvapka
100,Schaum::N,piana,pena
101,Schmutz::N,brud,špina
102,Schmutz::N,brud,nečistota
103,See::N,jezioro,jazero
104,Sumpf::N,bagno,bahno
105,Moor::N,bagno,močiar
106,Wiese::N,łąka,lúka
107,Wald::N,las,les
108,Wald::N,las,hora
109,Hügel::N,pagórek,vŕšok
110,Anhöhe::N,wzgórze,výšina
111,Anhöhe::N,wzgórze,vyvýšenina
112,Berg::N,góra,hora
113,Gipfel::N,szczyt,vrchol
114,Gipfel::N,wierzchołek,vrchol
115,Höhle::N,pieczara,jaskyňa
116,Abhang::N,stok,úbočie
117,Abhang::N,zbocze,úbočie
118,Quelle::N,zdrój,prameň
119,Quelle::N,źródło,prameň
120,Bach::N,potok,potok
121,Bach::N,strumień,potok
122,Fluss::N,rzeka,rieka
123,Ufer::N,brzeg,breh
124,Küste::N,wybrzeże,pobrežie
125,Festland::N,ląd,pevnina
126,Meer::N,morze,more
127,Bucht::N,zatoka,záliv
128,Bucht::N,zatoka,zátoka
129,Insel::N,wyspa,ostrov
130,Blume::N,kwiat,kvet
131,Blume::N,kwiat,kvetina
132,Gras::N,trawa,tráva
133,Wurzel::N,korzeń,koreň
134,Baum::N,drzewo,strom
135,Stamm::N,pień,kmeň
136,Rinde::N,kora,kôra
137,Ast::N,gałąź,konár
138,Zweig::N,gałąź,vetva
139,Blatt::N,liść,list
140,Birke::N,brzoza,breza
141,Kiefer[Baum]::N,sosna,sosna
142,Kiefer[Baum]::N,sosna,borovica
143,Weide[Baum]::N,wierzba,vŕba
144,Tanne::N,jodła,jedľa
145,Horn::N,róg,roh
146,Feder::N,pióro,pero
147,Fell::N,futro,koža
148,Fell::N,futro,kožušina
149,Flügel::N,skrzydło,krídlo
150,Klaue::N,szpon,paznecht
151,Kralle::N,pazur,pazúr
152,Schwanz::N,ogon,chvost
153,Ei::N,jajko,vajce
154,Ei::N,jajko,vajíčko
155,Nest::N,gniazdo,hniezdo
156,Bau::N,nora,nora
157,Tier::N,zwierzę,zviera
158,Herde::N,stado,stádo
159,Herde::N,trzoda,stádo
160,Kuh::N,krowa,krava
161,Bulle::N,byk,býk
162,Pferd::N,koń,kôň
163,Schaf::N,owca,ovca
164,Schwein::N,świnia,sviňa
165,Hund::N,pies,pes
166,Katze::N,kot,mačka
167,Katze::N,kotka,mačka
168,Bär::N,niedźwiedż,medveď
169,Eichhörnchen::N,wiewiórka,veverička
170,Elch::N,łóś,los
171,Fuchs::N,lis,líška
172,Hase::N,zając,zajac
173,Maus::N,mysz,myš
174,Wolf::N,wilk,vlk
175,Vogel::N,ptak,vták
176,Schwarm::N,stado,roj
177,Huhn::N,kura,kurča
178,Huhn::N,kura,sliepka
179,Hahn::N,kogut,kohút
180,Gans::N,gęś,hus
181,Adler::N,orzeł,orol
182,Ente::N,kaczka,kačka
183,Ente::N,kaczka,kačica
184,Eule::N,sowa,sova
185,Kranich::N,żuraw,žeriav
186,Krähe::N,wrona,vrana
187,Kuckuck::N,kukułka,kukučka
188,Schwan::N,łabędż,labuť
189,Fisch::N,ryba,ryba
190,Barsch::N,okoń,ostriež
191,Hecht::N,szczupak,šťuka
192,Schlange[Tier]::N,wąż,had
193,Schlange[Tier]::N,żmija,had
194,Wurm::N,robak,červ
195,Spinne::N,pająk,pavúk
196,Ameise::N,mrówka,mravec
