,Concept_ID,hu,et
0,Auge::N,szem,silm
1,Ohr::N,fül,kõrv
2,Nase::N,orr,nina
3,Mund::N,száj,suu
4,Zahn::N,fog,hammas
5,Zunge::N,nyelv,keel
6,Lippe::N,ajak,huul
7,Wange::N,orca,põsk
8,Gesicht::N,arc,nägu
9,Stirn::N,homlok,otsmik
10,Haar::N,haj,juus
11,Schnurrbart::N,bajusz,vurrud
12,Schnurrbart::N,bajusz,vuntsid
13,Bart::N,szakáll,habe
14,Kinn::N,áll,lõug
15,Kiefer[Anatomie]::N,állkapocs,lõualuu
16,Kehle::N,gége,kõri
17,Kehle::N,torok,kõri
18,Hals::N,nyak,kael
19,Genick::N,tarkó,kukal
20,Kopf::N,fő,pea
21,Kopf::N,fej,pea
22,Rücken::N,hát,selg
23,Bauch::N,has,kõht
24,Nabel::N,köldök,naba
25,Busen::N,mell,rind
26,Busen::N,kebel,rind
27,Brust::N,mell,rind
28,Schulter::N,váll,õlg
29,Arm::N,kar,käsivars
30,Ellenbogen::N,könyök,küünarnukk
31,Hand::N,kéz,käsi
32,Handfläche::N,tenyér,pihk
33,Finger::N,ujj,sõrm
34,Fingernagel::N,köröm,küüs
35,Nagel[Anatomie]::N,köröm,küüs
36,Zeh::N,lábujj,varvas
37,Fuß::N,láb,jalg
38,Ferse::N,sarok,kand
39,Knie::N,térd,põlv
40,Oberschenkel::N,comb,reis
41,Bein::N,láb,jalg
42,Bein::N,lábszár,jalg
43,Körper::N,test,ihu
44,Körper::N,test,keha
45,Haut::N,bőr,nahk
46,Blut::N,vér,veri
47,Ader::N,ér,veen
48,Sehne::N,ín,kõõlus
49,Knochen::N,csont,luu
50,Gehirn::N,agy,aju
51,Gehirn::N,agyvelő,aju
52,Herz::N,szív,süda
53,Magen::N,gyomor,magu
54,Leber::N,máj,maks
55,Atem::N,lehelet,hingeõhk
56,Atem::N,lehelet,hingamine
57,Atem::N,lélegzet,hingeõhk
58,Atem::N,lélegzet,hingamine
59,Hunger::N,éhség,nälg
60,Träne::N,könny,pisar
61,Geschmack::N,íz,maitse
62,Geruch::N,szag,lõhn
63,Schlaf::N,álom,uni
64,Schlaf::N,alvás,uni
65,Traum::N,álom,unenägu
66,Himmel::N,ég,taevas
67,Himmel::N,menny,taevas
68,Sonne::N,nap,päike
69,Mond::N,hold,kuu
70,Stern::N,csillag,täht
71,Luft::N,levegő,õhk
72,Wind::N,szél,tuul
73,Welle::N,hullám,laine
74,Wasser::N,víz,vesi
75,Stein::N,kő,kivi
76,Boden::N,föld,maa
77,Boden::N,föld,pinnas
78,Boden::N,talaj,maa
79,Boden::N,talaj,pinnas
80,Erde::N,föld,maa
81,Staub::N,por,põrm
82,Rauch::N,füst,suits
83,Funke::N,szikra,säde
84,Feuer::N,tűz,tuli
85,Licht::N,fény,valgus
86,Schatten::N,árnyék,vari
87,Wetter::N,idő,ilm
88,Wetter::N,időjárás,ilm
89,Nebel::N,köd,udu
90,Wolke::N,felhő,pilv
91,Regen::N,eső,sadu
92,Schnee::N,hó,lumi
93,Eis::N,jég,jää
94,Frost::N,fagy,pakane
95,Kälte::N,hideg,külm
96,Kälte::N,hideg,külmus
97,Hitze::N,hő,kuumus
98,Hitze::N,hő,palavus
99,Hitze::N,hőség,kuumus
100,Hitze::N,hőség,palavus
101,Raureif::N,zúzmara,härmatis
102,Regenbogen::N,szivárvány,vikerkaar
103,Donner::N,dörgés,kõu
104,Donner::N,dörgés,müristamine
105,Donner::N,mennydörgés,kõu
106,Donner::N,mennydörgés,müristamine
107,Strömung::N,áramlat,voolus
108,Strömung::N,áramlat,jõevool
109,Tropfen::N,csepp,tilk
110,Schaum::N,hab,vaht
111,Schaum::N,tajték,vaht
112,Schmutz::N,piszok,pori
113,Schmutz::N,piszok,mustus
114,See::N,tó,järv
115,Sumpf::N,mocsár,soo
116,Moor::N,láp,raba
117,Wiese::N,rét,aas
118,Wiese::N,rét,nurm
119,Wiese::N,mező,aas
120,Wiese::N,mező,nurm
121,Wald::N,erdő,mets
122,Hügel::N,domb,küngas
123,Anhöhe::N,magaslat,küngas
124,Berg::N,hegy,mägi
125,Gipfel::N,csúcs,mäetipp
126,Höhle::N,barlang,koobas
127,Abhang::N,lejtő,nõlvak
128,Quelle::N,forrás,allikas
129,Bach::N,patak,oja
130,Fluss::N,folyó,jõgi
131,Ufer::N,part,kallas
132,Küste::N,tengerpart,rannik
133,Festland::N,szárazföld,mander
134,Festland::N,szárazföld,maismaa
135,Meer::N,tenger,meri
136,Bucht::N,öböl,laht
137,Insel::N,sziget,saar
138,Blume::N,virág,lill
139,Gras::N,fű,rohi
140,Wurzel::N,gyökér,juur
141,Baum::N,fa,puu
142,Stamm::N,tő,tüvi
143,Stamm::N,törzs,tüvi
144,Rinde::N,kéreg,koor
145,Ast::N,ág,oks
146,Zweig::N,gally,oks
147,Blatt::N,levél,leht
148,Birke::N,nyír,kask
149,Kiefer[Baum]::N,fenyő,mänd
150,Weide[Baum]::N,fűz,paju
151,Tanne::N,fenyő,nulg
152,Horn::N,szarv,sarv
153,Feder::N,toll,sulg
154,Fell::N,szőr,karvkate
155,Fell::N,szőr,karusnahk
156,Fell::N,bunda,karvkate
157,Fell::N,bunda,karusnahk
158,Flügel::N,szárny,tiib
159,Flügel::N,szárny,tiivik
160,Klaue::N,köröm,küüs
161,Kralle::N,karom,küünis
162,Schwanz::N,farok,saba
163,Ei::N,tojás,muna
164,Nest::N,fészek,pesa
165,Bau::N,odú,urg
166,Tier::N,állat,loom
167,Herde::N,nyáj,kari
168,Herde::N,csorda,kari
169,Kuh::N,tehén,lehm
170,Bulle::N,bika,pull
171,Pferd::N,ló,hobune
172,Schaf::N,juh,lammas
173,Schaf::N,birka,lammas
174,Schwein::N,sertés,siga
175,Hund::N,eb,koer
176,Hund::N,kutya,koer
177,Katze::N,macska,kass
178,Bär::N,medve,karu
179,Eichhörnchen::N,mókus,orav
180,Elch::N,jávorszarvas,põder
181,Fuchs::N,róka,rebane
182,Hase::N,nyúl,jänes
183,Maus::N,egér,hiir
184,Wolf::N,farkas,hunt
185,Vogel::N,madár,lind
186,Schwarm::N,raj,parv
187,Huhn::N,tyúk,kana
188,Hahn::N,kakas,kukk
189,Gans::N,lúd,hani
190,Gans::N,liba,hani
191,Adler::N,sas,kotkas
192,Ente::N,kacsa,part
193,Eule::N,bagoly,kakk
194,Eule::N,bagoly,öökull
195,Kranich::N,daru,kurg
196,Krähe::N,varjú,vares
197,Kuckuck::N,kakukk,kägu
198,Schwan::N,hattyú,luik
199,Fisch::N,hal,kala
200,Barsch::N,sügér,ahven
201,Hecht::N,csuka,haug
202,Schlange[Tier]::N,kígyó,uss
203,Wurm::N,kukac,uss
204,Wurm::N,kukac,vagel
205,Spinne::N,pók,ämblik
206,Ameise::N,hangya,sipelgas
207,Laus::N,tetű,täi
208,Mücke::N,szúnyog,sääsk
209,Fliege::N,légy,kärbes
210,Schmetterling::N,lepke,liblikas
211,Schmetterling::N,pillangó,liblikas
212,Beere::N,bogyó,mari
213,Apfel::N,alma,õun
214,Pilz::N,gomba,seen
215,Zwiebel::N,hagyma,sibul
216,Saat::N,vetőmag,seeme
217,Korn::N,mag,iva
218,Korn::N,mag,tera
219,Korn::N,szem,iva
220,Korn::N,szem,tera
221,Heu::N,széna,hein
222,Schale::N,héj,koor
223,Grube::N,verem,kaevand
224,Falle::N,csapda,lõks
225,Falle::N,csapda,püünis
226,Schlinge::N,tőr,aas
227,Spur::N,nyom,jälg
228,Asche::N,hamu,tuhk
229,Dreck::N,sár,saast
230,Dreck::N,sár,mustus
231,Dreck::N,piszok,saast
232,Dreck::N,piszok,mustus
233,Eisen::N,vas,raud
234,Gold::N,arany,kuld
235,Silber::N,ezüst,hõbe
236,Kohle::N,szén,süsi
237,Glas::N,üveg,klaas
238,Lehm::N,agyag,savi
239,Lehm::N,vályog,savi
240,Sand::N,homok,liiv
241,Mensch::N,ember,inimene
242,Mann::N,úr,mees
243,Mann::N,férfi,mees
244,Frau::N,nő,naine
245,Frau::N,asszony,naine
246,Kind::N,gyerek,laps
247,Kind::N,gyermek,laps
248,Junge::N,fiú,poiss
249,Mädchen::N,lány,tüdruk
250,Familie::N,család,perekond
251,Großvater::N,nagyapa,vanaisa
252,Großmutter::N,nagyanya,vanaema
253,Eltern::N,szülők,vanemad
254,Vater::N,apa,isa
255,Vater::N,atya,isa
256,Mutter::N,anya,ema
257,Sohn::N,fiú,poeg
258,Tochter::N,lány,tütar
259,Bruder::N,fivér,vend
260,Bruder::N,testvér,vend
261,Schwester::N,nővér,õde
262,Schwester::N,lánytestvér,õde
263,Onkel::N,nagybácsi,onu
264,Tante::N,nagynéni,tädi
265,Ehemann::N,férj,mees
266,Ehemann::N,férj,abikaasa
267,Ehefrau::N,feleség,naine
268,Ehefrau::N,feleség,abikaasa
269,Freude::N,öröm,rõõm
270,Gelächter::N,nevetés,naer
271,Gelächter::N,hahotázás,naer
272,Glück::N,boldogság,õnn
273,Kummer::N,bánat,mure
274,Kummer::N,bánat,kurbus
275,Wunsch::N,óhaj,soov
276,Lust::N,kedv,himu
277,Geist::N,elme,vaim
278,Geist::N,szellem,vaim
279,Gedanke::N,gondolat,mõte
280,Gedächtnis::N,emlékezet,mälu
281,Verstand::N,ész,aru
282,Verstand::N,ész,mõistus
283,Verstand::N,értelem,aru
284,Verstand::N,értelem,mõistus
285,Sinn::N,értelem,tähendus
286,Grund::N,ok,põhjus
287,Grund::N,alap,põhjus
288,Wahrheit::N,igaz,tõde
289,Wahrheit::N,igazság,tõde
290,Gespräch::N,beszélgetés,kõne
291,Gespräch::N,beszélgetés,vestlus
292,Märchen::N,mese,muinasjutt
293,Erzählung::N,elbeszélés,jutustus
294,Nachricht::N,hír,teade
295,Nachricht::N,híradás,teade
296,Neuigkeit::N,újság,uudis
297,Name::N,név,nimi
298,Rätsel::N,rejtvény,mõistatus
299,Rede::N,beszéd,kõne
300,Rede::N,szónoklat,kõne
301,Sprache::N,nyelv,keel
302,Stimme::N,hang,hääl
303,Wort::N,szó,sõna
304,Zeichen::N,jel,märk
305,Ruf::N,kiáltás,hüüe
306,Lärm::N,zaj,müra
307,Laut::N,hang,hääl
308,Ton::N,hang,toon
309,Lied::N,dal,laul
310,Lied::N,ének,laul
311,Ruhe::N,csend,rahu
312,Ruhe::N,csend,vaikus
313,Ruhe::N,nyugalom,rahu
314,Ruhe::N,nyugalom,vaikus
315,Leute::N,emberek,inimesed
316,Volk::N,nép,rahvas
317,Arbeit::N,dolog,töö
