,Concept_ID,he,fi
0,Auge::N,עין,silmä
1,Ohr::N,אזן,korva
2,Nase::N,אף,nenä
3,Nase::N,חטם,nenä
4,Mund::N,פה,suu
5,Zahn::N,שן,hammas
6,Zunge::N,לשון,kieli
7,Lippe::N,שפה,huuli
8,Wange::N,לחי,poski
9,Gesicht::N,פנים,naama
10,Gesicht::N,פנים,kasvot
11,Stirn::N,מצח,otsa
12,Haar::N,שערה,hius
13,Haar::N,שערה,tukka
14,Schnurrbart::N,שפם,viikset
15,Bart::N,זקן,parta
16,Kinn::N,סנטר,leuka
17,Kiefer[Anatomie]::N,לסת,leukaluu
18,Kehle::N,גרון,kurkku
19,Hals::N,צואר,kaula
20,Genick::N,ערף,niska
21,Kopf::N,ראש,pää
22,Rücken::N,גב,selkä
23,Bauch::N,בטן,maha
24,Bauch::N,בטן,vatsa
25,Nabel::N,טבור,napa
26,Busen::N,שד,rinta
27,Brust::N,חזה,rinta
28,Schulter::N,כתף,olka
29,Schulter::N,כתף,hartia
30,Schulter::N,כתף,olkapää
31,Arm::N,זרוע,käsivarsi
32,Ellenbogen::N,מרפק,kyynärpää
33,Hand::N,יד,käsi
34,Handfläche::N,כף יד,kämmen
35,Finger::N,אצבע,sormi
36,Fingernagel::N,צפרן,kynsi
37,Nagel[Anatomie]::N,צפרן,kynsi
38,Zeh::N,אצבע,varvas
39,Fuß::N,רגל,jalka
40,Ferse::N,עקב,kantapää
41,Knie::N,ברך,polvi
42,Oberschenkel::N,ירך,reisi
43,Bein::N,רגל,jalka
44,Körper::N,גוף,keho
45,Körper::N,גוף,ruumis
46,Haut::N,עור,iho
47,Blut::N,דם,veri
48,Ader::N,וריד,suoni
49,Sehne::N,גיד,jänne
50,Knochen::N,עצם,luu
51,Gehirn::N,מוח,aivot
52,Herz::N,לב,sydän
53,Magen::N,קבה,maha
54,Magen::N,קבה,vatsa
55,Leber::N,כבד,maksa
56,Atem::N,נשימה,henki
57,Atem::N,נשימה,hengitys
58,Hunger::N,רעב,nälkä
59,Träne::N,דמעה,kyynel
60,Geschmack::N,טעם,maku
61,Geruch::N,ריח,haju
62,Schlaf::N,שנה,uni
63,Traum::N,חלום,uni
64,Himmel::N,שמים,taivas
65,Sonne::N,שמש,aurinko
66,Mond::N,ירח,kuu
67,Stern::N,כוכב,tähti
68,Luft::N,אויר,ilma
69,Wind::N,רוח,tuuli
70,Welle::N,גל,aalto
71,Wasser::N,מים,vesi
72,Stein::N,אבן,kivi
73,Boden::N,קרקע,maa
74,Boden::N,קרקע,maaperä
75,Erde::N,אדמה,maa
76,Staub::N,אבק,pöly
77,Rauch::N,עשן,savu
78,Funke::N,ניצוץ,kipinä
79,Feuer::N,אש,tuli
80,Licht::N,אור,valo
81,Schatten::N,צל,varjo
82,Wetter::N,מזג אויר,sää
83,Nebel::N,ערפל,sumu
84,Wolke::N,ענן,pilvi
85,Regen::N,גשם,sade
86,Schnee::N,שלג,lumi
