,Concept_ID,mdf,eu
0,Auge::N,сельме,begi
1,Ohr::N,пиле,belarri
2,Nase::N,шалхка,sudur
3,Mund::N,курга,aho
4,Zahn::N,пей,hortz
5,Zunge::N,кяль,mihi
6,Lippe::N,търва́,ezpain
7,Wange::N,щёка,masail
8,Gesicht::N,шама,aurpegi
9,Stirn::N,коня,bekoki
10,Haar::N,шя́ярь,ile
11,Haar::N,шя́ярь,bilo
12,Schnurrbart::N,уса́,bibote
13,Schnurrbart::N,уса́,sudurpeko
14,Bart::N,сакал,bizar
15,Kinn::N,ула,kokots
16,Kiefer[Anatomie]::N,саласка,masailezur
17,Kehle::N,кълдома,eztarri
18,Kehle::N,кърга́парь,eztarri
19,Hals::N,сялдаз,sama
20,Genick::N,шовонь,garondo
21,Kopf::N,пря,buru
22,Rücken::N,копорь,bizkar
23,Bauch::N,пеке,sabel
24,Nabel::N,по́кон,zilbor
25,Busen::N,потя,titi
26,Busen::N,потя,ugatz
27,Brust::N,мяште,bular
28,Schulter::N,лафту,besaburu
29,Arm::N,кядь,beso
30,Ellenbogen::N,кенерьба́карь,ukondo
31,Hand::N,кядь,esku
32,Handfläche::N,кядьлапш,ahur
33,Finger::N,сур,hatz
34,Fingernagel::N,кенже,azazkal
35,Nagel[Anatomie]::N,кенже,azazkal
36,Zeh::N,пильгосу́р,behatz
37,Fuß::N,пильге,oin
38,Fuß::N,пильгелапа,oin
39,Ferse::N,кочкяря,orpo
40,Ferse::N,кочкяря,oinburu
41,Knie::N,эль,belaun
42,Knie::N,пълма́нжа,belaun
43,Oberschenkel::N,пильгепукша,izter
44,Bein::N,пильге,zango
45,Körper::N,ро́нга,soin
46,Körper::N,по́нда,soin
47,Haut::N,киське,azal
48,Blut::N,вер,odol
49,Ader::N,сан,zain
50,Ader::N,верза́н,zain
51,Sehne::N,коське сан,gihar-zain
52,Knochen::N,пакарь,hezur
53,Gehirn::N,уй,garun
54,Gehirn::N,уй,burmuin
55,Herz::N,седи,bihotz
56,Magen::N,коткърдазь,urdail
57,Leber::N,макса,gibel
58,Atem::N,лекома,hats
59,Atem::N,лекома,arnasa
60,Atem::N,ваймонь тарксема,hats
61,Atem::N,ваймонь тарксема,arnasa
62,Hunger::N,вачеши,gose
63,Träne::N,сельмове́дь,malko
64,Geschmack::N,таньф,dasta
65,Geruch::N,шине,usain
66,Schlaf::N,удома́,lo
67,Traum::N,он,amets
68,Himmel::N,менель,zeru
69,Sonne::N,ши,eguzki
70,Mond::N,ков,ilargi
71,Stern::N,тяште,izar
72,Luft::N,кожф,aire
73,Wind::N,варма,haize
74,Welle::N,тавла,uhin
75,Welle::N,тавла,olatu
76,Wasser::N,ведь,ur
77,Stein::N,кев,harri
78,Boden::N,мода,lur
79,Boden::N,мода,zoru
80,Boden::N,потмакс,lur
81,Boden::N,потмакс,zoru
82,Erde::N,мода,lur
83,Erde::N,мастор,lur
84,Staub::N,пуль,hauts
85,Rauch::N,качам,ke
86,Funke::N,ця́тка,zirta
87,Funke::N,ця́тка,txinparta
88,Feuer::N,тол,su
89,Licht::N,ва́лда,argi
90,Schatten::N,цильф,itzal
91,Schatten::N,цильф,geriza
92,Wetter::N,уша,eguraldi
93,Nebel::N,тума́н,laino
94,Wolke::N,ковол,hodei
95,Regen::N,пизем,euri
96,Schnee::N,лов,elur
97,Eis::N,эй,horma
98,Frost::N,ке́льме,izotzaldi
99,Kälte::N,якшама,hotz
100,Hitze::N,пси,bero
101,Raureif::N,леш,antzigar
102,Regenbogen::N,а́тямъёнга,ostadar
103,Regenbogen::N,а́тямъёнга,ortzadar
104,Donner::N,атям,ostots
105,Donner::N,атям,ihurtzuri
106,Strömung::N,шудема́,laster
107,Tropfen::N,путькс,xorta
108,Tropfen::N,пътняфкс,xorta
109,Schaum::N,шов,bits
110,Schmutz::N,ърда́з,lohi
111,Schmutz::N,ърда́з,zikin
112,See::N,эрьхке,laku
113,See::N,эрьхке,aintzira
114,Sumpf::N,шяй,zingira
115,Moor::N,шяй,zohikaztegi
116,Wiese::N,луга,larre
117,Wiese::N,луга,belardi
118,Wald::N,вирь,baso
119,Wald::N,вирь,oihan
120,Hügel::N,губо́р,muino
121,Hügel::N,губо́р,pentoka
122,Hügel::N,пандоня,muino
123,Hügel::N,пандоня,pentoka
124,Anhöhe::N,губо́р,garai
125,Anhöhe::N,губо́р,goragune
126,Berg::N,панда,mendi
127,Gipfel::N,пря,gain
128,Gipfel::N,пря,tontor
129,Höhle::N,у́нда,kobazulo
130,Abhang::N,па́нда ша́ма,aldapa
131,Quelle::N,эшиня,iturri
132,Quelle::N,эшиня,iturbegi
133,Bach::N,шудерькс,lats
134,Bach::N,шудерькс,erreka
135,Fluss::N,ляй,ibai
136,Fluss::N,ляй,uhaitz
137,Ufer::N,търва́,bazter
138,Küste::N,ляйтърва́,itsasalde
139,Festland::N,мода,lehor
140,Meer::N,моря,itsaso
141,Bucht::N,ведьуське,golko
142,Insel::N,цёнга,irla
143,Insel::N,цёнга,uharte
144,Blume::N,панчф,lili
145,Gras::N,тише,belar
146,Wurzel::N,юр,zuztar
147,Wurzel::N,юр,sustrai
148,Wurzel::N,ункс,zuztar
149,Wurzel::N,ункс,sustrai
150,Baum::N,шуфта,zuhaitz
151,Stamm::N,ро́нга,enbor
152,Rinde::N,кер,azal
153,Ast::N,морга,adar
154,Zweig::N,тарад,abar
155,Blatt::N,лопа,hosto
156,Birke::N,ке́лу,urki
157,Kiefer[Baum]::N,пиче,ler
158,Weide[Baum]::N,каль,zume
159,Weide[Baum]::N,каль,sahats
160,Tanne::N,куз,izei
161,Horn::N,сюра,adar
162,Feder::N,толга,luma
163,Feder::N,толга,hegaki
164,Fell::N,кедь,ile
165,Fell::N,кедь,larru
166,Flügel::N,паця,hego
167,Klaue::N,кенже,atzapar
168,Kralle::N,кенже,erpe
169,Kralle::N,кенже,atzapar
170,Schwanz::N,пула,isats
171,Schwanz::N,пула,buztan
172,Ei::N,ал,arrautza
173,Nest::N,пиза,habia
174,Bau::N,пиза,ohantze
175,Tier::N,жува́та,abere
176,Tier::N,жува́та,piztia
177,Herde::N,нал,saldo
178,Herde::N,нал,abere talde
179,Herde::N,стада,saldo
180,Herde::N,стада,abere talde
181,Kuh::N,скал,behi
182,Kuh::N,тракс,behi
183,Bulle::N,бука,zezen
184,Pferd::N,лишме,zaldi
185,Schaf::N,уча́,ardi
186,Schwein::N,тува,urde
187,Schwein::N,тува,txerri
188,Hund::N,пине,txakur
189,Katze::N,катоня,katu
190,Katze::N,аваката,katu
191,Bär::N,офта,hartz
192,Eichhörnchen::N,ур,urtxintxa
193,Elch::N,ся́рда,altze
194,Fuchs::N,келазь,azeri
195,Hase::N,ну́мол,erbi
196,Maus::N,шеер,sagu
197,Wolf::N,върьгаз,otso
198,Vogel::N,нармонь,txori
199,Vogel::N,нармонь,hegazti
200,Schwarm::N,ко́вол,aldra
201,Schwarm::N,ме́швеле,aldra
202,Huhn::N,сараз,oilo
203,Hahn::N,а́тякш,oilar
204,Gans::N,маци,antzara
205,Adler::N,куцькан,arrano
206,Ente::N,яксярга,ahate
207,Eule::N,ко́рож,hontza
208,Kranich::N,ка́рга,kurrilo
209,Krähe::N,ва́рси,bele
210,Kuckuck::N,ку́ку,kuku
211,Schwan::N,ло́ксти,beltxarga
212,Fisch::N,кал,arrain
213,Barsch::N,о́кунь,perka
214,Hecht::N,щу́ка,lutxo
215,Schlange[Tier]::N,куй,suge
216,Wurm::N,сукс,har
217,Spinne::N,унжа́,armiarma
218,Ameise::N,панжам,inurri
219,Laus::N,си,zorri
220,Mücke::N,ся́ське,eltxo
221,Fliege::N,кару,euli
222,Schmetterling::N,ме́лав,pinpirin
223,Schmetterling::N,ме́лав,tximeleta
224,Beere::N,и́мож,baia
225,Apfel::N,марь,sagar
226,Pilz::N,панга,onddo
227,Pilz::N,панга,perretxiko
228,Zwiebel::N,шурьхкя́,tipula
229,Saat::N,видьмот,haziak
230,Korn::N,сёра,ale
231,Korn::N,сёра,pikor
232,Heu::N,тише,belar ondu
233,Schale::N,кедь,azal
234,Grube::N,лотка,hobi
235,Falle::N,туфкс,harrapagailu
236,Falle::N,кунда́ма,harrapagailu
237,Schlinge::N,килькш,bilur
238,Schlinge::N,килькш,xedera
239,Spur::N,пильгоки́,lorratz
240,Asche::N,кулу,errauts
241,Dreck::N,ърда́з,satsukeria
242,Eisen::N,кшни,burdina
243,Gold::N,ока,urre
244,Gold::N,ока,urregorri
245,Gold::N,золота,urre
246,Gold::N,золота,urregorri
247,Silber::N,сия́,zilar
248,Silber::N,сия́,urrezuri
249,Kohle::N,седь,ikatz
250,Kohle::N,седьвальмя,ikatz
251,Glas::N,кля́нцек,beira
252,Lehm::N,сёвонь,buztin
253,Sand::N,шува́р,harea
254,Sand::N,шува́р,hondar
255,Mensch::N,ломань,gizaki
256,Mann::N,аля,gizon
257,Mann::N,цёраломань,gizon
258,Frau::N,ава,andere
259,Frau::N,ава,emakume
260,Kind::N,идь,haur
261,Kind::N,шаба,haur
262,Junge::N,цёраня,mutil
263,Mädchen::N,стирня́,neska
264,Familie::N,тнал,sendi
265,Familie::N,тнал,familia
266,Familie::N,семья,sendi
267,Familie::N,семья,familia
268,Großvater::N,атя,aitona
269,Großvater::N,атя,aitatxi
270,Großvater::N,щя́тя,aitona
271,Großvater::N,щя́тя,aitatxi
272,Großmutter::N,баба,amona
273,Großmutter::N,баба,amatxi
274,Eltern::N,тя́дят-а́лят,gurasoak
275,Vater::N,аля,aita
276,Mutter::N,ава,ama
277,Mutter::N,тядя,ama
278,Sohn::N,цёра,seme
279,Tochter::N,стирь,alaba
280,Bruder::N,дуган,neba
281,Bruder::N,дуган,anaia
282,Bruder::N,пяльне,neba
283,Bruder::N,пяльне,anaia
284,Schwester::N,ака,ahizpa
285,Schwester::N,сазор,ahizpa
286,Onkel::N,оця,osaba
287,Onkel::N,патя,osaba
288,Onkel::N,щеня́,osaba
289,Tante::N,ака,izeba
290,Tante::N,щака,izeba
291,Ehemann::N,мирде,senar
292,Ehefrau::N,ърьвя́,emazte
293,Freude::N,ке́нярдема,poz
294,Freude::N,ке́нярдема,pozkari
295,Gelächter::N,рахсема,barre
296,Gelächter::N,рахсема,karkara
297,Glück::N,паваз,zori
298,Kummer::N,ризф,xangrin
299,Kummer::N,ризф,atsekabe
300,Kummer::N,пичефкс,xangrin
301,Kummer::N,пичефкс,atsekabe
302,Wunsch::N,мяль,nahi
303,Wunsch::N,мяль,nahikunde
304,Wunsch::N,таколдома,nahi
305,Wunsch::N,таколдома,nahikunde
306,Lust::N,таколдома,gogo
307,Geist::N,вайме,gogo
308,Gedanke::N,мяль,gogoeta
309,Gedächtnis::N,прявий,oroimen
310,Gedächtnis::N,прявий,gogoramen
311,Verstand::N,прявий,adimen
312,Verstand::N,прявий,ulermen
313,Sinn::N,ён,zentzu
314,Grund::N,туфта́л,zergati
315,Wahrheit::N,ви́де,egia
316,Wahrheit::N,видеши́,egia
317,Gespräch::N,корхтама,hizketa
318,Gespräch::N,корхтама,elkarrizketa
319,Märchen::N,ёфкс,ipuin
320,Erzählung::N,азкс,edesti
