,Concept_ID,ta,br
0,Auge::N,கண்,lagad
1,Ohr::N,காது,skouarn
2,Nase::N,மூக்கு,fri
3,Mund::N,வாய்,genoù
4,Zahn::N,பல்,dant
5,Zunge::N,நாக்கு,teod
6,Lippe::N,உதடு,muzell
7,Wange::N,கன்னம்,chot
8,Gesicht::N,முகம்,dremm
9,Stirn::N,முன்னெற்றி,tal
10,Haar::N,முடி,blev
11,Schnurrbart::N,மீசை,mourenn
12,Bart::N,தாடி,barv
13,Kinn::N,கீழதாடை,groñj
14,Kiefer[Anatomie]::N,தாடை,javed
15,Kehle::N,தொண்டை,gouzoug
16,Hals::N,கழுத்து,gouzoug
17,Genick::N,கழுத்து,choug
18,Kopf::N,தலை,penn
19,Rücken::N,முதுகு,kein
20,Bauch::N,வயிறு,kof
21,Nabel::N,தொப்புள்,begel
22,Busen::N,மார்பகம்,bronn
23,Brust::N, மார்பு,bruched
24,Schulter::N,தோள்பட்டை,skoaz
25,Arm::N,கரம்,brec'h
26,Ellenbogen::N,முழங்கை,ilin
27,Hand::N,கை,dorn
28,Handfläche::N,உள்ளங்கை,palv
29,Finger::N,விரல்,biz
30,Fingernagel::N,விரல் நகம்,ivin
31,Nagel[Anatomie]::N,நகம்,ivin
32,Zeh::N,கால்விரல்,biz-troad
33,Fuß::N,கால்,troad
34,Ferse::N,குதிகால்,seul
35,Knie::N,முழங்கால்,glin
36,Oberschenkel::N,தொடை,morzhed
37,Bein::N,கால்,gar
38,Körper::N,உடல்,korf
39,Haut::N,சருமம்,kroc'hen
40,Blut::N,இரத்தம்,gwad
41,Ader::N,நாளம்,gwazhi
42,Sehne::N,தசைநார்,stir
43,Knochen::N,எலுமபு,askorn
44,Gehirn::N,மூனை,empenn
45,Herz::N,இதயம,kalon
46,Magen::N,வயிறு,stomog
47,Leber::N,கல்லீரல்,avu
48,Atem::N,மூச்சு,anal
49,Hunger::N,பசி,naon
50,Träne::N,கண்ணீர்,daer
51,Geschmack::N,நறுமணம்,blaz
52,Geruch::N,துர்நாற்றம்,c'hwezh
53,Schlaf::N,தூக்கம்,kousked
54,Traum::N,கனவு,hune
55,Himmel::N,வானம்,oabl
56,Sonne::N,சூரியன்,heol
57,Mond::N,சந்திரன்,loar
58,Stern::N,நட்சத்திரம்,steredenn
59,Luft::N,காறறு,aer
60,Wind::N,காற்று,avel
61,Welle::N,அலை,houlenn
62,Wasser::N,நீர்,dour
63,Stein::N,கல்,maen
64,Boden::N,தரை,tachenn
65,Erde::N,மண்,douar
66,Staub::N,தூசி,poultr
67,Rauch::N,புகை,moged
68,Funke::N,தீப்பொறி,ful
69,Feuer::N,தீ,tan
70,Licht::N,வெளிச்சம்,gouloù
71,Schatten::N,நிழல்,disheol
72,Wetter::N,வானிலை,amzer
73,Nebel::N,பனிமூட்டம்,brumenn
74,Wolke::N,மேகம்,koumoulenn
75,Regen::N,மழை,glav
76,Schnee::N,உறைபனி,erc'h
77,Eis::N,பனிக்கட்டி,skorn
78,Frost::N,உறைபனி,rev
79,Kälte::N,குளிர்ந்த,yen
80,Hitze::N,சூடு,tommder
81,Raureif::N,உறைபனி வெண்திரை,frim
82,Regenbogen::N,வானவில்,gwareg-ar-glav
83,Donner::N,இடி,kurun
84,Strömung::N,நீரோட்டம்,red
85,Tropfen::N,துளி,bannac'h
86,Tropfen::N,துளி,takenn
87,Schaum::N,நுரை,spoum
88,Schmutz::N,அழுக்கு,fank
89,See::N,ஏரி,lenn
90,Sumpf::N,சதுப்பு நிலம்,gwern
91,Moor::N,முட்புதற்காடு,taouarc'heg
92,Wiese::N,பசும் புல்தரை,prad
93,Wald::N,காடு,koad
94,Hügel::N,குன்று,torgenn
95,Anhöhe::N,பதுக்கை,run
96,Berg::N,மலை,menez
97,Gipfel::N,உச்சி மாநாடு,barr
98,Höhle::N,குகை,kav
99,Abhang::N,சரிவு,naou
100,Quelle::N,மூலம்,feunteun
101,Bach::N,ஓடை,gwazh
102,Fluss::N,ஆறு,stêr
103,Ufer::N,நீர்க்கரை,ribl
104,Küste::N,கடற்கரை,aod
105,Festland::N,நிலம்,douar
106,Meer::N,கடல்,mor
107,Bucht::N,சிறுகுடா,mor-bihan
108,Insel::N,தீவு,enez
109,Blume::N,பூ,bleunienn
110,Gras::N,புல்தரை,geot
111,Wurzel::N,வேர்,gwrizienn
112,Baum::N,மரம்,gwezenn
113,Stamm::N,அடிமரம்,kef
114,Rinde::N,பட்டை,rusk
115,Rinde::N,மரப்பட்டை,rusk
116,Ast::N,கினை,barr
117,Zweig::N,குச்சி,bod
118,Blatt::N,இலை,delienn
119,Birke::N,பிர்ச் மரம்,bezvenn
