,Concept_ID,eu,ar
0,Auge::N,begi,عين
1,Ohr::N,belarri,أذن
2,Nase::N,sudur,أنف
3,Mund::N,aho,فم
4,Zahn::N,hortz,سن
5,Zunge::N,mihi,لسان
6,Lippe::N,ezpain,شفة
7,Wange::N,masail,خد
8,Wange::N,masail,وجنة
9,Gesicht::N,aurpegi,وجه
10,Stirn::N,bekoki,جبين
11,Haar::N,ile,شعر
12,Haar::N,bilo,شعر
13,Schnurrbart::N,bibote,شارب
14,Schnurrbart::N,sudurpeko,شارب
15,Bart::N,bizar,لحية
16,Kinn::N,kokots,ذقن
17,Kiefer[Anatomie]::N,masailezur,فك
18,Kehle::N,eztarri,حلق
19,Hals::N,sama,عنق
20,Hals::N,sama,رقبة
21,Genick::N,garondo,قفا
22,Kopf::N,buru,رأس
23,Rücken::N,bizkar,ظهر
24,Bauch::N,sabel,بطن
25,Nabel::N,zilbor,سرة
26,Busen::N,titi,ثدي
27,Busen::N,ugatz,ثدي
28,Brust::N,bular,صدر
29,Schulter::N,besaburu,كتف
30,Arm::N,beso,ذراع
31,Ellenbogen::N,ukondo,كوع
32,Hand::N,esku,يد
33,Handfläche::N,ahur,كف
34,Finger::N,hatz,إصبع
35,Fingernagel::N,azazkal,ظفر
36,Nagel[Anatomie]::N,azazkal,ظفر
37,Zeh::N,behatz,إصبع القدم
38,Fuß::N,oin,قدم
39,Ferse::N,orpo,كعب
40,Ferse::N,oinburu,كعب
41,Knie::N,belaun,ركبة
42,Oberschenkel::N,izter,فخذ
43,Bein::N,zango,ساق
44,Körper::N,soin,جسم
45,Haut::N,azal,بشرة
46,Blut::N,odol,دم
47,Ader::N,zain,عرق
48,Sehne::N,gihar-zain,طنب
49,Knochen::N,hezur,عظم
50,Gehirn::N,garun,دماغ
51,Gehirn::N,burmuin,دماغ
52,Herz::N,bihotz,قلب
53,Magen::N,urdail,معدة
54,Leber::N,gibel,كبد
55,Atem::N,hats,نفس
56,Atem::N,arnasa,نفس
57,Hunger::N,gose,جوع
58,Träne::N,malko,دمعة
59,Geschmack::N,dasta,طعم
60,Geschmack::N,dasta,مذاق
61,Geruch::N,usain,رائحة
62,Schlaf::N,lo,نوم
63,Schlaf::N,lo,منام
64,Traum::N,amets,حلم
65,Himmel::N,zeru,سماء
66,Sonne::N,eguzki,شمس
67,Mond::N,ilargi,قمر
68,Stern::N,izar,نجم
69,Stern::N,izar,كوكب
70,Luft::N,aire,هواء
71,Wind::N,haize,ريح
72,Welle::N,uhin,موجة
73,Welle::N,olatu,موجة
74,Wasser::N,ur,ماء
75,Stein::N,harri,حجر
76,Boden::N,lur,تراب
77,Boden::N,zoru,تراب
78,Erde::N,lur,أرض
79,Staub::N,hauts,غبار
80,Rauch::N,ke,دخان
81,Funke::N,zirta,شرارة
82,Funke::N,txinparta,شرارة
83,Feuer::N,su,نار
84,Licht::N,argi,نور
85,Licht::N,argi,ضوء
86,Schatten::N,itzal,ظل
87,Schatten::N,itzal,فيء
88,Schatten::N,geriza,ظل
89,Schatten::N,geriza,فيء
90,Wetter::N,eguraldi,جو
91,Wetter::N,eguraldi,طقس
92,Nebel::N,laino,ضباب
93,Wolke::N,hodei,غيمة
94,Wolke::N,hodei,سحابة
95,Regen::N,euri,مطر
96,Schnee::N,elur,ثلج
97,Eis::N,horma,جليد
98,Frost::N,izotzaldi,صقيع
99,Kälte::N,hotz,برد
100,Hitze::N,bero,حر
101,Hitze::N,bero,حرارة
102,Raureif::N,antzigar,صقيع
103,Regenbogen::N,ostadar,قوس قزح
104,Regenbogen::N,ortzadar,قوس قزح
105,Donner::N,ostots,رعد
106,Donner::N,ihurtzuri,رعد
107,Strömung::N,laster,تيار
108,Tropfen::N,xorta,قطرة
109,Schaum::N,bits,زبد
110,Schaum::N,bits,رغوة
111,Schmutz::N,lohi,وسخ
112,Schmutz::N,zikin,وسخ
113,See::N,laku,بحيرة
114,See::N,aintzira,بحيرة
115,Sumpf::N,zingira,مستنقع
116,Moor::N,zohikaztegi,مستنقع
117,Wiese::N,larre,مرج
118,Wiese::N,belardi,مرج
119,Wald::N,baso,غابة
120,Wald::N,oihan,غابة
121,Hügel::N,muino,تل
122,Hügel::N,pentoka,تل
123,Anhöhe::N,garai,تل
124,Anhöhe::N,goragune,تل
125,Berg::N,mendi,جبل
126,Gipfel::N,gain,قمة
127,Gipfel::N,tontor,قمة
128,Höhle::N,kobazulo,كهف
129,Abhang::N,aldapa,منحدر
130,Quelle::N,iturri,منبع
131,Quelle::N,iturbegi,منبع
132,Bach::N,lats,مجرى
133,Bach::N,erreka,مجرى
134,Fluss::N,ibai,نهر
135,Fluss::N,uhaitz,نهر
136,Ufer::N,bazter,ضفة
137,Küste::N,itsasalde,ساحل
138,Festland::N,lehor,بر
139,Meer::N,itsaso,بحر
140,Bucht::N,golko,خليج
141,Insel::N,irla,جزيرة
142,Insel::N,uharte,جزيرة
143,Blume::N,lili,زهرة
144,Gras::N,belar,حشيش
145,Wurzel::N,zuztar,أصل
146,Wurzel::N,sustrai,أصل
147,Baum::N,zuhaitz,شجرة
148,Stamm::N,enbor,جذع
149,Rinde::N,azal,قشرة
150,Ast::N,adar,فرع
151,Zweig::N,abar,غصن
152,Blatt::N,hosto,ورقة
153,Birke::N,urki,قضبان
154,Kiefer[Baum]::N,ler,صنوبرة
155,Weide[Baum]::N,zume,صفصاف
156,Weide[Baum]::N,sahats,صفصاف
157,Tanne::N,izei,شوح
158,Tanne::N,izei,تبوب
159,Horn::N,adar,قرن
160,Feder::N,luma,ريشة
161,Feder::N,hegaki,ريشة
162,Fell::N,ile,فرو
163,Fell::N,larru,فرو
164,Flügel::N,hego,جناح
165,Klaue::N,atzapar,مخلب
166,Kralle::N,erpe,مخلب
167,Kralle::N,atzapar,مخلب
168,Schwanz::N,isats,ذيل
169,Schwanz::N,buztan,ذيل
170,Ei::N,arrautza,بيض
171,Nest::N,habia,عش
172,Bau::N,ohantze,جحر
173,Tier::N,abere,حيوان
174,Tier::N,piztia,حيوان
175,Herde::N,saldo,قطيع
176,Herde::N,abere talde,قطيع
177,Kuh::N,behi,بقرة
178,Bulle::N,zezen,ثور
179,Pferd::N,zaldi,خيل
180,Schaf::N,ardi,شاة
181,Schwein::N,urde,خنزير
182,Schwein::N,txerri,خنزير
183,Hund::N,txakur,كلب
184,Katze::N,katu,قطة
185,Bär::N,hartz,دب
186,Eichhörnchen::N,urtxintxa,سنجاب
187,Elch::N,altze,موظ
188,Fuchs::N,azeri,ثعلب
189,Hase::N,erbi,أرنب
190,Maus::N,sagu,فأرة
191,Wolf::N,otso,ذئب
192,Vogel::N,txori,طير
193,Vogel::N,hegazti,طير
194,Schwarm::N,aldra,سرب
195,Huhn::N,oilo,دجاجة
196,Hahn::N,oilar,ديك
197,Gans::N,antzara,وزة
198,Adler::N,arrano,نسر
199,Ente::N,ahate,بطة
200,Eule::N,hontza,بوم
201,Kranich::N,kurrilo,كركي
202,Krähe::N,bele,غراب
203,Kuckuck::N,kuku,وقواق
204,Schwan::N,beltxarga,إوز عراقي
205,Fisch::N,arrain,سمك
206,Barsch::N,perka,فرخ أوربي
207,Hecht::N,lutxo,سمك الكراكي
208,Schlange[Tier]::N,suge,حية
209,Schlange[Tier]::N,suge,ثعبان
210,Wurm::N,har,دودة
211,Spinne::N,armiarma,عنكبوت
212,Ameise::N,inurri,نملة
213,Laus::N,zorri,قملة
214,Mücke::N,eltxo,ناموسة
215,Fliege::N,euli,ذبابة
216,Schmetterling::N,pinpirin,فراشة
217,Schmetterling::N,tximeleta,فراشة
218,Beere::N,baia,حبة
219,Apfel::N,sagar,تفاح
220,Pilz::N,onddo,فطر
221,Pilz::N,perretxiko,فطر
222,Zwiebel::N,tipula,بصل
223,Saat::N,haziak,زرع
224,Korn::N,ale,حبة
225,Korn::N,pikor,حبة
226,Heu::N,belar ondu,دريس
227,Schale::N,azal,قشرة
228,Grube::N,hobi,نقرة
229,Falle::N,harrapagailu,فخ
230,Falle::N,harrapagailu,مصيدة
231,Schlinge::N,bilur,عروة
232,Schlinge::N,xedera,عروة
233,Spur::N,lorratz,أثر
234,Asche::N,errauts,رماد
235,Dreck::N,satsukeria,قذر
236,Eisen::N,burdina,حديد
237,Gold::N,urre,ذهب
238,Gold::N,urregorri,ذهب
239,Silber::N,zilar,فضة
240,Silber::N,urrezuri,فضة
241,Kohle::N,ikatz,فحم
242,Glas::N,beira,زجاج
243,Lehm::N,buztin,طين
244,Sand::N,harea,رمل
245,Sand::N,hondar,رمل
246,Mensch::N,gizaki,إنسان
247,Mann::N,gizon,رجل
248,Frau::N,andere,امرأة
249,Frau::N,emakume,امرأة
250,Kind::N,haur,طفل
251,Junge::N,mutil,ولد
252,Mädchen::N,neska,بنت
253,Familie::N,sendi,عائلة
254,Familie::N,familia,عائلة
255,Großvater::N,aitona,جد
256,Großvater::N,aitatxi,جد
257,Großmutter::N,amona,جدة
258,Großmutter::N,amatxi,جدة
259,Eltern::N,gurasoak,أبوان
260,Eltern::N,gurasoak,والدان
261,Vater::N,aita,أب
262,Mutter::N,ama,أم
263,Sohn::N,seme,إبن
264,Tochter::N,alaba,بنت
265,Tochter::N,alaba,إبنة
266,Bruder::N,neba,أخ
267,Bruder::N,neba,شقيق
268,Bruder::N,anaia,أخ
