,Concept_ID,cs,az
0,Auge::N,oko,göz
1,Ohr::N,ucho,qulaq
2,Nase::N,nos,burun
3,Mund::N,pusa,ağız
4,Zahn::N,zub,diş
5,Zunge::N,jazyk,dil
6,Lippe::N,ret,dodaq
7,Wange::N,tvář,yanaq
8,Gesicht::N,obličej,üz
9,Stirn::N,čelo,alın
10,Haar::N,vlas,saç
11,Haar::N,vlasy,saç
12,Schnurrbart::N,kníry,bığ
13,Bart::N,vousy,saqqal
14,Kinn::N,brada,çənə
15,Kiefer[Anatomie]::N,čelist,çənə
16,Kehle::N,hrdlo,boğaz
17,Hals::N,krk,boyun
18,Genick::N,týl,ənsə
19,Kopf::N,hlava,baş
20,Rücken::N,záda,bel
21,Rücken::N,hřbet,bel
22,Bauch::N,břicho,qarın
23,Nabel::N,pupek,göbək
24,Busen::N,ňadra,məmə
25,Brust::N,prsa,döş
26,Schulter::N,plece,çiyin
27,Schulter::N,rameno,çiyin
28,Arm::N,ruka,qol
29,Ellenbogen::N,loket,dirsək
30,Hand::N,ruka,əl
31,Handfläche::N,dlaň,ovuc
32,Finger::N,prst,barmaq
33,Fingernagel::N,nehet,barmaq dırnağı
34,Nagel[Anatomie]::N,nehet,dırnak
35,Zeh::N,prst u nohy,ayaq barmağı
36,Fuß::N,noha,ayaq
37,Ferse::N,pata,daban
38,Knie::N,koleno,diz
39,Oberschenkel::N,stehno,bud
40,Bein::N,noha,qıç
41,Körper::N,tělo,əndam
42,Haut::N,kůže,dəri
43,Blut::N,krev,qan
44,Ader::N,céva,damar
45,Sehne::N,šlacha,vətər
46,Knochen::N,kost,sümük
47,Gehirn::N,mozek,beyin
48,Herz::N,srdce,ürək
49,Magen::N,žaludek,mədə
50,Leber::N,játra,qara ciyər
51,Atem::N,dech,nəfəs
52,Hunger::N,hlad,aclıq
53,Träne::N,slza,göz yaşı
54,Geschmack::N,vkus,tam
55,Geschmack::N,vkus,ləzzət
56,Geruch::N,vůně,qoxu
57,Geruch::N,zápach,qoxu
58,Schlaf::N,spánek,yuxu
59,Traum::N,sen,röya
60,Himmel::N,nebe,göy
61,Himmel::N,nebe,səma
62,Sonne::N,slunce,günəş
63,Mond::N,měsíc,ay
64,Stern::N,hvězda,ulduz
65,Luft::N,vzduch,hava
66,Wind::N,vítr,yel
67,Wind::N,vítr,külək
68,Welle::N,vlna,dalğa
69,Wasser::N,voda,su
70,Stein::N,kámen,daş
71,Boden::N,půda,yer
72,Boden::N,půda,zəmin
73,Erde::N,země,yer torpaq
74,Staub::N,prach,toz
75,Rauch::N,dým,tüstü
76,Rauch::N,kouř,tüstü
77,Funke::N,jiskra,qığılcım
78,Feuer::N,oheň,od
79,Licht::N,světlo,işıq
80,Schatten::N,stín,kölgə
81,Wetter::N,počasí,hava
82,Nebel::N,mlha,duman
83,Wolke::N,mrak,bulud
84,Wolke::N,oblak,bulud
85,Regen::N,déšť,yağış
86,Regen::N,déšť,yağmur
87,Schnee::N,sníh,qar
88,Eis::N,led,buz
89,Frost::N,mráz,ayaz
90,Kälte::N,chlad,soyuq
91,Hitze::N,horko,coşğunluq
92,Raureif::N,jinovatka,qırov
93,Regenbogen::N,duha,göy qurşağı
94,Donner::N,hrom,göy gurultusu
95,Strömung::N,proudění,axın
96,Tropfen::N,kapka,damcı
97,Schaum::N,pěna,köpük
98,Schmutz::N,špína,çamır
99,See::N,jezero,göl
100,Sumpf::N,močál,bataqlıq
101,Sumpf::N,bažina,bataqlıq
102,Moor::N,bažina,bataqlıq
103,Moor::N,slatina,bataqlıq
104,Wiese::N,louka,çəmən
105,Wald::N,les,meşə
106,Hügel::N,kopec,təpə
107,Anhöhe::N,pahorek,təpə
108,Berg::N,hora,dağ
109,Gipfel::N,vrchol,zirvə
110,Höhle::N,jeskyně,mağara
111,Abhang::N,svah,yamac
112,Abhang::N,stráň,yamac
113,Quelle::N,pramen,bulaq
114,Bach::N,potok,kiçik çay
115,Fluss::N,řeka,çay
116,Ufer::N,břeh,kənar
117,Küste::N,pobřeží,sahil
118,Festland::N,souš,materik
119,Festland::N,pevnina,materik
120,Meer::N,moře,dəniz
121,Bucht::N,záliv,körfəz
122,Bucht::N,zátoka,körfəz
123,Insel::N,ostrov,ada
124,Blume::N,květina,çiçək
125,Gras::N,tráva,ot
126,Wurzel::N,kořen,kök
127,Baum::N,strom,ağac
128,Stamm::N,kmen,gövdə
129,Rinde::N,kůra,qabıq
130,Ast::N,větev,şax
131,Zweig::N,větev,budaq
132,Blatt::N,lupen,yarpaq
133,Birke::N,bříza,tozağacı
134,Kiefer[Baum]::N,sosna,şam
135,Kiefer[Baum]::N,borovice,şam
136,Weide[Baum]::N,vrba,söyüd
137,Tanne::N,jedle,küknar
138,Horn::N,roh,buynuz
139,Feder::N,pero,tük
140,Feder::N,pero,lələk
141,Fell::N,srst,xəz
142,Flügel::N,křídlo,qanad
143,Klaue::N,dráp,pəncə
144,Klaue::N,pazneht,pəncə
145,Kralle::N,dráp,dırnaq
146,Schwanz::N,ocas,quyruq
147,Ei::N,vejce,yumurta
148,Nest::N,hnízdo,yuva
149,Bau::N,nora,yuva
150,Tier::N,zvíře,heyvan
151,Herde::N,stádo,sürü
152,Kuh::N,kráva,inək
153,Bulle::N,býk,öküz
154,Pferd::N,kůň,at
155,Schaf::N,ovce,qoyun
156,Schwein::N,vepř,donuz
157,Schwein::N,prase,donuz
158,Hund::N,pes,it
159,Hund::N,pes,köpək
160,Katze::N,kočka,pişik
161,Bär::N,medvěd,ayı
162,Eichhörnchen::N,veverka,dələ
163,Elch::N,los,sığın
164,Fuchs::N,liška,tülkü
165,Hase::N,zajíc,dovşan
166,Maus::N,myš,siçan
167,Wolf::N,vlk,qurd
168,Vogel::N,pták,quş
169,Schwarm::N,roj,sürü
170,Schwarm::N,hejno,sürü
171,Huhn::N,kuře,toyuq
172,Huhn::N,slepice,toyuq
173,Hahn::N,kohout,xoruz
174,Gans::N,husa,qaz
175,Adler::N,orel,qartal
176,Adler::N,orel,qaraquş
177,Ente::N,kachna,ördək
