,Concept_ID,tr,ka
504,Fett::N,yağ,ცხიმი
505,Butter::N,tereyağı,კარაქი
506,Öl::N,yağ,ზეთი
507,Öl::N,akar yağ,ზეთი
508,Salz::N,tuz,მარილი
509,Suppe::N,çorba,სუფი
510,Honig::N,bal,თაფლი
511,Milch::N,süt,რძე
512,Tee::N,çay,ჩაი
513,Leder::N,deri,ტყავი
514,Leder::N,meşin,ტყავი
515,Wolle::N,yün,მატყლი
516,Stoff::N,kumaş,ქსოვილი
517,Nadel::N,iğne,ნემსი
518,Faden::N,tire,ძაფი
519,Faden::N,tire,მკედი
520,Faden::N,iplik,ძაფი
521,Faden::N,iplik,მკედი
522,Knopf::N,düğme,ღილი
523,Knoten::N,düğüm,ნასკვი
524,Farbe::N,boya,საღებავი
525,Kleidung::N,giyim,ტანსაცმელი
526,Hemd::N,gömlek,ხალათი
527,Hemd::N,gömlek,პერანგი
528,Kragen::N,yaka,საყელო
529,Ärmel::N,yen,სახელო
530,Ärmel::N,elbise kolu,სახელო
531,Hose::N,pantolon,შარვალი
532,Gürtel::N,kuşak,ქამარი
533,Mütze::N,bere,ქუდი
534,Mütze::N,kasket,ქუდი
535,Schuh::N,kundura,ფეხსაცმელი
536,Schuh::N,ayakkabı,ფეხსაცმელი
537,Stiefel::N,çizme,ჩექმა
538,Ring::N,yüzük,ბეჭედი
539,Band::N,bağ,ბაფთი
540,Band::N,şerit,ბაფთი
541,Kamm::N,tarak,სავარცხელი
542,Spiegel::N,ayna,სარკე
543,Riemen::N,kayış,ღვედი
544,Schnur::N,ip,ლარი
545,Schnur::N,sicim,ლარი
546,Leine::N,kayış,ჯაჭვი
547,Decke::N,örtü,საბანი
548,Decke::N,yorgan,საბანი
549,Kissen::N,yastık,ბალიში
550,Tuch::N,bez,მაუდი
551,Tuch::N,bez,თავშალი
552,Handtuch::N,havlu,ხელსახოცი
553,Kraft::N,güç,ძალა
554,Kraft::N,kuvvet,ძალა
555,Stärke::N,kuvvet,ღონე
556,Gesundheit::N,sağlık,ჯანმრთელობა
557,Krankheit::N,hastalık,სენი
558,Krankheit::N,hastalık,ავადმყოფობა
559,Schmerz::N,ağrı,ტკივილი
560,Schmerz::N,sancı,ტკივილი
561,Wunde::N,yara,იარი
562,Wunde::N,yara,ჭრილობა
563,Fieber::N,ateş,ციება
564,Arznei::N,ilâç,წამალი
565,Brücke::N,köprü,ხიდი
566,Brunnen::N,kuyu,ჭა
567,Brunnen::N,çeşme,ჭა
568,Weide::N,otlak,საძოვარი
569,Pfad::N,patika,ბილიკი
570,Pfad::N,keçiyolu,ბილიკი
571,Weg::N,yol,გზა
572,Straße::N,yol,შარაგზა
573,Straße::N,cadde,შარაგზა
574,Dorf::N,köy,დაბა
575,Dorf::N,köy,სოფელი
576,Stadt::N,kent,ქალაქი
577,Stadt::N,şehir,ქალაქი
578,Brief::N,mektup,წერილი
579,Buch::N,kitap,წიგნი
580,Buchstabe::N,harf,ასო
581,Zeitung::N,gazete,გაზეთი
582,Leben::N,hayat,სიცოცხლე
583,Tod::N,ölüm,სიკვდილი
584,Grab::N,kabir,სამარე
585,Grab::N,kabir,საფლავი
586,Kirche::N,kilise,ეკლესია
587,Sünde::N,günah,ცოდვა
588,Gott::N,tanrı,ღმერთი
589,Arbeiter::N,işçi,მუშა
590,Chef::N,şef,გამგე
591,Chef::N,müdür,გამგე
592,Meister::N,usta,ოსტატი
593,Arzt::N,hekim,ექიმი
594,Arzt::N,hekim,მკურნალი
595,Arzt::N,doktor,ექიმი
596,Arzt::N,doktor,მკურნალი
597,Lehrer::N,hoca,მასწავლებელი
598,Lehrer::N,öğretmen,მასწავლებელი
599,Geld::N,para,ფული
600,Geschäft::N,ticaret,საქმე
601,Geschäft::N,ticaret,ბიზნესი
602,Laden::N,dükkân,დუქანი
603,Laden::N,dükkân,მაღაზია
604,Preis::N,fiyat,ფასი
605,Ware::N,mal,საქონელი
606,Nutzen::N,fayda,ხეირი
607,Reichtum::N,servet,სიმდიდრე
608,Reichtum::N,zenginlik,სიმდიდრე
609,Welt::N,dünya,მსოფლიო
610,Land::N,ülke,მხარე
611,Land::N,ülke,ქვეყანა
612,Staat::N,devlet,სახელმწიფო
613,König::N,kral,მეფე
614,Macht::N,kudret,ძლიერება
615,Macht::N,iktidar,ძლიერება
616,Grenze::N,had,ზღვარი
617,Grenze::N,sınır,ზღვარი
618,Krieg::N,savaş,ომი
619,Feind::N,düşman,მტერი
620,Gewalt::N,zor,სისასტიკე
621,Gewalt::N,cebir,სისასტიკე
622,Kampf::N,savaş,ბრძოლა
623,Bogen[Waffe]::N,yay,მშვილდი
624,Pfeil::N,ok,ისარი
625,Pfeil::N,ok,მახვილი
626,Gewehr::N,tüfek,თოფი
627,Gewehr::N,tüfek,შაშხანა
628,Fehler::N,hata,შეცდომა
629,Fehler::N,yanlış,შეცდომა
630,Lüge::N,yalan,სიცრუე
631,Schaden::N,zarar,ვნება
632,Unglück::N,felâket,ხიფათი
633,Unglück::N,felâket,უბედურება
634,Unglück::N,talihsizlik,ხიფათი
635,Unglück::N,talihsizlik,უბედურება
636,Schuld::N,suç,ბრალი
637,Schuld::N,kabahat,ბრალი
638,Alter::N,yaş,ასაკი
639,Schluss::N,son,ბოლო
640,Schluss::N,son,დასასრული
641,Zeit::N,zaman,დრო
642,Tag::N,gün,დღე
643,Morgen::N,sabah,დილა
644,Mittag::N,öğle,შუადღე
645,Abend::N,akşam,საღამო
646,Nacht::N,gece,ღამე
647,Woche::N,hafta,კვირა
648,Monat::N,ay,თვე
649,Jahr::N,yıl,წელი
650,Jahr::N,sene,წელი
651,Frühling::N,ilkbahar,გაზაფხული
652,Sommer::N,yaz,ზაფხული
653,Herbst::N,güz,შემოდგომა
654,Herbst::N,sonbahar,შემოდგომა
655,Winter::N,kış,ზამთარი
656,Januar::N,ocak,იანვარი
657,Februar::N,şubat,თებერვალი
658,März::N,mart,მარტი
659,April::N,nisan,აპრილი
660,Mai::N,mayıs,მაისი
661,Juni::N,haziran,ივნისი
662,Juli::N,temmuz,ივლისი
663,August::N,ağustos,აგვისტო
664,September::N,eylül,სექტემბერი
665,Oktober::N,ekim,ოქტომბერი
666,November::N,kasım,ნოემბერი
667,Dezember::N,aralık,დეკემბერი
668,Montag::N,pazartesi,ორშაბათი
669,Dienstag::N,salı,სამშაბათი
670,Mittwoch::N,çarşamba,ოთხშაბათი
671,Donnerstag::N,perşembe,ხუთშაბათი
672,Freitag::N,cuma,პარასკევი
673,Samstag::N,cumartesi,შაბათი
674,Sonntag::N,pazar,კვირა
675,groß::A,büyük,დიდი
676,klein::A,ufak,მცირე
677,klein::A,ufak,პატარა
678,klein::A,küçük,მცირე
679,klein::A,küçük,პატარა
680,lang::A,uzun,გრძელი
681,kurz::A,kısa,მოკლე
682,breit::A,enli,ფართო
683,breit::A,enli,განიერი
684,breit::A,geniş,ფართო
685,breit::A,geniş,განიერი
686,schmal::A,dar,ვიწრო
687,schmal::A,dar,წვრილი
688,dicht::A,sık,მჭიდრო
689,dicht::A,yoğun,მჭიდრო
690,dick[Gegenstand]::A,kalın,სქელი
691,dick[Gegenstand]::A,iri,სქელი
692,dünn::A,ince,წვრილი
693,fein::A,ince,თხელი
694,fein::A,narin,თხელი
695,fest::A,sabit,მყარი
696,fest::A,sağlam,მყარი
697,flach::A,düz,ბრტყელი
698,flach::A,yassı,ბრტყელი
699,glatt::A,düz,გლუ
700,hart::A,katı,მაგარი
701,weich::A,yumuşak,რბილი
702,rund::A,yuvarlak,მრგვალი
703,spitz::A,sivri,წვეტიანი
704,scharf::A,keskin,მჭრელი
705,stumpf::A,kör,ბლაგვი
706,schwer::A,ağır,მძიმე
707,schön::A,güzel,ლამაზი
708,heiß::A,kızgın,ცხელი
709,warm::A,sıcak,თბილი
710,kalt::A,soğuk,ცივი
711,kühl::A,serin,გრილი
712,frisch::A,taze,სუფთა
713,feucht::A,nemli,ნოტიო
714,feucht::A,rutubetli,ნოტიო
715,nass::A,yaş,სველი
716,nass::A,ıslak,სველი
717,trocken::A,kuru,მშრალი
718,voll::A,dolu,სავსე
719,voll::A,dolmuş,სავსე
720,leer::A,boş,ცარიელი
721,offen::A,açık,ღია
722,offen::A,açık,გაშლილი
723,geschlossen::A,kapalı,დახურული
724,sauber::A,pak,სუფთა
725,sauber::A,pak,წმინდა
726,sauber::A,temiz,სუფთა
727,sauber::A,temiz,წმინდა
728,schmutzig::A,pis,ტალახიანი
729,schmutzig::A,kirli,ტალახიანი
730,roh::A,çiğ,უმი
731,reif::A,olgun,მწიფე
732,lecker::A,lezzetli,გემრიელი
733,süß::A,tatlı,ტკბილი
734,süß::A,şekerli,ტკბილი
735,bitter::A,acı,მწარე
736,sauer::A,ekşi,მჟავე
737,hell::A,aydınlık,ნათელი
738,dunkel::A,karanlık,ბნელი
739,schwarz::A,kara,შავი
740,schwarz::A,siyah,შავი
741,weiß::A,ak,თეთრი
742,weiß::A,beyaz,თეთრი
743,rot::A,kırmızı,წითელი
744,gelb::A,sarı,ყვითელი
745,blau::A,mavi,ლურჯი
746,blau::A,mavi,ცისფერი
747,grün::A,yeşil,მწვანე
748,grau::A,boz,რუხი
749,grau::A,boz,ნაცრისფერი
750,bunt::A,renkli,ჭრელი
751,bunt::A,renkli,ფერადი
752,billig::A,ucuz,იაფი
753,teuer::A,pahalı,ძვირი
754,wertvoll::A,değerli,ღირსიანი
755,blind::A,kör,ბრმა
756,taub::A,sağır,ყრუ
757,kräftig::A,dinç,ძალავანი
758,kräftig::A,kuvvetli,ძალავანი
