,Concept_ID,sk,sv
0,Auge::N,oko,öga
1,Ohr::N,ucho,öra
2,Nase::N,nos,näsa
3,Mund::N,ústa,mun
4,Zahn::N,zub,tand
5,Zunge::N,jazyk,tunga
6,Lippe::N,pera,läpp
7,Wange::N,líce,kind
8,Gesicht::N,tvár,syn
9,Gesicht::N,tvár,ansikte
10,Gesicht::N,obličaj,syn
11,Gesicht::N,obličaj,ansikte
12,Stirn::N,čelo,panna
13,Haar::N,vlas,hår
14,Schnurrbart::N,fúzy,mustasch
15,Bart::N,brada,skägg
16,Kinn::N,brada,haka
17,Kiefer[Anatomie]::N,čeľusť,käke
18,Kehle::N,hrdlo,strupe
19,Hals::N,krk,hals
20,Genick::N,väzy,nacke
21,Kopf::N,hlava,huvud
22,Rücken::N,chrbát,rygg
23,Bauch::N,brucho,buk
24,Bauch::N,brucho,mage
25,Nabel::N,pupok,navel
26,Busen::N,prsia,barm
27,Brust::N,hruď,bröst
28,Schulter::N,plece,skuldra
29,Arm::N,rameno,arm
30,Ellenbogen::N,lakeť,armbåge
31,Hand::N,ruka,hand
32,Handfläche::N,dlaň,handflata
33,Finger::N,prst,finger
34,Fingernagel::N,necht,fingernagel
35,Nagel[Anatomie]::N,necht,nagel
36,Zeh::N,prst na nohe,tå
37,Fuß::N,noha,fot
38,Ferse::N,päta,häl
39,Knie::N,koleno,knä
40,Oberschenkel::N,stehno,lår
41,Bein::N,noha,ben
42,Körper::N,telo,kropp
43,Haut::N,koža,hud
44,Haut::N,koža,skinn
45,Blut::N,krv,blod
46,Ader::N,žila,åder
47,Sehne::N,šľacha,sena
48,Knochen::N,kosť,ben
49,Gehirn::N,mozog,hjärna
50,Herz::N,srdce,hjärta
51,Magen::N,žalúdok,mage
52,Leber::N,pečeň,lever
53,Atem::N,dych,anda
54,Atem::N,dych,andedräkt
55,Hunger::N,hlad,svält
56,Hunger::N,hlad,hunger
57,Träne::N,slza,tår
58,Geschmack::N,chuť,smak
59,Geruch::N,pach,lukt
60,Schlaf::N,spánok,sömn
61,Traum::N,sen,dröm
62,Himmel::N,nebo,himmel
63,Sonne::N,slnko,sol
64,Mond::N,mesiac,måne
65,Stern::N,hviezda,stjärna
66,Luft::N,vzduch,luft
67,Wind::N,vietor,vind
68,Welle::N,vlna,våg
69,Welle::N,vlna,bölja
70,Wasser::N,voda,vatten
71,Stein::N,kameň,sten
72,Boden::N,zem,mark
73,Boden::N,pôda,mark
74,Erde::N,zem,jord
75,Staub::N,prach,damm
76,Rauch::N,dym,rök
77,Funke::N,iskra,gnista
78,Feuer::N,oheň,eld
79,Licht::N,svetlo,ljus
80,Schatten::N,tieň,skugga
81,Wetter::N,počasie,väder
82,Nebel::N,hmla,dimma
83,Nebel::N,hmla,töcken
84,Wolke::N,oblak,sky
85,Wolke::N,oblak,moln
86,Wolke::N,mračno,sky
87,Wolke::N,mračno,moln
88,Regen::N,dážď,regn
89,Schnee::N,sneh,snö
90,Eis::N,ľad,is
91,Frost::N,mráz,frost
92,Kälte::N,zima,köld
93,Kälte::N,chlad,köld
94,Hitze::N,horúčava,hetta
95,Raureif::N,srieň,rimfrost
96,Raureif::N,inovať,rimfrost
97,Regenbogen::N,dúha,regnbåge
98,Donner::N,hrom,åska
99,Donner::N,hrom,dunder
100,Strömung::N,prúdenie,strömning
101,Tropfen::N,kvapka,dropper
102,Schaum::N,pena,skum
103,Schmutz::N,špina,lort
104,Schmutz::N,špina,smuts
105,Schmutz::N,nečistota,lort
106,Schmutz::N,nečistota,smuts
107,See::N,jazero,sjö
108,Sumpf::N,bahno,träsk
109,Moor::N,močiar,myr
110,Moor::N,močiar,mosse
111,Wiese::N,lúka,äng
