,Concept_ID,hi,cy
0,Auge::N,आँख,llygad
1,Auge::N,चक्षु,llygad
2,Ohr::N,कान,clust
3,Ohr::N,कर्ण,clust
4,Nase::N,नाक,trwyn
5,Nase::N,नासा,trwyn
6,Mund::N,मुख,ceg
7,Mund::N,मुँह,ceg
8,Zahn::N,दंत,dant
9,Zahn::N,दाँत,dant
10,Zunge::N,जीभ,tafod
11,Zunge::N,ज़बान,tafod
12,Zunge::N,जिह्वा,tafod
13,Lippe::N,ओंठ,gwefus
14,Lippe::N,होंठ,gwefus
15,Wange::N,गाल,boch
16,Wange::N,कपोल,boch
17,Gesicht::N,मुँह,wyneb
18,Gesicht::N,चेहरा,wyneb
19,Stirn::N,माथा,talcen
20,Stirn::N,मस्तक,talcen
21,Haar::N,बाल,blew
22,Schnurrbart::N,मूँछें,mwstas
23,Bart::N,दाढ़ी,barf
24,Kinn::N,चिबुक,gên
25,Kiefer[Anatomie]::N,जबड़ा,gên
26,Kehle::N,गला,gwddf
27,Hals::N,गला,gwddf
28,Hals::N,गरदन,gwddf
29,Genick::N,गरदन,gwar
30,Genick::N,गरदन,gwegil
31,Genick::N,ग्रीवा,gwar
32,Genick::N,ग्रीवा,gwegil
33,Kopf::N,सिर,pen
34,Kopf::N,शीर्ष,pen
35,Rücken::N,पीठ,cefn
36,Bauch::N,उदर,bol
37,Nabel::N,नाभि,bogail
38,Nabel::N,ढोंढी,bogail
39,Busen::N,कुच,bron
40,Busen::N,स्तन,bron
41,Brust::N,वक्ष,brest
42,Schulter::N,कंधा,ysgwydd
43,Schulter::N,स्कंध,ysgwydd
44,Arm::N,बाँह,braich
45,Arm::N,बाज़ू,braich
46,Ellenbogen::N,कुहनी,penelin
47,Hand::N,हाथ,llaw
48,Hand::N,हस्त,llaw
49,Handfläche::N,हथेली,palf
50,Finger::N,उँगली,bys
51,Finger::N,अँगुली,bys
52,Fingernagel::N,नख,ewin
53,Fingernagel::N,नाख़ून,ewin
54,Nagel[Anatomie]::N,नख,ewin
55,Nagel[Anatomie]::N,नाख़ून,ewin
56,Zeh::N,उँगली,bys troed
57,Zeh::N,पाँव की उँगली,bys troed
58,Fuß::N,चरण,troed
59,Fuß::N,पाँव,troed
60,Ferse::N,एड़ी,sawdl
61,Knie::N,जानु,glin
62,Knie::N,घुटना,glin
63,Oberschenkel::N,उरु,clun
64,Bein::N,टाँग,coes
65,Körper::N,तन,corff
66,Körper::N,देह,corff
67,Körper::N,शरीर,corff
68,Haut::N,चर्म,croen
69,Haut::N,त्वचा,croen
70,Blut::N,लहू,gwaed
71,Blut::N,ख़ून,gwaed
72,Ader::N,रग,gwythïen
73,Ader::N,शिरा,gwythïen
74,Sehne::N,कंडरा,gewyn
75,Sehne::N,स्नायु,gewyn
76,Knochen::N,अस्थि,asgwrn
77,Gehirn::N,दिमाग़,ymennydd
78,Gehirn::N,मस्तिष्क,ymennydd
79,Herz::N,दिल,calon
80,Herz::N,हृदय,calon
81,Magen::N,मेदा,cylla
82,Magen::N,मेदा,stumog
83,Magen::N,अमाशय,cylla
84,Magen::N,अमाशय,stumog
85,Leber::N,जिगर,iau
86,Leber::N,यकृत्,iau
87,Atem::N,दम,anadl
88,Atem::N,साँस,anadl
89,Atem::N,श्वास,anadl
90,Hunger::N,भूख,newyn
91,Hunger::N,क्षुधा,newyn
92,Träne::N,आँसू,deigryn
93,Träne::N,अश्रु,deigryn
94,Geschmack::N,स्वाद,cyflas
95,Geschmack::N,ज़ायक़ा,cyflas
96,Geruch::N,बू,aroglau
97,Geruch::N,गंध,aroglau
98,Schlaf::N,नींद,cwsg
99,Schlaf::N,निद्रा,cwsg
100,Traum::N,सपना,breuddwyd
101,Traum::N,स्वप्न,breuddwyd
102,Himmel::N,आकाश,awyr
103,Himmel::N,आसमान,awyr
104,Sonne::N,रवि,haul
105,Sonne::N,सूरज,haul
106,Sonne::N,सूर्य,haul
107,Mond::N,चाँद,lleuad
108,Mond::N,चंद्र,lleuad
109,Stern::N,तारा,seren
110,Stern::N,सितारा,seren
111,Luft::N,हवा,awyr
112,Luft::N,वायु,awyr
113,Wind::N,पाद,gwynt
114,Welle::N,लहर,ton
115,Welle::N,तरंग,ton
116,Wasser::N,जल,dŵr
117,Wasser::N,पानी,dŵr
118,Stein::N,पत्थर,carreg
119,Boden::N,मिट्टी,llawr
120,Erde::N,भूमि,pridd
121,Erde::N,ज़मीन,pridd
122,Staub::N,धूल,llwch
123,Rauch::N,धूआँ,mwg
124,Rauch::N,धुम्र,mwg
125,Funke::N,चिनगारी,gwreichioni
126,Funke::N,स्फुलिंग,gwreichioni
127,Feuer::N,आग,tân
128,Feuer::N,आतिश,tân
129,Feuer::N,अग्नि,tân
130,Licht::N,रोशनी,golau
131,Licht::N,प्रकाश,golau
132,Schatten::N,छाया,cysgod
133,Schatten::N,परछाई,cysgod
134,Wetter::N,ऋतु,tywydd
135,Wetter::N,मौसम,tywydd
136,Nebel::N,धुँध,niwl
137,Nebel::N,कुहरा,niwl
138,Wolke::N,मेघ,cwmwl
139,Wolke::N,अभ्र,cwmwl
140,Regen::N,मेंह,glaw
141,Regen::N,बारिश,glaw
142,Schnee::N,हिम,ôd
143,Schnee::N,हिम,eira
144,Schnee::N,बर्फ़,ôd
145,Schnee::N,बर्फ़,eira
146,Eis::N,हिम,iâ
147,Eis::N,बर्फ़,iâ
148,Frost::N,ठंड,rhew
149,Kälte::N,सर्दी,oerni
150,Kälte::N,सर्दी,annwyd
151,Kälte::N,शीतलता,oerni
152,Kälte::N,शीतलता,annwyd
153,Hitze::N,ताप,gwres
154,Hitze::N,गरमी,gwres
155,Raureif::N,पाला,barrug
156,Regenbogen::N,इंद्र-धनुष,enfys
157,Donner::N,गरज,tyrfau
158,Donner::N,मेघ-गर्जन,tyrfau
159,Strömung::N,बहाव,cerrynt
160,Strömung::N,प्रवाह,cerrynt
161,Tropfen::N,बूँद,dafn
162,Tropfen::N,बूँद,diferyn
163,Schaum::N,झाग,ewyn
164,Schmutz::N,गंद,baw
165,Schmutz::N,गंद,budreddi
166,Schmutz::N,कीचड़,baw
167,Schmutz::N,कीचड़,budreddi
168,See::N,झील,llyn
169,See::N,सरोवर,llyn
170,Sumpf::N,दलदल,cors
171,Sumpf::N,धँसान,cors
172,Moor::N,झाबर,rhos
173,Moor::N,धँसान,rhos
174,Wiese::N,घास-स्थल,dôl
175,Wald::N,जंगल,coedwig
176,Hügel::N,टीला,bryn
177,Hügel::N,पहाड़,bryn
178,Anhöhe::N,टीला,bryn
179,Anhöhe::N,पहाड़ी,bryn
180,Berg::N,पहाड़,mynydd
181,Gipfel::N,शिखर,copa
182,Höhle::N,गुहा,ogof
183,Höhle::N,गुफ़ा,ogof
184,Abhang::N,ढाल,llethr
185,Abhang::N,ढलान,llethr
186,Quelle::N,चश्मा,tarddiad
187,Quelle::N,चश्मा,ffynhonnell
188,Bach::N,सोता,nant
189,Bach::N,सोता,afonig
190,Bach::N,सोता,cornant
191,Bach::N,नदिका,nant
192,Bach::N,नदिका,afonig
193,Bach::N,नदिका,cornant
194,Fluss::N,नदी,afon
195,Fluss::N,सरिता,afon
196,Ufer::N,तट,glan
197,Ufer::N,किनारा,glan
198,Küste::N,समुद्र-तट,traeth
199,Küste::N,समुद्र-तट,arfordir
200,Festland::N,महाद्वीप,tir
201,Meer::N,सागर,môr
202,Meer::N,समुद्र,môr
203,Bucht::N,खाड़ी,bae
204,Insel::N,टापू,ynys
205,Insel::N,द्वीप,ynys
206,Blume::N,फूल,blodyn
207,Blume::N,पुष्प,blodyn
208,Gras::N,घास,glaswellt
209,Wurzel::N,मूल,gwreiddyn
210,Baum::N,पेड़,coeden
211,Baum::N,वृक्ष,coeden
212,Stamm::N,धड़,colfen
213,Stamm::N,धड़,boncyff
214,Rinde::N,छाल,rhisgl
215,Rinde::N,वल्कल,rhisgl
216,Ast::N,डाल,cangen
217,Ast::N,शाखा,cangen
218,Zweig::N,टहनी,cainc
219,Zweig::N,टहनी,cangen
220,Blatt::N,पत्र,deilen
221,Blatt::N,पत्ता,deilen
222,Birke::N,भूर्ज,bedwen
223,Kiefer[Baum]::N,पाइन-वृक्ष,pinwydden
224,Weide[Baum]::N,बेंत,helygen
225,Tanne::N,फ़र,ffynidwydden
226,Horn::N,सींग,corn
227,Horn::N,विषाण,corn
228,Feder::N,पर,plufyn
229,Feder::N,पंख,plufyn
230,Fell::N,खाल,ffwr
231,Fell::N,पशु-चर्म,ffwr
232,Flügel::N,पंख,adain
233,Flügel::N,डैना,adain
234,Klaue::N,पंजा,crafanc
235,Kralle::N,पंजा,ewin
236,Kralle::N,नाख़ून,ewin
237,Schwanz::N,पूँछ,cwt
238,Schwanz::N,पूँछ,cynffon
239,Ei::N,अंडा,wy
240,Nest::N,नीड़,nyth
241,Nest::N,घोंसला,nyth
242,Bau::N,बिल,ffau
243,Bau::N,माँद,ffau
244,Tier::N,पशु,anifail
245,Tier::N,जानवर,anifail
246,Herde::N,गल्ला,praidd
247,Herde::N,गल्ला,diadell
248,Kuh::N,गौ,buwch
249,Kuh::N,गाय,buwch
250,Bulle::N,साँड़,tarw
251,Pferd::N,अश्व,ceffyl
252,Pferd::N,घोड़ा,ceffyl
253,Schaf::N,भेड़,dafad
254,Schwein::N,शूकर,mochyn
255,Hund::N,श्वान,ci
256,Hund::N,कुत्ता,ci
257,Katze::N,बिल्ली,cath
258,Bär::N,रीछ,arth
259,Bär::N,भालू,arth
260,Eichhörnchen::N,गिलहरी,gwiwer
261,Elch::N,एल्क,elc
262,Fuchs::N,लोमड़ी,cadno
263,Hase::N,खरहा,ysgyfarnog
264,Hase::N,ख़रगोश,ysgyfarnog
265,Maus::N,मूष,llygoden
266,Maus::N,चूहा,llygoden
267,Wolf::N,वृक,blaidd
268,Wolf::N,भेड़िया,blaidd
269,Vogel::N,पक्षी,aderyn
270,Vogel::N,चिड़िया,aderyn
271,Schwarm::N,झुंड,haid
272,Huhn::N,मुर्ग़ी,cyw
273,Hahn::N,मुर्ग़ा,ceiliog
274,Gans::N,हंस,gŵydd
275,Gans::N,हंसिनी,gŵydd
276,Adler::N,उक़ाब,eryr
277,Ente::N,बतख़,hwyad
278,Ente::N,बत्तक,hwyad
