,Concept_ID,hu,hi
0,Auge::N,szem,आँख
1,Auge::N,szem,चक्षु
2,Ohr::N,fül,कान
3,Ohr::N,fül,कर्ण
4,Nase::N,orr,नाक
5,Nase::N,orr,नासा
6,Mund::N,száj,मुख
7,Mund::N,száj,मुँह
8,Zahn::N,fog,दंत
9,Zahn::N,fog,दाँत
10,Zunge::N,nyelv,जीभ
11,Zunge::N,nyelv,ज़बान
12,Zunge::N,nyelv,जिह्वा
13,Lippe::N,ajak,ओंठ
14,Lippe::N,ajak,होंठ
15,Wange::N,orca,गाल
16,Wange::N,orca,कपोल
17,Gesicht::N,arc,मुँह
18,Gesicht::N,arc,चेहरा
19,Stirn::N,homlok,माथा
20,Stirn::N,homlok,मस्तक
21,Haar::N,haj,बाल
22,Schnurrbart::N,bajusz,मूँछें
23,Bart::N,szakáll,दाढ़ी
24,Kinn::N,áll,चिबुक
25,Kiefer[Anatomie]::N,állkapocs,जबड़ा
26,Kehle::N,gége,गला
27,Kehle::N,torok,गला
28,Hals::N,nyak,गला
29,Hals::N,nyak,गरदन
30,Genick::N,tarkó,गरदन
31,Genick::N,tarkó,ग्रीवा
32,Kopf::N,fő,सिर
33,Kopf::N,fő,शीर्ष
34,Kopf::N,fej,सिर
35,Kopf::N,fej,शीर्ष
36,Rücken::N,hát,पीठ
37,Bauch::N,has,उदर
38,Nabel::N,köldök,नाभि
39,Nabel::N,köldök,ढोंढी
40,Busen::N,mell,कुच
41,Busen::N,mell,स्तन
42,Busen::N,kebel,कुच
43,Busen::N,kebel,स्तन
44,Brust::N,mell,वक्ष
45,Schulter::N,váll,कंधा
46,Schulter::N,váll,स्कंध
47,Arm::N,kar,बाँह
48,Arm::N,kar,बाज़ू
49,Ellenbogen::N,könyök,कुहनी
50,Hand::N,kéz,हाथ
51,Hand::N,kéz,हस्त
52,Handfläche::N,tenyér,हथेली
53,Finger::N,ujj,उँगली
54,Finger::N,ujj,अँगुली
55,Fingernagel::N,köröm,नख
56,Fingernagel::N,köröm,नाख़ून
57,Nagel[Anatomie]::N,köröm,नख
58,Nagel[Anatomie]::N,köröm,नाख़ून
59,Zeh::N,lábujj,उँगली
60,Zeh::N,lábujj,पाँव की उँगली
61,Fuß::N,láb,चरण
62,Fuß::N,láb,पाँव
63,Ferse::N,sarok,एड़ी
64,Knie::N,térd,जानु
65,Knie::N,térd,घुटना
66,Oberschenkel::N,comb,उरु
67,Bein::N,láb,टाँग
68,Bein::N,lábszár,टाँग
69,Körper::N,test,तन
70,Körper::N,test,देह
71,Körper::N,test,शरीर
72,Haut::N,bőr,चर्म
73,Haut::N,bőr,त्वचा
74,Blut::N,vér,लहू
75,Blut::N,vér,ख़ून
76,Ader::N,ér,रग
77,Ader::N,ér,शिरा
78,Sehne::N,ín,कंडरा
79,Sehne::N,ín,स्नायु
80,Knochen::N,csont,अस्थि
81,Gehirn::N,agy,दिमाग़
82,Gehirn::N,agy,मस्तिष्क
83,Gehirn::N,agyvelő,दिमाग़
84,Gehirn::N,agyvelő,मस्तिष्क
85,Herz::N,szív,दिल
86,Herz::N,szív,हृदय
87,Magen::N,gyomor,मेदा
88,Magen::N,gyomor,अमाशय
89,Leber::N,máj,जिगर
90,Leber::N,máj,यकृत्
91,Atem::N,lehelet,दम
92,Atem::N,lehelet,साँस
93,Atem::N,lehelet,श्वास
94,Atem::N,lélegzet,दम
95,Atem::N,lélegzet,साँस
96,Atem::N,lélegzet,श्वास
97,Hunger::N,éhség,भूख
98,Hunger::N,éhség,क्षुधा
99,Träne::N,könny,आँसू
100,Träne::N,könny,अश्रु
101,Geschmack::N,íz,स्वाद
102,Geschmack::N,íz,ज़ायक़ा
103,Geruch::N,szag,बू
104,Geruch::N,szag,गंध
105,Schlaf::N,álom,नींद
106,Schlaf::N,álom,निद्रा
107,Schlaf::N,alvás,नींद
108,Schlaf::N,alvás,निद्रा
109,Traum::N,álom,सपना
110,Traum::N,álom,स्वप्न
111,Himmel::N,ég,आकाश
112,Himmel::N,ég,आसमान
113,Himmel::N,menny,आकाश
114,Himmel::N,menny,आसमान
115,Sonne::N,nap,रवि
116,Sonne::N,nap,सूरज
117,Sonne::N,nap,सूर्य
118,Mond::N,hold,चाँद
119,Mond::N,hold,चंद्र
120,Stern::N,csillag,तारा
121,Stern::N,csillag,सितारा
122,Luft::N,levegő,हवा
123,Luft::N,levegő,वायु
124,Wind::N,szél,पाद
125,Welle::N,hullám,लहर
126,Welle::N,hullám,तरंग
127,Wasser::N,víz,जल
128,Wasser::N,víz,पानी
129,Stein::N,kő,पत्थर
130,Boden::N,föld,मिट्टी
131,Boden::N,talaj,मिट्टी
132,Erde::N,föld,भूमि
133,Erde::N,föld,ज़मीन
134,Staub::N,por,धूल
135,Rauch::N,füst,धूआँ
136,Rauch::N,füst,धुम्र
137,Funke::N,szikra,चिनगारी
138,Funke::N,szikra,स्फुलिंग
139,Feuer::N,tűz,आग
140,Feuer::N,tűz,आतिश
141,Feuer::N,tűz,अग्नि
142,Licht::N,fény,रोशनी
143,Licht::N,fény,प्रकाश
144,Schatten::N,árnyék,छाया
145,Schatten::N,árnyék,परछाई
146,Wetter::N,idő,ऋतु
147,Wetter::N,idő,मौसम
148,Wetter::N,időjárás,ऋतु
149,Wetter::N,időjárás,मौसम
150,Nebel::N,köd,धुँध
151,Nebel::N,köd,कुहरा
152,Wolke::N,felhő,मेघ
153,Wolke::N,felhő,अभ्र
154,Regen::N,eső,मेंह
155,Regen::N,eső,बारिश
156,Schnee::N,hó,हिम
157,Schnee::N,hó,बर्फ़
158,Eis::N,jég,हिम
159,Eis::N,jég,बर्फ़
160,Frost::N,fagy,ठंड
161,Kälte::N,hideg,सर्दी
162,Kälte::N,hideg,शीतलता
163,Hitze::N,hő,ताप
164,Hitze::N,hő,गरमी
165,Hitze::N,hőség,ताप
166,Hitze::N,hőség,गरमी
167,Raureif::N,zúzmara,पाला
168,Regenbogen::N,szivárvány,इंद्र-धनुष
169,Donner::N,dörgés,गरज
170,Donner::N,dörgés,मेघ-गर्जन
171,Donner::N,mennydörgés,गरज
172,Donner::N,mennydörgés,मेघ-गर्जन
173,Strömung::N,áramlat,बहाव
174,Strömung::N,áramlat,प्रवाह
175,Tropfen::N,csepp,बूँद
176,Schaum::N,hab,झाग
177,Schaum::N,tajték,झाग
178,Schmutz::N,piszok,गंद
179,Schmutz::N,piszok,कीचड़
180,See::N,tó,झील
181,See::N,tó,सरोवर
182,Sumpf::N,mocsár,दलदल
183,Sumpf::N,mocsár,धँसान
184,Moor::N,láp,झाबर
185,Moor::N,láp,धँसान
186,Wiese::N,rét,घास-स्थल
187,Wiese::N,mező,घास-स्थल
188,Wald::N,erdő,जंगल
189,Hügel::N,domb,टीला
190,Hügel::N,domb,पहाड़
191,Anhöhe::N,magaslat,टीला
192,Anhöhe::N,magaslat,पहाड़ी
193,Berg::N,hegy,पहाड़
194,Gipfel::N,csúcs,शिखर
195,Höhle::N,barlang,गुहा
196,Höhle::N,barlang,गुफ़ा
197,Abhang::N,lejtő,ढाल
198,Abhang::N,lejtő,ढलान
199,Quelle::N,forrás,चश्मा
200,Bach::N,patak,सोता
201,Bach::N,patak,नदिका
202,Fluss::N,folyó,नदी
203,Fluss::N,folyó,सरिता
204,Ufer::N,part,तट
205,Ufer::N,part,किनारा
206,Küste::N,tengerpart,समुद्र-तट
207,Festland::N,szárazföld,महाद्वीप
208,Meer::N,tenger,सागर
209,Meer::N,tenger,समुद्र
210,Bucht::N,öböl,खाड़ी
211,Insel::N,sziget,टापू
212,Insel::N,sziget,द्वीप
213,Blume::N,virág,फूल
214,Blume::N,virág,पुष्प
215,Gras::N,fű,घास
216,Wurzel::N,gyökér,मूल
217,Baum::N,fa,पेड़
