,Concept_ID,fi,ar
0,Auge::N,silmä,عين
1,Ohr::N,korva,أذن
2,Nase::N,nenä,أنف
3,Mund::N,suu,فم
4,Zahn::N,hammas,سن
5,Zunge::N,kieli,لسان
6,Lippe::N,huuli,شفة
7,Wange::N,poski,خد
8,Wange::N,poski,وجنة
9,Gesicht::N,naama,وجه
10,Gesicht::N,kasvot,وجه
11,Stirn::N,otsa,جبين
12,Haar::N,hius,شعر
13,Haar::N,tukka,شعر
14,Schnurrbart::N,viikset,شارب
15,Bart::N,parta,لحية
16,Kinn::N,leuka,ذقن
17,Kiefer[Anatomie]::N,leukaluu,فك
18,Kehle::N,kurkku,حلق
19,Hals::N,kaula,عنق
20,Hals::N,kaula,رقبة
21,Genick::N,niska,قفا
22,Kopf::N,pää,رأس
23,Rücken::N,selkä,ظهر
24,Bauch::N,maha,بطن
25,Bauch::N,vatsa,بطن
26,Nabel::N,napa,سرة
27,Busen::N,rinta,ثدي
28,Brust::N,rinta,صدر
29,Schulter::N,olka,كتف
30,Schulter::N,hartia,كتف
31,Schulter::N,olkapää,كتف
32,Arm::N,käsivarsi,ذراع
33,Ellenbogen::N,kyynärpää,كوع
34,Hand::N,käsi,يد
35,Handfläche::N,kämmen,كف
36,Finger::N,sormi,إصبع
37,Fingernagel::N,kynsi,ظفر
38,Nagel[Anatomie]::N,kynsi,ظفر
39,Zeh::N,varvas,إصبع القدم
40,Fuß::N,jalka,قدم
41,Ferse::N,kantapää,كعب
42,Knie::N,polvi,ركبة
43,Oberschenkel::N,reisi,فخذ
44,Bein::N,jalka,ساق
45,Körper::N,keho,جسم
46,Körper::N,ruumis,جسم
47,Haut::N,iho,بشرة
48,Blut::N,veri,دم
49,Ader::N,suoni,عرق
50,Sehne::N,jänne,طنب
51,Knochen::N,luu,عظم
52,Gehirn::N,aivot,دماغ
53,Herz::N,sydän,قلب
54,Magen::N,maha,معدة
55,Magen::N,vatsa,معدة
56,Leber::N,maksa,كبد
57,Atem::N,henki,نفس
58,Atem::N,hengitys,نفس
59,Hunger::N,nälkä,جوع
60,Träne::N,kyynel,دمعة
61,Geschmack::N,maku,طعم
62,Geschmack::N,maku,مذاق
63,Geruch::N,haju,رائحة
64,Schlaf::N,uni,نوم
65,Schlaf::N,uni,منام
66,Traum::N,uni,حلم
67,Himmel::N,taivas,سماء
68,Sonne::N,aurinko,شمس
69,Mond::N,kuu,قمر
70,Stern::N,tähti,نجم
71,Stern::N,tähti,كوكب
72,Luft::N,ilma,هواء
73,Wind::N,tuuli,ريح
74,Welle::N,aalto,موجة
75,Wasser::N,vesi,ماء
76,Stein::N,kivi,حجر
77,Boden::N,maa,تراب
78,Boden::N,maaperä,تراب
79,Erde::N,maa,أرض
80,Staub::N,pöly,غبار
81,Rauch::N,savu,دخان
82,Funke::N,kipinä,شرارة
