,Concept_ID,sv,lv
0,Auge::N,öga,син
1,Auge::N,öga,acs
2,Ohr::N,öra,пель
3,Ohr::N,öra,auss
4,Nase::N,näsa,ныр
5,Nase::N,näsa,deguns
6,Mund::N,mun,вом
7,Mund::N,mun,mute
8,Zahn::N,tand,пинь
9,Zahn::N,tand,zobs
10,Zunge::N,tunga,кыв
11,Zunge::N,tunga,mēle
12,Lippe::N,läpp,вом дор
13,Lippe::N,läpp,lūpa
14,Wange::N,kind,бан
15,Wange::N,kind,vaigs
16,Gesicht::N,syn,чужӧм
17,Gesicht::N,syn,seja
18,Gesicht::N,syn,ģīmis
19,Gesicht::N,ansikte,чужӧм
20,Gesicht::N,ansikte,seja
21,Gesicht::N,ansikte,ģīmis
22,Stirn::N,panna,плеш
23,Stirn::N,panna,кымӧс
24,Stirn::N,panna,piere
25,Haar::N,hår,си
26,Haar::N,hår,юрси
27,Haar::N,hår,mats
28,Schnurrbart::N,mustasch,ус
29,Schnurrbart::N,mustasch,пыртсим
30,Schnurrbart::N,mustasch,ūsas
31,Bart::N,skägg,тош
32,Bart::N,skägg,bārda
33,Kinn::N,haka,тшӧка
34,Kinn::N,haka,zods
35,Kinn::N,haka,smakrs
36,Kiefer[Anatomie]::N,käke,черлы
37,Kiefer[Anatomie]::N,käke,алака лы
38,Kiefer[Anatomie]::N,käke,вомкӧтш лы
39,Kiefer[Anatomie]::N,käke,žoklis
40,Kehle::N,strupe,голя
41,Kehle::N,strupe,rīkle
42,Hals::N,hals,сьылі
43,Hals::N,hals,kakls
44,Genick::N,nacke,юрбӧр
45,Genick::N,nacke,балябӧж
46,Genick::N,nacke,sprands
47,Kopf::N,huvud,юр
48,Kopf::N,huvud,galva
49,Rücken::N,rygg,мыш
50,Rücken::N,rygg,mugura
51,Bauch::N,buk,рушку
52,Bauch::N,buk,vēders
53,Bauch::N,mage,рушку
54,Bauch::N,mage,vēders
55,Nabel::N,navel,гӧг
56,Nabel::N,navel,naba
57,Busen::N,barm,морӧс
58,Busen::N,barm,krūts
59,Brust::N,bröst,морӧс
60,Brust::N,bröst,krūts
61,Schulter::N,skuldra,пельпом
62,Schulter::N,skuldra,plecs
63,Arm::N,arm,ки
64,Arm::N,arm,roka
65,Arm::N,arm,delms
66,Ellenbogen::N,armbåge,гырддза
67,Ellenbogen::N,armbåge,elkonis
68,Hand::N,hand,ки
69,Hand::N,hand,roka
70,Hand::N,hand,plauksta
71,Handfläche::N,handflata,ки пыдӧс
72,Handfläche::N,handflata,delna
73,Handfläche::N,handflata,plauksta
74,Finger::N,finger,чунь
75,Finger::N,finger,pirksts
76,Fingernagel::N,fingernagel,гыж
77,Fingernagel::N,fingernagel,nags
78,Nagel[Anatomie]::N,nagel,гыж
79,Nagel[Anatomie]::N,nagel,nags
80,Zeh::N,tå,кок чунь
81,Zeh::N,tå,pirksts
82,Fuß::N,fot,кок
83,Fuß::N,fot,kāja
84,Ferse::N,häl,кокбӧр
85,Ferse::N,häl,papēdis
86,Knie::N,knä,пидзӧс
87,Knie::N,knä,celis
88,Oberschenkel::N,lår,лядьвей
89,Oberschenkel::N,lår,бек
90,Oberschenkel::N,lår,ciska
91,Oberschenkel::N,lår,augšstilbs
92,Bein::N,ben,кок
93,Bein::N,ben,kāja
94,Körper::N,kropp,туша
95,Körper::N,kropp,вывтыр
96,Körper::N,kropp,miesa
97,Körper::N,kropp,ķermenis
98,Haut::N,hud,ку
99,Haut::N,hud,āda
100,Haut::N,skinn,ку
101,Haut::N,skinn,āda
102,Blut::N,blod,вир
103,Blut::N,blod,asins
104,Ader::N,åder,сӧн
105,Ader::N,åder,asinsvads
106,Sehne::N,sena,вез
107,Sehne::N,sena,dzīsla
108,Knochen::N,ben,лы
109,Knochen::N,ben,kauls
110,Gehirn::N,hjärna,вем
111,Gehirn::N,hjärna,smadzenes
112,Herz::N,hjärta,сьӧлӧм
113,Herz::N,hjärta,sirds
114,Magen::N,mage,кынӧм
115,Magen::N,mage,kuņģis
116,Leber::N,lever,мус
117,Leber::N,lever,aknas
118,Atem::N,anda,лов
119,Atem::N,anda,elpa
120,Atem::N,andedräkt,лов
121,Atem::N,andedräkt,elpa
122,Hunger::N,svält,тшыг
123,Hunger::N,svält,bads
124,Hunger::N,svält,izsalkums
125,Hunger::N,hunger,тшыг
126,Hunger::N,hunger,bads
127,Hunger::N,hunger,izsalkums
128,Träne::N,tår,синва
129,Träne::N,tår,asara
130,Geschmack::N,smak,кӧр
131,Geschmack::N,smak,чӧсмӧс
132,Geschmack::N,smak,garša
133,Geruch::N,lukt,зын
134,Geruch::N,lukt,дук
135,Geruch::N,lukt,smaka
136,Schlaf::N,sömn,узьӧм
137,Schlaf::N,sömn,miegs
138,Traum::N,dröm,вӧт
139,Traum::N,dröm,вӧтасьӧм
140,Traum::N,dröm,sapnis
141,Himmel::N,himmel,енэж
142,Himmel::N,himmel,debess
143,Sonne::N,sol,шонді
144,Sonne::N,sol,saule
145,Mond::N,måne,тӧлысь
146,Mond::N,måne,mēness
147,Stern::N,stjärna,кодзув
148,Stern::N,stjärna,zvaigzne
149,Luft::N,luft,сынӧд
150,Luft::N,luft,gaiss
151,Wind::N,vind,тӧв
152,Wind::N,vind,vējš
153,Welle::N,våg,гы
154,Welle::N,våg,vilnis
155,Welle::N,bölja,гы
156,Welle::N,bölja,vilnis
157,Wasser::N,vatten,ва
158,Wasser::N,vatten,ūdens
159,Stein::N,sten,из
160,Stein::N,sten,akmens
161,Boden::N,mark,му
162,Boden::N,mark,augsne
163,Erde::N,jord,му
164,Erde::N,jord,му-ва
165,Erde::N,jord,zeme
166,Staub::N,damm,бус
167,Staub::N,damm,putekļi
168,Rauch::N,rök,тшын
169,Rauch::N,rök,dūmi
170,Funke::N,gnista,кинь
171,Funke::N,gnista,би кинь
172,Funke::N,gnista,dzirkstele
173,Feuer::N,eld,би
174,Feuer::N,eld,uguns
175,Licht::N,ljus,югӧр
176,Licht::N,ljus,gaisma
177,Schatten::N,skugga,вуджӧр
178,Schatten::N,skugga,ēna
179,Wetter::N,väder,поводдя
180,Wetter::N,väder,laiks
181,Nebel::N,dimma,ру
182,Nebel::N,dimma,онь
183,Nebel::N,dimma,migla
