,Concept_ID,hi,lez
0,Auge::N,आँख,вил
1,Auge::N,चक्षु,вил
2,Ohr::N,कान,яб
3,Ohr::N,कर्ण,яб
4,Nase::N,नाक,нер
5,Nase::N,नासा,нер
6,Mund::N,मुख,сив
7,Mund::N,मुँह,сив
8,Zahn::N,दंत,сас
9,Zahn::N,दंत,свах
10,Zahn::N,दाँत,сас
11,Zahn::N,दाँत,свах
12,Zunge::N,जीभ,мез
13,Zunge::N,ज़बान,мез
14,Zunge::N,जिह्वा,мез
15,Lippe::N,ओंठ,пӏуз
16,Lippe::N,होंठ,пӏуз
17,Wange::N,गाल,хъвехъ
18,Wange::N,कपोल,хъвехъ
19,Gesicht::N,मुँह,ччин
20,Gesicht::N,चेहरा,ччин
21,Stirn::N,माथा,пел
22,Stirn::N,मस्तक,пел
23,Haar::N,बाल,чӏар
24,Schnurrbart::N,मूँछें,спел
25,Schnurrbart::N,मूँछें,спелар
26,Bart::N,दाढ़ी,ччуру
27,Kinn::N,चिबुक,чене
28,Kiefer[Anatomie]::N,जबड़ा,чене
29,Kehle::N,गला,туьд
30,Hals::N,गला,гардан
31,Hals::N,गरदन,гардан
32,Genick::N,गरदन,кьам
33,Genick::N,ग्रीवा,кьам
34,Kopf::N,सिर,кьил
35,Kopf::N,शीर्ष,кьил
36,Rücken::N,पीठ,далу
37,Bauch::N,उदर,руфун
38,Nabel::N,नाभि,пицӏ
39,Nabel::N,ढोंढी,пицӏ
40,Busen::N,कुच,мам
41,Busen::N,स्तन,мам
42,Brust::N,वक्ष,хур
43,Schulter::N,कंधा,къуьн
44,Schulter::N,स्कंध,къуьн
45,Arm::N,बाँह,гъил
46,Arm::N,बाज़ू,гъил
47,Ellenbogen::N,कुहनी,кьуьнт
48,Hand::N,हाथ,капаш
49,Hand::N,हस्त,капаш
50,Handfläche::N,हथेली,капан юкь
51,Finger::N,उँगली,тӏуб
52,Finger::N,अँगुली,тӏуб
53,Fingernagel::N,नख,кек
54,Fingernagel::N,नाख़ून,кек
55,Nagel[Anatomie]::N,नख,кек
56,Nagel[Anatomie]::N,नाख़ून,кек
57,Zeh::N,उँगली,кул
58,Zeh::N,पाँव की उँगली,кул
59,Fuß::N,चरण,кӏвач
60,Fuß::N,पाँव,кӏвач
61,Ferse::N,एड़ी,дабан
62,Knie::N,जानु,мет
63,Knie::N,घुटना,мет
64,Oberschenkel::N,उरु,
65,Bein::N,टाँग,кӏвач
66,Körper::N,तन,беден
67,Körper::N,देह,беден
68,Körper::N,शरीर,беден
69,Haut::N,चर्म,хам
70,Haut::N,त्वचा,хам
71,Blut::N,लहू,иви
72,Blut::N,ख़ून,иви
73,Ader::N,रग,дамар
74,Ader::N,शिरा,дамар
75,Sehne::N,कंडरा,кьуру дамар
76,Sehne::N,स्नायु,кьуру дамар
77,Knochen::N,अस्थि,кӏараб
78,Gehirn::N,दिमाग़,мефт
79,Gehirn::N,मस्तिष्क,мефт
