,Concept_ID,udm,mdf
0,Auge::N,син,сельме
1,Ohr::N,пель,пиле
2,Nase::N,ныр,шалхка
3,Mund::N,ым,курга
4,Zahn::N,пинь,пей
5,Zunge::N,кыл,кяль
6,Lippe::N,ымдур,търва́
7,Wange::N,бам,щёка
8,Gesicht::N,ымныр,шама
9,Stirn::N,кымес,коня
10,Haar::N,йырси,шя́ярь
11,Schnurrbart::N,мыйык,уса́
12,Bart::N,туш,сакал
13,Kinn::N,ангес,ула
14,Kiefer[Anatomie]::N,ан,саласка
15,Kiefer[Anatomie]::N,анлы,саласка
16,Kehle::N,гульым,кълдома
17,Kehle::N,гульым,кърга́парь
18,Hals::N,чырты,сялдаз
19,Genick::N,йырбер,шовонь
20,Kopf::N,йыр,пря
21,Rücken::N,мыш,копорь
22,Bauch::N,кӧт,пеке
23,Nabel::N,гогы,по́кон
24,Busen::N,ноны,потя
25,Brust::N,мӧля,мяште
26,Schulter::N,пельпум,лафту
27,Arm::N,суй,кядь
28,Ellenbogen::N,гырпум,кенерьба́карь
29,Hand::N,ки,кядь
30,Handfläche::N,ки пыдэс,кядьлапш
31,Handfläche::N,кырым пыдэс,кядьлапш
32,Finger::N,чиньы,сур
33,Fingernagel::N,гижы,кенже
34,Fingernagel::N,гиждӥнь,кенже
35,Nagel[Anatomie]::N,гижы,кенже
36,Zeh::N,пыдчиньы,пильгосу́р
37,Fuß::N,пыд,пильге
38,Fuß::N,пыд,пильгелапа
39,Ferse::N,пыдбер,кочкяря
40,Knie::N,пыдес,эль
41,Knie::N,пыдес,пълма́нжа
42,Oberschenkel::N,макес,пильгепукша
43,Bein::N,пыд,пильге
44,Körper::N,мугор,ро́нга
45,Körper::N,мугор,по́нда
46,Körper::N,вылтыр,ро́нга
47,Körper::N,вылтыр,по́нда
48,Haut::N,ку,киське
49,Blut::N,вир,вер
50,Ader::N,вирсэр,сан
51,Ader::N,вирсэр,верза́н
52,Sehne::N,вуж,коське сан
53,Knochen::N,лы,пакарь
54,Gehirn::N,вим,уй
55,Herz::N,сюлэм,седи
56,Magen::N,ӝуш,коткърдазь
57,Leber::N,мус,макса
58,Atem::N,лул,лекома
59,Atem::N,лул,ваймонь тарксема
60,Atem::N,шокан,лекома
61,Atem::N,шокан,ваймонь тарксема
62,Hunger::N,кӧтсюман,вачеши
63,Träne::N,синкыли,сельмове́дь
64,Geschmack::N,шӧм,таньф
65,Geruch::N,зын,шине
66,Schlaf::N,вӧт,удома́
67,Traum::N,уйвӧт,он
68,Himmel::N,ин,менель
69,Sonne::N,шунды,ши
70,Mond::N,толэзь,ков
71,Stern::N,кизили,тяште
72,Luft::N,омыр,кожф
73,Wind::N,тӧл,варма
74,Welle::N,тулкым,тавла
75,Wasser::N,ву,ведь
76,Stein::N,из,кев
77,Boden::N,музъем,мода
78,Boden::N,музъем,потмакс
79,Erde::N,му,мода
80,Erde::N,му,мастор
81,Staub::N,пыль,пуль
82,Rauch::N,ӵын,качам
83,Funke::N,гизьы,ця́тка
84,Feuer::N,тыл,тол
85,Licht::N,тыл,ва́лда
86,Schatten::N,вужер,цильф
87,Wetter::N,куазь,уша
88,Nebel::N,бус,тума́н
89,Wolke::N,пилем,ковол
90,Regen::N,зор,пизем
91,Schnee::N,лымы,лов
92,Eis::N,йӧ,эй
93,Frost::N,кезьыт,ке́льме
94,Kälte::N,кезьыт,якшама
95,Hitze::N,пӧсь,пси
96,Raureif::N,гӧр,леш
97,Regenbogen::N,вуюись,а́тямъёнга
98,Donner::N,гудыри,атям
99,Strömung::N,бызён,шудема́
100,Tropfen::N,шапык,путькс
101,Tropfen::N,шапык,пътняфкс
102,Schaum::N,шукы,шов
103,Schmutz::N,нӧд,ърда́з
104,Schmutz::N,дэри,ърда́з
105,See::N,ты,эрьхке
106,Sumpf::N,нюр,шяй
107,Moor::N,нюр,шяй
108,Wiese::N,возь,луга
109,Wiese::N,возьвыл,луга
110,Wald::N,сик,вирь
111,Wald::N,нюлэс,вирь
112,Hügel::N,выр,губо́р
113,Hügel::N,выр,пандоня
114,Hügel::N,вырйыл,губо́р
115,Hügel::N,вырйыл,пандоня
116,Anhöhe::N,выр,губо́р
117,Anhöhe::N,вырйыл,губо́р
118,Berg::N,гурезь,панда
119,Gipfel::N,йыл,пря
120,Höhle::N,гу,у́нда
121,Abhang::N,бам,па́нда ша́ма
122,Quelle::N,ошмес,эшиня
123,Bach::N,пичи шур,шудерькс
124,Fluss::N,шур,ляй
125,Ufer::N,ярдур,търва́
126,Küste::N,вудур,ляйтърва́
127,Festland::N,мувыр,мода
128,Meer::N,зарезь,моря
129,Bucht::N,вукож,ведьуське
130,Insel::N,вумуӵ,цёнга
131,Insel::N,шормуӵ,цёнга
132,Blume::N,сяська,панчф
133,Gras::N,турын,тише
134,Wurzel::N,выжы,юр
135,Wurzel::N,выжы,ункс
136,Baum::N,пу,шуфта
137,Stamm::N,модос,ро́нга
138,Rinde::N,сул,кер
139,Ast::N,ул,морга
140,Zweig::N,вай,тарад
141,Blatt::N,куар,лопа
142,Birke::N,кызьпу,ке́лу
143,Kiefer[Baum]::N,пужым,пиче
144,Weide[Baum]::N,бадьпу,каль
145,Tanne::N,кыз,куз
146,Horn::N,сюр,сюра
147,Feder::N,тылы,толга
148,Fell::N,ку,кедь
149,Flügel::N,бурд,паця
150,Klaue::N,гижы,кенже
151,Kralle::N,пыд,кенже
152,Schwanz::N,быж,пула
153,Ei::N,пуз,ал
154,Ei::N,кукей,ал
155,Nest::N,кар,пиза
156,Nest::N,пузкар,пиза
157,Bau::N,кар,пиза
158,Bau::N,гу,пиза
159,Tier::N,пӧйшур,жува́та
160,Herde::N,уллё,нал
161,Herde::N,уллё,стада
162,Kuh::N,скал,скал
163,Kuh::N,скал,тракс
164,Bulle::N,ош,бука
165,Bulle::N,пороз,бука
166,Pferd::N,вал,лишме
167,Schaf::N,ыж,уча́
168,Schwein::N,парсь,тува
169,Hund::N,пуны,пине
170,Katze::N,коӵыш,катоня
171,Katze::N,коӵыш,аваката
172,Bär::N,гондыр,офта
173,Eichhörnchen::N,коньы,ур
174,Elch::N,койык,ся́рда
175,Fuchs::N,ӟичы,келазь
176,Hase::N,кеч,ну́мол
177,Maus::N,шыр,шеер
178,Wolf::N,кион,върьгаз
179,Vogel::N,тылобурдо,нармонь
180,Schwarm::N,уллё,ко́вол
181,Schwarm::N,уллё,ме́швеле
182,Huhn::N,курег,сараз
183,Hahn::N,атас,а́тякш
184,Gans::N,ӟазег,маци
185,Adler::N,ӧрзи,куцькан
186,Ente::N,ӵӧж,яксярга
187,Eule::N,кучыран,ко́рож
188,Kranich::N,тури,ка́рга
189,Krähe::N,куака,ва́рси
190,Kuckuck::N,кикы,ку́ку
191,Schwan::N,юсь,ло́ксти
192,Fisch::N,чорыг,кал
193,Barsch::N,юш,о́кунь
194,Hecht::N,чипей,щу́ка
195,Schlange[Tier]::N,кый,куй
196,Wurm::N,нумыр,сукс
197,Spinne::N,чонари,унжа́
198,Ameise::N,кузьыли,панжам
199,Laus::N,тэй,си
200,Mücke::N,нымы,ся́ське
201,Mücke::N,чибинь,ся́ське
202,Fliege::N,кут,кару
203,Schmetterling::N,бубыли,ме́лав
204,Beere::N,узы-боры,и́мож
205,Apfel::N,яблок,марь
206,Pilz::N,губи,панга
207,Zwiebel::N,сугон,шурьхкя́
208,Saat::N,кидыс,видьмот
209,Korn::N,тысь,сёра
210,Heu::N,турын,тише
211,Schale::N,кыд,кедь
212,Grube::N,гу,лотка
213,Grube::N,гоп,лотка
214,Falle::N,налик,туфкс
215,Falle::N,налик,кунда́ма
216,Schlinge::N,гиӟ,килькш
217,Schlinge::N,герд,килькш
218,Spur::N,пытьы,пильгоки́
219,Spur::N,бервыл,пильгоки́
220,Asche::N,пень,кулу
221,Dreck::N,дэри,ърда́з
222,Eisen::N,корт,кшни
223,Gold::N,зарни,ока
224,Gold::N,зарни,золота
225,Silber::N,азвесь,сия́
226,Kohle::N,эгыр,седь
227,Kohle::N,эгыр,седьвальмя
228,Glas::N,стекло,кля́нцек
229,Glas::N,пияла,кля́нцек
230,Lehm::N,сюй,сёвонь
231,Sand::N,луо,шува́р
232,Mensch::N,мурт,ломань
233,Mensch::N,адями,ломань
234,Mann::N,воргорон,аля
235,Mann::N,воргорон,цёраломань
236,Frau::N,кышномурт,ава
237,Kind::N,нуны,идь
238,Kind::N,нуны,шаба
239,Kind::N,пинал,идь
240,Kind::N,пинал,шаба
241,Junge::N,пи,цёраня
242,Mädchen::N,ныл,стирня́
243,Familie::N,семья,тнал
244,Familie::N,семья,семья
245,Großvater::N,песятай,атя
246,Großvater::N,песятай,щя́тя
247,Großvater::N,пересь атай,атя
248,Großvater::N,пересь атай,щя́тя
249,Großmutter::N,песянай,баба
250,Großmutter::N,пересь анай,баба
251,Eltern::N,атай-анай,тя́дят-а́лят
252,Eltern::N,бубы-мумы,тя́дят-а́лят
