,Concept_ID,hu,myv
0,Auge::N,szem,сельме
1,Ohr::N,fül,пиле
2,Nase::N,orr,судо
3,Mund::N,száj,курго
4,Zahn::N,fog,пей
5,Zunge::N,nyelv,кель
6,Lippe::N,ajak,турва
7,Wange::N,orca,чамабока
8,Wange::N,orca,чамаумарь
9,Gesicht::N,arc,чама
10,Stirn::N,homlok,коня
11,Haar::N,haj,черь
12,Schnurrbart::N,bajusz,ус
13,Schnurrbart::N,bajusz,муюк
14,Bart::N,szakáll,сакал
15,Kinn::N,áll,уло
16,Kiefer[Anatomie]::N,állkapocs,пейпакар
17,Kiefer[Anatomie]::N,állkapocs,пейловажа
18,Kehle::N,gége,кирьгапарь
19,Kehle::N,torok,кирьгапарь
20,Hals::N,nyak,кирьга
21,Genick::N,tarkó,човонь
22,Kopf::N,fő,пря
23,Kopf::N,fej,пря
24,Rücken::N,hát,копорь
25,Bauch::N,has,пеке
26,Nabel::N,köldök,почо
27,Busen::N,mell,поте
28,Busen::N,kebel,поте
29,Brust::N,mell,меште
30,Schulter::N,váll,лавтов
31,Arm::N,kar,кедь
32,Ellenbogen::N,könyök,кенерепакарь
33,Hand::N,kéz,кедь
34,Handfläche::N,tenyér,кедькуншка
35,Handfläche::N,tenyér,кедьлапушка
36,Finger::N,ujj,сур
37,Fingernagel::N,köröm,кенже
38,Nagel[Anatomie]::N,köröm,кенже
39,Zeh::N,lábujj,пильге сур
40,Fuß::N,láb,пильге
41,Ferse::N,sarok,кочкаря
42,Knie::N,térd,эле
43,Knie::N,térd,эзне
44,Knie::N,térd,кумажа
45,Oberschenkel::N,comb,качо
46,Bein::N,láb,пильге
47,Bein::N,lábszár,пильге
48,Körper::N,test,рунго
49,Haut::N,bőr,киське
50,Blut::N,vér,верь
51,Ader::N,ér,сан
52,Sehne::N,ín,коське сан
53,Knochen::N,csont,пакарь
54,Gehirn::N,agy,удем
55,Gehirn::N,agyvelő,удем
56,Herz::N,szív,седей
57,Magen::N,gyomor,пеке
58,Leber::N,máj,максо
59,Atem::N,lehelet,лексема
60,Atem::N,lehelet,оймень таргсема
61,Atem::N,lélegzet,лексема
62,Atem::N,lélegzet,оймень таргсема
63,Hunger::N,éhség,вачочи
64,Träne::N,könny,селведь
65,Geschmack::N,íz,тансть
66,Geruch::N,szag,чине
67,Schlaf::N,álom,удома
68,Schlaf::N,alvás,удома
69,Traum::N,álom,он
70,Himmel::N,ég,менель
71,Himmel::N,menny,менель
72,Sonne::N,nap,чи
73,Mond::N,hold,ков
74,Stern::N,csillag,теште
75,Luft::N,levegő,кошт
76,Wind::N,szél,варма
77,Welle::N,hullám,толкун
78,Wasser::N,víz,ведь
79,Stein::N,kő,кев
80,Boden::N,föld,мода
81,Boden::N,talaj,мода
82,Erde::N,föld,мастор
83,Staub::N,por,пуль
84,Rauch::N,füst,качамо
85,Funke::N,szikra,сятко
86,Feuer::N,tűz,тол
87,Licht::N,fény,валдо
88,Schatten::N,árnyék,сулей
89,Schatten::N,árnyék,сулейкс
90,Wetter::N,idő,ушо
91,Wetter::N,időjárás,ушо
92,Nebel::N,köd,сув
93,Wolke::N,felhő,пель
94,Regen::N,eső,пиземс
95,Schnee::N,hó,лов
96,Eis::N,jég,эй
97,Frost::N,fagy,кельме
98,Kälte::N,hideg,якшамо
99,Hitze::N,hő,пси
100,Hitze::N,hőség,пси
101,Raureif::N,zúzmara,лекш
102,Regenbogen::N,szivárvány,пурьгинечирьке
103,Regenbogen::N,szivárvány,пурьгинеёнкс
104,Donner::N,dörgés,пурьгине
105,Donner::N,mennydörgés,пурьгине
106,Strömung::N,áramlat,чудема
107,Strömung::N,áramlat,чудевкс
108,Tropfen::N,csepp,петнявкс
109,Schaum::N,hab,чов
110,Schaum::N,tajték,чов
111,Schmutz::N,piszok,рудаз
112,See::N,tó,эрьке
113,Sumpf::N,mocsár,чей
114,Moor::N,láp,чей
115,Wiese::N,rét,луга
116,Wiese::N,mező,луга
117,Wald::N,erdő,вирь
118,Hügel::N,domb,губорь
119,Hügel::N,domb,пандыне
120,Anhöhe::N,magaslat,губорь
121,Anhöhe::N,magaslat,пандыне
122,Berg::N,hegy,пандо
123,Gipfel::N,csúcs,пря
124,Höhle::N,barlang,пещера
125,Abhang::N,lejtő,пандочама
126,Quelle::N,forrás,ушодкс
127,Bach::N,patak,чудикерькс
128,Fluss::N,folyó,лей
129,Ufer::N,part,чире
130,Küste::N,tengerpart,лейчире
131,Festland::N,szárazföld,мода
132,Meer::N,tenger,моря
133,Bucht::N,öböl,усия
134,Insel::N,sziget,усия
135,Blume::N,virág,цеця
136,Gras::N,fű,тикше
137,Wurzel::N,gyökér,юр
138,Wurzel::N,gyökér,ундокс
139,Baum::N,fa,чувто
140,Stamm::N,tő,рунго
141,Stamm::N,törzs,рунго
142,Rinde::N,kéreg,суд
143,Rinde::N,kéreg,керь
144,Ast::N,ág,морго
145,Zweig::N,gally,тарад
146,Blatt::N,levél,лопа
147,Birke::N,nyír,килей
148,Kiefer[Baum]::N,fenyő,пиче
149,Weide[Baum]::N,fűz,каль
150,Tanne::N,fenyő,куз
151,Horn::N,szarv,сюро
152,Feder::N,toll,толга
153,Fell::N,szőr,пона
154,Fell::N,bunda,пона
155,Flügel::N,szárny,сёлмо
156,Klaue::N,köröm,кенже
157,Kralle::N,karom,кенже
158,Schwanz::N,farok,пуло
159,Ei::N,tojás,ал
160,Nest::N,fészek,пизэ
161,Bau::N,odú,варя
162,Bau::N,odú,пизе
163,Tier::N,állat,ракша
164,Herde::N,nyáj,стада
165,Herde::N,csorda,стада
166,Kuh::N,tehén,скал
167,Bulle::N,bika,бука
168,Pferd::N,ló,лишме
169,Schaf::N,juh,реве
170,Schaf::N,birka,реве
171,Schwein::N,sertés,туво
172,Hund::N,eb,пине
173,Hund::N,eb,киска
174,Hund::N,kutya,пине
175,Hund::N,kutya,киска
176,Katze::N,macska,псака
177,Bär::N,medve,овто
178,Eichhörnchen::N,mókus,ур
179,Elch::N,jávorszarvas,сярдо
180,Fuchs::N,róka,ривезь
181,Hase::N,nyúl,нумоло
182,Maus::N,egér,чеерь
183,Wolf::N,farkas,верьгиз
184,Vogel::N,madár,нармунь
185,Schwarm::N,raj,полк
186,Schwarm::N,raj,стада
187,Huhn::N,tyúk,сараз
188,Hahn::N,kakas,атякш
189,Gans::N,lúd,гала
190,Gans::N,lúd,мацей
191,Gans::N,liba,гала
192,Gans::N,liba,мацей
193,Adler::N,sas,куцькан
194,Adler::N,sas,тумоатякш
195,Ente::N,kacsa,яксярго
196,Eule::N,bagoly,корж
197,Kranich::N,daru,карго
198,Krähe::N,varjú,варака
199,Kuckuck::N,kakukk,куко
200,Schwan::N,hattyú,локсей
201,Fisch::N,hal,кал
202,Barsch::N,sügér,окунь
203,Hecht::N,csuka,щука
204,Schlange[Tier]::N,kígyó,гуй
205,Wurm::N,kukac,сукс
206,Spinne::N,pók,шанжав
207,Ameise::N,hangya,коткудав
208,Laus::N,tetű,сий
209,Mücke::N,szúnyog,сеське
210,Fliege::N,légy,карво
211,Schmetterling::N,lepke,нимиляв
212,Schmetterling::N,pillangó,нимиляв
213,Beere::N,bogyó,умарь
214,Apfel::N,alma,умарь
215,Pilz::N,gomba,панго
216,Zwiebel::N,hagyma,чурька
217,Saat::N,vetőmag,видьметь
218,Korn::N,mag,сюро
219,Korn::N,szem,сюро
220,Heu::N,széna,тикше
221,Schale::N,héj,кедь
222,Schale::N,héj,ваткавкс
223,Grube::N,verem,латко
224,Falle::N,csapda,тувор
225,Falle::N,csapda,кундамка
226,Schlinge::N,tőr,килькш
227,Spur::N,nyom,челькс
228,Spur::N,nyom,пильгеки
229,Asche::N,hamu,кулов
230,Dreck::N,sár,рудаз
231,Dreck::N,piszok,рудаз
232,Eisen::N,vas,кшни
233,Gold::N,arany,сырне
234,Silber::N,ezüst,сия
235,Kohle::N,szén,сэдь
236,Kohle::N,szén,уголия
237,Glas::N,üveg,сулика
238,Lehm::N,agyag,сёвонь
239,Lehm::N,vályog,сёвонь
240,Sand::N,homok,човар
241,Mensch::N,ember,ломань
242,Mann::N,úr,аля
243,Mann::N,úr,цёраломань
244,Mann::N,férfi,аля
245,Mann::N,férfi,цёраломань
246,Frau::N,nő,ава
247,Frau::N,asszony,ава
248,Kind::N,gyerek,эйкакш
249,Kind::N,gyermek,эйкакш
250,Junge::N,fiú,цёрыне
251,Mädchen::N,lány,тейтерне
252,Familie::N,család,семия
253,Großvater::N,nagyapa,покштя
254,Großmutter::N,nagyanya,баба
255,Eltern::N,szülők,тетят-ават
256,Vater::N,apa,тетя
257,Vater::N,atya,тетя
258,Mutter::N,anya,ава
259,Sohn::N,fiú,цёра
260,Tochter::N,lány,тейтерь
261,Bruder::N,fivér,леля
262,Bruder::N,fivér,ялакс
263,Bruder::N,testvér,леля
264,Bruder::N,testvér,ялакс
265,Schwester::N,nővér,сазор
266,Schwester::N,lánytestvér,сазор
267,Onkel::N,nagybácsi,леля
268,Tante::N,nagynéni,патя
269,Ehemann::N,férj,мирде
270,Ehefrau::N,feleség,ни
271,Freude::N,öröm,кеняркс
272,Gelächter::N,nevetés,ракамо
273,Gelächter::N,nevetés,пейдема
274,Gelächter::N,hahotázás,ракамо
275,Gelächter::N,hahotázás,пейдема
276,Glück::N,boldogság,уцяска
277,Kummer::N,bánat,рискс
278,Kummer::N,bánat,мелявкс
279,Wunsch::N,óhaj,мель
280,Wunsch::N,óhaj,бажамо
281,Lust::N,kedv,бажамо
282,Geist::N,elme,ойме
283,Geist::N,szellem,ойме
284,Gedanke::N,gondolat,мель
285,Gedächtnis::N,emlékezet,мель
286,Verstand::N,ész,прев
287,Verstand::N,értelem,прев
288,Sinn::N,értelem,толк
289,Sinn::N,értelem,смысла
290,Grund::N,ok,тувтал
291,Grund::N,alap,тувтал
292,Wahrheit::N,igaz,видечи
293,Wahrheit::N,igazság,видечи
294,Gespräch::N,beszélgetés,кортнема
295,Märchen::N,mese,ёвкс
296,Erzählung::N,elbeszélés,ёвтнема
297,Nachricht::N,hír,куля
298,Nachricht::N,híradás,куля
299,Neuigkeit::N,újság,куля
300,Name::N,név,лем
301,Rätsel::N,rejtvény,содамоёвкс
302,Rede::N,beszéd,кортамо
303,Rede::N,szónoklat,кортамо
304,Sprache::N,nyelv,кель
305,Stimme::N,hang,ваигель
306,Wort::N,szó,вал
307,Zeichen::N,jel,теште
308,Ruf::N,kiáltás,тердема
309,Lärm::N,zaj,шалнома
310,Laut::N,hang,вайгель
311,Ton::N,hang,гайнема
312,Lied::N,dal,моро
313,Lied::N,ének,моро
314,Ruhe::N,csend,оймамо
315,Ruhe::N,nyugalom,оймамо
316,Leute::N,emberek,ломанть
317,Volk::N,nép,народ
318,Arbeit::N,dolog,тев
319,Gast::N,vendég,инже
320,Geschenk::N,ajándék,казне
321,Spiel::N,játék,налксема
322,Gesellschaft::N,társaság,община
323,Hilfe::N,segítség,лездамо
324,Freund::N,barát,оя
325,Freund::N,barát,ялга
326,Kamerad::N,társ,оя
327,Kamerad::N,társ,ялга
328,Angelegenheit::N,ügy,тев
329,Anzahl::N,szám,ламоксчи
330,Art::N,faj,вид
331,Art::N,fajta,вид
332,Stück::N,darab,пакш
333,Stück::N,darab,пелькс
334,Teil::N,rész,часть
335,Teil::N,rész,пелькс
336,Hälfte::N,fél,пель
337,Hälfte::N,fél,пелькс
338,Kreis::N,kör,кирькс
339,Kreuz::N,kereszt,крёст
340,Linie::N,vonal,кикс
341,Strich::N,vonás,межа
342,Abstand::N,köz,ютко
343,Entfernung::N,távolság,ютко
344,Gegend::N,táj,тарка
345,Gegend::N,táj,пертьпелькс
346,Gegend::N,vidék,тарка
347,Gegend::N,vidék,пертьпелькс
348,Platz::N,hely,васолкс
349,Ort::N,hely,тарка
350,Seite::N,fél,ён
351,Seite::N,fél,чире
352,Seite::N,oldal,ён
353,Seite::N,oldal,чире
354,Mitte::N,közép,куншка
355,Gegenstand::N,tárgy,предмет
356,Sache::N,dolog,тев
357,Sache::N,dolog,веща
358,Rand::N,szél,пе
359,Rand::N,szél,чире
360,Rand::N,perem,пе
361,Rand::N,perem,чире
362,Rand::N,szegély,пе
363,Rand::N,szegély,чире
364,Kante::N,él,ирдез
365,Ecke::N,sarok,ужо
366,Ecke::N,szöglet,ужо
367,Spitze::N,csúcs,пряне
368,Spitze::N,csúcs,пе
369,Ende::N,vég,пе
370,Loch::N,lyuk,варя
371,Winkel::N,szög,ужо
372,Muster::N,minta,сёрма
373,Größe::N,nagyság,сэрь
374,Größe::N,nagyság,покшолма
375,Länge::N,hossz,кувалмо
376,Länge::N,hosszúság,кувалмо
377,Höhe::N,magasság,сэрь
378,Höhe::N,magasság,пандо
379,Gewicht::N,súly,сталмо
380,Menge::N,sokaság,лововкс
381,Menge::N,mennyiség,лововкс
382,Haufen::N,halom,мар
383,Haufen::N,halom,валявкс
384,Reihe::N,sor,ряд
385,Boot::N,csónak,венч
386,Ruder::N,evező,милё
387,Schlitten::N,szánkó,нурдт
388,Ski::N,sí,сокс
389,Lagerfeuer::N,tábortűz,толбандя
390,Last::N,teher,сталмо
391,Last::N,teher,кандома
392,Gang::N,járás,молема
393,Gang::N,járás,якамо
394,Schritt::N,lépés,эскелькс
395,Norden::N,észak,якшамо ёнкс
396,Süden::N,dél,лембе ёнкс
397,Westen::N,nyugat,чивалгома
398,Osten::N,kelet,чилисема
399,Holz::N,fa,чувто
400,Brett::N,deszka,лаз
401,Platte::N,lap,плита
402,Platte::N,lemez,плита
403,Stütze::N,támasz,неже
404,Stütze::N,támaszték,неже
405,Stange::N,rúd,олга
406,Stange::N,pózna,олга
407,Stock::N,pálca,мандо
408,Stab::N,bot,олога
409,Rohr::N,cső,турба
410,Haus::N,ház,кудо
411,Heim::N,otthon,кудо
412,Ofen::N,kályha,каштомо
413,Fußboden::N,padló,киякс
414,Tisch::N,asztal,столь
415,Stuhl::N,szék,стул
416,Wiege::N,bölcső,лавсь
417,Wiege::N,bölcső,нурямот
418,Bett::N,ágy,ацамо
419,Regal::N,polc,лався
420,Regal::N,polc,лавсяланго
421,Regal::N,állvány,лався
422,Regal::N,állvány,лавсяланго
423,Kiste::N,láda,горобия
424,Kiste::N,láda,сундук
425,Fenster::N,ablak,вальма
426,Tür::N,ajtó,кенкш
427,Tor::N,kapu,ортат
428,Zaun::N,kerítés,пирявт
429,Zaun::N,kerítés,пирвякс
430,Dach::N,tető,кудопря
431,Leiter::N,létra,кузтема
432,Besen::N,seprű,тенсть
433,Spaten::N,ásó,койме
434,Schaufel::N,lapát,кече
435,Schaufel::N,lapát,келей койме
436,Gabel::N,villa,сянгине
437,Löffel::N,kanál,пенч
438,Messer::N,kés,пеель
439,Nagel::N,szeg,эске
440,Netz::N,háló,алтыма
441,Haken::N,kampó,кечказ
442,Griff::N,nyél,кедне
443,Griff::N,fogantyú,кедне
444,Schloss::N,zár,замок
