,Concept_ID,et,is
0,Auge::N,silm,auga
1,Ohr::N,kõrv,eyra
2,Nase::N,nina,nef
3,Mund::N,suu,munnur
4,Zahn::N,hammas,tönn
5,Zunge::N,keel,tunga
6,Lippe::N,huul,vör
7,Wange::N,põsk,kinn
8,Wange::N,põsk,vangi
9,Gesicht::N,nägu,andlit
10,Stirn::N,otsmik,enni
11,Haar::N,juus,hár
12,Schnurrbart::N,vurrud,yfirskegg
13,Schnurrbart::N,vuntsid,yfirskegg
14,Bart::N,habe,skegg
15,Kinn::N,lõug,haka
16,Kiefer[Anatomie]::N,lõualuu,kjálki
17,Kiefer[Anatomie]::N,lõualuu,skoltur
18,Kehle::N,kõri,kverk
19,Hals::N,kael,háls
20,Genick::N,kukal,hnakki
21,Kopf::N,pea,höfuð
22,Rücken::N,selg,hryggur
23,Bauch::N,kõht,kviður
24,Nabel::N,naba,nafli
25,Busen::N,rind,barmur
26,Brust::N,rind,brjóst
27,Schulter::N,õlg,öxl
28,Arm::N,käsivars,armur
29,Ellenbogen::N,küünarnukk,olnbogi
30,Hand::N,käsi,hönd
31,Handfläche::N,pihk,lófi
32,Finger::N,sõrm,fingur
33,Fingernagel::N,küüs,fingurnögl
34,Nagel[Anatomie]::N,küüs,nögl
35,Zeh::N,varvas,tá
36,Fuß::N,jalg,fótur
37,Ferse::N,kand,hæll
38,Knie::N,põlv,kné
39,Oberschenkel::N,reis,læri
40,Bein::N,jalg,fótleggur
41,Körper::N,ihu,búkur
42,Körper::N,ihu,líkami
43,Körper::N,keha,búkur
44,Körper::N,keha,líkami
45,Haut::N,nahk,húð
46,Haut::N,nahk,skinn
47,Blut::N,veri,blóð
48,Ader::N,veen,æð
49,Sehne::N,kõõlus,sin
50,Knochen::N,luu,bein
51,Gehirn::N,aju,heili
52,Herz::N,süda,hjarta
53,Magen::N,magu,magi
54,Leber::N,maks,lifur
55,Atem::N,hingeõhk,andi
56,Atem::N,hingeõhk,andardráttur
57,Atem::N,hingamine,andi
58,Atem::N,hingamine,andardráttur
59,Hunger::N,nälg,hungur
60,Träne::N,pisar,tár
61,Geschmack::N,maitse,smekkur
62,Geruch::N,lõhn,lykt
63,Schlaf::N,uni,svefn
64,Traum::N,unenägu,draumur
65,Himmel::N,taevas,himinn
66,Sonne::N,päike,sól
67,Mond::N,kuu,tungl
68,Stern::N,täht,stjarna
69,Luft::N,õhk,loft
70,Wind::N,tuul,vindur
71,Welle::N,laine,alda
72,Welle::N,laine,bylgja
73,Wasser::N,vesi,vatn
74,Stein::N,kivi,steinn
75,Boden::N,maa,botn
76,Boden::N,pinnas,botn
77,Erde::N,maa,jörð
78,Staub::N,põrm,ryk
79,Staub::N,põrm,duft
80,Rauch::N,suits,reykur
81,Funke::N,säde,neisti
82,Feuer::N,tuli,eldur
83,Licht::N,valgus,ljós
84,Schatten::N,vari,skuggi
85,Wetter::N,ilm,veður
86,Nebel::N,udu,þoka
87,Wolke::N,pilv,ský
88,Regen::N,sadu,regn
89,Schnee::N,lumi,snjór
90,Eis::N,jää,ís
91,Frost::N,pakane,frost
92,Kälte::N,külm,kuldi
93,Kälte::N,külmus,kuldi
94,Hitze::N,kuumus,hiti
95,Hitze::N,palavus,hiti
96,Raureif::N,härmatis,hrím
97,Regenbogen::N,vikerkaar,regnbogi
98,Donner::N,kõu,þruma
99,Donner::N,müristamine,þruma
100,Strömung::N,voolus,straumur
101,Strömung::N,jõevool,straumur
102,Tropfen::N,tilk,dropi
103,Schaum::N,vaht,froða
104,Schmutz::N,pori,óhreinindi
105,Schmutz::N,mustus,óhreinindi
106,See::N,järv,stöðuvatn
107,Sumpf::N,soo,fen
108,Moor::N,raba,mýri
109,Wiese::N,aas,engi
110,Wiese::N,nurm,engi
111,Wald::N,mets,skógur
112,Hügel::N,küngas,hæð
113,Hügel::N,küngas,hóll
114,Anhöhe::N,küngas,hæð
115,Anhöhe::N,küngas,hóll
116,Berg::N,mägi,fell
117,Berg::N,mägi,fjall
118,Gipfel::N,mäetipp,tindur
119,Höhle::N,koobas,hellir
120,Abhang::N,nõlvak,hlíð
121,Abhang::N,nõlvak,brekka
122,Quelle::N,allikas,lind
123,Quelle::N,allikas,uppspretta
124,Bach::N,oja,lækur
125,Fluss::N,jõgi,á
126,Fluss::N,jõgi,fljót
127,Ufer::N,kallas,árbakki
128,Ufer::N,kallas,sjávarbakki
129,Küste::N,rannik,strönd
130,Festland::N,mander,meginland
131,Festland::N,maismaa,meginland
132,Meer::N,meri,haf
133,Meer::N,meri,sjór
134,Bucht::N,laht,vík
135,Insel::N,saar,eyja
136,Blume::N,lill,blóm
137,Gras::N,rohi,gras
138,Wurzel::N,juur,rót
139,Baum::N,puu,tré
140,Stamm::N,tüvi,stofn
141,Rinde::N,koor,börkur
142,Ast::N,oks,grein
143,Zweig::N,oks,angi
144,Zweig::N,oks,kvistur
145,Blatt::N,leht,blað
146,Birke::N,kask,birki
147,Kiefer[Baum]::N,mänd,fura
148,Weide[Baum]::N,paju,víðir
149,Tanne::N,nulg,greni
150,Horn::N,sarv,horn
151,Feder::N,sulg,fjöður
152,Fell::N,karvkate,skinn
153,Fell::N,karusnahk,skinn
154,Flügel::N,tiib,vængur
155,Flügel::N,tiivik,vængur
156,Klaue::N,küüs,kló
157,Kralle::N,küünis,kló
158,Schwanz::N,saba,rófa
159,Schwanz::N,saba,skott
160,Ei::N,muna,egg
161,Nest::N,pesa,hreiður
162,Bau::N,urg,greni
163,Bau::N,urg,bæli
164,Tier::N,loom,dýr
165,Herde::N,kari,hjörð
166,Kuh::N,lehm,kýr
167,Bulle::N,pull,boli
168,Pferd::N,hobune,hestur
169,Schaf::N,lammas,kind
170,Schwein::N,siga,svín
171,Hund::N,koer,hundur
172,Katze::N,kass,köttur
173,Bär::N,karu,björn
174,Eichhörnchen::N,orav,íkorni
175,Elch::N,põder,elgur
176,Fuchs::N,rebane,refur
177,Hase::N,jänes,héri
178,Maus::N,hiir,mús
179,Wolf::N,hunt,úlfur
180,Vogel::N,lind,fugl
181,Schwarm::N,parv,sægur
