,Concept_ID,be,la
0,Auge::N,вока,oculus
1,Ohr::N,вуха,auris
2,Nase::N,нос,nasus
3,Mund::N,рот,os
4,Zahn::N,зуб,dens
5,Zunge::N,язык,lingua
6,Lippe::N,губа,labrum
7,Wange::N,шчака,gena
8,Gesicht::N,твар,vultus
9,Stirn::N,лоб,frons
10,Haar::N,волас,capillus
11,Haar::N,валасы,capillus
12,Schnurrbart::N,вус,barba labri superioris
13,Schnurrbart::N,вусы,barba labri superioris
14,Bart::N,барада,barba
15,Kinn::N,падбародак,mentum
16,Kiefer[Anatomie]::N,сківіца,mala
17,Kehle::N,горла,iugulums
18,Hals::N,шыя,collum
19,Genick::N,патыліца,cervices
20,Kopf::N,галава,caput
21,Rücken::N,спіна,tergum
22,Bauch::N,жывот,venter
23,Nabel::N,пупок,umbilicus
24,Busen::N,грудзі,sinus
25,Brust::N,грудзі,pectus
26,Schulter::N,плячо,umerus
27,Arm::N,рука,bracchium
28,Ellenbogen::N,локаць,cubitum
29,Hand::N,кісць,manus
30,Handfläche::N,далонь,palma
31,Finger::N,палец,digitus
32,Fingernagel::N,ногаць,unguiculus
33,Nagel[Anatomie]::N,ногаць,unguis
34,Zeh::N,палец,digitus
35,Fuß::N,нага,pes
36,Ferse::N,пята,calx
37,Ferse::N,пятка,calx
38,Knie::N,калена,genu
39,Oberschenkel::N,бядро,femur
40,Oberschenkel::N,сцягно,femur
41,Bein::N,нага,crus
42,Körper::N,цела,corpus
43,Haut::N,скура,cutis
44,Haut::N,скура,pellis
45,Blut::N,кроў,sanguis
46,Ader::N,вена,vena
47,Ader::N,сасуд,vena
48,Sehne::N,жыла,nervus
49,Sehne::N,цеціва,nervus
50,Sehne::N,сухажылле,nervus
51,Knochen::N,косць,os
52,Gehirn::N,мозг,cerebrum
53,Herz::N,сэрца,cor
54,Herz::N,сэрца,animus
55,Magen::N,страўнік,stomachus
56,Leber::N,печань,iecur
57,Atem::N,дыханне,spiritus
58,Hunger::N,голад,fames
59,Träne::N,сляза,lacrima
60,Geschmack::N,смак,sapor
61,Geschmack::N,смак,gustus
62,Geruch::N,пах,odor
63,Schlaf::N,сон,somnus
64,Traum::N,сон,somnium
65,Himmel::N,неба,caelum
66,Sonne::N,сонца,sol
67,Mond::N,месяц,luna
68,Stern::N,зорка,sidus
69,Stern::N,зорка,stella
70,Luft::N,паветра,aer
71,Wind::N,вецер,ventus
72,Welle::N,хваля,unda
73,Wasser::N,вада,aqua
74,Stein::N,камень,lapis
75,Boden::N,глеба,solum
76,Erde::N,зямля,terra
77,Staub::N,пыл,pulvis
78,Rauch::N,дым,fumus
