,Concept_ID,mhr,ko
0,Auge::N,шинча́,눈
1,Ohr::N,пы́лыш,귀
2,Nase::N,нер,코
3,Mund::N,умша́,입
4,Zahn::N,пӱй,이
5,Zunge::N,йы́лме,혀
6,Lippe::N,тӱ́рвӧ,입술
7,Wange::N,шӱ́ргӧ,뺨
8,Gesicht::N,чури́й,얼굴
9,Stirn::N,саҥга́,이마
10,Haar::N,ӱп,털
11,Schnurrbart::N,ӧ́рыш,윗수몀
12,Schnurrbart::N,ӧ́рыш,코밑수염
13,Bart::N,понда́ш,수엄
14,Kinn::N,оҥыла́ш,아래턱
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,턱
16,Kiefer[Anatomie]::N,пӱйората́,턱
17,Kehle::N,лога́р,인후
18,Hals::N,шӱй,목
19,Genick::N,шӱйло́дыш,먹덜이
20,Kopf::N,вуй,머리
21,Rücken::N,туп,든
22,Bauch::N,мӱ́шкыр,배
23,Nabel::N,кы́лымде,배꼽
24,Busen::N,чы́зе,가슴속
25,Brust::N,оҥ,가슴
26,Schulter::N,ва́че,어깨
27,Arm::N,кид,팔
28,Ellenbogen::N,кынерву́й,팔쿰치
29,Hand::N,кид,손
30,Hand::N,копа́,손
31,Handfläche::N,со́во,손바닥
32,Finger::N,парня́,속가락
33,Fingernagel::N,кидкӱ́ч,손톱
34,Fingernagel::N,парнягӱ́ч,손톱
35,Nagel[Anatomie]::N,кӱч,손톱
36,Zeh::N,йолварня́,발가락
37,Fuß::N,йол,발
38,Fuß::N,йолкопа́,발
39,Ferse::N,тага́н,발꿈치
40,Knie::N,пулву́й,무릎
41,Oberschenkel::N,э́рде,허벅다리
42,Bein::N,йол,다리
43,Körper::N,кап,구간
44,Haut::N,кова́ште,살갗
45,Blut::N,вӱр,피
46,Ader::N,шӧн,정맥
47,Sehne::N,шӧн,현
48,Sehne::N,кӱсе́н,현
49,Knochen::N,лу,뼈
50,Gehirn::N,вем,뇌
51,Gehirn::N,вем,뇌수
52,Gehirn::N,вуйве́м,뇌
53,Gehirn::N,вуйве́м,뇌수
54,Herz::N,шӱм,염통
55,Magen::N,пага́р,위
56,Leber::N,мокш,간
57,Atem::N,шӱ́лыш,기식
58,Hunger::N,шужыма́ш,공복
59,Träne::N,шинчавӱ́д,눈물
60,Geschmack::N,там,기호
61,Geruch::N,пуш,냄새
62,Schlaf::N,о́мо,수면
63,Traum::N,йӱдо́мо,쿰
64,Himmel::N,кава́,하늘
65,Sonne::N,ке́че,해
66,Mond::N,ты́лзе,달
67,Stern::N,шӱ́дыр,별
68,Luft::N,юж,동준
69,Luft::N,юж,가스채
70,Wind::N,марде́ж,바람
71,Welle::N,то́лкын,물결
72,Wasser::N,вӱд,물
73,Stein::N,кӱ,돌
74,Boden::N,рок,바닥
75,Erde::N,мла́нде,흙
76,Staub::N,пура́к,먼지
77,Rauch::N,шикш,연기
78,Funke::N,сеске́м,불티
79,Funke::N,тулйы́п,불티
80,Feuer::N,тул,불
81,Licht::N,со́то,불
82,Schatten::N,ӱ́мыл,어스레함
83,Wetter::N,иге́че,기상
84,Nebel::N,тӱтыра́,안개
85,Wolke::N,пыл,구름
86,Regen::N,йӱр,비
87,Schnee::N,лум,눈
88,Eis::N,ий,얼음
89,Frost::N,чатлама́,혹한
90,Kälte::N,йӱ́штӧ,추위
91,Kälte::N,йӱ́штӧ,차가움
92,Hitze::N,шо́кшо,고온
93,Hitze::N,шо́кшо,더위
94,Raureif::N,пӧрш,
95,Raureif::N,по́кшым,
96,Regenbogen::N,шонанпы́л,무지개
97,Donner::N,кӱ́дырчӧ,뇌명
98,Strömung::N,йо́гын,유동
99,Tropfen::N,чӱча́лтыш,물방울
100,Schaum::N,шоҥ,포말
101,Schmutz::N,лавыра́,때
102,See::N,ер,호수
103,Sumpf::N,лӱ́кӧ,습지
104,Moor::N,куп,저습지
105,Wiese::N,о́лык,목초지
106,Wald::N,чодыра́,숲
107,Hügel::N,арка́,언덕
108,Anhöhe::N,тӧва́,언덕
109,Anhöhe::N,кӱкшака́,언덕
110,Berg::N,ку́рык,산
111,Gipfel::N,чаҥга́,졀졍
112,Gipfel::N,курыкву́й,졀졍
113,Höhle::N,пеще́р,공동
114,Höhle::N,курыкпо́мыш,공동
115,Abhang::N,та́йыл,몰매
116,Quelle::N,важ,근원
117,Quelle::N,вӱдшинча́,근원
118,Bach::N,изэҥе́р,내
119,Fluss::N,эҥе́р,강
120,Ufer::N,сер,강변
121,Ufer::N,сер,바닷가
122,Küste::N,вӱдтӱ́р,해변
123,Küste::N,вӱдтӱ́р,해변가
124,Festland::N,мла́нде,본토
125,Meer::N,те́ҥыз,바다
126,Bucht::N,икса́,협만
127,Insel::N,отро́,섬
128,Blume::N,пеле́дыш,꽃
129,Gras::N,шу́до,풀
130,Wurzel::N,вож,뿌리
131,Baum::N,пуше́ҥге,나무
132,Stamm::N,йы́тыр,대
