,Concept_ID,xal,udm
0,Auge::N,нүдн,син
1,Ohr::N,чикн,пель
2,Nase::N,хамр,ныр
3,Mund::N,амн,ым
4,Zahn::N,шүдн,пинь
5,Zunge::N,келн,кыл
6,Lippe::N,урл,ымдур
7,Wange::N,халх,бам
8,Gesicht::N,нүр,ымныр
9,Stirn::N,маңна,кымес
10,Haar::N,үсн,йырси
11,Schnurrbart::N,сахл,мыйык
12,Bart::N,сахл,туш
13,Bart::N,өргнә сахл,туш
14,Kinn::N,өргн,ангес
15,Kiefer[Anatomie]::N,өргн,ан
16,Kiefer[Anatomie]::N,өргн,анлы
17,Kehle::N,хол,гульым
18,Hals::N,күзүн,чырты
19,Genick::N,гиҗг,йырбер
20,Kopf::N,толһа,йыр
21,Rücken::N,нурһн,мыш
22,Bauch::N,гесн,кӧт
23,Nabel::N,киисн,гогы
24,Busen::N,көкн,ноны
25,Brust::N,чееҗ,мӧля
26,Schulter::N,ээм,пельпум
27,Arm::N,һар,суй
28,Ellenbogen::N,тоха,гырпум
29,Hand::N,баһлцг,ки
30,Handfläche::N,альхн,ки пыдэс
31,Handfläche::N,альхн,кырым пыдэс
32,Finger::N,хурһн,чиньы
33,Finger::N,һарин хурһн,чиньы
34,Fingernagel::N,хумсн,гижы
35,Fingernagel::N,хумсн,гиждӥнь
36,Nagel[Anatomie]::N,хумсн,гижы
37,Zeh::N,хурһн,пыдчиньы
38,Zeh::N,көлин хурһн,пыдчиньы
39,Fuß::N,тавг,пыд
40,Ferse::N,өскә,пыдбер
41,Knie::N,өвдг,пыдес
42,Oberschenkel::N,һуй,макес
43,Bein::N,көл,пыд
44,Körper::N,махмуд,мугор
45,Körper::N,махмуд,вылтыр
46,Haut::N,арсн,ку
47,Blut::N,цусн,вир
48,Ader::N,судцн,вирсэр
49,Sehne::N,шүрүсн,вуж
50,Knochen::N,ясн,лы
51,Gehirn::N,экн,вим
52,Herz::N,зүркн,сюлэм
53,Magen::N,гесн,ӝуш
54,Leber::N,элкн,мус
55,Atem::N,әмсхл,лул
56,Atem::N,әмсхл,шокан
57,Hunger::N,харһнлһн,кӧтсюман
