,Concept_ID,hr,es
0,Auge::N,oko,ojo
1,Ohr::N,uho,oreja
2,Nase::N,nos,nariz
3,Mund::N,usta,boca
4,Zahn::N,zub,diente
5,Zunge::N,jezik,lengua
6,Lippe::N,usna,labio
7,Wange::N,obraz,mejilla
8,Gesicht::N,lice,cara
9,Stirn::N,čelo,frente
10,Haar::N,kosa,cabello
11,Schnurrbart::N,brkovi,bigote
12,Bart::N,brada,barba
13,Kinn::N,brada,barbilla
14,Kinn::N,podbradak,barbilla
15,Kiefer[Anatomie]::N,čeljust,mandíbula
16,Kehle::N,grlo,garganta
17,Hals::N,vrat,cuello
18,Genick::N,zatiljak,nuca
19,Genick::N,zatiljak,cerviz
20,Kopf::N,glava,cabeza
21,Rücken::N,leđa,espalda
22,Rücken::N,hrbat,espalda
23,Bauch::N,trbuh,vientre
24,Nabel::N,pupak,ombligo
25,Busen::N,sisa,pecho
26,Busen::N,njedra,pecho
27,Brust::N,prsa,pecho
28,Schulter::N,rame,hombro
29,Schulter::N,pleći,hombro
30,Arm::N,ruka,brazo
31,Ellenbogen::N,lakat,codo
32,Hand::N,ruka,mano
33,Handfläche::N,dlan,palma
34,Finger::N,prst,dedo
35,Fingernagel::N,nokat,uña
36,Nagel[Anatomie]::N,nokat,uña
37,Zeh::N,nozni prst,dedo del pie
38,Fuß::N,noga,pie
39,Fuß::N,stopalo,pie
40,Ferse::N,peta,talón
41,Knie::N,koljeno,rodilla
42,Oberschenkel::N,bedro,muslo
43,Bein::N,noga,pierna
44,Körper::N,tijelo,cuerpo
45,Haut::N,put,piel
46,Haut::N,koža,piel
47,Blut::N,krv,sangre
48,Ader::N,žila,vena
49,Sehne::N,tetiva,tendón
50,Knochen::N,kost,hueso
51,Herz::N,srce,corazón
52,Magen::N,stomak,estómago
53,Magen::N,želudac,estómago
54,Leber::N,jetra,hígado
55,Atem::N,dah,aliento
56,Hunger::N,glad,hambre
57,Träne::N,suza,lágrima
58,Geschmack::N,ukus,gusto
59,Geruch::N,njuh,olor
60,Geruch::N,miris,olor
61,Schlaf::N,san,sueño
62,Traum::N,san,sueño
63,Traum::N,san,ensueño
64,Himmel::N,nebo,cielo
65,Sonne::N,sunce,sol
66,Mond::N,mjesec,luna
67,Stern::N,zvijezda,estrella
68,Luft::N,zrak,aire
69,Wind::N,vjetar,viento
70,Welle::N,val,ola
71,Welle::N,val,onda
72,Welle::N,talas,ola
73,Welle::N,talas,onda
74,Wasser::N,voda,agua
75,Stein::N,kamen,piedra
76,Boden::N,tlo,suelo
77,Boden::N,zemlja,suelo
78,Erde::N,zemlja,tierra
79,Staub::N,prah,polvo
80,Staub::N,prašina,polvo
81,Rauch::N,dim,humo
82,Funke::N,iskra,chispa
83,Funke::N,varnica,chispa
84,Feuer::N,vatra,fuego
85,Licht::N,svjetlo,luz
86,Schatten::N,hlad,sombra
87,Schatten::N,sjena,sombra
88,Wetter::N,vrijeme,tiempo
89,Nebel::N,magla,niebla
90,Wolke::N,oblak,nube
91,Regen::N,kiša,lluvia
92,Schnee::N,snijeg,nieve
93,Eis::N,led,hielo
94,Frost::N,mraz,helada
95,Kälte::N,studen,frío
96,Kälte::N,hladnoća,frío
97,Hitze::N,vrućina,calor
98,Raureif::N,inje,escarcha
99,Regenbogen::N,duga,arco iris
100,Donner::N,grom,trueno
101,Donner::N,grmljavina,trueno
102,Strömung::N,struja,corriente
103,Strömung::N,strujanje,corriente
104,Tropfen::N,kap,gota
105,Tropfen::N,kaplja,gota
106,Schaum::N,pjena,espuma
107,Schmutz::N,nečistoća,suciedad
108,Schmutz::N,prljavština,suciedad
109,See::N,jezero,lago
110,Sumpf::N,bara,pantano
111,Moor::N,močvara,turbera
112,Wiese::N,livada,prado
113,Wiese::N,livada,pradera
114,Wald::N,šuma,bosque
115,Hügel::N,brijeg,colina
116,Hügel::N,brežuljak,colina
117,Anhöhe::N,uzvišica,cerro
118,Berg::N,brdo,monte
119,Berg::N,brdo,montaña
120,Gipfel::N,vrh,cima
121,Gipfel::N,vrh,cumbre
122,Höhle::N,pećina,cueva
123,Höhle::N,pećina,caverna
124,Höhle::N,spilja,cueva
125,Höhle::N,spilja,caverna
126,Abhang::N,obronak,cuesta
127,Abhang::N,obronak,declive
128,Abhang::N,nizbrdica,cuesta
129,Abhang::N,nizbrdica,declive
130,Quelle::N,izvor,fuente
131,Quelle::N,izvor,manantial
132,Quelle::N,vrelo,fuente
133,Quelle::N,vrelo,manantial
134,Bach::N,potok,arroyo
135,Fluss::N,rijeka,río
136,Ufer::N,obala,orilla
137,Küste::N,obala,costa
138,Küste::N,morska obala,costa
139,Festland::N,kopno,tierra firme
140,Meer::N,more,mar
141,Bucht::N,zaliv,cala
142,Bucht::N,zaliv,bahía
143,Insel::N,ada,isla
144,Insel::N,otok,isla
145,Blume::N,cvijet,flor
146,Gras::N,trava,hierba
147,Wurzel::N,korijen,raíz
148,Baum::N,drvo,árbol
149,Baum::N,stablo,árbol
150,Stamm::N,deblo,tronco
151,Stamm::N,stablo,tronco
152,Rinde::N,kora,corteza
153,Ast::N,grana,rama
154,Zweig::N,grana,ramo
155,Blatt::N,list,hoja
156,Birke::N,breza,abedul
157,Kiefer[Baum]::N,bor,pino
158,Weide[Baum]::N,iva,sauce
159,Weide[Baum]::N,vŕba,sauce
160,Tanne::N,jela,abeto
161,Horn::N,rog,asta
162,Horn::N,rog,cuerno
163,Feder::N,pero,pluma
164,Fell::N,koža,piel
165,Flügel::N,krilo,ala
166,Klaue::N,papak,garra
167,Kralle::N,pandža,uña
168,Kralle::N,pandža,garra
169,Schwanz::N,rep,cola
170,Ei::N,jaje,huevo
171,Nest::N,gnijezdo,nido
172,Bau::N,jazbina,madriguera
173,Tier::N,životinja,animal
174,Herde::N,krdo,rebaño
175,Herde::N,stado,rebaño
176,Kuh::N,krava,vaca
177,Bulle::N,bik,toro
178,Pferd::N,konj,caballo
179,Schaf::N,ovca,oveja
180,Schwein::N,svinja,cerdo
181,Hund::N,pas,perro
182,Hund::N,pseto,perro
183,Katze::N,mačka,gato
184,Bär::N,medvjed,oso
185,Eichhörnchen::N,vjeverica,ardilla
186,Elch::N,los,alce
187,Fuchs::N,lisica,zorro
188,Hase::N,zec,liebre
189,Maus::N,miš,ratón
190,Wolf::N,vuk,lobo
191,Wolf::N,kurjak,lobo
192,Vogel::N,ptica,ave
193,Vogel::N,ptica,pájaro
194,Schwarm::N,roj,bandada
195,Schwarm::N,jato,bandada
196,Huhn::N,kokoš,gallina
197,Hahn::N,kokot,gallo
198,Hahn::N,pijevac,gallo
