,Concept_ID,,kv
0,Auge::N,,син
1,Ohr::N,,пель
2,Nase::N,,ныр
3,Mund::N,,ӧм
4,Zahn::N,,пинь
5,Zunge::N,,кыв
6,Lippe::N,,тырп
7,Wange::N,,рожабан
8,Gesicht::N,,бан
9,Stirn::N,,кымӧс
10,Haar::N,,юрси
11,Schnurrbart::N,,уссэз
12,Bart::N,,тош
13,Kinn::N,,тшӧка
14,Kiefer[Anatomie]::N,,ан
15,Kehle::N,,юан
16,Hals::N,,юан
17,Genick::N,,юр бӧр
18,Kopf::N,,юр
19,Rücken::N,,мышк
20,Bauch::N,,кынӧм
21,Nabel::N,,гӧг
22,Busen::N,,морос
23,Brust::N,,морос
24,Schulter::N,,пельпон
25,Arm::N,,ки
26,Ellenbogen::N,,гырдзза
27,Hand::N,,кикар
28,Handfläche::N,,ки пыдӧс
29,Finger::N,,чунь
30,Fingernagel::N,,гыж
31,Nagel[Anatomie]::N,,гыж
32,Zeh::N,,чунь
33,Fuß::N,,кокпыдӧс
34,Ferse::N,,кокдзир
35,Knie::N,,пидзӧс
36,Oberschenkel::N,,лядьбей
37,Bein::N,,кок
38,Körper::N,,вывтыр
39,Haut::N,,кучик
40,Blut::N,,вир
41,Ader::N,,сӧн
42,Sehne::N,,жила
43,Knochen::N,,коска
44,Gehirn::N,,вем
45,Herz::N,,сьӧлӧм
46,Magen::N,,жӧвдӧк
47,Leber::N,,мус
48,Atem::N,,лолалӧм
49,Hunger::N,,тшыг
50,Träne::N,,синва
51,Geschmack::N,,кӧр
52,Geruch::N,,дук
53,Schlaf::N,,он
54,Traum::N,,вӧт
55,Himmel::N,,небо
56,Sonne::N,,шондi
57,Mond::N,,тӧлiсь
58,Stern::N,,кӧдзыв
59,Luft::N,,ру
60,Wind::N,,тӧв
61,Welle::N,,гы
62,Wasser::N,,ва
63,Stein::N,,из
64,Boden::N,,му
65,Erde::N,,му
66,Staub::N,,бус
67,Rauch::N,,тшын
68,Funke::N,,бичир
69,Feuer::N,,би
70,Licht::N,,би
71,Schatten::N,,вуджӧр
72,Wetter::N,,погоддя
73,Nebel::N,,туман
74,Wolke::N,,кымӧр
75,Regen::N,,зэр
76,Schnee::N,,лым
77,Eis::N,,йы
