,Concept_ID,ko,vep
0,Auge::N,눈,sil'm
1,Ohr::N,귀,korv
2,Nase::N,코,nena
3,Mund::N,입,su
4,Zahn::N,이,pi
5,Zahn::N,이,hambaz
6,Zunge::N,혀,kel'
7,Lippe::N,입술,hul'
8,Wange::N,뺨,modpolišk
9,Gesicht::N,얼굴,mod
10,Stirn::N,이마,oc
11,Haar::N,털,tuk
12,Haar::N,털,hibuz
13,Schnurrbart::N,윗수몀,habinod
14,Schnurrbart::N,코밑수염,habinod
15,Bart::N,수엄,bard
16,Kinn::N,아래턱,löug
17,Kiefer[Anatomie]::N,턱,hambazlu
18,Kehle::N,인후,kurk
19,Hals::N,목,kagl
20,Genick::N,먹덜이,tagarai
21,Kopf::N,머리,pä
22,Rücken::N,든,sel'g
23,Bauch::N,배,vac
24,Bauch::N,배,koht
25,Nabel::N,배꼽,naba
26,Busen::N,가슴속,niža
27,Brust::N,가슴,rind
28,Schulter::N,어깨,oug
29,Arm::N,팔,käzi
30,Ellenbogen::N,팔쿰치,künambruz
31,Hand::N,손,käzi
32,Hand::N,손,käzitera
33,Handfläche::N,손바닥,kämen
34,Finger::N,속가락,sor'm
35,Fingernagel::N,손톱,künz'
36,Nagel[Anatomie]::N,손톱,künz'
37,Zeh::N,발가락,barbaz
38,Fuß::N,발,jaug
39,Ferse::N,발꿈치,kand
40,Knie::N,무릎,komb
41,Knie::N,무릎,pol'v
42,Oberschenkel::N,허벅다리,riiže
43,Bein::N,다리,jaug
44,Körper::N,구간,hibj
45,Haut::N,살갗,nahk
46,Blut::N,피,čak
47,Blut::N,피,veri
48,Ader::N,정맥,son'
49,Sehne::N,현,jände
50,Knochen::N,뼈,lu
51,Gehirn::N,뇌,aivod
52,Gehirn::N,뇌수,aivod
53,Herz::N,염통,südäin
54,Magen::N,위,südäikoht
55,Leber::N,간,maks
56,Atem::N,기식,hengaiduz
57,Hunger::N,공복,näl'g
58,Träne::N,눈물,kündal'
59,Geschmack::N,기호,magu
60,Geruch::N,냄새,haju
61,Schlaf::N,수면,uni
62,Traum::N,쿰,unikuva
63,Himmel::N,하늘,taivaz
64,Sonne::N,해,päiväine
65,Mond::N,달,kudmaine
66,Stern::N,별,tähtaz
67,Luft::N,동준,il'm
68,Luft::N,가스채,il'm
69,Wind::N,바람,döl
70,Wind::N,바람,tullei
71,Welle::N,물결,ald
72,Welle::N,물결,laineh
73,Wasser::N,물,vezi
74,Stein::N,돌,kivi
75,Boden::N,바닥,ma
76,Boden::N,바닥,pohj
77,Erde::N,흙,ma
78,Staub::N,먼지,pölü
79,Rauch::N,연기,savu
80,Funke::N,불티,kibin
81,Feuer::N,불,lämoi
82,Licht::N,불,vauktuz
83,Schatten::N,어스레함,pil'vez
84,Schatten::N,어스레함,kuvahaine
85,Wetter::N,기상,sä
86,Nebel::N,안개,sumeg
87,Wolke::N,구름,pil'v
88,Regen::N,비,vihm
89,Schnee::N,눈,lumi
90,Eis::N,얼음,jä
91,Frost::N,혹한,hala
92,Frost::N,혹한,pakaine
93,Kälte::N,추위,vilu
94,Kälte::N,차가움,vilu
95,Hitze::N,고온,räk
96,Hitze::N,더위,räk
97,Regenbogen::N,무지개,jumalanbembel'
98,Donner::N,뇌명,juru
99,Donner::N,뇌명,jumalanjuru
100,Strömung::N,유동,joksmuz
101,Tropfen::N,물방울,tilkuine
102,Schaum::N,포말,vaht
103,Schmutz::N,때,redu
104,Schmutz::N,때,pačak
105,See::N,호수,järv
106,Sumpf::N,습지,so
107,Moor::N,저습지,so
108,Wiese::N,목초지,nit
109,Wald::N,숲,mec
110,Hügel::N,언덕,kukaz
111,Anhöhe::N,언덕,kukaz
112,Berg::N,산,mägi
113,Gipfel::N,졀졍,ladv
114,Höhle::N,공동,mägionduz
115,Abhang::N,몰매,paute
116,Quelle::N,근원,lähte
117,Bach::N,내,oja
118,Fluss::N,강,jogi
119,Ufer::N,강변,rand
120,Ufer::N,바닷가,rand
121,Küste::N,해변,randišt
122,Küste::N,해변가,randišt
123,Festland::N,본토,kuivma
124,Meer::N,바다,meri
125,Bucht::N,협만,laht
126,Insel::N,섬,sar'
127,Blume::N,꽃,änik
128,Gras::N,풀,hein
129,Wurzel::N,뿌리,jur'
130,Baum::N,나무,pu
131,Stamm::N,대,tüvi
132,Rinde::N,나무껍질,kor'
133,Ast::N,가지,oks
134,Zweig::N,가지,oks
135,Zweig::N,가지,barb
136,Blatt::N,잎,lehtez
137,Birke::N,자작나무,koiv
138,Kiefer[Baum]::N,소나무,pedai
139,Weide[Baum]::N,쉬양버들,raid
140,Tanne::N,전나무,kuz'
141,Horn::N,뿔,sar'v
142,Feder::N,깃털,höuneh
143,Fell::N,피혁모피,nahk
144,Flügel::N,날개,suug
145,Klaue::N,갈고리 발톺,künz'
146,Kralle::N,발툭,künz'
147,Schwanz::N,꼬리,händ
148,Ei::N,알,muna
149,Nest::N,보금자리,peza
150,Bau::N,굴,uru
151,Tier::N,짐승,živat
152,Herde::N,가축의떼,kogo
153,Kuh::N,암소,lehm
154,Bulle::N,황소,härg
155,Pferd::N,말,hebo
156,Schaf::N,양,lambaz
157,Schwein::N,돼지,siga
158,Hund::N,개,koir
159,Katze::N,고양이,kaži
160,Bär::N,콤,kondi
161,Eichhörnchen::N,다람쥐,orav
162,Elch::N,고라니,hirb'
163,Fuchs::N,여우,reboi
164,Hase::N,토끼,jäniš
165,Maus::N,쥐,hir'
166,Wolf::N,늑대,händikaz
167,Vogel::N,새,lind
168,Schwarm::N,뗴,parveh
169,Huhn::N,암탉,kana
170,Hahn::N,수탉,kukoi
171,Gans::N,거위,hanh'
172,Adler::N,수리,orl
173,Ente::N,오리,sorz
174,Eule::N,부엉이,hir'pulo
175,Kranich::N,두루미,kurg
176,Krähe::N,까마귀,variš
177,Kuckuck::N,뻐꾸기,kägi
178,Schwan::N,배조,joucen
179,Fisch::N,물고기,kala
180,Barsch::N,농어,ahven
181,Hecht::N,에속스,haug'
182,Schlange[Tier]::N,뱀,kü
183,Schlange[Tier]::N,뱀,mado
184,Wurm::N,벌레,mado
185,Spinne::N,거미,hämähouk
186,Ameise::N,개미,murahaine
187,Laus::N,이,täi
188,Mücke::N,모기,säs'k
189,Fliege::N,날기,kärbhaine
190,Schmetterling::N,나비,lipkaine
191,Beere::N,장과,marj
192,Apfel::N,사과,jablok
193,Pilz::N,고방이,sen'
194,Pilz::N,고방이,babuk
195,Zwiebel::N,양파,lauk
196,Saat::N,씨,semned
197,Korn::N,알맹이,jüvä
198,Korn::N,알맹이,vill'
199,Heu::N,건초,hein
200,Schale::N,피상,kor'
201,Falle::N,함정,rida
202,Schlinge::N,올가미,rihm
203,Schlinge::N,멜빵붕대,rihm
204,Spur::N,발지국,jäl'g
205,Asche::N,재,tuhk
206,Dreck::N,똥,redu
207,Dreck::N,똥,pačak
208,Dreck::N,오물,redu
209,Dreck::N,오물,pačak
210,Eisen::N,쇠,raud
211,Eisen::N,철,raud
212,Gold::N,항금,kuld
213,Silber::N,은,hobed
214,Kohle::N,슻,hil'
215,Glas::N,유리,stökol
216,Lehm::N,찰흙,savi
217,Sand::N,모래,lete
218,Mensch::N,사람,mez'
219,Mensch::N,사람,ristit
220,Mann::N,남자,mez'
221,Frau::N,여자,naine
222,Kind::N,아이,laps'
223,Junge::N,소녁,poig
224,Junge::N,소녁,prihaine
225,Mädchen::N,소녀,neičukaine
226,Familie::N,가족,kanz
227,Familie::N,가족,pereh
228,Großvater::N,할아버지,ded
229,Großmutter::N,할머니,bab
230,Eltern::N,어버오,vanhembad
231,Eltern::N,어버오,kazvatajad
232,Vater::N,아버지,tat
233,Mutter::N,어머니,mam
234,Sohn::N,아들,poig
235,Tochter::N,딸기,tütär
236,Bruder::N,형제,veik
237,Bruder::N,형제,vell'
238,Schwester::N,누이,čiža
239,Schwester::N,누이,sizar
240,Onkel::N,백부,däd'
241,Tante::N,아주머니,tädi
242,Ehemann::N,남편,mužik
243,Ehefrau::N,아내,ak
244,Freude::N,기쁨,ilo
245,Freude::N,기쁨,ihastuz
246,Gelächter::N,웃음,nagr
247,Glück::N,즐거움,oza
248,Kummer::N,슬픔,gor'a
249,Wunsch::N,소망,taht
250,Geist::N,할기,heng
251,Gedanke::N,상념,meletuz
252,Gedächtnis::N,기억,mušt
253,Verstand::N,분별,mel'
254,Verstand::N,지능,mel'
255,Sinn::N,센스,jüvä
256,Grund::N,까닭,sü
257,Wahrheit::N,참,tozi
258,Wahrheit::N,진실,tozi
259,Gespräch::N,대화,lodu
260,Gespräch::N,대화,pagin
261,Märchen::N,동화,sarn
262,Erzählung::N,이야기,sanutez
263,Neuigkeit::N,뉴스,uzištuz
264,Name::N,이름,nimi
265,Rätsel::N,수수께끼,ozoitez
266,Rede::N,연설,pagin
267,Rede::N,연설,sanad
268,Sprache::N,말,kel'
269,Stimme::N,목소리,än'
270,Wort::N,낱말,sana
271,Zeichen::N,신호,znam
272,Ruf::N,부름,kida
273,Ruf::N,부름,kucund
274,Lärm::N,소동,judu
275,Laut::N,음성,kulund
276,Ton::N,목소리,kulund
277,Lied::N,노래,pajo
278,Ruhe::N,쉼,lebu
279,Leute::N,사람들,rahvaz
280,Volk::N,국중,rahvaz
281,Arbeit::N,근로,tö
282,Arbeit::N,근로,rad
283,Arbeit::N,너무,tö
284,Arbeit::N,너무,rad
285,Gast::N,손님,adiv
286,Geschenk::N,행하,lahj
287,Spiel::N,무리,vänd
288,Gesellschaft::N,교제,sebr
289,Hilfe::N,거들음,abu
290,Hilfe::N,보좌,abu
291,Freund::N,친구,sebranik
292,Kamerad::N,동실자,sebranik
293,Angelegenheit::N,용무,azj
294,Anzahl::N,어떤,lugu
295,Anzahl::N,수,lugu
296,Art::N,정류,rod
297,Art::N,정류,rodsugu
298,Stück::N,일부분,pala
299,Stück::N,일부분,supal
300,Teil::N,몱,pala
301,Teil::N,구훠,pala
302,Hälfte::N,2분의,pol'
303,Kreis::N,고리,ümbruz
304,Kreis::N,고리,kehkruz
305,Kreuz::N,열십자,rist
306,Linie::N,선,pird
307,Strich::N,스침,pird
308,Abstand::N,거리,keskust
309,Entfernung::N,거리,matk
310,Gegend::N,곳,taho
311,Gegend::N,부금,taho
312,Platz::N,장소,avaruz'
313,Ort::N,장소,koht
314,Seite::N,옆면,pol'
315,Seite::N,옆면,kül'g
316,Mitte::N,궁간,kesk
317,Gegenstand::N,항목,kalu
318,Sache::N,뭉에,azj
319,Rand::N,가,röun
320,Kante::N,귀퉁,röun
321,Ecke::N,구석,saum
322,Spitze::N,끝,agjaine
323,Spitze::N,참단,agjaine
324,Ende::N,말당,agj
325,Loch::N,빙옷,reig
326,Winkel::N,각도,čoga
327,Winkel::N,각도,saum
328,Muster::N,본,kirjam
329,Muster::N,견복,kirjam
330,Größe::N,신장,suruz'
331,Länge::N,길이긺,piduz
332,Höhe::N,높이,korktuz'
333,Gewicht::N,추,jügu
334,Gewicht::N,추,vedäduz
335,Menge::N,수양,äjüz'
336,Haufen::N,퇴적,kogo
337,Reihe::N,열,rivi
338,Boot::N,보트,veneh
339,Ruder::N,노,air
340,Schlitten::N,썰매,regi
341,Schlitten::N,썰매,regut
342,Ski::N,스키,suks'
343,Lagerfeuer::N,캠프의 모닥불,nodj
344,Lagerfeuer::N,캠프의 모닥불,pažag
345,Last::N,무거운짐,jüguz
346,Gang::N,걸음,astund
347,Schritt::N,보조,hašk
348,Norden::N,북쪽 ,pohjoine
349,Süden::N,남쪽,suvi
350,Westen::N,서쪽,päivlaskm
351,Osten::N,동쪽,päivnouzm
352,Holz::N,목재,pu
353,Brett::N,마루널,laud
354,Platte::N,탤,keitim
355,Platte::N,금속판,keitim
356,Stütze::N,버팀목,tugi
357,Stange::N,장대,arz'
358,Stock::N,막대기,kalu
359,Stab::N,작대기,seibaz
360,Rohr::N,갈대,torv
361,Haus::N,집,pert'
362,Heim::N,집,kodi
363,Ofen::N,아궁이,päč
364,Fußboden::N,마루,lava
365,Tisch::N,탁자,laud
366,Tisch::N,탁자,stal'c
367,Stuhl::N,의자,ištim
368,Wiege::N,발상지,kätte
369,Bett::N,침대,sija
370,Bett::N,침대,magaduzsija
371,Regal::N,서가,palič
372,Kiste::N,짐궤,mülütim
373,Fenster::N,눔,ikun
374,Tür::N,문,uks'
375,Tor::N,대문,verai
376,Zaun::N,담장,aid
377,Dach::N,지붕,katuz
378,Leiter::N,사닥다리,pordhad
379,Besen::N,비,lud
380,Besen::N,비,vast
381,Spaten::N,가래,labid
382,Schaufel::N,삽,labid
383,Gabel::N,갈래,hangoine
384,Löffel::N,숟가락,luzik
385,Messer::N,나이프,veič
386,Nagel::N,발툽,nagl
387,Netz::N,그물,verk
388,Haken::N,갈고리,kouk
389,Griff::N,움켜쥠,kägä
390,Griff::N,움켜쥠,varz'
391,Schloss::N,자물쇠,lukkol
392,Bild::N,그림,kuva
393,Figur::N,몸메,figur
394,Puppe::N,인형,tätüine
395,Beutel::N,클,havad
396,Bündel::N,자근다발,toppaz
397,Bündel::N,자근다발,käč
398,Tasche::N,가방,sumk
