,Concept_ID,ar,sk
0,Auge::N,عين,oko
1,Ohr::N,أذن,ucho
2,Nase::N,أنف,nos
3,Mund::N,فم,ústa
4,Zahn::N,سن,zub
5,Zunge::N,لسان,jazyk
6,Lippe::N,شفة,pera
7,Wange::N,خد,líce
8,Wange::N,وجنة,líce
9,Gesicht::N,وجه,tvár
10,Gesicht::N,وجه,obličaj
11,Stirn::N,جبين,čelo
12,Haar::N,شعر,vlas
13,Schnurrbart::N,شارب,fúzy
14,Bart::N,لحية,brada
15,Kinn::N,ذقن,brada
16,Kiefer[Anatomie]::N,فك,čeľusť
17,Kehle::N,حلق,hrdlo
18,Hals::N,عنق,krk
19,Hals::N,رقبة,krk
20,Genick::N,قفا,väzy
21,Kopf::N,رأس,hlava
22,Rücken::N,ظهر,chrbát
23,Bauch::N,بطن,brucho
24,Nabel::N,سرة,pupok
25,Busen::N,ثدي,prsia
26,Brust::N,صدر,hruď
27,Schulter::N,كتف,plece
28,Arm::N,ذراع,rameno
29,Ellenbogen::N,كوع,lakeť
30,Hand::N,يد,ruka
31,Handfläche::N,كف,dlaň
32,Finger::N,إصبع,prst
33,Fingernagel::N,ظفر,necht
34,Nagel[Anatomie]::N,ظفر,necht
35,Zeh::N,إصبع القدم,prst na nohe
36,Fuß::N,قدم,noha
37,Ferse::N,كعب,päta
38,Knie::N,ركبة,koleno
39,Oberschenkel::N,فخذ,stehno
40,Bein::N,ساق,noha
41,Körper::N,جسم,telo
42,Haut::N,بشرة,koža
43,Blut::N,دم,krv
44,Ader::N,عرق,žila
45,Sehne::N,طنب,šľacha
46,Knochen::N,عظم,kosť
47,Gehirn::N,دماغ,mozog
48,Herz::N,قلب,srdce
49,Magen::N,معدة,žalúdok
50,Leber::N,كبد,pečeň
51,Atem::N,نفس,dych
52,Hunger::N,جوع,hlad
53,Träne::N,دمعة,slza
54,Geschmack::N,طعم,chuť
55,Geschmack::N,مذاق,chuť
56,Geruch::N,رائحة,pach
57,Schlaf::N,نوم,spánok
58,Schlaf::N,منام,spánok
59,Traum::N,حلم,sen
60,Himmel::N,سماء,nebo
61,Sonne::N,شمس,slnko
62,Mond::N,قمر,mesiac
63,Stern::N,نجم,hviezda
64,Stern::N,كوكب,hviezda
65,Luft::N,هواء,vzduch
66,Wind::N,ريح,vietor
67,Welle::N,موجة,vlna
68,Wasser::N,ماء,voda
69,Stein::N,حجر,kameň
70,Boden::N,تراب,zem
71,Boden::N,تراب,pôda
72,Erde::N,أرض,zem
73,Staub::N,غبار,prach
74,Rauch::N,دخان,dym
75,Funke::N,شرارة,iskra
76,Feuer::N,نار,oheň
77,Licht::N,نور,svetlo
78,Licht::N,ضوء,svetlo
79,Schatten::N,ظل,tieň
80,Schatten::N,فيء,tieň
81,Wetter::N,جو,počasie
82,Wetter::N,طقس,počasie
83,Nebel::N,ضباب,hmla
84,Wolke::N,غيمة,oblak
85,Wolke::N,غيمة,mračno
86,Wolke::N,سحابة,oblak
87,Wolke::N,سحابة,mračno
88,Regen::N,مطر,dážď
89,Schnee::N,ثلج,sneh
90,Eis::N,جليد,ľad
91,Frost::N,صقيع,mráz
92,Kälte::N,برد,zima
93,Kälte::N,برد,chlad
94,Hitze::N,حر,horúčava
95,Hitze::N,حرارة,horúčava
96,Raureif::N,صقيع,srieň
97,Raureif::N,صقيع,inovať
98,Regenbogen::N,قوس قزح,dúha
99,Donner::N,رعد,hrom
100,Strömung::N,تيار,prúdenie
101,Tropfen::N,قطرة,kvapka
102,Schaum::N,زبد,pena
103,Schaum::N,رغوة,pena
104,Schmutz::N,وسخ,špina
105,Schmutz::N,وسخ,nečistota
106,See::N,بحيرة,jazero
107,Sumpf::N,مستنقع,bahno
108,Moor::N,مستنقع,močiar
109,Wiese::N,مرج,lúka
110,Wald::N,غابة,les
111,Wald::N,غابة,hora
112,Hügel::N,تل,vŕšok
113,Anhöhe::N,تل,výšina
114,Anhöhe::N,تل,vyvýšenina
115,Berg::N,جبل,hora
116,Gipfel::N,قمة,vrchol
117,Höhle::N,كهف,jaskyňa
118,Abhang::N,منحدر,úbočie
119,Quelle::N,منبع,prameň
120,Bach::N,مجرى,potok
121,Fluss::N,نهر,rieka
122,Ufer::N,ضفة,breh
123,Küste::N,ساحل,pobrežie
124,Festland::N,بر,pevnina
125,Meer::N,بحر,more
126,Bucht::N,خليج,záliv
127,Bucht::N,خليج,zátoka
128,Insel::N,جزيرة,ostrov
129,Blume::N,زهرة,kvet
130,Blume::N,زهرة,kvetina
131,Gras::N,حشيش,tráva
132,Wurzel::N,أصل,koreň
133,Baum::N,شجرة,strom
134,Stamm::N,جذع,kmeň
135,Rinde::N,قشرة,kôra
136,Ast::N,فرع,konár
137,Zweig::N,غصن,vetva
138,Blatt::N,ورقة,list
139,Birke::N,قضبان,breza
140,Kiefer[Baum]::N,صنوبرة,sosna
141,Kiefer[Baum]::N,صنوبرة,borovica
142,Weide[Baum]::N,صفصاف,vŕba
143,Tanne::N,شوح,jedľa
144,Tanne::N,تبوب,jedľa
145,Horn::N,قرن,roh
146,Feder::N,ريشة,pero
147,Fell::N,فرو,koža
148,Fell::N,فرو,kožušina
149,Flügel::N,جناح,krídlo
150,Klaue::N,مخلب,paznecht
151,Kralle::N,مخلب,pazúr
152,Schwanz::N,ذيل,chvost
153,Ei::N,بيض,vajce
154,Ei::N,بيض,vajíčko
155,Nest::N,عش,hniezdo
156,Bau::N,جحر,nora
157,Tier::N,حيوان,zviera
158,Herde::N,قطيع,stádo
159,Kuh::N,بقرة,krava
160,Bulle::N,ثور,býk
161,Pferd::N,خيل,kôň
162,Schaf::N,شاة,ovca
163,Schwein::N,خنزير,sviňa
164,Hund::N,كلب,pes
165,Katze::N,قطة,mačka
166,Bär::N,دب,medveď
167,Eichhörnchen::N,سنجاب,veverička
168,Elch::N,موظ,los
169,Fuchs::N,ثعلب,líška
170,Hase::N,أرنب,zajac
171,Maus::N,فأرة,myš
