,Concept_ID,ga,lt
0,Auge::N,súil,akis
1,Ohr::N,cluas,ausis
2,Nase::N,soc,nosis
3,Mund::N,béal,burna
4,Zahn::N,fiacail,dantis
5,Zunge::N,teanga,liežuvis
6,Lippe::N,liopa,lūpa
7,Wange::N,grua,žandas
8,Wange::N,grua,skruostas
9,Wange::N,leiceann,žandas
10,Wange::N,leiceann,skruostas
11,Gesicht::N,éadan,veidas
12,Gesicht::N,aghaidh,veidas
13,Stirn::N,baithis,kakta
14,Stirn::N,clár éadain,kakta
15,Haar::N,gruaig,plaukai
16,Schnurrbart::N,croiméal,ūsai
17,Bart::N,féasóg,barzda
18,Kinn::N,smig,smakras
19,Kiefer[Anatomie]::N,giall,žandikaulis
20,Kehle::N,scornach,gerklė
21,Hals::N,muinéal,kaklas
22,Genick::N,baic,sprandas
23,Kopf::N,ceann,galva
24,Rücken::N,droim,nugara
25,Bauch::N,bolg,pilvas
26,Nabel::N,imleacán,bamba
27,Busen::N,cíoch,krūtinė
28,Brust::N,brollach,krūtis
29,Schulter::N,gualainn,petys
30,Arm::N,lámh,ranka
31,Ellenbogen::N,uillinn,alkūnė
32,Hand::N,lámh,ranka
33,Hand::N,lámh,plaštaka
34,Handfläche::N,bos,delnas
35,Handfläche::N,bos,plaštaka
36,Finger::N,méar,pirštas
37,Fingernagel::N,ionga,nagas
38,Nagel[Anatomie]::N,ionga,nagas
39,Zeh::N,ladhar,pirštas
40,Fuß::N,cos,pėda
41,Fuß::N,troigh,pėda
42,Ferse::N,sáil,kulnas
43,Knie::N,glúin,kelis
44,Oberschenkel::N,ceathrú,kulšis
45,Oberschenkel::N,ceathrú,šlaunis
46,Bein::N,cos,koja
47,Körper::N,corp,kūnas
48,Körper::N,colainn,kūnas
49,Haut::N,cneas,oda
50,Haut::N,craiceann,oda
51,Blut::N,fuil,kraujas
52,Sehne::N,teannán,sausgyslė
53,Sehne::N,féitheog,sausgyslė
54,Knochen::N,cnámh,kaulas
55,Gehirn::N,inchinn,smegenys
56,Herz::N,croí,širdis
57,Magen::N,bolg,skrandis
58,Magen::N,goile,skrandis
59,Leber::N,ae,kepenys
60,Atem::N,anáil,kvapas
61,Hunger::N,ocras,badas
62,Hunger::N,ocras,alkis
63,Träne::N,deoir,ašara
64,Geschmack::N,blas,skonis
65,Geruch::N,boladh,kvapas
66,Schlaf::N,suan,miegas
67,Schlaf::N,codladh,miegas
68,Traum::N,taibhreamh,sapnas
69,Himmel::N,spéir,dangus
70,Sonne::N,grian,saulė
71,Mond::N,ré,mėnulis
72,Mond::N,gealach,mėnulis
73,Stern::N,rinn,žvaigždė
74,Stern::N,réalta,žvaigždė
75,Luft::N,aer,oras
76,Wind::N,gaoth,vėjas
77,Welle::N,tonn,banga
78,Welle::N,tonn,vilnis
79,Wasser::N,uisce,vanduo
80,Stein::N,cloch,akmuo
81,Boden::N,talamh,žemė
82,Boden::N,talamh,dugnas
83,Erde::N,cré,žemė
84,Erde::N,ithir,žemė
85,Staub::N,dusta,dulkės
86,Staub::N,deannach,dulkės
87,Rauch::N,toit,dūmai
88,Rauch::N,deatach,dūmai
89,Funke::N,drithle,kibirkštis
90,Feuer::N,tine,ugnis
91,Licht::N,solas,šviesa
92,Schatten::N,scáth,paūksmė
93,Wetter::N,aimsir,oras
94,Nebel::N,ceo,migla
95,Nebel::N,ceo,rūkas
96,Wolke::N,néal,debesis
97,Wolke::N,scamall,debesis
98,Regen::N,báisteach,lietus
99,Regen::N,fearthainn,lietus
100,Schnee::N,sneachta,sniegas
101,Eis::N,oighear,ledas
102,Frost::N,sioc,šalna
103,Kälte::N,fuacht,šaltis
104,Hitze::N,teas,karštis
105,Hitze::N,teocht,karštis
106,Raureif::N,sioc bán,šerkšnas
107,Regenbogen::N,stua ceatha,vaivorykštė
108,Regenbogen::N,bogha báistí,vaivorykštė
109,Donner::N,toirneach,perkūnas
110,Donner::N,toirneach,griaustinis
111,Strömung::N,sruth,tėkmė
112,Tropfen::N,deoir,lašas
113,Schaum::N,cúr,putos
114,Schmutz::N,salachar,purvas
115,See::N,loch,ežeras
116,Sumpf::N,portach,klampynė
117,Sumpf::N,portach,liūnas
118,Moor::N,caorán,pelkė
119,Moor::N,móinteán,pelkė
120,Wiese::N,cluain,pieva
121,Wiese::N,móinéar,pieva
122,Wald::N,coill,miškas
123,Wald::N,foraois,miškas
124,Hügel::N,ard,kalva
125,Anhöhe::N,ard,kauburys
126,Anhöhe::N,ardán,kauburys
127,Berg::N,sliabh,kalnas
128,Gipfel::N,barr,viršūnė
129,Gipfel::N,mullach,viršūnė
130,Höhle::N,uaimh,ola
131,Höhle::N,pluais,ola
132,Abhang::N,fána,šlaitas
133,Abhang::N,fána,nuokalnė
134,Quelle::N,foinse,versmė
135,Quelle::N,foinse,šaltinis
136,Bach::N,sruthán,upelis
137,Fluss::N,abhainn,upė
138,Ufer::N,bruach,krantas
139,Küste::N,cósta,pajūris
140,Küste::N,cladach,pajūris
141,Festland::N,míntír,sausuma
142,Meer::N,muir,jūra
143,Meer::N,farraige,jūra
144,Bucht::N,bá,įlanka
145,Bucht::N,bá,užutekis
146,Bucht::N,cuan,įlanka
147,Bucht::N,cuan,užutekis
148,Insel::N,inis,sala
149,Insel::N,oileán,sala
150,Blume::N,bláth,gėlė
151,Gras::N,féar,žolė
152,Wurzel::N,rúta,šaknis
153,Wurzel::N,fréamh,šaknis
154,Baum::N,crann,medis
155,Stamm::N,stoc,kamienas
156,Stamm::N,tamhan,kamienas
157,Rinde::N,coirt,žievė
158,Rinde::N,craiceann,žievė
159,Ast::N,géag,šaka
160,Zweig::N,géag,šakelė
161,Zweig::N,craobh,šakelė
162,Blatt::N,duille,lapas
163,Blatt::N,duilleog,lapas
164,Birke::N,beith,beržas
165,Birke::N,crann beithe,beržas
166,Kiefer[Baum]::N,péine,pušis
167,Weide[Baum]::N,saileach,karklas
168,Tanne::N,giúis,eglė
169,Tanne::N,giúis,kėnis
170,Horn::N,adharc,ragas
171,Feder::N,cleite,plunksna
172,Fell::N,clúmh,kailis
173,Flügel::N,eite,sparnas
174,Flügel::N,sciathán,sparnas
175,Klaue::N,crúb,kanopa
176,Klaue::N,crobh,kanopa
177,Kralle::N,crobh,nagas
178,Schwanz::N,eireaball,uodega
179,Ei::N,ubh,kiaušinis
180,Nest::N,nead,gūžta
181,Nest::N,nead,lizdas
182,Bau::N,brocais,ola
183,Tier::N,ainmhí,gyvūnas
184,Tier::N,beithíoch,gyvūnas
185,Herde::N,tréad,banda
186,Herde::N,tréad,kaimenė
187,Kuh::N,bó,karvė
188,Bulle::N,tarbh,bulius
189,Pferd::N,each,arklys
190,Pferd::N,capall,arklys
191,Schaf::N,caora,avis
192,Schwein::N,muc,kiaulė
193,Hund::N,madra,šuo
194,Katze::N,cat,katė
195,Bär::N,béar,lokys
196,Eichhörnchen::N,iora,voveraitė
197,Elch::N,eilc,briedis
198,Fuchs::N,sionnach,lapė
199,Fuchs::N,madra rua,lapė
200,Hase::N,giorria,kiškas
201,Maus::N,luch,pelė
202,Wolf::N,mac tíre,vilkas
203,Vogel::N,éan,paukštis
204,Schwarm::N,saithe,spiečius
205,Huhn::N,cearc,višta
206,Hahn::N,coileach,gaidys
207,Gans::N,gé,žąsis
208,Adler::N,iolar,erelis
209,Ente::N,lacha,antis
210,Eule::N,ulchabhán,pelėda
211,Kranich::N,grús,gervė
212,Krähe::N,caróg,varna
213,Krähe::N,préachán,varna
214,Kuckuck::N,cuach,gegužė
215,Schwan::N,eala,gulbė
216,Fisch::N,iasc,žuvis
217,Barsch::N,péirse,ešerys
218,Hecht::N,liús,lydeka
219,Schlange[Tier]::N,nathair,gyvatė
220,Wurm::N,péist,kirmėlė
221,Spinne::N,damhán alla,voras
222,Ameise::N,seangán,skruzdė
223,Laus::N,míol,utėlė
224,Mücke::N,muiscít,uodas
