,Concept_ID,az,ru
0,Auge::N,göz,глаз
1,Ohr::N,qulaq,ухо
2,Nase::N,burun,нос
3,Mund::N,ağız,рот
4,Zahn::N,diş,зуб
5,Zunge::N,dil,язык
6,Lippe::N,dodaq,губа
7,Wange::N,yanaq,щека
8,Gesicht::N,üz,лицо
9,Stirn::N,alın,лоб
10,Haar::N,saç,волос
11,Haar::N,saç,волосы
12,Schnurrbart::N,bığ,ус
13,Schnurrbart::N,bığ,усы
14,Bart::N,saqqal,борода
15,Kinn::N,çənə,подбородок
16,Kiefer[Anatomie]::N,çənə,челюсть
17,Kehle::N,boğaz,горло
18,Hals::N,boyun,шея
19,Genick::N,ənsə,затылок
20,Kopf::N,baş,голова
21,Rücken::N,bel,спина
22,Bauch::N,qarın,живот
23,Nabel::N,göbək,пупок
24,Busen::N,məmə,женская грудь
25,Brust::N,döş,грудь
26,Schulter::N,çiyin,плечо
27,Arm::N,qol,рука
28,Ellenbogen::N,dirsək,локоть
29,Hand::N,əl,кисть
30,Handfläche::N,ovuc,ладонь
31,Finger::N,barmaq,палец
32,Fingernagel::N,barmaq dırnağı,ноготь
33,Nagel[Anatomie]::N,dırnak,ноготь
34,Zeh::N,ayaq barmağı,палец
35,Fuß::N,ayaq,ступня
36,Ferse::N,daban,пята
37,Ferse::N,daban,пятка
38,Knie::N,diz,колено
39,Oberschenkel::N,bud,бедро
40,Bein::N,qıç,нога
41,Körper::N,əndam,тело
42,Haut::N,dəri,кожа
43,Blut::N,qan,кровь
44,Ader::N,damar,вена
45,Ader::N,damar,сосуд
46,Sehne::N,vətər,жила
47,Sehne::N,vətər,тетива
48,Sehne::N,vətər,сухожилие
49,Knochen::N,sümük,кость
50,Gehirn::N,beyin,мозг
51,Herz::N,ürək,сердце
52,Magen::N,mədə,желудок
53,Leber::N,qara ciyər,печень
54,Atem::N,nəfəs,дух
55,Atem::N,nəfəs,дыхание
56,Hunger::N,aclıq,голод
57,Träne::N,göz yaşı,слеза
58,Geschmack::N,tam,вкус
59,Geschmack::N,ləzzət,вкус
60,Geruch::N,qoxu,запах
61,Schlaf::N,yuxu,сон
62,Traum::N,röya,сновидение
63,Himmel::N,göy,небо
64,Himmel::N,səma,небо
65,Sonne::N,günəş,солнце
66,Mond::N,ay,луна
67,Stern::N,ulduz,звезда
68,Luft::N,hava,воздух
69,Wind::N,yel,ветер
70,Wind::N,külək,ветер
71,Welle::N,dalğa,волна
72,Wasser::N,su,вода
73,Stein::N,daş,камень
74,Boden::N,yer,почва
75,Boden::N,zəmin,почва
76,Erde::N,yer torpaq,земля
77,Staub::N,toz,пыль
78,Rauch::N,tüstü,дым
79,Funke::N,qığılcım,искра
80,Feuer::N,od,огонь
81,Licht::N,işıq,свет
82,Schatten::N,kölgə,тень
83,Wetter::N,hava,погода
84,Nebel::N,duman,туман
85,Wolke::N,bulud,облако
86,Regen::N,yağış,дождь
87,Regen::N,yağmur,дождь
88,Schnee::N,qar,снег
89,Eis::N,buz,лед
90,Frost::N,ayaz,мороз
91,Kälte::N,soyuq,холод
92,Hitze::N,coşğunluq,жара
93,Raureif::N,qırov,иней
94,Regenbogen::N,göy qurşağı,радуга
95,Donner::N,göy gurultusu,гром
96,Strömung::N,axın,течение
97,Tropfen::N,damcı,капля
98,Schaum::N,köpük,пена
99,Schmutz::N,çamır,грязь
100,See::N,göl,озеро
101,Sumpf::N,bataqlıq,топь
102,Moor::N,bataqlıq,болото
103,Wiese::N,çəmən,луг
104,Wald::N,meşə,лес
105,Hügel::N,təpə,холм
106,Anhöhe::N,təpə,возвышенность
107,Berg::N,dağ,гора
108,Gipfel::N,zirvə,вершина
109,Höhle::N,mağara,пещера
110,Abhang::N,yamac,склон
111,Quelle::N,bulaq,источник
112,Bach::N,kiçik çay,ручей
113,Fluss::N,çay,река
114,Ufer::N,kənar,берег
115,Küste::N,sahil,побережье
116,Festland::N,materik,суша
117,Meer::N,dəniz,море
118,Bucht::N,körfəz,бухта
119,Insel::N,ada,остров
120,Blume::N,çiçək,цветок
121,Gras::N,ot,трава
122,Wurzel::N,kök,корень
123,Baum::N,ağac,дерево
124,Stamm::N,gövdə,ствол
125,Rinde::N,qabıq,кора
126,Ast::N,şax,сук
127,Zweig::N,budaq,ветвь
128,Blatt::N,yarpaq,лист
129,Birke::N,tozağacı,береза
130,Kiefer[Baum]::N,şam,сосна
131,Weide[Baum]::N,söyüd,ива
132,Tanne::N,küknar,ель
133,Horn::N,buynuz,рог
134,Feder::N,tük,перо
135,Feder::N,lələk,перо
136,Fell::N,xəz,шкура
137,Flügel::N,qanad,крыло
138,Klaue::N,pəncə,коготь
139,Kralle::N,dırnaq,лапа
140,Schwanz::N,quyruq,хвост
141,Ei::N,yumurta,яйцо
142,Nest::N,yuva,гнездо
143,Bau::N,yuva,нора
144,Tier::N,heyvan,животное
145,Herde::N,sürü,стадо
146,Kuh::N,inək,корова
147,Bulle::N,öküz,бык
148,Pferd::N,at,лошадь
149,Schaf::N,qoyun,овца
150,Schwein::N,donuz,свинья
151,Hund::N,it,собака
152,Hund::N,köpək,собака
153,Katze::N,pişik,кошка
154,Bär::N,ayı,медведь
155,Eichhörnchen::N,dələ,белка
156,Elch::N,sığın,лось
157,Fuchs::N,tülkü,лиса
158,Hase::N,dovşan,заяц
159,Maus::N,siçan,мышь
160,Wolf::N,qurd,волк
161,Vogel::N,quş,птица
162,Schwarm::N,sürü,стая
163,Huhn::N,toyuq,курица
164,Hahn::N,xoruz,петух
165,Gans::N,qaz,гусь
166,Adler::N,qartal,орел
167,Adler::N,qaraquş,орел
168,Ente::N,ördək,утка
169,Eule::N,bayquş,сова
170,Kranich::N,durna,журавль
171,Krähe::N,qarğa,ворона
172,Kuckuck::N,ququ,кукушка
173,Schwan::N,qu quşu,лебедь
174,Fisch::N,balıq,рыба
175,Barsch::N,tar,окунь
176,Hecht::N,durnabalığı,щука
177,Schlange[Tier]::N,ilan,змея
178,Wurm::N,qurd,червяк
179,Spinne::N,hörümçək,паук
180,Ameise::N,qarışqa,муравей
181,Laus::N,bit,вошь
182,Mücke::N,ağcaqanad,комар
183,Fliege::N,milçək,муха
184,Schmetterling::N,kəpənək,бабочка
185,Beere::N,gilə,ягода
186,Apfel::N,alma,яблоко
187,Pilz::N,göbələk,гриб
188,Zwiebel::N,soğan,луковица
189,Saat::N,əkin,семя
190,Korn::N,taxıl,зерно
191,Heu::N,quru ot,сено
192,Schale::N,qabıq,шелуха
193,Grube::N,çuxur,яма
194,Falle::N,tələ,ловушка
195,Falle::N,duzaq,ловушка
196,Schlinge::N,ilmək,силок
197,Spur::N,iz,след
198,Asche::N,kül,зола
199,Asche::N,kül,пепел
200,Dreck::N,kir,грязь
201,Eisen::N,dəmir,железо
202,Gold::N,altun,золото
203,Silber::N,gümüş,серебро
204,Kohle::N,kömür,уголь
205,Glas::N,şüşə,стекло
206,Lehm::N,gil,глина
207,Lehm::N,palçıq,глина
208,Sand::N,qum,песок
209,Mensch::N,adam,человек
210,Mensch::N,insan,человек
211,Mann::N,kişi,мужчина
212,Frau::N,qadın,женщина
213,Kind::N,uşaq,ребенок
214,Junge::N,oğlan,мальчик
215,Mädchen::N,qız,девочка
216,Familie::N,ailə,семья
217,Großvater::N,baba,дедушка
218,Großmutter::N,nənə,бабушка
219,Eltern::N,valideyn,родители
220,Vater::N,ata,отец
221,Mutter::N,ana,мать
222,Sohn::N,oğul,сын
223,Tochter::N,qız,дочь
224,Bruder::N,qardaş,брат
225,Schwester::N,bacı,сестра
226,Onkel::N,əmi,дядя
227,Onkel::N,dayı,дядя
228,Tante::N,bibi,тетя
229,Ehemann::N,ər,муж
230,Ehefrau::N,arvad,жена
231,Freude::N,nəşə,радость
232,Freude::N,sevinc,радость
233,Gelächter::N,gülüş,смех
234,Gelächter::N,qəhqəhə,смех
235,Glück::N,səadət,счастье
