,Concept_ID,udm,he
0,Auge::N,син,עין
1,Ohr::N,пель,אזן
2,Nase::N,ныр,אף
3,Nase::N,ныр,חטם
4,Mund::N,ым,פה
5,Zahn::N,пинь,שן
6,Zunge::N,кыл,לשון
7,Lippe::N,ымдур,שפה
8,Wange::N,бам,לחי
9,Gesicht::N,ымныр,פנים
10,Stirn::N,кымес,מצח
11,Haar::N,йырси,שערה
12,Schnurrbart::N,мыйык,שפם
13,Bart::N,туш,זקן
14,Kinn::N,ангес,סנטר
15,Kiefer[Anatomie]::N,ан,לסת
16,Kiefer[Anatomie]::N,анлы,לסת
17,Kehle::N,гульым,גרון
18,Hals::N,чырты,צואר
19,Genick::N,йырбер,ערף
20,Kopf::N,йыр,ראש
21,Rücken::N,мыш,גב
22,Bauch::N,кӧт,בטן
23,Nabel::N,гогы,טבור
24,Busen::N,ноны,שד
25,Brust::N,мӧля,חזה
26,Schulter::N,пельпум,כתף
27,Arm::N,суй,זרוע
28,Ellenbogen::N,гырпум,מרפק
29,Hand::N,ки,יד
30,Handfläche::N,ки пыдэс,כף יד
31,Handfläche::N,кырым пыдэс,כף יד
32,Finger::N,чиньы,אצבע
33,Fingernagel::N,гижы,צפרן
34,Fingernagel::N,гиждӥнь,צפרן
35,Nagel[Anatomie]::N,гижы,צפרן
36,Zeh::N,пыдчиньы,אצבע
37,Fuß::N,пыд,רגל
38,Ferse::N,пыдбер,עקב
39,Knie::N,пыдес,ברך
40,Oberschenkel::N,макес,ירך
41,Bein::N,пыд,רגל
42,Körper::N,мугор,גוף
43,Körper::N,вылтыр,גוף
44,Haut::N,ку,עור
45,Blut::N,вир,דם
46,Ader::N,вирсэр,וריד
47,Sehne::N,вуж,גיד
48,Knochen::N,лы,עצם
49,Gehirn::N,вим,מוח
50,Herz::N,сюлэм,לב
51,Magen::N,ӝуш,קבה
52,Leber::N,мус,כבד
53,Atem::N,лул,נשימה
54,Atem::N,шокан,נשימה
55,Hunger::N,кӧтсюман,רעב
56,Träne::N,синкыли,דמעה
57,Geschmack::N,шӧм,טעם
58,Geruch::N,зын,ריח
59,Schlaf::N,вӧт,שנה
60,Traum::N,уйвӧт,חלום
61,Himmel::N,ин,שמים
62,Sonne::N,шунды,שמש
63,Mond::N,толэзь,ירח
64,Stern::N,кизили,כוכב
65,Luft::N,омыр,אויר
66,Wind::N,тӧл,רוח
67,Welle::N,тулкым,גל
68,Wasser::N,ву,מים
69,Stein::N,из,אבן
70,Boden::N,музъем,קרקע
71,Erde::N,му,אדמה
72,Staub::N,пыль,אבק
