,Concept_ID,no,av
0,Auge::N,øye,
1,Ohr::N,øre,гӏин
2,Nase::N,nese,мегӏер
3,Mund::N,munn,кӏал
4,Zahn::N,tann,гӏус
5,Zunge::N,tunge,мацӏ
6,Lippe::N,leppe,кӏветӏ
7,Wange::N,kinn,гӏоно
8,Gesicht::N,fjes,гьумер
9,Gesicht::N,ansikt,гьумер
10,Stirn::N,panne,нодо
11,Haar::N,hår,рас
12,Schnurrbart::N,bart,михъ
13,Bart::N,skjegg,мегеж
14,Kinn::N,hake,нилъу
15,Kiefer[Anatomie]::N,kjeve,чанагъ
16,Kehle::N,strupe,щекъер
17,Hals::N,hals,габур
18,Genick::N,nakke,гъванща
19,Kopf::N,hode,бетӏер
20,Rücken::N,rygg,мугъ
21,Bauch::N,buk,чехь
22,Bauch::N,mage,чехь
23,Nabel::N,navle,цӏину
24,Busen::N,barm,керен
25,Brust::N,bryst,керен
26,Schulter::N,skulder,гъажазубетӏер
27,Arm::N,arm,гъеж
28,Ellenbogen::N,albue,гӏункӏрукь
29,Hand::N,hånd,квер
30,Handfläche::N,håndflate,огъохъат
31,Handfläche::N,håndflate,жанисахъат
32,Finger::N,finger,килищ
33,Fingernagel::N,fingernegl,малъ
34,Nagel[Anatomie]::N,negl,малъ
35,Zeh::N,tå,килищ
36,Fuß::N,fot,хӏетӏ
37,Fuß::N,fot,хӏетӏе
38,Ferse::N,hæl,эгъе
39,Knie::N,kne,наку
40,Oberschenkel::N,lår,мачӏ
41,Bein::N,bein,бох
42,Körper::N,kropp,къаркъала
43,Körper::N,legeme,къаркъала
44,Haut::N,hud,тӏом
45,Haut::N,skinn,тӏом
46,Blut::N,blod,би
47,Ader::N,åre,бидурихь
48,Sehne::N,sene,
49,Knochen::N,bein,ракьа
50,Knochen::N,knokkel,ракьа
51,Gehirn::N,hjerne,гӏадалнах
52,Herz::N,hjerte,ракӏ
53,Magen::N,mage,кванирукъ
54,Leber::N,lever,тӏул
55,Atem::N,pust,хӏухь
56,Hunger::N,sult,ракъи
57,Träne::N,tåre,магӏу
58,Geschmack::N,smak,тату
59,Geruch::N,lukt,махӏ
60,Schlaf::N,søvn,макьу
61,Traum::N,drøm,макьу
62,Himmel::N,himmel,зоб
63,Sonne::N,sol,бакъ
64,Mond::N,måne,моцӏ
65,Stern::N,stjerne,цӏва
