,Concept_ID,ka,eu
0,Auge::N,თვალი,begi
1,Ohr::N,ყური,belarri
2,Nase::N,ცხვირი,sudur
3,Mund::N,პირი,aho
4,Zahn::N,კბილი,hortz
5,Zunge::N,ენა,mihi
6,Lippe::N,ბაგე,ezpain
7,Wange::N,ლოყა,masail
8,Gesicht::N,სახე,aurpegi
9,Stirn::N,შუბლი,bekoki
10,Haar::N,თმა,ile
11,Haar::N,თმა,bilo
12,Schnurrbart::N,ულვაში,bibote
13,Schnurrbart::N,ულვაში,sudurpeko
14,Bart::N,წვერი,bizar
15,Kinn::N,ნიკაპი,kokots
16,Kiefer[Anatomie]::N,ყბა,masailezur
17,Kehle::N,ყელი,eztarri
18,Hals::N,ყელი,sama
19,Hals::N,კისერი,sama
20,Genick::N,კეფა,garondo
21,Kopf::N,თავი,buru
22,Rücken::N,ზურგი,bizkar
23,Bauch::N,მუცელი,sabel
24,Nabel::N,ჭიპი,zilbor
25,Busen::N,ძუძუ,titi
26,Busen::N,ძუძუ,ugatz
27,Brust::N,მკერდი,bular
28,Schulter::N,მხარი,besaburu
29,Schulter::N,მკლავი,besaburu
30,Arm::N,ხელი,beso
31,Ellenbogen::N,იდაყვი,ukondo
32,Hand::N,ხელი,esku
33,Handfläche::N,ნები,ahur
34,Handfläche::N,ხელისგული,ahur
35,Finger::N,თითი,hatz
36,Fingernagel::N,ფრჩხილი,azazkal
37,Nagel[Anatomie]::N,ფრჩხილი,azazkal
38,Zeh::N,ფეხის თითი,behatz
39,Fuß::N,ტერფი,oin
40,Fuß::N,ფეხისგული,oin
41,Ferse::N,ქუსლი,orpo
42,Ferse::N,ქუსლი,oinburu
43,Knie::N,მუხლი,belaun
44,Oberschenkel::N,ბარძაყი,izter
45,Bein::N,ფეხი,zango
46,Körper::N,ტანი,soin
47,Körper::N,სხეული,soin
48,Haut::N,კანი,azal
49,Blut::N,სისხლი,odol
50,Ader::N,ძარღვი,zain
51,Sehne::N,მყესი,gihar-zain
52,Knochen::N,ძვალი,hezur
53,Gehirn::N,ტვინი,garun
54,Gehirn::N,ტვინი,burmuin
55,Herz::N,გული,bihotz
56,Magen::N,კუჭი,urdail
57,Leber::N,ღვიძლი,gibel
58,Atem::N,სუნთქვა,hats
59,Atem::N,სუნთქვა,arnasa
60,Hunger::N,შიმშილი,gose
61,Träne::N,ცრემლი,malko
62,Geschmack::N,გემო,dasta
63,Geruch::N,სუნი,usain
64,Schlaf::N,ძილი,lo
65,Traum::N,სიზმარი,amets
66,Himmel::N,ცა,zeru
67,Sonne::N,მზე,eguzki
68,Mond::N,მთვარე,ilargi
69,Stern::N,ვარსკვლავი,izar
70,Luft::N,ჰაერი,aire
71,Wind::N,ქარი,haize
72,Welle::N,ტალღა,uhin
73,Welle::N,ტალღა,olatu
74,Wasser::N,წყალი,ur
75,Stein::N,ქვა,harri
76,Boden::N,მიწა,lur
77,Boden::N,მიწა,zoru
78,Erde::N,ნიადაგი,lur
79,Staub::N,მტვერი,hauts
80,Rauch::N,ბოლი,ke
81,Rauch::N,კვამლი,ke
82,Funke::N,ნაკვესი,zirta
83,Funke::N,ნაკვესი,txinparta
84,Feuer::N,ცეცხლი,su
85,Licht::N,შუქი,argi
86,Licht::N,სინათლე,argi
87,Schatten::N,ლანდი,itzal
88,Schatten::N,ლანდი,geriza
89,Schatten::N,ჩრდილი,itzal
90,Schatten::N,ჩრდილი,geriza
91,Wetter::N,ამინდი,eguraldi
92,Nebel::N,ნისლი,laino
93,Wolke::N,ღრუბელი,hodei
94,Regen::N,წვიმა,euri
95,Schnee::N,თოვლი,elur
96,Eis::N,თოში,horma
97,Eis::N,ყინული,horma
98,Frost::N,ყინვა,izotzaldi
99,Kälte::N,სიცივე,hotz
100,Hitze::N,სიცხე,bero
101,Raureif::N,ჭირხლი,antzigar
102,Raureif::N,თრთვილი,antzigar
103,Regenbogen::N,ცისარტყელა,ostadar
104,Regenbogen::N,ცისარტყელა,ortzadar
105,Donner::N,ქუხილი,ostots
106,Donner::N,ქუხილი,ihurtzuri
107,Strömung::N,დინება,laster
108,Tropfen::N,წვეთი,xorta
109,Schaum::N,ქაფი,bits
110,Schaum::N,დორბლი,bits
111,Schmutz::N,ჭუჭყი,lohi
112,Schmutz::N,ჭუჭყი,zikin
113,Schmutz::N,ტალახი,lohi
114,Schmutz::N,ტალახი,zikin
115,See::N,ტბა,laku
116,See::N,ტბა,aintzira
117,Sumpf::N,ჭაობი,zingira
118,Moor::N,ტორფნარი,zohikaztegi
119,Wiese::N,ველი,larre
120,Wiese::N,ველი,belardi
121,Wiese::N,მდელო,larre
122,Wiese::N,მდელო,belardi
123,Wald::N,ტყე,baso
124,Wald::N,ტყე,oihan
125,Hügel::N,ბორცვი,muino
126,Hügel::N,ბორცვი,pentoka
127,Anhöhe::N,მაღლობი,garai
128,Anhöhe::N,მაღლობი,goragune
129,Berg::N,მთა,mendi
130,Gipfel::N,მწვერვალი,gain
131,Gipfel::N,მწვერვალი,tontor
132,Höhle::N,მღვიმე,kobazulo
133,Höhle::N,გამოქვებული,kobazulo
134,Abhang::N,ფერდობი,aldapa
135,Quelle::N,წყარო,iturri
136,Quelle::N,წყარო,iturbegi
137,Quelle::N,სათავე,iturri
138,Quelle::N,სათავე,iturbegi
139,Bach::N,რუ,lats
140,Bach::N,რუ,erreka
141,Bach::N,ნაკადული,lats
142,Bach::N,ნაკადული,erreka
143,Fluss::N,მდინარე,ibai
144,Fluss::N,მდინარე,uhaitz
145,Ufer::N,კიდე,bazter
146,Ufer::N,ნაპირი,bazter
147,Küste::N,ნაპირი,itsasalde
