,Concept_ID,az,ko
0,Auge::N,göz,눈
1,Ohr::N,qulaq,귀
2,Nase::N,burun,코
3,Mund::N,ağız,입
4,Zahn::N,diş,이
5,Zunge::N,dil,혀
6,Lippe::N,dodaq,입술
7,Wange::N,yanaq,뺨
8,Gesicht::N,üz,얼굴
9,Stirn::N,alın,이마
10,Haar::N,saç,털
11,Schnurrbart::N,bığ,윗수몀
12,Schnurrbart::N,bığ,코밑수염
13,Bart::N,saqqal,수엄
14,Kinn::N,çənə,아래턱
15,Kiefer[Anatomie]::N,çənə,턱
16,Kehle::N,boğaz,인후
17,Hals::N,boyun,목
18,Genick::N,ənsə,먹덜이
19,Kopf::N,baş,머리
20,Rücken::N,bel,든
21,Bauch::N,qarın,배
22,Nabel::N,göbək,배꼽
23,Busen::N,məmə,가슴속
24,Brust::N,döş,가슴
25,Schulter::N,çiyin,어깨
26,Arm::N,qol,팔
27,Ellenbogen::N,dirsək,팔쿰치
28,Hand::N,əl,손
29,Handfläche::N,ovuc,손바닥
30,Finger::N,barmaq,속가락
31,Fingernagel::N,barmaq dırnağı,손톱
32,Nagel[Anatomie]::N,dırnak,손톱
33,Zeh::N,ayaq barmağı,발가락
34,Fuß::N,ayaq,발
35,Ferse::N,daban,발꿈치
36,Knie::N,diz,무릎
37,Oberschenkel::N,bud,허벅다리
38,Bein::N,qıç,다리
39,Körper::N,əndam,구간
40,Haut::N,dəri,살갗
41,Blut::N,qan,피
42,Ader::N,damar,정맥
43,Sehne::N,vətər,현
44,Knochen::N,sümük,뼈
45,Gehirn::N,beyin,뇌
46,Gehirn::N,beyin,뇌수
47,Herz::N,ürək,염통
48,Magen::N,mədə,위
49,Leber::N,qara ciyər,간
50,Atem::N,nəfəs,기식
51,Hunger::N,aclıq,공복
52,Träne::N,göz yaşı,눈물
53,Geschmack::N,tam,기호
54,Geschmack::N,ləzzət,기호
55,Geruch::N,qoxu,냄새
56,Schlaf::N,yuxu,수면
57,Traum::N,röya,쿰
58,Himmel::N,göy,하늘
59,Himmel::N,səma,하늘
60,Sonne::N,günəş,해
61,Mond::N,ay,달
62,Stern::N,ulduz,별
63,Luft::N,hava,동준
64,Luft::N,hava,가스채
65,Wind::N,yel,바람
66,Wind::N,külək,바람
67,Welle::N,dalğa,물결
68,Wasser::N,su,물
69,Stein::N,daş,돌
70,Boden::N,yer,바닥
71,Boden::N,zəmin,바닥
72,Erde::N,yer torpaq,흙
73,Staub::N,toz,먼지
74,Rauch::N,tüstü,연기
75,Funke::N,qığılcım,불티
76,Feuer::N,od,불
77,Licht::N,işıq,불
78,Schatten::N,kölgə,어스레함
79,Wetter::N,hava,기상
80,Nebel::N,duman,안개
81,Wolke::N,bulud,구름
82,Regen::N,yağış,비
83,Regen::N,yağmur,비
84,Schnee::N,qar,눈
85,Eis::N,buz,얼음
86,Frost::N,ayaz,혹한
87,Kälte::N,soyuq,추위
88,Kälte::N,soyuq,차가움
89,Hitze::N,coşğunluq,고온
90,Hitze::N,coşğunluq,더위
91,Raureif::N,qırov,
92,Regenbogen::N,göy qurşağı,무지개
93,Donner::N,göy gurultusu,뇌명
94,Strömung::N,axın,유동
95,Tropfen::N,damcı,물방울
96,Schaum::N,köpük,포말
97,Schmutz::N,çamır,때
98,See::N,göl,호수
99,Sumpf::N,bataqlıq,습지
100,Moor::N,bataqlıq,저습지
101,Wiese::N,çəmən,목초지
102,Wald::N,meşə,숲
103,Hügel::N,təpə,언덕
104,Anhöhe::N,təpə,언덕
105,Berg::N,dağ,산
106,Gipfel::N,zirvə,졀졍
107,Höhle::N,mağara,공동
108,Abhang::N,yamac,몰매
109,Quelle::N,bulaq,근원
110,Bach::N,kiçik çay,내
111,Fluss::N,çay,강
112,Ufer::N,kənar,강변
113,Ufer::N,kənar,바닷가
114,Küste::N,sahil,해변
115,Küste::N,sahil,해변가
116,Festland::N,materik,본토
117,Meer::N,dəniz,바다
118,Bucht::N,körfəz,협만
119,Insel::N,ada,섬
120,Blume::N,çiçək,꽃
121,Gras::N,ot,풀
122,Wurzel::N,kök,뿌리
123,Baum::N,ağac,나무
124,Stamm::N,gövdə,대
125,Rinde::N,qabıq,나무껍질
126,Ast::N,şax,가지
127,Zweig::N,budaq,가지
128,Blatt::N,yarpaq,잎
129,Birke::N,tozağacı,자작나무
130,Kiefer[Baum]::N,şam,소나무
131,Weide[Baum]::N,söyüd,쉬양버들
132,Tanne::N,küknar,전나무
133,Horn::N,buynuz,뿔
134,Feder::N,tük,깃털
135,Feder::N,lələk,깃털
136,Fell::N,xəz,피혁모피
137,Flügel::N,qanad,날개
138,Klaue::N,pəncə,갈고리 발톺
139,Kralle::N,dırnaq,발툭
140,Schwanz::N,quyruq,꼬리
141,Ei::N,yumurta,알
142,Nest::N,yuva,보금자리
143,Bau::N,yuva,굴
144,Tier::N,heyvan,짐승
145,Herde::N,sürü,가축의떼
146,Kuh::N,inək,암소
147,Bulle::N,öküz,황소
148,Pferd::N,at,말
149,Schaf::N,qoyun,양
150,Schwein::N,donuz,돼지
151,Hund::N,it,개
152,Hund::N,köpək,개
153,Katze::N,pişik,고양이
154,Bär::N,ayı,콤
155,Eichhörnchen::N,dələ,다람쥐
156,Elch::N,sığın,고라니
157,Fuchs::N,tülkü,여우
158,Hase::N,dovşan,토끼
159,Maus::N,siçan,쥐
160,Wolf::N,qurd,늑대
161,Vogel::N,quş,새
162,Schwarm::N,sürü,뗴
163,Huhn::N,toyuq,암탉
164,Hahn::N,xoruz,수탉
165,Gans::N,qaz,거위
166,Adler::N,qartal,수리
167,Adler::N,qaraquş,수리
168,Ente::N,ördək,오리
169,Eule::N,bayquş,부엉이
170,Kranich::N,durna,두루미
171,Krähe::N,qarğa,까마귀
172,Kuckuck::N,ququ,뻐꾸기
