,Concept_ID,eu,hi
0,Auge::N,begi,आँख
1,Auge::N,begi,चक्षु
2,Ohr::N,belarri,कान
3,Ohr::N,belarri,कर्ण
4,Nase::N,sudur,नाक
5,Nase::N,sudur,नासा
6,Mund::N,aho,मुख
7,Mund::N,aho,मुँह
8,Zahn::N,hortz,दंत
9,Zahn::N,hortz,दाँत
10,Zunge::N,mihi,जीभ
11,Zunge::N,mihi,ज़बान
12,Zunge::N,mihi,जिह्वा
13,Lippe::N,ezpain,ओंठ
14,Lippe::N,ezpain,होंठ
15,Wange::N,masail,गाल
16,Wange::N,masail,कपोल
17,Gesicht::N,aurpegi,मुँह
18,Gesicht::N,aurpegi,चेहरा
19,Stirn::N,bekoki,माथा
20,Stirn::N,bekoki,मस्तक
21,Haar::N,ile,बाल
22,Haar::N,bilo,बाल
23,Schnurrbart::N,bibote,मूँछें
24,Schnurrbart::N,sudurpeko,मूँछें
25,Bart::N,bizar,दाढ़ी
26,Kinn::N,kokots,चिबुक
27,Kiefer[Anatomie]::N,masailezur,जबड़ा
28,Kehle::N,eztarri,गला
29,Hals::N,sama,गला
30,Hals::N,sama,गरदन
31,Genick::N,garondo,गरदन
32,Genick::N,garondo,ग्रीवा
33,Kopf::N,buru,सिर
34,Kopf::N,buru,शीर्ष
35,Rücken::N,bizkar,पीठ
36,Bauch::N,sabel,उदर
37,Nabel::N,zilbor,नाभि
38,Nabel::N,zilbor,ढोंढी
39,Busen::N,titi,कुच
40,Busen::N,titi,स्तन
41,Busen::N,ugatz,कुच
42,Busen::N,ugatz,स्तन
43,Brust::N,bular,वक्ष
44,Schulter::N,besaburu,कंधा
45,Schulter::N,besaburu,स्कंध
46,Arm::N,beso,बाँह
47,Arm::N,beso,बाज़ू
48,Ellenbogen::N,ukondo,कुहनी
49,Hand::N,esku,हाथ
50,Hand::N,esku,हस्त
51,Handfläche::N,ahur,हथेली
52,Finger::N,hatz,उँगली
53,Finger::N,hatz,अँगुली
54,Fingernagel::N,azazkal,नख
55,Fingernagel::N,azazkal,नाख़ून
56,Nagel[Anatomie]::N,azazkal,नख
57,Nagel[Anatomie]::N,azazkal,नाख़ून
58,Zeh::N,behatz,उँगली
59,Zeh::N,behatz,पाँव की उँगली
60,Fuß::N,oin,चरण
61,Fuß::N,oin,पाँव
62,Ferse::N,orpo,एड़ी
63,Ferse::N,oinburu,एड़ी
64,Knie::N,belaun,जानु
65,Knie::N,belaun,घुटना
66,Oberschenkel::N,izter,उरु
67,Bein::N,zango,टाँग
68,Körper::N,soin,तन
69,Körper::N,soin,देह
70,Körper::N,soin,शरीर
71,Haut::N,azal,चर्म
72,Haut::N,azal,त्वचा
73,Blut::N,odol,लहू
74,Blut::N,odol,ख़ून
75,Ader::N,zain,रग
76,Ader::N,zain,शिरा
77,Sehne::N,gihar-zain,कंडरा
78,Sehne::N,gihar-zain,स्नायु
79,Knochen::N,hezur,अस्थि
80,Gehirn::N,garun,दिमाग़
81,Gehirn::N,garun,मस्तिष्क
82,Gehirn::N,burmuin,दिमाग़
83,Gehirn::N,burmuin,मस्तिष्क
84,Herz::N,bihotz,दिल
85,Herz::N,bihotz,हृदय
86,Magen::N,urdail,मेदा
87,Magen::N,urdail,अमाशय
88,Leber::N,gibel,जिगर
89,Leber::N,gibel,यकृत्
90,Atem::N,hats,दम
91,Atem::N,hats,साँस
92,Atem::N,hats,श्वास
93,Atem::N,arnasa,दम
94,Atem::N,arnasa,साँस
95,Atem::N,arnasa,श्वास
96,Hunger::N,gose,भूख
97,Hunger::N,gose,क्षुधा
98,Träne::N,malko,आँसू
99,Träne::N,malko,अश्रु
100,Geschmack::N,dasta,स्वाद
101,Geschmack::N,dasta,ज़ायक़ा
102,Geruch::N,usain,बू
103,Geruch::N,usain,गंध
104,Schlaf::N,lo,नींद
105,Schlaf::N,lo,निद्रा
106,Traum::N,amets,सपना
107,Traum::N,amets,स्वप्न
108,Himmel::N,zeru,आकाश
109,Himmel::N,zeru,आसमान
110,Sonne::N,eguzki,रवि
111,Sonne::N,eguzki,सूरज
112,Sonne::N,eguzki,सूर्य
113,Mond::N,ilargi,चाँद
114,Mond::N,ilargi,चंद्र
115,Stern::N,izar,तारा
116,Stern::N,izar,सितारा
117,Luft::N,aire,हवा
118,Luft::N,aire,वायु
119,Wind::N,haize,पाद
120,Welle::N,uhin,लहर
121,Welle::N,uhin,तरंग
122,Welle::N,olatu,लहर
123,Welle::N,olatu,तरंग
124,Wasser::N,ur,जल
125,Wasser::N,ur,पानी
126,Stein::N,harri,पत्थर
127,Boden::N,lur,मिट्टी
128,Boden::N,zoru,मिट्टी
129,Erde::N,lur,भूमि
130,Erde::N,lur,ज़मीन
131,Staub::N,hauts,धूल
132,Rauch::N,ke,धूआँ
133,Rauch::N,ke,धुम्र
134,Funke::N,zirta,चिनगारी
135,Funke::N,zirta,स्फुलिंग
136,Funke::N,txinparta,चिनगारी
137,Funke::N,txinparta,स्फुलिंग
138,Feuer::N,su,आग
139,Feuer::N,su,आतिश
140,Feuer::N,su,अग्नि
141,Licht::N,argi,रोशनी
142,Licht::N,argi,प्रकाश
143,Schatten::N,itzal,छाया
144,Schatten::N,itzal,परछाई
145,Schatten::N,geriza,छाया
146,Schatten::N,geriza,परछाई
147,Wetter::N,eguraldi,ऋतु
148,Wetter::N,eguraldi,मौसम
149,Nebel::N,laino,धुँध
150,Nebel::N,laino,कुहरा
151,Wolke::N,hodei,मेघ
152,Wolke::N,hodei,अभ्र
153,Regen::N,euri,मेंह
154,Regen::N,euri,बारिश
155,Schnee::N,elur,हिम
156,Schnee::N,elur,बर्फ़
157,Eis::N,horma,हिम
158,Eis::N,horma,बर्फ़
159,Frost::N,izotzaldi,ठंड
160,Kälte::N,hotz,सर्दी
161,Kälte::N,hotz,शीतलता
162,Hitze::N,bero,ताप
163,Hitze::N,bero,गरमी
164,Raureif::N,antzigar,पाला
165,Regenbogen::N,ostadar,इंद्र-धनुष
166,Regenbogen::N,ortzadar,इंद्र-धनुष
167,Donner::N,ostots,गरज
168,Donner::N,ostots,मेघ-गर्जन
169,Donner::N,ihurtzuri,गरज
170,Donner::N,ihurtzuri,मेघ-गर्जन
171,Strömung::N,laster,बहाव
172,Strömung::N,laster,प्रवाह
173,Tropfen::N,xorta,बूँद
174,Schaum::N,bits,झाग
175,Schmutz::N,lohi,गंद
176,Schmutz::N,lohi,कीचड़
177,Schmutz::N,zikin,गंद
178,Schmutz::N,zikin,कीचड़
179,See::N,laku,झील
180,See::N,laku,सरोवर
181,See::N,aintzira,झील
182,See::N,aintzira,सरोवर
183,Sumpf::N,zingira,दलदल
184,Sumpf::N,zingira,धँसान
185,Moor::N,zohikaztegi,झाबर
186,Moor::N,zohikaztegi,धँसान
187,Wiese::N,larre,घास-स्थल
188,Wiese::N,belardi,घास-स्थल
189,Wald::N,baso,जंगल
190,Wald::N,oihan,जंगल
191,Hügel::N,muino,टीला
192,Hügel::N,muino,पहाड़
193,Hügel::N,pentoka,टीला
194,Hügel::N,pentoka,पहाड़
