,Concept_ID,ga,sv
0,Auge::N,súil,öga
1,Ohr::N,cluas,öra
2,Nase::N,soc,näsa
3,Mund::N,béal,mun
4,Zahn::N,fiacail,tand
5,Zunge::N,teanga,tunga
6,Lippe::N,liopa,läpp
7,Wange::N,grua,kind
8,Wange::N,leiceann,kind
9,Gesicht::N,éadan,syn
10,Gesicht::N,éadan,ansikte
11,Gesicht::N,aghaidh,syn
12,Gesicht::N,aghaidh,ansikte
13,Stirn::N,baithis,panna
14,Stirn::N,clár éadain,panna
15,Haar::N,gruaig,hår
16,Schnurrbart::N,croiméal,mustasch
17,Bart::N,féasóg,skägg
18,Kinn::N,smig,haka
19,Kiefer[Anatomie]::N,giall,käke
20,Kehle::N,scornach,strupe
21,Hals::N,muinéal,hals
22,Genick::N,baic,nacke
23,Kopf::N,ceann,huvud
24,Rücken::N,droim,rygg
25,Bauch::N,bolg,buk
26,Bauch::N,bolg,mage
27,Nabel::N,imleacán,navel
28,Busen::N,cíoch,barm
29,Brust::N,brollach,bröst
30,Schulter::N,gualainn,skuldra
31,Arm::N,lámh,arm
32,Ellenbogen::N,uillinn,armbåge
33,Hand::N,lámh,hand
34,Handfläche::N,bos,handflata
35,Finger::N,méar,finger
36,Fingernagel::N,ionga,fingernagel
37,Nagel[Anatomie]::N,ionga,nagel
38,Zeh::N,ladhar,tå
39,Fuß::N,cos,fot
40,Fuß::N,troigh,fot
41,Ferse::N,sáil,häl
42,Knie::N,glúin,knä
43,Oberschenkel::N,ceathrú,lår
44,Bein::N,cos,ben
45,Körper::N,corp,kropp
46,Körper::N,colainn,kropp
47,Haut::N,cneas,hud
48,Haut::N,cneas,skinn
49,Haut::N,craiceann,hud
50,Haut::N,craiceann,skinn
51,Blut::N,fuil,blod
52,Sehne::N,teannán,sena
53,Sehne::N,féitheog,sena
54,Knochen::N,cnámh,ben
55,Gehirn::N,inchinn,hjärna
56,Herz::N,croí,hjärta
57,Magen::N,bolg,mage
58,Magen::N,goile,mage
59,Leber::N,ae,lever
60,Atem::N,anáil,anda
61,Atem::N,anáil,andedräkt
62,Hunger::N,ocras,svält
63,Hunger::N,ocras,hunger
64,Träne::N,deoir,tår
65,Geschmack::N,blas,smak
66,Geruch::N,boladh,lukt
67,Schlaf::N,suan,sömn
68,Schlaf::N,codladh,sömn
69,Traum::N,taibhreamh,dröm
70,Himmel::N,spéir,himmel
71,Sonne::N,grian,sol
72,Mond::N,ré,måne
73,Mond::N,gealach,måne
74,Stern::N,rinn,stjärna
75,Stern::N,réalta,stjärna
76,Luft::N,aer,luft
77,Wind::N,gaoth,vind
78,Welle::N,tonn,våg
79,Welle::N,tonn,bölja
80,Wasser::N,uisce,vatten
81,Stein::N,cloch,sten
82,Boden::N,talamh,mark
83,Erde::N,cré,jord
84,Erde::N,ithir,jord
85,Staub::N,dusta,damm
86,Staub::N,deannach,damm
87,Rauch::N,toit,rök
88,Rauch::N,deatach,rök
89,Funke::N,drithle,gnista
90,Feuer::N,tine,eld
91,Licht::N,solas,ljus
92,Schatten::N,scáth,skugga
93,Wetter::N,aimsir,väder
94,Nebel::N,ceo,dimma
95,Nebel::N,ceo,töcken
96,Wolke::N,néal,sky
97,Wolke::N,néal,moln
98,Wolke::N,scamall,sky
99,Wolke::N,scamall,moln
100,Regen::N,báisteach,regn
