,Concept_ID,uz,sl
0,Auge::N,ko'z,okó
1,Ohr::N,quloq,uhó
2,Nase::N,burun,nós
3,Mund::N,og'iz,ústa
4,Zahn::N,tish,zób
5,Zunge::N,til,jêzik
6,Lippe::N,dudoq,ústnica
7,Wange::N,bet,líce
8,Gesicht::N,yuz,oblíčje
9,Stirn::N,manglay,čêlo
10,Haar::N,soch,lás
11,Schnurrbart::N,mo'ylov,bŕki
12,Bart::N,soqol,bráda
13,Kinn::N,ängak,bráda
14,Kiefer[Anatomie]::N,iyak,čeljúst
15,Kehle::N,bo'g'iz,gŕlo
16,Hals::N,bo'yin,vrát
17,Genick::N,gardan,zatílnik
18,Kopf::N,bosh,gláva
19,Rücken::N,orqa,hrbèt
20,Bauch::N,qorin,trébuh
21,Nabel::N,kindik,pópek
22,Busen::N,ämchak,nédrja
23,Brust::N,ko'krak,pŕsi
24,Schulter::N,elka,ráma
25,Schulter::N,elka,plêče
26,Arm::N,bilak,rôka
27,Ellenbogen::N,tirsak,komólec
28,Hand::N,qo'l,rôka
29,Handfläche::N,kaft,dlán
30,Finger::N,barmoq,pŕst
31,Fingernagel::N,tirnoq,nóht na rôki
32,Nagel[Anatomie]::N,tirnoq,nóht
33,Zeh::N,oyoq barmog'i,pŕst na nôgi
34,Fuß::N,oyoq,nôga
35,Ferse::N,tovon,pêta
36,Knie::N,tiz,koléno
37,Oberschenkel::N,son,stêgno
38,Bein::N,oyoq,nôga
39,Körper::N,badna,teló
40,Haut::N,teri,kóža
41,Blut::N,qon,krí
42,Ader::N,qon tomir,žíla
43,Sehne::N,tomir,kíta
44,Knochen::N,suyak,kóst
45,Gehirn::N,miya,možgáni
46,Herz::N,qalb,srcé
47,Magen::N,oshqozon,želódec
48,Leber::N,bag'ir,jétra
49,Atem::N,dam,díh
50,Hunger::N,ochlik,glád
51,Träne::N,yosh,sólza
52,Geschmack::N,tam,okús
53,Geruch::N,jid,vónj
54,Schlaf::N,uyqu,sèn
55,Schlaf::N,uyqu,spánec
56,Traum::N,tush,sánje
57,Himmel::N,osmon,nebó
58,Sonne::N,quyosh,sónce
59,Mond::N,oy,lúna
60,Mond::N,oy,mésec
61,Stern::N,yulduz,zvézda
62,Luft::N,havo,zràk
63,Wind::N,el,véter
64,Welle::N,to'lqin,vál
65,Wasser::N,suv,vôda
66,Stein::N,tosh,kámen
67,Boden::N,tuproq,tlà
68,Erde::N,er,pŕst
69,Erde::N,er,zêmlja
70,Staub::N,chang,práh
71,Rauch::N,tutun,dìm
72,Funke::N,yalt,ískra
73,Feuer::N,o't,ôgenj
74,Licht::N,yorug',lúč
75,Schatten::N,soya,sénca
76,Wetter::N,havo,vrême
77,Nebel::N,tuman,meglà
78,Wolke::N,bulut,oblák
79,Regen::N,yomg'ir,dèž
80,Schnee::N,qor,snég
81,Eis::N,muz,léd
82,Frost::N,ajoz,zmrzál
83,Kälte::N,ajoz,mràz
84,Hitze::N,issiq,pripéka
85,Raureif::N,qirov,ívje
86,Raureif::N,qirov,slána
87,Regenbogen::N,kamalak,mávrica
88,Donner::N,guldur,gròm
89,Strömung::N,oqim,strúja
90,Tropfen::N,tomchi,káplja
91,Schaum::N,ko'pik,péna
92,Schmutz::N,gard,nesnága
93,See::N,ko'l,jézero
94,Sumpf::N,botqoq,močvírje
95,Moor::N,qir-adir,bárje
96,Wiese::N,o'tzor,trávnik
97,Wald::N,o'rmon,lés
98,Wald::N,o'rmon,gòzd
99,Hügel::N,tepa,brég
100,Hügel::N,tepa,goríca
101,Anhöhe::N,adir,gríč
102,Anhöhe::N,adir,višína
103,Berg::N,tog',gôra
104,Berg::N,tog',planína
105,Gipfel::N,cho'qqi,vŕh
106,Höhle::N,kavak,jáma
107,Höhle::N,kavak,votlína
108,Abhang::N,to'sh,pobóčje
109,Quelle::N,buloq,izvír
110,Bach::N,o'zan,pôtok
111,Fluss::N,daryo,réka
112,Ufer::N,sohil,brég
113,Küste::N,qirg'oq,obála
114,Küste::N,qirg'oq,obréžje
115,Festland::N,materik,celína
116,Festland::N,materik,kopnína
117,Meer::N,dengiz,mórje
118,Bucht::N,qo'ltiq,zalív
119,Insel::N,orol,ôtok
120,Blume::N,gul,cvetlíca
121,Gras::N,sabza,tráva
122,Wurzel::N,tub,korenína
123,Wurzel::N,tomir,korenína
124,Baum::N,daraxt,drevó
125,Stamm::N,o'simta,dêblo
126,Rinde::N,qobiq,lúbje
127,Rinde::N,qobiq,skórja
128,Ast::N,shox,véja
129,Zweig::N,butoq,véja
130,Blatt::N,barg,líst
131,Birke::N,qayin,bréza
132,Kiefer[Baum]::N,qarag'ay,bòr
133,Weide[Baum]::N,shum,vŕba
134,Tanne::N,archa,hója
135,Horn::N,mugiz,róg
136,Feder::N,par,peró
137,Fell::N,mo'yna,kŕzno
138,Flügel::N,qanot,krílo
139,Klaue::N,tirnoq,párkelj
140,Kralle::N,tirnoq,krémpelj
141,Schwanz::N,quyruq,rèp
142,Ei::N,tuxum,jájce
143,Nest::N,oshyon,gnézdo
144,Bau::N,o'pqon,brlòg
145,Tier::N,hayvon,živál
