,Concept_ID,kv,kv
0,Auge::N,син,син
1,Ohr::N,пель,пель
2,Nase::N,ныр,ныр
3,Mund::N,ӧм,ӧм
4,Zahn::N,пинь,пинь
5,Zunge::N,кыв,кыв
6,Lippe::N,тырп,тырп
7,Wange::N,рожабан,рожабан
8,Gesicht::N,бан,бан
9,Stirn::N,кымӧс,кымӧс
10,Haar::N,юрси,юрси
11,Schnurrbart::N,уссэз,уссэз
12,Bart::N,тош,тош
13,Kinn::N,тшӧка,тшӧка
14,Kiefer[Anatomie]::N,ан,ан
15,Kehle::N,юан,юан
16,Hals::N,юан,юан
17,Genick::N,юр бӧр,юр бӧр
18,Kopf::N,юр,юр
19,Rücken::N,мышк,мышк
20,Bauch::N,кынӧм,кынӧм
21,Nabel::N,гӧг,гӧг
22,Busen::N,морос,морос
23,Brust::N,морос,морос
24,Schulter::N,пельпон,пельпон
25,Arm::N,ки,ки
26,Ellenbogen::N,гырдзза,гырдзза
27,Hand::N,кикар,кикар
28,Handfläche::N,ки пыдӧс,ки пыдӧс
29,Finger::N,чунь,чунь
30,Fingernagel::N,гыж,гыж
31,Nagel[Anatomie]::N,гыж,гыж
32,Zeh::N,чунь,чунь
33,Fuß::N,кокпыдӧс,кокпыдӧс
34,Ferse::N,кокдзир,кокдзир
35,Knie::N,пидзӧс,пидзӧс
36,Oberschenkel::N,лядьбей,лядьбей
37,Bein::N,кок,кок
38,Körper::N,вывтыр,вывтыр
39,Haut::N,кучик,кучик
40,Blut::N,вир,вир
41,Ader::N,сӧн,сӧн
42,Sehne::N,жила,жила
43,Knochen::N,коска,коска
44,Gehirn::N,вем,вем
45,Herz::N,сьӧлӧм,сьӧлӧм
46,Magen::N,жӧвдӧк,жӧвдӧк
47,Leber::N,мус,мус
48,Atem::N,лолалӧм,лолалӧм
49,Hunger::N,тшыг,тшыг
50,Träne::N,синва,синва
51,Geschmack::N,кӧр,кӧр
52,Geruch::N,дук,дук
53,Schlaf::N,он,он
54,Traum::N,вӧт,вӧт
55,Himmel::N,небо,небо
56,Sonne::N,шондi,шондi
57,Mond::N,тӧлiсь,тӧлiсь
58,Stern::N,кӧдзыв,кӧдзыв
59,Luft::N,ру,ру
60,Wind::N,тӧв,тӧв
61,Welle::N,гы,гы
62,Wasser::N,ва,ва
63,Stein::N,из,из
64,Boden::N,му,му
65,Erde::N,му,му
