,Concept_ID,mn,ar
0,Auge::N,нүд,عين
1,Ohr::N,чих,أذن
2,Nase::N,хамар,أنف
3,Mund::N,ам,فم
4,Zahn::N,шүд,سن
5,Zunge::N,хэл,لسان
6,Lippe::N,уруул,شفة
7,Wange::N,хацар,خد
8,Wange::N,хацар,وجنة
9,Gesicht::N,царай,وجه
10,Gesicht::N,нүүр,وجه
11,Stirn::N,дух,جبين
12,Haar::N,үс,شعر
13,Schnurrbart::N,дээд сахал,شارب
14,Schnurrbart::N,живэр сахал,شارب
15,Bart::N,сахал,لحية
16,Kinn::N,эрүү,ذقن
17,Kiefer[Anatomie]::N,эрүү,فك
18,Kehle::N,хоолой,حلق
19,Hals::N,хүзүү,عنق
20,Hals::N,хүзүү,رقبة
21,Genick::N,шил,قفا
22,Genick::N,хүзүү,قفا
23,Kopf::N,толгой,رأس
24,Rücken::N,ар,ظهر
25,Rücken::N,нуруу,ظهر
26,Bauch::N,хэвлий,بطن
27,Bauch::N,гэдэс,بطن
28,Nabel::N,хүйс,سرة
29,Busen::N,хөх,ثدي
30,Brust::N,цээж,صدر
31,Schulter::N,мөр,كتف
32,Schulter::N,бугалга,كتف
33,Arm::N,гар,ذراع
34,Ellenbogen::N,тохой,كوع
35,Hand::N,гар,يد
36,Hand::N,алга,يد
37,Handfläche::N,алга,كف
38,Finger::N,хуруу,إصبع
39,Fingernagel::N,хурууны хумс,ظفر
40,Nagel[Anatomie]::N,хумс,ظفر
41,Zeh::N,хуруу,إصبع القدم
42,Fuß::N,хөл,قدم
43,Ferse::N,өсгий,كعب
44,Knie::N,өвдөг,ركبة
45,Oberschenkel::N,гуя,فخذ
46,Bein::N,хөл,ساق
47,Körper::N,бие,جسم
48,Haut::N,арьс,بشرة
49,Blut::N,цус,دم
50,Ader::N,судас,عرق
51,Sehne::N,бүлх,طنب
52,Sehne::N,шандас,طنب
53,Knochen::N,яс,عظم
54,Gehirn::N,тархи,دماغ
55,Herz::N,зүрх,قلب
56,Magen::N,ходоод,معدة
57,Leber::N,элэг,كبد
58,Atem::N,амьсгаа,نفس
59,Hunger::N,өлсгөлөн,جوع
60,Träne::N,нулимс,دمعة
61,Geschmack::N,амт,طعم
62,Geschmack::N,амт,مذاق
63,Geruch::N,үнэр,رائحة
64,Schlaf::N,нойр,نوم
65,Schlaf::N,нойр,منام
66,Traum::N,зүүд,حلم
67,Himmel::N,тэнгэр,سماء
68,Himmel::N,огторгуй,سماء
69,Sonne::N,нар,شمس
70,Mond::N,сар,قمر
71,Stern::N,од,نجم
72,Stern::N,од,كوكب
73,Luft::N,агаар,هواء
74,Wind::N,салхи,ريح
75,Welle::N,долгио,موجة
76,Welle::N,давалгаа,موجة
77,Wasser::N,ус,ماء
78,Stein::N,чулуу,حجر
79,Boden::N,хөрс,تراب
80,Erde::N,газар,أرض
81,Erde::N,шороо,أرض
82,Staub::N,тоос,غبار
83,Rauch::N,утаа,دخان
84,Funke::N,оч,شرارة
85,Feuer::N,гал,نار
86,Licht::N,гэрэл,نور
87,Licht::N,гэрэл,ضوء
