,Concept_ID,sk,udm
0,Auge::N,oko,син
1,Ohr::N,ucho,пель
2,Nase::N,nos,ныр
3,Mund::N,ústa,ым
4,Zahn::N,zub,пинь
5,Zunge::N,jazyk,кыл
6,Lippe::N,pera,ымдур
7,Wange::N,líce,бам
8,Gesicht::N,tvár,ымныр
9,Gesicht::N,obličaj,ымныр
10,Stirn::N,čelo,кымес
11,Haar::N,vlas,йырси
12,Schnurrbart::N,fúzy,мыйык
13,Bart::N,brada,туш
14,Kinn::N,brada,ангес
15,Kiefer[Anatomie]::N,čeľusť,ан
16,Kiefer[Anatomie]::N,čeľusť,анлы
17,Kehle::N,hrdlo,гульым
18,Hals::N,krk,чырты
19,Genick::N,väzy,йырбер
20,Kopf::N,hlava,йыр
21,Rücken::N,chrbát,мыш
22,Bauch::N,brucho,кӧт
23,Nabel::N,pupok,гогы
24,Busen::N,prsia,ноны
25,Brust::N,hruď,мӧля
26,Schulter::N,plece,пельпум
27,Arm::N,rameno,суй
28,Ellenbogen::N,lakeť,гырпум
29,Hand::N,ruka,ки
30,Handfläche::N,dlaň,ки пыдэс
31,Handfläche::N,dlaň,кырым пыдэс
32,Finger::N,prst,чиньы
33,Fingernagel::N,necht,гижы
34,Fingernagel::N,necht,гиждӥнь
35,Nagel[Anatomie]::N,necht,гижы
36,Zeh::N,prst na nohe,пыдчиньы
37,Fuß::N,noha,пыд
38,Ferse::N,päta,пыдбер
39,Knie::N,koleno,пыдес
40,Oberschenkel::N,stehno,макес
41,Bein::N,noha,пыд
42,Körper::N,telo,мугор
43,Körper::N,telo,вылтыр
44,Haut::N,koža,ку
45,Blut::N,krv,вир
46,Ader::N,žila,вирсэр
47,Sehne::N,šľacha,вуж
48,Knochen::N,kosť,лы
49,Gehirn::N,mozog,вим
50,Herz::N,srdce,сюлэм
51,Magen::N,žalúdok,ӝуш
52,Leber::N,pečeň,мус
53,Atem::N,dych,лул
54,Atem::N,dych,шокан
55,Hunger::N,hlad,кӧтсюман
56,Träne::N,slza,синкыли
57,Geschmack::N,chuť,шӧм
58,Geruch::N,pach,зын
59,Schlaf::N,spánok,вӧт
60,Traum::N,sen,уйвӧт
61,Himmel::N,nebo,ин
62,Sonne::N,slnko,шунды
63,Mond::N,mesiac,толэзь
64,Stern::N,hviezda,кизили
65,Luft::N,vzduch,омыр
66,Wind::N,vietor,тӧл
67,Welle::N,vlna,тулкым
68,Wasser::N,voda,ву
69,Stein::N,kameň,из
70,Boden::N,zem,музъем
71,Boden::N,pôda,музъем
72,Erde::N,zem,му
73,Staub::N,prach,пыль
74,Rauch::N,dym,ӵын
75,Funke::N,iskra,гизьы
76,Feuer::N,oheň,тыл
77,Licht::N,svetlo,тыл
78,Schatten::N,tieň,вужер
79,Wetter::N,počasie,куазь
80,Nebel::N,hmla,бус
81,Wolke::N,oblak,пилем
82,Wolke::N,mračno,пилем
83,Regen::N,dážď,зор
84,Schnee::N,sneh,лымы
85,Eis::N,ľad,йӧ
86,Frost::N,mráz,кезьыт
87,Kälte::N,zima,кезьыт
88,Kälte::N,chlad,кезьыт
89,Hitze::N,horúčava,пӧсь
90,Raureif::N,srieň,гӧр
91,Raureif::N,inovať,гӧр
