,Concept_ID,ko,mdf
0,Auge::N,눈,сельме
1,Ohr::N,귀,пиле
2,Nase::N,코,шалхка
3,Mund::N,입,курга
4,Zahn::N,이,пей
5,Zunge::N,혀,кяль
6,Lippe::N,입술,търва́
7,Wange::N,뺨,щёка
8,Gesicht::N,얼굴,шама
9,Stirn::N,이마,коня
10,Haar::N,털,шя́ярь
11,Schnurrbart::N,윗수몀,уса́
12,Schnurrbart::N,코밑수염,уса́
13,Bart::N,수엄,сакал
14,Kinn::N,아래턱,ула
15,Kiefer[Anatomie]::N,턱,саласка
16,Kehle::N,인후,кълдома
17,Kehle::N,인후,кърга́парь
18,Hals::N,목,сялдаз
19,Genick::N,먹덜이,шовонь
20,Kopf::N,머리,пря
21,Rücken::N,든,копорь
22,Bauch::N,배,пеке
23,Nabel::N,배꼽,по́кон
24,Busen::N,가슴속,потя
25,Brust::N,가슴,мяште
26,Schulter::N,어깨,лафту
27,Arm::N,팔,кядь
28,Ellenbogen::N,팔쿰치,кенерьба́карь
29,Hand::N,손,кядь
30,Handfläche::N,손바닥,кядьлапш
31,Finger::N,속가락,сур
32,Fingernagel::N,손톱,кенже
33,Nagel[Anatomie]::N,손톱,кенже
34,Zeh::N,발가락,пильгосу́р
35,Fuß::N,발,пильге
36,Fuß::N,발,пильгелапа
37,Ferse::N,발꿈치,кочкяря
38,Knie::N,무릎,эль
39,Knie::N,무릎,пълма́нжа
40,Oberschenkel::N,허벅다리,пильгепукша
41,Bein::N,다리,пильге
42,Körper::N,구간,ро́нга
43,Körper::N,구간,по́нда
44,Haut::N,살갗,киське
45,Blut::N,피,вер
46,Ader::N,정맥,сан
47,Ader::N,정맥,верза́н
48,Sehne::N,현,коське сан
49,Knochen::N,뼈,пакарь
50,Gehirn::N,뇌,уй
51,Gehirn::N,뇌수,уй
52,Herz::N,염통,седи
53,Magen::N,위,коткърдазь
54,Leber::N,간,макса
55,Atem::N,기식,лекома
56,Atem::N,기식,ваймонь тарксема
57,Hunger::N,공복,вачеши
58,Träne::N,눈물,сельмове́дь
59,Geschmack::N,기호,таньф
60,Geruch::N,냄새,шине
61,Schlaf::N,수면,удома́
62,Traum::N,쿰,он
63,Himmel::N,하늘,менель
64,Sonne::N,해,ши
65,Mond::N,달,ков
66,Stern::N,별,тяште
67,Luft::N,동준,кожф
68,Luft::N,가스채,кожф
69,Wind::N,바람,варма
70,Welle::N,물결,тавла
71,Wasser::N,물,ведь
72,Stein::N,돌,кев
73,Boden::N,바닥,мода
74,Boden::N,바닥,потмакс
75,Erde::N,흙,мода
76,Erde::N,흙,мастор
77,Staub::N,먼지,пуль
78,Rauch::N,연기,качам
79,Funke::N,불티,ця́тка
80,Feuer::N,불,тол
81,Licht::N,불,ва́лда
82,Schatten::N,어스레함,цильф
83,Wetter::N,기상,уша
84,Nebel::N,안개,тума́н
85,Wolke::N,구름,ковол
86,Regen::N,비,пизем
87,Schnee::N,눈,лов
88,Eis::N,얼음,эй
89,Frost::N,혹한,ке́льме
90,Kälte::N,추위,якшама
91,Kälte::N,차가움,якшама
92,Hitze::N,고온,пси
93,Hitze::N,더위,пси
94,Regenbogen::N,무지개,а́тямъёнга
95,Donner::N,뇌명,атям
96,Strömung::N,유동,шудема́
97,Tropfen::N,물방울,путькс
98,Tropfen::N,물방울,пътняфкс
99,Schaum::N,포말,шов
100,Schmutz::N,때,ърда́з
101,See::N,호수,эрьхке
102,Sumpf::N,습지,шяй
103,Moor::N,저습지,шяй
104,Wiese::N,목초지,луга
105,Wald::N,숲,вирь
106,Hügel::N,언덕,губо́р
107,Hügel::N,언덕,пандоня
108,Anhöhe::N,언덕,губо́р
109,Berg::N,산,панда
110,Gipfel::N,졀졍,пря
111,Höhle::N,공동,у́нда
112,Abhang::N,몰매,па́нда ша́ма
113,Quelle::N,근원,эшиня
114,Bach::N,내,шудерькс
115,Fluss::N,강,ляй
116,Ufer::N,강변,търва́
117,Ufer::N,바닷가,търва́
118,Küste::N,해변,ляйтърва́
119,Küste::N,해변가,ляйтърва́
120,Festland::N,본토,мода
121,Meer::N,바다,моря
122,Bucht::N,협만,ведьуське
123,Insel::N,섬,цёнга
124,Blume::N,꽃,панчф
125,Gras::N,풀,тише
126,Wurzel::N,뿌리,юр
127,Wurzel::N,뿌리,ункс
128,Baum::N,나무,шуфта
129,Stamm::N,대,ро́нга
130,Rinde::N,나무껍질,кер
131,Ast::N,가지,морга
132,Zweig::N,가지,тарад
133,Blatt::N,잎,лопа
134,Birke::N,자작나무,ке́лу
135,Kiefer[Baum]::N,소나무,пиче
136,Weide[Baum]::N,쉬양버들,каль
137,Tanne::N,전나무,куз
138,Horn::N,뿔,сюра
139,Feder::N,깃털,толга
140,Fell::N,피혁모피,кедь
141,Flügel::N,날개,паця
142,Klaue::N,갈고리 발톺,кенже
143,Kralle::N,발툭,кенже
144,Schwanz::N,꼬리,пула
145,Ei::N,알,ал
146,Nest::N,보금자리,пиза
147,Bau::N,굴,пиза
148,Tier::N,짐승,жува́та
149,Herde::N,가축의떼,нал
150,Herde::N,가축의떼,стада
151,Kuh::N,암소,скал
152,Kuh::N,암소,тракс
153,Bulle::N,황소,бука
154,Pferd::N,말,лишме
155,Schaf::N,양,уча́
156,Schwein::N,돼지,тува
157,Hund::N,개,пине
158,Katze::N,고양이,катоня
159,Katze::N,고양이,аваката
160,Bär::N,콤,офта
161,Eichhörnchen::N,다람쥐,ур
162,Elch::N,고라니,ся́рда
163,Fuchs::N,여우,келазь
164,Hase::N,토끼,ну́мол
165,Maus::N,쥐,шеер
166,Wolf::N,늑대,върьгаз
167,Vogel::N,새,нармонь
168,Schwarm::N,뗴,ко́вол
169,Schwarm::N,뗴,ме́швеле
170,Huhn::N,암탉,сараз
171,Hahn::N,수탉,а́тякш
172,Gans::N,거위,маци
173,Adler::N,수리,куцькан
174,Ente::N,오리,яксярга
175,Eule::N,부엉이,ко́рож
176,Kranich::N,두루미,ка́рга
177,Krähe::N,까마귀,ва́рси
178,Kuckuck::N,뻐꾸기,ку́ку
179,Schwan::N,배조,ло́ксти
180,Fisch::N,물고기,кал
181,Barsch::N,농어,о́кунь
182,Hecht::N,에속스,щу́ка
183,Schlange[Tier]::N,뱀,куй
184,Wurm::N,벌레,сукс
185,Spinne::N,거미,унжа́
186,Ameise::N,개미,панжам
187,Laus::N,이,си
188,Mücke::N,모기,ся́ське
189,Fliege::N,날기,кару
190,Schmetterling::N,나비,ме́лав
191,Beere::N,장과,и́мож
192,Apfel::N,사과,марь
193,Pilz::N,고방이,панга
194,Zwiebel::N,양파,шурьхкя́
195,Saat::N,씨,видьмот
196,Korn::N,알맹이,сёра
197,Heu::N,건초,тише
198,Schale::N,피상,кедь
199,Falle::N,함정,туфкс
200,Falle::N,함정,кунда́ма
201,Schlinge::N,올가미,килькш
202,Schlinge::N,멜빵붕대,килькш
203,Spur::N,발지국,пильгоки́
204,Asche::N,재,кулу
205,Dreck::N,똥,ърда́з
206,Dreck::N,오물,ърда́з
207,Eisen::N,쇠,кшни
208,Eisen::N,철,кшни
209,Gold::N,항금,ока
210,Gold::N,항금,золота
211,Silber::N,은,сия́
212,Kohle::N,슻,седь
213,Kohle::N,슻,седьвальмя
214,Glas::N,유리,кля́нцек
215,Lehm::N,찰흙,сёвонь
216,Sand::N,모래,шува́р
217,Mensch::N,사람,ломань
218,Mann::N,남자,аля
219,Mann::N,남자,цёраломань
220,Frau::N,여자,ава
221,Kind::N,아이,идь
222,Kind::N,아이,шаба
223,Junge::N,소녁,цёраня
224,Mädchen::N,소녀,стирня́
225,Familie::N,가족,тнал
226,Familie::N,가족,семья
227,Großvater::N,할아버지,атя
228,Großvater::N,할아버지,щя́тя
229,Großmutter::N,할머니,баба
230,Eltern::N,어버오,тя́дят-а́лят
231,Vater::N,아버지,аля
232,Mutter::N,어머니,ава
233,Mutter::N,어머니,тядя
234,Sohn::N,아들,цёра
