,Concept_ID,ru,vep
0,Auge::N,глаз,sil'm
1,Ohr::N,ухо,korv
2,Nase::N,нос,nena
3,Mund::N,рот,su
4,Zahn::N,зуб,pi
5,Zahn::N,зуб,hambaz
6,Zunge::N,язык,kel'
7,Lippe::N,губа,hul'
8,Wange::N,щека,modpolišk
9,Gesicht::N,лицо,mod
10,Stirn::N,лоб,oc
11,Haar::N,волос,tuk
12,Haar::N,волос,hibuz
13,Haar::N,волосы,tuk
14,Haar::N,волосы,hibuz
15,Schnurrbart::N,ус,habinod
16,Schnurrbart::N,усы,habinod
17,Bart::N,борода,bard
18,Kinn::N,подбородок,löug
19,Kiefer[Anatomie]::N,челюсть,hambazlu
20,Kehle::N,горло,kurk
21,Hals::N,шея,kagl
22,Genick::N,затылок,tagarai
23,Kopf::N,голова,pä
24,Rücken::N,спина,sel'g
25,Bauch::N,живот,vac
26,Bauch::N,живот,koht
27,Nabel::N,пупок,naba
28,Busen::N,женская грудь,niža
29,Brust::N,грудь,rind
30,Schulter::N,плечо,oug
31,Arm::N,рука,käzi
32,Ellenbogen::N,локоть,künambruz
33,Hand::N,кисть,käzi
34,Hand::N,кисть,käzitera
35,Handfläche::N,ладонь,kämen
36,Finger::N,палец,sor'm
37,Fingernagel::N,ноготь,künz'
38,Nagel[Anatomie]::N,ноготь,künz'
39,Zeh::N,палец,barbaz
40,Fuß::N,ступня,jaug
41,Ferse::N,пята,kand
42,Ferse::N,пятка,kand
43,Knie::N,колено,komb
44,Knie::N,колено,pol'v
45,Oberschenkel::N,бедро,riiže
46,Bein::N,нога,jaug
47,Körper::N,тело,hibj
48,Haut::N,кожа,nahk
49,Blut::N,кровь,čak
50,Blut::N,кровь,veri
51,Ader::N,вена,son'
52,Ader::N,сосуд,son'
53,Sehne::N,жила,jände
54,Sehne::N,тетива,jände
55,Sehne::N,сухожилие,jände
56,Knochen::N,кость,lu
57,Gehirn::N,мозг,aivod
58,Herz::N,сердце,südäin
59,Magen::N,желудок,südäikoht
60,Leber::N,печень,maks
61,Atem::N,дух,hengaiduz
62,Atem::N,дыхание,hengaiduz
63,Hunger::N,голод,näl'g
64,Träne::N,слеза,kündal'
65,Geschmack::N,вкус,magu
66,Geruch::N,запах,haju
67,Schlaf::N,сон,uni
68,Traum::N,сновидение,unikuva
69,Himmel::N,небо,taivaz
