,Concept_ID,nl,av
0,Auge::N,oog,
1,Ohr::N,oor,гӏин
2,Nase::N,neus,мегӏер
3,Mund::N,mond,кӏал
4,Zahn::N,tand,гӏус
5,Zunge::N,tong,мацӏ
6,Lippe::N,lip,кӏветӏ
7,Wange::N,wang,гӏоно
8,Gesicht::N,gelaat,гьумер
9,Gesicht::N,gezicht,гьумер
10,Stirn::N,voorhoofd,нодо
11,Haar::N,haar,рас
12,Schnurrbart::N,snor,михъ
13,Bart::N,baard,мегеж
14,Kinn::N,kin,нилъу
15,Kiefer[Anatomie]::N,kaak,чанагъ
16,Kehle::N,keel,щекъер
17,Kehle::N,strot,щекъер
18,Hals::N,hals,габур
19,Genick::N,nek,гъванща
20,Kopf::N,hoofd,бетӏер
21,Rücken::N,rug,мугъ
22,Bauch::N,buik,чехь
23,Nabel::N,navel,цӏину
24,Busen::N,boezem,керен
25,Brust::N,borst,керен
26,Schulter::N,schouder,гъажазубетӏер
27,Arm::N,arm,гъеж
28,Ellenbogen::N,elleboog,гӏункӏрукь
29,Hand::N,hand,квер
30,Handfläche::N,handpalm,огъохъат
31,Handfläche::N,handpalm,жанисахъат
32,Finger::N,vinger,килищ
33,Fingernagel::N,nagel,малъ
34,Nagel[Anatomie]::N,nagel,малъ
35,Zeh::N,teen,килищ
36,Fuß::N,voet,хӏетӏ
37,Fuß::N,voet,хӏетӏе
38,Ferse::N,hak,эгъе
39,Ferse::N,hiel,эгъе
40,Knie::N,knie,наку
41,Oberschenkel::N,dij,мачӏ
42,Bein::N,been,бох
43,Körper::N,lichaam,къаркъала
44,Haut::N,huid,тӏом
45,Blut::N,bloed,би
46,Ader::N,ader,бидурихь
47,Sehne::N,pees,
48,Knochen::N,bot,ракьа
49,Knochen::N,been,ракьа
50,Knochen::N,knook,ракьа
51,Gehirn::N,hersenen,гӏадалнах
52,Herz::N,hart,ракӏ
53,Magen::N,maag,кванирукъ
54,Leber::N,lever,тӏул
55,Atem::N,adem,хӏухь
56,Hunger::N,honger,ракъи
57,Träne::N,traan,магӏу
58,Geschmack::N,smaak,тату
59,Geruch::N,geur,махӏ
60,Schlaf::N,slaap,макьу
61,Traum::N,droom,макьу
62,Himmel::N,hemel,зоб
63,Sonne::N,zon,бакъ
64,Mond::N,maan,моцӏ
65,Stern::N,ster,цӏва
66,Luft::N,lucht,гьава
67,Wind::N,wind,гьури
68,Welle::N,golf,карачел
69,Wasser::N,water,лъим
70,Stein::N,steen,гьецӏо
71,Boden::N,grond,ракь
72,Erde::N,aarde,ракь
73,Erde::N,aarde,дуниял
74,Staub::N,stof,хӏур
75,Rauch::N,rook,кӏкӏуй
76,Funke::N,vonk,
77,Feuer::N,vuur,цӏа
78,Licht::N,licht,канлъи
79,Schatten::N,schaduw,рагӏад
80,Wetter::N,weer,гьава-бакъ
81,Nebel::N,mist,гӏодобнакӏкӏ
82,Nebel::N,nevel,гӏодобнакӏкӏ
83,Wolke::N,wolk,накӏкӏ
84,Regen::N,regen,цӏад
85,Schnee::N,sneeuw,гӏазу
86,Eis::N,ijs,цӏер
87,Frost::N,vorst,замгьари
88,Kälte::N,kou,квач
89,Kälte::N,koude,квач
90,Hitze::N,hitte,багӏари
91,Raureif::N,rijp,мартӏ
92,Regenbogen::N,regenboog,нур
93,Regenbogen::N,regenboog,чамбара
94,Donner::N,donder,гъугъай
95,Donner::N,donder,гъугъади
96,Strömung::N,stroming,чвахи
97,Tropfen::N,druppel,резел
98,Tropfen::N,druppel,тӏинкӏ
99,Tropfen::N,druppel,къатӏра
100,Tropfen::N,druppel,тӏенкӏел
101,Schaum::N,schuim,полоп
102,Schmutz::N,vuil,чороклъи
103,See::N,meer,хӏор
104,Sumpf::N,moeras,хьуцӏ
105,Moor::N,veen,
106,Wiese::N,wei,мегъ
107,Wiese::N,wei,гӏурдаллъи
108,Wiese::N,weide,мегъ
109,Wiese::N,weide,гӏурдаллъи
110,Wald::N,bos,рохь
111,Hügel::N,heuvel,гохӏ
112,Anhöhe::N,hoogte,сийитма
113,Berg::N,berg,мегӏер
114,Gipfel::N,top,тӏогь
115,Höhle::N,hol,нохъо
116,Abhang::N,helling,лабаллъи
117,Quelle::N,bron,ицц
118,Bach::N,beek,лъар
119,Fluss::N,stroom,гӏор
120,Ufer::N,wal,рагӏал
121,Ufer::N,oever,рагӏал
122,Küste::N,kust,рагӏал
123,Festland::N,vasteland,ракь
124,Festland::N,vasteland,ракъдаллъи
125,Meer::N,zee,ралъад
126,Bucht::N,baai,кӏветӏ
127,Bucht::N,inham,кӏветӏ
128,Insel::N,eiland,чӏинкӏиллъи
129,Blume::N,bloem,тӏегь
130,Gras::N,gras,хер
131,Wurzel::N,wortel,кьибил
132,Baum::N,boom,гъветӏ
133,Stamm::N,stam,рохти
134,Rinde::N,schors,макъар
135,Ast::N,tak,ноцӏ
136,Zweig::N,twijg,гӏаркьел
137,Blatt::N,blad,тӏамах
138,Birke::N,berk,мах
139,Birke::N,berk,махигъветӏ
140,Kiefer[Baum]::N,den,накӏкӏигъветӏ
141,Weide[Baum]::N,wilg,рицӏцӏ
142,Weide[Baum]::N,wilg,рицӏцӏигъветӏ
143,Tanne::N,spar,ёлка
144,Horn::N,hoorn,лълъар
145,Feder::N,veer,хӏули
146,Feder::N,pluim,хӏули
147,Fell::N,vel,тӏом
148,Fell::N,vel,цӏоко
149,Flügel::N,vleugel,кваркьи
150,Klaue::N,klauw,галъ
151,Kralle::N,klauw,квачӏ
152,Kralle::N,klauw,катиквачӏ
153,Schwanz::N,staart,рачӏ
154,Ei::N,ei,хоно
155,Nest::N,nest,бусен
156,Bau::N,hol,каратӏ
157,Tier::N,dier,хӏайван
158,Herde::N,kudde,рехъен
159,Herde::N,kudde,рехъед
160,Kuh::N,koe,гӏака
161,Bulle::N,stier,оц
162,Pferd::N,paard,чу
163,Schaf::N,schaap,чахъу
164,Schwein::N,varken,болъон
165,Hund::N,hond,гьой
166,Katze::N,kat,кету
167,Bär::N,beer,ци
168,Eichhörnchen::N,eekhoorntje,гвангва
169,Elch::N,eland,
170,Fuchs::N,vos,цер
171,Hase::N,haas,гӏанкӏ
172,Maus::N,muis,гӏункӏкӏ
173,Wolf::N,wolf,бацӏ
174,Vogel::N,vogel,хӏинчӏ
175,Schwarm::N,zwerm,тӏел
176,Huhn::N,kip,гӏанкӏу
177,Huhn::N,hoen,гӏанкӏу
178,Hahn::N,haan,хӏелеко
179,Gans::N,gans,хъаз
180,Adler::N,arend,цӏум
181,Ente::N,eend,ордек
182,Eule::N,uil,беццаруз
183,Kranich::N,kraanvogel,къункъра
184,Krähe::N,kraai,гъеду
185,Kuckuck::N,koekoek,гагу
186,Schwan::N,zwaan,хӏанкъва
187,Fisch::N,vis,ччугӏа
188,Barsch::N,baars,окунь
189,Hecht::N,snoek,щука
190,Schlange[Tier]::N,slang,борохь
191,Wurm::N,worm,хӏапара
192,Spinne::N,spin,хъанхъра
193,Ameise::N,mier,цӏунцӏра
194,Laus::N,luis,нацӏ
195,Mücke::N,mug,кӏкӏара
196,Fliege::N,vlieg,тӏутӏ
197,Schmetterling::N,vlinder,кӏалкӏучӏ
198,Beere::N,bes,
199,Apfel::N,appel,гӏеч
200,Pilz::N,paddestoel,гӏурдахӏан
201,Zwiebel::N,ui,кӏочӏопер
202,Saat::N,zaad,хьон
203,Korn::N,graan,мугь
204,Korn::N,korrel,мугь
205,Heu::N,hooi,хер
206,Schale::N,schil,хъал
207,Grube::N,kuil,гвенд
208,Falle::N,val,къор
209,Falle::N,val,къотен
210,Schlinge::N,strop,кӏичӏ
211,Spur::N,spoor,лъалкӏ
212,Asche::N,as,рахъу
213,Dreck::N,drek,гъиз
214,Dreck::N,drek,хӏарщ
215,Eisen::N,ijzer,махх
216,Gold::N,goud,месед
217,Silber::N,zilver,гӏарац
218,Kohle::N,kool,тӏурччи
219,Glas::N,glas,цӏер
220,Lehm::N,klei,хӏатӏ
221,Sand::N,zand,сали
222,Mensch::N,mens,чи
223,Mann::N,man,бихьинчи
224,Frau::N,vrouw,гӏадан
225,Kind::N,kind,лъимер
226,Junge::N,jongen,вас
227,Mädchen::N,meisje,яс
228,Familie::N,gezin,хъизан
229,Familie::N,familie,хъизан
230,Großvater::N,grootvader,кӏудада
231,Großmutter::N,grootmoeder,кӏодо
232,Eltern::N,ouders,эбел-эмен
233,Vater::N,vader,эмен
234,Mutter::N,moeder,эбел
235,Sohn::N,zoon,вас
236,Tochter::N,dochter,яс
237,Bruder::N,broer,вац
238,Bruder::N,broeder,вац
239,Schwester::N,zus,яц
240,Schwester::N,zuster,яц
241,Onkel::N,oom,даци
242,Tante::N,tante,ада
243,Ehemann::N,echtgenoot,рос
244,Ehefrau::N,echtgenote,чӏужу
245,Freude::N,vreugde,ракӏбохи
246,Gelächter::N,gelach,релъи
247,Glück::N,geluk,талихӏ
248,Glück::N,geluk,талихӏ-рохел
249,Kummer::N,verdriet,хӏалкъай
250,Wunsch::N,wens,къасд
251,Wunsch::N,verlangen,къасд
252,Lust::N,zin,гъира
253,Lust::N,lust,гъира
254,Geist::N,geest,чӏанкӏ
255,Geist::N,geest,рухӏ-жан
256,Gedanke::N,gedachte,пикру
257,Gedächtnis::N,geheugen,
258,Verstand::N,verstand,лумалъи
259,Verstand::N,verstand,цӏодорлъи
260,Sinn::N,betekenis,магӏна
261,Grund::N,reden,багьана
262,Wahrheit::N,waarheid,ритӏухълъи
263,Gespräch::N,gesprek,накъит
264,Märchen::N,sprookje,маргьа
265,Erzählung::N,verhaal,къиса
266,Nachricht::N,tijding,хабар
267,Neuigkeit::N,nieuws,хабар-гӏазаб
268,Neuigkeit::N,nieuwtje,хабар-гӏазаб
269,Name::N,naam,цӏар
270,Rätsel::N,raadsel,бицанкӏо
271,Rede::N,rede,речь
272,Rede::N,rede,калам
273,Sprache::N,taal,мацӏ
274,Stimme::N,stem,гьаракь
275,Wort::N,woord,рагӏи
276,Zeichen::N,teken,ишара
277,Zeichen::N,teken,гӏаламат
278,Ruf::N,roep,ахӏи
279,Lärm::N,lawaai,хъуй
280,Lärm::N,lawaai,хъуди
281,Laut::N,klank,гьаракь
282,Laut::N,klank,сас
283,Laut::N,geluid,гьаракь
284,Laut::N,geluid,сас
285,Ton::N,toon,
286,Ton::N,klank,
287,Lied::N,lied,кечӏ
288,Ruhe::N,rust,рахӏат
289,Ruhe::N,stilte,рахӏат
290,Leute::N,lui,гӏадамал
291,Leute::N,mensen,гӏадамал
292,Volk::N,volk,халкъ
293,Arbeit::N,werk,хӏалтӏи
294,Arbeit::N,arbeid,хӏалтӏи
295,Gast::N,gast,гьобол
296,Geschenk::N,cadeau,сайигъат
297,Geschenk::N,geschenk,сайигъат
298,Spiel::N,spel,хӏай
299,Spiel::N,spel,расанди
300,Gesellschaft::N,gezelschap,жамагӏат
301,Hilfe::N,hulp,кумек
302,Freund::N,vriend,гьудул
303,Kamerad::N,maat,гьалмагъ
304,Kamerad::N,metgezel,гьалмагъ
305,Angelegenheit::N,zaak,къваригӏел
306,Angelegenheit::N,aangelegenheid,къваригӏел
307,Anzahl::N,tal,рикӏкӏен
308,Anzahl::N,aantal,рикӏкӏен
309,Art::N,slag,жинс
310,Art::N,soort,жинс
311,Stück::N,stuk,кесек
312,Teil::N,deel,пай
313,Hälfte::N,helft,бащдаб
314,Kreis::N,kring,гор
315,Kreis::N,cirkel,гор
316,Kreuz::N,kruis,хъанч
317,Linie::N,lijn,мухъ
318,Strich::N,haal,хӏучч
319,Strich::N,streep,хӏучч
320,Abstand::N,afstand,манзил
321,Entfernung::N,afstand,манзил
322,Gegend::N,streek,рахъ
323,Platz::N,ruimte,бакӏ
324,Ort::N,oord,бакӏ
325,Ort::N,plaats,бакӏ
326,Seite::N,zij,рахъ
327,Seite::N,kant,рахъ
328,Seite::N,zijde,рахъ
329,Mitte::N,midden,бакьулъбакӏ
330,Gegenstand::N,voorwerp,жо
331,Sache::N,zaak,жо
332,Rand::N,rand,мицӏир
333,Rand::N,boord,мицӏир
334,Kante::N,kant,рагӏал
335,Kante::N,kant,рагӏа-ракьан
336,Ecke::N,hoek,цили
337,Spitze::N,punt,тӏогь
338,Spitze::N,spits,тӏогь
339,Ende::N,einde,кӏал
340,Ende::N,uiteinde,кӏал
341,Loch::N,gat,каратӏ
342,Winkel::N,hoek,
343,Muster::N,dessin,накъиш
344,Muster::N,patroon,накъиш
345,Größe::N,grootte,кӏодо́лъи
346,Länge::N,lengte,халалъи
347,Höhe::N,hoogte,борхалъи
348,Gewicht::N,gewicht,бакӏлъи
349,Menge::N,hoeveelheid,
350,Haufen::N,hoop,гъуни
351,Reihe::N,rij,ирга́
352,Reihe::N,reeks,ирга́
353,Boot::N,boot,раса
354,Ruder::N,roeiriem,раххан
355,Schlitten::N,slee,чанагъ
356,Schlitten::N,slede,чанагъ
357,Ski::N,ski,лыжаби
358,Lagerfeuer::N,kampvuur,цӏа
359,Last::N,last,бакӏлъи
360,Last::N,vracht,бакӏлъи
361,Gang::N,wandeling,хьвади
362,Gang::N,wandeling,хьвада-чӏвади
363,Schritt::N,stap,гали
364,Schritt::N,schrede,гали
365,Norden::N,noorden,шимал
366,Süden::N,zuiden,юг
367,Süden::N,zuiden,къибла
368,Westen::N,westen,гъарб
369,Westen::N,westen,магъриб
370,Osten::N,oosten,шаркъ
371,Osten::N,oosten,машрикъ
372,Holz::N,hout,цӏул
373,Brett::N,plank,хъарщи
374,Platte::N,plaat,къоно
375,Stütze::N,stut,
376,Stütze::N,steun,
377,Stange::N,stang,гӏер
378,Stock::N,stok,тӏил
379,Stab::N,staf,гӏер
380,Rohr::N,pijp,турба
381,Haus::N,huis,ригь
382,Haus::N,huis,рукъзал
383,Heim::N,tehuis,рукъ
384,Ofen::N,kachel,печь
385,Fußboden::N,vloer,чӏабар
386,Tisch::N,tafel,стол
387,Stuhl::N,stoel,бакӏу
388,Wiege::N,wieg,кини
389,Bett::N,bed,кровать
390,Regal::N,rek,хъарщи
391,Kiste::N,kist,ящик
392,Kiste::N,kist,тӏалагъуд
393,Fenster::N,raam,гордо
394,Fenster::N,venster,гордо
395,Tür::N,deur,нуцӏа
396,Tor::N,poort,каву
397,Zaun::N,omheining,раци
398,Dach::N,dak,тӏох
399,Leiter::N,ladder,мали
400,Besen::N,bezem,жул
401,Spaten::N,schop,бел
402,Schaufel::N,schep,раххан
403,Gabel::N,vork,гӏучӏ
404,Löffel::N,lepel,гъуд
405,Messer::N,mes,нус
406,Nagel::N,spijker,магӏ
407,Netz::N,net,гьин
408,Haken::N,haak,гъанцӏа
409,Griff::N,handvat,гӏоркь
410,Schloss::N,slot,кӏулал
411,Bild::N,beeld,сурат
412,Figur::N,figuur,
413,Puppe::N,pop,нани
414,Beutel::N,zak,таргьа
415,Beutel::N,buidel,таргьа
416,Bündel::N,pak,къай
417,Bündel::N,bundel,къай
418,Tasche::N,tas,сумка
419,Tasche::N,tas,къвачӏа
420,Eimer::N,emmer,ведро
421,Deckel::N,deksel,тӏалъел
422,Deckel::N,deksel,дадитӏалъел
423,Geschirr::N,vaatwerk,цӏарагӏ
424,Sack::N,zak,хъап
425,Sack::N,zak,къандалъо
426,Tasse::N,kop,чашка
427,Topf::N,pan,хьаг
428,Kessel::N,ketel,хьаг
429,Kessel::N,ketel,гереги
430,Essen::N,eten,тӏагӏам
431,Nahrung::N,voedsel,квен
432,Speise::N,spijs,квен
433,Fleisch::N,vlees,гьан
434,Getreide::N,graan,бугӏа-ролъ
435,Getreide::N,graan,могьолабл_культураби
436,Brei::N,pap,карщ
437,Brei::N,brij,карщ
438,Brot::N,brood,чед
439,Scheibe::N,plak,мочӏу
440,Scheibe::N,snede,мочӏу
441,Fett::N,vet,беэнлъи
442,Butter::N,boter,нах
443,Öl::N,olie,нах
444,Salz::N,zout,цӏам
445,Suppe::N,soep,чурпа
446,Honig::N,honing,гьоцӏо
447,Milch::N,melk,рахь
448,Tee::N,thee,чай
449,Leder::N,leer,тӏом
450,Leder::N,leder,тӏом
451,Wolle::N,wol,квас
452,Stoff::N,stof,ххам
