,Concept_ID,sv,kl
0,Auge::N,öga,isi
1,Ohr::N,öra,siut
2,Nase::N,näsa,
3,Mund::N,mun,paaq
4,Mund::N,mun,qaneq
5,Zahn::N,tand,kigut
6,Zunge::N,tunga,oqaq
7,Lippe::N,läpp,qarloq
8,Wange::N,kind,ersaq
9,Gesicht::N,syn,kiinaq
10,Gesicht::N,ansikte,kiinaq
11,Stirn::N,panna,qaaq
12,Haar::N,hår,meqqoq
13,Schnurrbart::N,mustasch,
14,Bart::N,skägg,umik
15,Kinn::N,haka,talloq
16,Kiefer[Anatomie]::N,käke,alleroq
17,Kehle::N,strupe,malaq
18,Hals::N,hals,qungaseq
19,Genick::N,nacke,pukusuk
20,Kopf::N,huvud,niaqoq
21,Rücken::N,rygg,qimerlut
22,Bauch::N,buk,naaq
23,Bauch::N,mage,naaq
24,Nabel::N,navel,qalaseq
25,Busen::N,barm,iviangeq
26,Brust::N,bröst,iviangeq
27,Schulter::N,skuldra,ersik
28,Schulter::N,skuldra,assaqqoq
29,Arm::N,arm,taleq
30,Ellenbogen::N,armbåge,ikusik
31,Hand::N,hand,assak
32,Handfläche::N,handflata,itumak
33,Finger::N,finger,inuak
34,Fingernagel::N,fingernagel,kikiak
35,Nagel[Anatomie]::N,nagel,kukik
36,Zeh::N,tå,isigak
37,Fuß::N,fot,
38,Ferse::N,häl,kimmik
39,Knie::N,knä,seeqqoq
40,Oberschenkel::N,lår,uppat
41,Oberschenkel::N,lår,quttoraq
42,Bein::N,ben,isigak
43,Körper::N,kropp,timi
44,Haut::N,hud,mattak
45,Haut::N,skinn,mattak
46,Blut::N,blod,aak
47,Ader::N,åder,taqaq
48,Sehne::N,sena,ujalu
49,Sehne::N,sena,ujaloq
50,Knochen::N,ben,saanikut
51,Gehirn::N,hjärna,qarasaq
52,Herz::N,hjärta,uummat
53,Magen::N,mage,aqajaroq
54,Leber::N,lever,tinguk
55,Atem::N,anda,anerneq
56,Atem::N,andedräkt,anerneq
57,Hunger::N,svält,kaanneq
58,Hunger::N,hunger,kaanneq
59,Träne::N,tår,qia
60,Träne::N,tår,qiak
61,Geschmack::N,smak,qilanaartuut
62,Geruch::N,lukt,tipi
63,Geruch::N,lukt,tipik
64,Schlaf::N,sömn,
65,Traum::N,dröm,sinnattoq
66,Traum::N,dröm,sinnattugaq
67,Himmel::N,himmel,qilak
68,Sonne::N,sol,seqineq
69,Mond::N,måne,qaammat
70,Stern::N,stjärna,ulloriaq
71,Luft::N,luft,silaannaq
72,Wind::N,vind,anori
73,Wind::N,vind,anorsarik
74,Welle::N,våg,aalappaa
75,Welle::N,bölja,aalappaa
76,Wasser::N,vatten,imeq
77,Stein::N,sten,ujarak
78,Boden::N,mark,nateq
79,Erde::N,jord,issoq
80,Staub::N,damm,pujualanerit
81,Staub::N,damm,pujoralanerit
82,Rauch::N,rök,iseq
83,Rauch::N,rök,pujoq
84,Funke::N,gnista,illoorneq
85,Feuer::N,eld,inneq
86,Licht::N,ljus,qaamaneq
87,Schatten::N,skugga,tarraq
88,Wetter::N,väder,sila
89,Nebel::N,dimma,pujoq
90,Nebel::N,töcken,pujoq
91,Wolke::N,sky,nuia
92,Wolke::N,moln,nuia
93,Regen::N,regn,sialuk
94,Schnee::N,snö,aput
95,Eis::N,is,siku
96,Frost::N,frost,issi
97,Frost::N,frost,issik
98,Kälte::N,köld,issi
99,Hitze::N,hetta,kianneq
100,Hitze::N,hetta,kiassuseq
101,Raureif::N,rimfrost,kaneq
102,Regenbogen::N,regnbåge,neriusaaq
103,Donner::N,åska,kalleq
104,Donner::N,dunder,kalleq
105,Strömung::N,strömning,
106,Tropfen::N,dropper,kuseriarneq
107,Schaum::N,skum,qapuk
108,Schmutz::N,lort,minguk
109,Schmutz::N,smuts,minguk
110,See::N,sjö,taseq
111,Sumpf::N,träsk,maqulluk
112,Moor::N,myr,
113,Moor::N,mosse,
114,Wiese::N,äng,masarsuk
115,Wald::N,skog,
116,Hügel::N,höjd,qattuneq
117,Hügel::N,höjd,majuariaq
118,Hügel::N,höjd,majorajaaq
119,Hügel::N,höjd,qaqqannguaq
120,Hügel::N,kulle,qattuneq
121,Hügel::N,kulle,majuariaq
122,Hügel::N,kulle,majorajaaq
123,Hügel::N,kulle,qaqqannguaq
124,Anhöhe::N,höjd,
125,Anhöhe::N,backe,
126,Berg::N,berg,qaqqaq
127,Berg::N,fjäll,qaqqaq
128,Gipfel::N,topp,
129,Höhle::N,håla,qaarusuk
130,Höhle::N,grotta,qaarusuk
131,Abhang::N,slänt,ippik
132,Abhang::N,slänt,sivinganeq
133,Abhang::N,slänt,sivingajaaq
134,Abhang::N,slänt,kussangajaaq
135,Abhang::N,sluttning,ippik
136,Abhang::N,sluttning,sivinganeq
137,Abhang::N,sluttning,sivingajaaq
138,Abhang::N,sluttning,kussangajaaq
139,Quelle::N,källa,
140,Bach::N,bäck,kuunnguaq
141,Fluss::N,älv,kuuk
142,Fluss::N,flod,kuuk
143,Ufer::N,strand,sissap sinaa
144,Küste::N,kust,sineriak
145,Festland::N,fastland,
146,Meer::N,hav,imaq
147,Bucht::N,vik,ikeq
148,Bucht::N,vik,kangerluk
149,Bucht::N,vik,kangerliumaneq
150,Bucht::N,bukt,ikeq
151,Bucht::N,bukt,kangerluk
152,Bucht::N,bukt,kangerliumaneq
153,Insel::N,ö,qeqertaq
154,Blume::N,blomma,naasoq
155,Blume::N,blomster,naasoq
156,Gras::N,gräs,ivigaq
157,Wurzel::N,rot,niulutaq
