,Concept_ID,fi,cv
0,Auge::N,silmä,куҫ
1,Ohr::N,korva,хӑлха
2,Nase::N,nenä,сӑмса
3,Mund::N,suu,ҫӑвар
4,Zahn::N,hammas,шӑл
5,Zunge::N,kieli,чӗлхе
6,Lippe::N,huuli,тута
7,Wange::N,poski,пит ҫӑмарти
8,Gesicht::N,naama,пит
9,Gesicht::N,naama,пит-куҫ
10,Gesicht::N,kasvot,пит
11,Gesicht::N,kasvot,пит-куҫ
12,Stirn::N,otsa,ҫамка
13,Haar::N,hius,ҫӳҫ
14,Haar::N,tukka,ҫӳҫ
15,Schnurrbart::N,viikset,усси
16,Bart::N,parta,сухал
17,Kinn::N,leuka,янах
18,Kiefer[Anatomie]::N,leukaluu,янах
19,Kehle::N,kurkku,пыр
20,Kehle::N,kurkku,карланкӑ
21,Hals::N,kaula,пыр
22,Genick::N,niska,ӗнсе
23,Kopf::N,pää,пуҫ
24,Rücken::N,selkä,ҫурӑм
25,Bauch::N,maha,
26,Bauch::N,vatsa,
27,Nabel::N,napa,кӑвапа
28,Busen::N,rinta,кӑкӑр
29,Brust::N,rinta,умӗ
30,Schulter::N,olka,хул пуҫҫи
31,Schulter::N,hartia,хул пуҫҫи
32,Schulter::N,olkapää,хул пуҫҫи
33,Arm::N,käsivarsi,алӑ
34,Ellenbogen::N,kyynärpää,чавса
35,Hand::N,käsi,алӑ сыппи
36,Handfläche::N,kämmen,ал лаппи
37,Finger::N,sormi,пӳрне
38,Fingernagel::N,kynsi,чӗрне
39,Nagel[Anatomie]::N,kynsi,чӗрне
40,Zeh::N,varvas,пӳрне
41,Fuß::N,jalka,ура лаппи
42,Ferse::N,kantapää,кӗле
43,Knie::N,polvi,чӗркуҫҫи
44,Oberschenkel::N,reisi,пӗҫӗ
45,Bein::N,jalka,ура
46,Körper::N,keho,ӳт
47,Körper::N,keho,ӳт-пӳ
48,Körper::N,ruumis,ӳт
49,Körper::N,ruumis,ӳт-пӳ
50,Haut::N,iho,тир
51,Blut::N,veri,юн
52,Ader::N,suoni,вена
53,Sehne::N,jänne,шӑнӑр
54,Knochen::N,luu,шӑмӑ
55,Gehirn::N,aivot,миме
56,Herz::N,sydän,чӗре
57,Magen::N,maha,хырӑмлӑх
58,Magen::N,vatsa,хырӑмлӑх
59,Leber::N,maksa,пӗвер
60,Atem::N,henki,сывлав
61,Atem::N,hengitys,сывлав
62,Hunger::N,nälkä,выҫлӑх
63,Träne::N,kyynel,куҫҫуль
64,Geschmack::N,maku,техӗм
65,Geruch::N,haju,шӑршӑ
66,Schlaf::N,uni,ыйхӑ
67,Traum::N,uni,тӗлӗк
68,Himmel::N,taivas,пӗлӗт
69,Sonne::N,aurinko,хӗвел
70,Mond::N,kuu,уйӑх
71,Stern::N,tähti,ҫӑлтӑр
72,Luft::N,ilma,сывлӑш
73,Wind::N,tuuli,ҫил
74,Welle::N,aalto,хум
75,Wasser::N,vesi,шыв
76,Wasser::N,vesi,шыв-шур
77,Stein::N,kivi,чул
78,Boden::N,maa,тӑпра
79,Boden::N,maaperä,тӑпра
80,Erde::N,maa,ҫӗр
81,Staub::N,pöly,тусан
82,Rauch::N,savu,тӗтӗм
83,Funke::N,kipinä,хӗм
84,Feuer::N,tuli,вут
85,Feuer::N,tuli,ҫулӑм
86,Licht::N,valo,ҫутӑ
87,Schatten::N,varjo,сулхӑн
88,Wetter::N,sää,ҫанталӑк
89,Nebel::N,sumu,тӗтре
90,Wolke::N,pilvi,пӗлӗт
91,Regen::N,sade,ҫумӑр
92,Schnee::N,lumi,юр
93,Eis::N,jää,пӑр
94,Frost::N,halla,сивӗ
95,Frost::N,pakkanen,сивӗ
96,Kälte::N,vilu,сивӗ
97,Kälte::N,kylmyys,сивӗ
98,Hitze::N,helle,вӗри
99,Hitze::N,helle,шӑрӑх
100,Hitze::N,kuumuus,вӗри
101,Hitze::N,kuumuus,шӑрӑх
102,Raureif::N,huurre,пас
103,Regenbogen::N,sateenkaari,асамат кӗперӗ
104,Donner::N,jyrinä,аслати
105,Strömung::N,virtaus,юхӑ
106,Tropfen::N,tippa,тумлам
107,Tropfen::N,pisara,тумлам
108,Schaum::N,vaahto,кӑпӑк
109,Schmutz::N,loka,пылчӑк
110,See::N,järvi,кӳлӗ
111,Sumpf::N,suo,шур
112,Sumpf::N,suo,шурлӑх
113,Moor::N,räme,торфлӑ шурлӑх
114,Wiese::N,niitty,улӑх
115,Wiese::N,niitty,ҫаран
116,Wald::N,metsä,вӑрман
117,Hügel::N,mäki,сӑрт
118,Hügel::N,mäki,тӗмеске
119,Hügel::N,kumpu,сӑрт
120,Hügel::N,kumpu,тӗмеске
121,Hügel::N,kukkula,сӑрт
122,Hügel::N,kukkula,тӗмеске
123,Anhöhe::N,mäki,сӑрт
124,Anhöhe::N,kumpare,сӑрт
125,Berg::N,mäki,ту
126,Berg::N,vuori,ту
127,Gipfel::N,laki,тӳпе
128,Gipfel::N,huippu,тӳпе
129,Höhle::N,luola,ҫӗр хӑвӑлӗ
130,Abhang::N,rinne,тӑвайкки
131,Quelle::N,lähde,ҫӑл куҫ
132,Bach::N,puro,пӗчӗк шыв
133,Fluss::N,joki,юхан шыв
134,Ufer::N,ranta,ҫыран
135,Küste::N,rannikko,тинӗс ҫыранӗ
136,Festland::N,manner,тип ҫӗр
137,Meer::N,meri,тинӗс
138,Bucht::N,lahti,тинӗс кукӑрӗ
139,Insel::N,saari,утрав
140,Blume::N,kukka,чечек
141,Gras::N,ruoho,курӑк
142,Wurzel::N,juuri,тымар
143,Baum::N,puu,йывӑҫ
144,Stamm::N,runko,вулӑ
145,Rinde::N,kuori,хуйӑр
146,Rinde::N,parkki,хуйӑр
147,Ast::N,oksa,турат
148,Zweig::N,haara,турат
149,Blatt::N,lehti,ҫулҫӑ
150,Birke::N,koivu,хурӑн
151,Kiefer[Baum]::N,mänty,хыр
152,Kiefer[Baum]::N,petäjä,хыр
153,Weide[Baum]::N,paju,хӑва
154,Tanne::N,kuusi,чӑрӑш
155,Horn::N,sarvi,мӑйрака
156,Feder::N,sulka,тӗк
157,Feder::N,höyhen,тӗк
