,Concept_ID,uk,lbe
0,Auge::N,око,я
1,Ohr::N,вухо,вичӏи
2,Nase::N,ніс,май
3,Mund::N,рот,кьацӏ
4,Zahn::N,зуб,ккарччи
5,Zunge::N,язик,маз
6,Lippe::N,губа,мурччи
7,Wange::N,щока,чӏав
8,Gesicht::N,обличчя,лажин
9,Stirn::N,лоб,ненттабакӏ
10,Haar::N,волосся,чӏара
11,Schnurrbart::N,вуса,ссирссилтту
12,Bart::N,борода,чӏири
13,Kinn::N,підборіддя,лунттубакӏ
14,Kiefer[Anatomie]::N,щелепа,ххинчулул
15,Kehle::N,горло,кьакьари
16,Hals::N,шия,ссурссу
17,Genick::N,потилиця,махъабакӏ
18,Kopf::N,голова,бакӏ
19,Rücken::N,спина,ттиликӏ
20,Bauch::N,живіт,лякьа
21,Nabel::N,пупок,цӏумуккутӏ
22,Busen::N,груди,ккукку
23,Brust::N,груди,хъазам
24,Schulter::N,плече,хъачӏ
25,Arm::N,рука,ка
26,Ellenbogen::N,лікоть,ссюрхъ
27,Hand::N,рука,бартка
28,Handfläche::N,долоня,хъат
29,Handfläche::N,долоня,битӏянхъ
30,Finger::N,палець,кӏисса
31,Fingernagel::N,ніготь,михь
32,Nagel[Anatomie]::N,ніготь,михь
33,Zeh::N,палець на нозі,кӏисса
34,Fuß::N,нога,чӏанччан
35,Ferse::N,п’ятка,никъа
36,Knie::N,коліно,ник
37,Oberschenkel::N,стегно,жира
38,Bein::N,нога,ччан
39,Körper::N,тіло,чурх
40,Haut::N,шкіра,бурчу
41,Blut::N,кров,оь
42,Ader::N,вена,тунну
43,Sehne::N,сухожилля,хьхьа
44,Knochen::N,кістка,ттаркӏ
45,Gehirn::N,мозок,ня
46,Herz::N,серце,дакӏ
47,Herz::N,серце,къюкӏ
48,Magen::N,шлунок,лякьа
49,Leber::N,печінка,
50,Atem::N,дихання,ссихӏ ласаву
51,Atem::N,дихання,ссихӏ бигьаву
52,Hunger::N,голод,ккаши
53,Träne::N,сльоза,макь
54,Geschmack::N,смак,тӏин
55,Geschmack::N,смак,тӏааьн
56,Geruch::N,запах,кьанкь
57,Schlaf::N,сон,шану
58,Schlaf::N,сплячка,шану
59,Traum::N,сон,макӏру
60,Himmel::N,небо,ссав
61,Sonne::N,сонце,баргъ
62,Mond::N,місяць,барз
63,Stern::N,зірка,цӏуку
64,Luft::N,повітря,гьава
65,Wind::N,вітер,марч
66,Welle::N,хвиля,щатӏи
67,Wasser::N,вода,щин
68,Stein::N,камінь,чару
69,Boden::N,ґрунт,аьрщи
70,Erde::N,земля,аьрщи
71,Staub::N,пил,ххит
72,Rauch::N,дим,пуркӏу
73,Funke::N,іскра,пиягь
74,Feuer::N,вогонь,цӏу
75,Licht::N,світло,чани
76,Schatten::N,тінь,ххют
77,Wetter::N,погода,гьава
78,Nebel::N,туман,шархь ттурлу
79,Wolke::N,хмара,ттурлу
80,Regen::N,дощ,гъарал
81,Schnee::N,сніг,марххала
82,Eis::N,лід,микӏ
83,Frost::N,мороз,дяркъу
84,Frost::N,мороз,замгьар
85,Kälte::N,холод,дяркъу
86,Hitze::N,жар,кӏиришиву
87,Raureif::N,іній,сил
88,Raureif::N,іній,бурса
89,Regenbogen::N,райдуга,ссурул ккуртта
90,Donner::N,грім,къув
91,Strömung::N,струмина,экьинанаву
92,Tropfen::N,крапля,кӏунтӏ
93,Schaum::N,піна,хьама
94,Schmutz::N,бруд,кьяркьи
95,See::N,озеро,бяр
96,Sumpf::N,драговина,кунцӏа
97,Moor::N,болото,
98,Wiese::N,луг,кьан
99,Wiese::N,лука,кьан
100,Wald::N,ліс,вацӏа
101,Hügel::N,горб,бакӏу
102,Anhöhe::N,височина,
103,Berg::N,гора,зунтту
104,Gipfel::N,вершина,мицӏ
105,Höhle::N,печера,нух
106,Abhang::N,схил,сун
107,Quelle::N,джерело,дайдихьу
108,Quelle::N,джерело,бакӏ
109,Bach::N,струмок,чӏрир нех
110,Fluss::N,річка,нех
111,Ufer::N,берег,зума
112,Küste::N,узбережжя,зумаинхалу
113,Küste::N,узбережжя,зуманицӏалу
114,Festland::N,суша,кьири
115,Meer::N,море,хьхьири
116,Bucht::N,бухта,
117,Bucht::N,затока,
118,Insel::N,острів,жазира
119,Blume::N,квітка,тӏутӏи
120,Gras::N,трава,уртту
121,Wurzel::N,корінь,мархха
122,Baum::N,дерево,мурхь
123,Stamm::N,стовбур,ттарцӏ
124,Rinde::N,кора,ккамара
125,Ast::N,гілка,матӏи
126,Zweig::N,галузь,къяртта
127,Blatt::N,лист,чӏапӏи
128,Birke::N,береза,кӏялахӏи
129,Birke::N,береза,кӏялахӏилул мурхь
130,Kiefer[Baum]::N,сосна,ттар
131,Kiefer[Baum]::N,сосна,ттарлил мурхь
132,Weide[Baum]::N,верба,щавщи
133,Tanne::N,ялиця,ттарлил мурхь
134,Horn::N,ріг,хъи
135,Feder::N,перо,лелуххул тӏиму
136,Fell::N,хутро,бурчу
137,Flügel::N,крило,хъа
138,Flügel::N,крило,ххурупӏайрал тӏиму
139,Klaue::N,кіготь,михь
140,Kralle::N,лапа,ххяппа
141,Schwanz::N,хвіст,магъ
142,Ei::N,яйце,ккунук
143,Nest::N,гніздо,кюру
144,Bau::N,лігво,цукъуккутӏ
145,Tier::N,тварина,хӏайван
146,Herde::N,стадо,газу
147,Kuh::N,корова,оьл
148,Bulle::N,бик,ниц
149,Bulle::N,бугай,ниц
150,Pferd::N,кінь,чу
151,Schaf::N,вівця,тта
152,Schwein::N,свиня,дунгъуз
153,Hund::N,собака,ккаччи
154,Katze::N,кішка,ччиту
155,Bär::N,ведмідь,цуша
156,Eichhörnchen::N,білка,бюрхттукку
157,Elch::N,лось,ниц-бюрин
158,Fuchs::N,лисиця,цулчӏа
159,Fuchs::N,лисиця,куча цулчӏа
160,Hase::N,заєць,бюрх
161,Maus::N,миша,кӏулу
162,Wolf::N,вовк,барцӏ
163,Vogel::N,птах,лелуххи
164,Schwarm::N,зграя,гьухъала
165,Huhn::N,курка,аьнакӏи
166,Hahn::N,півень,ажари
167,Gans::N,гуска,къаз
168,Adler::N,орел,барзу
169,Ente::N,качка,урдак
170,Eule::N,сова,ису
171,Eule::N,сова,ччиккумяв
172,Kranich::N,журавель,кьурукь
173,Krähe::N,ворона,хъатӏу
174,Kuckuck::N,зозуля,ччикку
175,Schwan::N,лебідь,урттил къаз
176,Fisch::N,риба,чавахъ
177,Barsch::N,окунь,
178,Hecht::N,щука,
179,Schlange[Tier]::N,змія,шатта
180,Wurm::N,черв’як,кьюнукьай шатта
181,Spinne::N,павук,ххялцу
182,Ameise::N,мурашка,митӏикьукьу
183,Laus::N,воша,
184,Mücke::N,комар,мичӏак
185,Fliege::N,муха,зимиз
186,Schmetterling::N,метелик,чӏимучӏали
187,Beere::N,ягода,хӏаллил ахъулсса
188,Apfel::N,яблуко,гьивч
189,Pilz::N,гриб,ттуккул иис
190,Zwiebel::N,цибуля,лаччул чсмусул бакӏ
191,Saat::N,сім’я,гьанна
192,Korn::N,зерно,къама
193,Heu::N,сіно,ххулув
194,Schale::N,шкірка,ккиртту
195,Grube::N,яма,кӏаланг
196,Falle::N,пастка,къатӏа
197,Schlinge::N,петля,хӏатӏ
198,Spur::N,слід,ша
199,Asche::N,зола,лах
200,Asche::N,попіл,лах
201,Dreck::N,бруд,кьяркьи
202,Dreck::N,бруд,венп
203,Eisen::N,залізо,мах
204,Gold::N,золото,муси
205,Silber::N,срібло,арцу
206,Kohle::N,вугілля,кӏалаш
207,Kohle::N,вугілля,хъуручӏ
208,Glas::N,скло,пюрун
209,Lehm::N,глина,сина аьрщи
210,Sand::N,пісок,къун
211,Mensch::N,людина,инсан
212,Mann::N,чоловік,чув
213,Mann::N,чоловік,адимина
214,Frau::N,жінка,щарсса
215,Frau::N,жінка,хъамитайпа
216,Kind::N,дитина,чӏиви оьрчӏ
217,Junge::N,хлопець,оьрчӏ
218,Junge::N,хлопець,бурхьин оьрчӏ
219,Mädchen::N,дівчина,душ
220,Familie::N,сім’я,кулпат
221,Familie::N,родина,кулпат
222,Großvater::N,дідусь,ттатта
223,Großvater::N,дідусь,ниттил ппу
224,Großmutter::N,бабуся,буттал нину
225,Eltern::N,батьки,нину-ппу
226,Vater::N,батько,ппу
227,Mutter::N,мати,нину
228,Sohn::N,син,арс
229,Tochter::N,дочка,душ
230,Bruder::N,брат,уссу
231,Schwester::N,сестра,ссу
232,Onkel::N,дядько,буттауссу
233,Tante::N,тітка,буттал ссу
234,Ehemann::N,чоловік,лас
235,Ehefrau::N,жінка,щар
236,Ehefrau::N,жінка,щарсса
237,Ehefrau::N,дружина,щар
238,Ehefrau::N,дружина,щарсса
239,Freude::N,радощі,шадшиву
240,Freude::N,радощі,ххаришиву
241,Gelächter::N,сміх,хъяхъаву
242,Glück::N,щастя,талихӏ
243,Kummer::N,горе,дард
244,Wunsch::N,бажання,мурад
245,Lust::N,бажання,гьавас
246,Lust::N,бажання,ччаву
247,Geist::N,дух,рухӏ
248,Gedanke::N,думка,пикри
249,Gedächtnis::N,пам’ять,дакӏний личӏаву
250,Verstand::N,розум,аькьлу
251,Sinn::N,зміст,мяъна
252,Sinn::N,значення,мяъна
253,Grund::N,причина,багьана
254,Wahrheit::N,правда,тӏайламур
255,Wahrheit::N,правда,хӏакьмур
256,Gespräch::N,розмова,ихтилат
257,Märchen::N,байка,магьа
258,Erzählung::N,повість,хавар
259,Erzählung::N,оповідання,хавар
260,Nachricht::N,повідомлення,хавар
261,Neuigkeit::N,новина,хавар
262,Name::N,ім’я,цӏа
263,Rätsel::N,загадка,ссигьа
264,Rede::N,промова,гъалгъа
265,Sprache::N,мова,маз
266,Stimme::N,голос,чӏу
267,Stimme::N,голос,чӏукӏа
268,Wort::N,слово,махъ
269,Zeichen::N,знак,лишан
270,Ruf::N,оклик,
271,Lärm::N,шум,чӏу
272,Laut::N,звук,чӏу
273,Ton::N,тон,чӏу
274,Lied::N,пісня,балай
275,Ruhe::N,спокій,дигьалагру
276,Leute::N,люди,инсантал
277,Volk::N,народ,ил
278,Volk::N,народ,халкь
279,Arbeit::N,робота,заву
280,Gast::N,гість,хъамаличу
281,Geschenk::N,подарунок,бухчакарши
282,Geschenk::N,подарунок,лажинккакку
283,Spiel::N,гра,тӏуркӏу
284,Gesellschaft::N,товариство,жямат
285,Gesellschaft::N,товариство,ккуран
286,Hilfe::N,допомога,кумаг
287,Freund::N,друг,дус
288,Freund::N,приятель,дус
289,Kamerad::N,товариш,хӏаласу
290,Angelegenheit::N,справа,иш
291,Anzahl::N,число,аьдад
292,Art::N,рід,жинс
293,Stück::N,кусок,касак
294,Teil::N,частина,бутӏа
295,Hälfte::N,половина,дачӏи
296,Kreis::N,круг,кюрщан
297,Kreis::N,коло,кюрщан
298,Kreuz::N,хрест,ххач
299,Linie::N,лінія,щва
300,Strich::N,штрих,щва
301,Abstand::N,проміжок,манзил
302,Entfernung::N,відстань,манзил
303,Gegend::N,місцевість,кӏану
304,Platz::N,площа,
305,Ort::N,місце,кӏану
306,Seite::N,сторона,чул
307,Seite::N,сторона,чулухалу
308,Mitte::N,середина,дя
309,Gegenstand::N,предмет,зат
310,Sache::N,річ,зат
311,Rand::N,край,зума
312,Kante::N,ребро,
313,Ecke::N,ріг,мурцӏу
314,Spitze::N,кінчик,мицӏ
315,Ende::N,кінець,зума
316,Loch::N,діра,ккутӏ
317,Winkel::N,куток,мурцӏу
318,Muster::N,узор,накьич
319,Größe::N,розмір,
320,Länge::N,довжина,лахъишиву
321,Höhe::N,висота,лахъшиву
322,Gewicht::N,вага,дуццин
323,Gewicht::N,вага,кӏушиву
324,Menge::N,кількість,
325,Haufen::N,купа,бакӏу
326,Reihe::N,ряд,кьюкьа
327,Boot::N,човен,луткка
328,Ruder::N,весло,весло
329,Ruder::N,весло,чӏатӏа
330,Schlitten::N,сани,чана
331,Schlitten::N,сани,санкка
332,Ski::N,лижа,лижарду
333,Lagerfeuer::N,вогнище,къавтӏн
334,Last::N,тягар,гьиву
335,Last::N,вантаж,гьиву
336,Gang::N,хід,нанаву
337,Schritt::N,крок,ша
338,Norden::N,північ,ухссав
339,Norden::N,північ,ухссавнил чулухалу
340,Süden::N,південь,кьилва
341,Westen::N,захід,баргълагавал
342,Westen::N,захід,баргълагавал чул
343,Osten::N,схід,баргъбуккай чулухалу
344,Holz::N,дрова,тӏама
345,Brett::N,дошка,тахта
346,Platte::N,плита,гъуни
347,Stütze::N,підпірка,гьалакӏу
348,Stange::N,жердина,къазихъ
349,Stock::N,палиця,ттархь
350,Stab::N,палиця,ччантӏакъу
351,Rohr::N,труба,бургъу
352,Haus::N,дім,къатта
353,Haus::N,хата,къатта
354,Heim::N,житло,къатта
355,Ofen::N,піч,пач
356,Fußboden::N,підлога,чӏанкъатта
357,Tisch::N,стіл,усттул
358,Stuhl::N,стілець,кӏану
359,Wiege::N,колиска,оьрчӏал кӏану
360,Bett::N,ліжко,тах
361,Bett::N,постіль,тах
362,Regal::N,полиця,чӏаму
363,Kiste::N,ящик,яшикӏ
364,Kiste::N,ящик,къурши
365,Fenster::N,вікно,чӏавахьулу
366,Tür::N,двері,нуз
367,Tür::N,двері,нузкьун
368,Tor::N,ворота,къапу
369,Tor::N,ворота,дарваза
370,Zaun::N,паркан,дайгьузанну
371,Zaun::N,огорожа,дайгьузанну
372,Dach::N,дах,магъи
373,Dach::N,дах,цӏиялу
374,Leiter::N,драбина,чуртту
375,Besen::N,мітла,чӏатлу
376,Spaten::N,заступ,бил
377,Schaufel::N,совок,чӏатӏа
378,Schaufel::N,лопата,чӏатӏа
379,Gabel::N,виделка,гьиссилу
380,Löffel::N,ложка,къуса
381,Messer::N,ніж,чӏила
382,Nagel::N,цвях,мяр
383,Netz::N,сіть,къери
384,Haken::N,крюк,къича
385,Griff::N,ручка,куяму
386,Griff::N,держак,куяму
387,Schloss::N,замок,кьункьула
388,Bild::N,картина,сурат
389,Figur::N,фігура,
390,Puppe::N,лялька,ссихьу
391,Beutel::N,мішечок,чантай
392,Beutel::N,торбинка,чантай
393,Bündel::N,в’язка,гьи
394,Bündel::N,в’язка,къар
395,Tasche::N,сумка,
396,Eimer::N,відро,бадра
397,Deckel::N,кришка,къапаза
398,Geschirr::N,посуд,пюрунчӏул
399,Geschirr::N,посуд,тӏахӏникӏичӏу
400,Sack::N,мішок,къап
401,Sack::N,мішок,дарваг
402,Tasse::N,чашка,пижан
403,Tasse::N,чашка,пинжан
404,Tasse::N,чашка,инкираччатӏи
405,Tasse::N,чашка,цинцилттал бушкъап
406,Topf::N,горщик,кӏункӏур
407,Kessel::N,котел,чаг
408,Kessel::N,котел,кӏункӏур
409,Essen::N,їжа,дукия
410,Essen::N,їжа,дукин
411,Nahrung::N,харч,дукра
412,Speise::N,страва,дукра
413,Fleisch::N,м’ясо,дикӏ
414,Getreide::N,хліб,къама
415,Getreide::N,збіжжя,къама
416,Brei::N,каша,ккурч
417,Brot::N,хліб,ччатӏ
418,Scheibe::N,скибочка,парча
419,Fett::N,жир,аьгъушиву
420,Butter::N,масло,нагь
421,Butter::N,масло,лагаву
422,Öl::N,олія,
423,Salz::N,сіль,цӏву
424,Suppe::N,суп,накь
425,Honig::N,мед,ницӏ
426,Milch::N,молоко,накӏ
427,Tee::N,чай,чяй
428,Leder::N,шкіра,бурчу
429,Wolle::N,шерсть,ппал
430,Stoff::N,тканина,янна
431,Nadel::N,голка,ххалаххи
432,Faden::N,нитка,ххал
433,Knopf::N,ґудзик,банд
434,Knoten::N,вузол,къурхъ
435,Farbe::N,фарба,сир
436,Kleidung::N,одяг,янна
437,Kleidung::N,одяг,лаххия
438,Kleidung::N,убрання,янна
439,Kleidung::N,убрання,лаххия
440,Hemd::N,сорочка,гьухъа
441,Kragen::N,комір,дарвач
442,Ärmel::N,рукав,кахха
443,Hose::N,брюки,хӏажак
444,Gürtel::N,пояс,мухӏлу
445,Mütze::N,шапка,кьяпа
446,Schuh::N,ботинок,
447,Stiefel::N,чобіт,чакма
448,Ring::N,кільце,кӏисса
449,Band::N,стрічка,линт
450,Kamm::N,гребінець,ттарал
451,Spiegel::N,дзеркало,дагьани
452,Riemen::N,ремінь,эн
453,Schnur::N,вірьовка,хьхьа
454,Leine::N,шворка,
455,Decke::N,ковдра,виргъан
456,Kissen::N,подушка,кӏаралу
457,Tuch::N,хустка,карщи
458,Handtuch::N,рушник,калихьу
459,Handtuch::N,рушник,лажинлихьу
460,Kraft::N,сила,эллаж
461,Stärke::N,сила,гуж
462,Gesundheit::N,здоров’я,цӏуллу-сагъшиву
463,Krankheit::N,хвороба,къашайшиву
464,Schmerz::N,біль,къюву
465,Wunde::N,рана,щаву
466,Fieber::N,гарячка,кӏиришиву
467,Arznei::N,ліки,дару
468,Brücke::N,міст,ламу
469,Brunnen::N,колодязь,къуй
470,Weide::N,пасовище,бизантту
471,Pfad::N,стежка,жегъир ххуллу
472,Weg::N,шлях,ххуллу
473,Weg::N,дорога,ххуллу
474,Straße::N,вулиця,ххуллу
475,Dorf::N,село,щар
476,Dorf::N,село,шяравалу
477,Stadt::N,місто,шагьру
478,Brief::N,лист,чагъар
479,Buch::N,книга,лу
480,Buch::N,книжка,лу
481,Buchstabe::N,буква,хӏарп
482,Buchstabe::N,літера,хӏарп
483,Zeitung::N,газета,кказит
484,Leben::N,життя,оьрму
485,Tod::N,смерть,ажал
486,Tod::N,смерть,бивкӏу
487,Tod::N,смерть,ивчӏаву
488,Grab::N,могила,гьав
489,Kirche::N,церква,килиса
490,Sünde::N,гріх,бунагъ
491,Gott::N,бог,зал
492,Arbeiter::N,робітник,зузала
493,Chef::N,хазяїн,ялувма
494,Meister::N,умілець,усттар
495,Arzt::N,лікар,хӏакин
496,Lehrer::N,вчитель,учитель
497,Geld::N,гроші,арцу
498,Geschäft::N,заняття,даву
499,Laden::N,магазин,ттучан
500,Laden::N,крамниця,ттучан
501,Preis::N,ціна,багъа
502,Ware::N,товар,хъус
503,Nutzen::N,вигода,хайр
504,Nutzen::N,вигода,мюнпат
505,Nutzen::N,користь,хайр
506,Nutzen::N,користь,мюнпат
507,Reichtum::N,багатство,давлат
508,Reichtum::N,багатство,аваданшиву
509,Welt::N,світ,дуниял
510,Land::N,країна,билаят
511,Staat::N,держава,паччахӏлугъ
512,König::N,король,
513,Macht::N,влада,власть
514,Grenze::N,кордон,дазу
515,Krieg::N,війна,дяъви
516,Feind::N,ворог,душман
517,Gewalt::N,насильство,къия
518,Kampf::N,бій,лачӏуи уккаву
519,Kampf::N,боротьба,лачӏуи уккаву
520,Bogen[Waffe]::N,лук,ккуртта
521,Pfeil::N,стріла,чӏатӏаракӏ
522,Gewehr::N,рушниця,ттупанг
523,Gewehr::N,гвинтівка,ттупанг
524,Fehler::N,помилка,гъалатӏ
525,Lüge::N,брехня,щялмахъ
526,Schaden::N,шкода,зарал
527,Schaden::N,збиток,зарал
528,Unglück::N,нещастя,бала
529,Schuld::N,провина,тахсир
530,Alter::N,вік,оьрму
531,Alter::N,літа,оьрму
532,Schluss::N,кінець,ахир
533,Zeit::N,час,чӏун
534,Tag::N,день,кьини
535,Morgen::N,ранок,кӏюрх
536,Mittag::N,південь,ахттайн
537,Mittag::N,південь,дяахттайн
538,Mittag::N,південь,ахттайн чӏун
539,Abend::N,вечір,маркӏачӏан
540,Nacht::N,ніч,хьхьу
541,Woche::N,тиждень,нюжмар
542,Monat::N,місяць,барз
543,Jahr::N,рік,шин
544,Frühling::N,весна,инт
545,Sommer::N,літо,гъи
546,Herbst::N,осінь,ссут
547,Winter::N,зима,кӏи
548,Januar::N,січень,цалчинмур барз
549,Februar::N,лютий,кӏилчинмур барз
550,März::N,березень,шамилчинмур барз
551,April::N,квітень,апрель
552,April::N,квітень,мукьилчинмур барз
553,Mai::N,травень,май
554,Mai::N,травень,ххюлчинмур барз
555,Juni::N,червень,июнь
556,Juni::N,червень,ряххилчинмур барз
557,Juli::N,липень,июль
558,Juli::N,липень,Арулчинмур барз
559,August::N,серпень,мяйлчинмур барз
560,September::N,вересень,урчӏилчинмур барз
561,Oktober::N,жовтень,ацӏилчинмур барз
562,November::N,листопад,ацӏния цалчинмур барз
563,Dezember::N,грудень,ацӏния кӏилчинмур барз
564,Montag::N,понеділок,итин
565,Montag::N,понеділок,итин кьини
566,Dienstag::N,вівторок,тталат
567,Dienstag::N,вівторок,тталат кьини
568,Mittwoch::N,середа,арвахӏ
569,Donnerstag::N,четвер,хамис
570,Freitag::N,п’ятниця,нюжмар
571,Freitag::N,п’ятниця,нюжмар кьини
572,Samstag::N,субота,ххуллун
573,Samstag::N,субота,ххуллун кьини
574,Sonntag::N,неділя,алхӏат
575,Sonntag::N,неділя,алхӏат кьини
576,groß::A,великий,бугъарасса
577,klein::A,малий,чӏивисса
578,klein::A,маленький,чӏивисса
579,lang::A,довгий,лахъисса
580,kurz::A,короткий,кутӏасса
581,breit::A,широкий,уттасса
582,schmal::A,вузький,уттакӏюласса
583,dicht::A,густий,ццунсса
584,dick[Gegenstand]::A,товстий,ганзсса
585,dünn::A,тонкий,кӏюласса
586,fein::A,дрібний,
587,fest::A,міцний,цӏакьсса
588,fest::A,міцний,кьянкьасса
589,flach::A,плоский,баягъисса
590,flach::A,плоский,цӏубакъасса
591,flach::A,плоский,куртӏ дакъасса
592,glatt::A,рівний,дюрчӏусса
593,glatt::A,гладенький,дюрчӏусса
594,hart::A,твердий,кьянкьасса
595,weich::A,м’який,кӏукӏлусса
