,Concept_ID,pl,mn
182,Hund::N,pies,нохой
183,Katze::N,kot,муур
184,Katze::N,kot,мигуй
185,Katze::N,kotka,муур
186,Katze::N,kotka,мигуй
187,Bär::N,niedźwiedż,баавгай
188,Eichhörnchen::N,wiewiórka,хэрэм
189,Elch::N,łóś,хандгай
190,Fuchs::N,lis,үнэг
191,Hase::N,zając,туулай
192,Maus::N,mysz,хулгана
193,Wolf::N,wilk,чоно
194,Vogel::N,ptak,шувуу
195,Schwarm::N,stado,сүрэг
196,Huhn::N,kura,тахиа
197,Hahn::N,kogut,эр тахиа
198,Gans::N,gęś,галуу
199,Adler::N,orzeł,бүргэд
200,Ente::N,kaczka,нугас
201,Eule::N,sowa,ууль
202,Kranich::N,żuraw,тогоруу
203,Krähe::N,wrona,хэрээ
204,Kuckuck::N,kukułka,хөхөө
205,Schwan::N,łabędż,хун
206,Fisch::N,ryba,загас
207,Barsch::N,okoń,алгана
208,Hecht::N,szczupak,цурхай
209,Schlange[Tier]::N,wąż,могой
210,Schlange[Tier]::N,żmija,могой
211,Wurm::N,robak,өт
212,Wurm::N,robak,хорхой
213,Spinne::N,pająk,аалз
214,Ameise::N,mrówka,шоргоолж
215,Laus::N,wesz,бөөс
216,Mücke::N,komar,шумуул
217,Fliege::N,mucha,ялаа
218,Schmetterling::N,motyl,эрвээхэй
219,Beere::N,jagoda,жимсгэнэ
220,Apfel::N,jabłko,алим
221,Pilz::N,grzyb,мөөг
222,Zwiebel::N,cebula,сонгино
223,Saat::N,siew,тариа
224,Korn::N,ziarno,үр
225,Korn::N,ziarno,мөхлөг
226,Heu::N,siano,өвс
227,Schale::N,łupina,хальс
228,Grube::N,dół,алам
229,Grube::N,dół,нүх
230,Grube::N,jama,алам
231,Grube::N,jama,нүх
232,Falle::N,pułapka,хавх
233,Falle::N,pułapka,занга
234,Schlinge::N,sidła,урхи
235,Spur::N,ślad,мөр
236,Asche::N,popiół,үнс
237,Dreck::N,brud,хир
238,Eisen::N,żelazo,төмөр
239,Gold::N,złoto,алт
240,Silber::N,srebro,мөнгө
241,Kohle::N,węgiel,нүүрс
242,Glas::N,szkło,шил
243,Lehm::N,glina,шавар
244,Sand::N,piasek,элс
245,Mensch::N,człowiek,хүн
246,Mann::N,mężczyzna,эр
247,Mann::N,mężczyzna,эрэгтэй
248,Frau::N,kobieta,эмэгтэй
249,Frau::N,kobieta,хатагтай
250,Kind::N,dziecko,хүүхэд
251,Junge::N,chłopak,хүү
252,Junge::N,chłopiec,хүү
253,Mädchen::N,dziewczynka,охин
254,Mädchen::N,dziewczynka,бүсгүй
255,Familie::N,rodzina,айл
256,Großvater::N,dziadek,өвгөн аав
257,Großmutter::N,babka,эмэг эх
258,Großmutter::N,babka,эмгээ
259,Eltern::N,rodzice,эцэг эх
260,Vater::N,ojciec,аав
261,Vater::N,ojciec,эцэг
262,Mutter::N,matka,эх
263,Mutter::N,matka,ээж
264,Sohn::N,syn,хүү
265,Tochter::N,córka,охин
266,Bruder::N,brat,ах
267,Bruder::N,brat,дүү
268,Schwester::N,siostra,эгч
269,Schwester::N,siostra,охин дүү
270,Onkel::N,wuj,авга ах
271,Onkel::N,wuj,нагац ах
272,Onkel::N,stryj,авга ах
273,Onkel::N,stryj,нагац ах
274,Tante::N,ciotka,авга эгч
275,Tante::N,ciotka,нагац эгч
276,Ehemann::N,mąż,нөхөр
277,Ehefrau::N,żona,эхнэр
278,Ehefrau::N,żona,гэргий
279,Freude::N,radość,баяр
280,Freude::N,radość,баясгалан
281,Gelächter::N,śmiech,инээдэм
282,Glück::N,szczęście,жаргалан
283,Kummer::N,zmartwienie,гаслан
284,Wunsch::N,życzenie,ерөөл
285,Lust::N,chęć,дур
286,Lust::N,chęć,хүсэл
287,Lust::N,ochota,дур
288,Lust::N,ochota,хүсэл
289,Geist::N,duch,оюун
290,Gedanke::N,myśl,сэтгэл
291,Gedächtnis::N,pamięć,ой
292,Gedächtnis::N,pamięć,цээж
293,Verstand::N,rozum,ухаан
294,Sinn::N,zmysł,утга
295,Grund::N,powód,учир
296,Wahrheit::N,prawda,үнэн
297,Gespräch::N,rozmowa,яриа
298,Märchen::N,bajka,явган үлгэр
299,Erzählung::N,opowiadanie,тууж
300,Nachricht::N,wiadomość,мэдээ
301,Neuigkeit::N,nowina,сонин
302,Name::N,imię,нэр
303,Rätsel::N,zagadka,оньсого
304,Rede::N,mowa,хэлсэн үг
305,Sprache::N,język,хэл
306,Stimme::N,głos,дуу
307,Wort::N,słowo,үг
308,Zeichen::N,znak,тамга
309,Zeichen::N,znak,тэмдэг
310,Ruf::N,wołanie,дуудлага
311,Lärm::N,hałas,шуугиан
312,Lärm::N,hałas,чимээ
313,Lärm::N,zgiełk,шуугиан
314,Lärm::N,zgiełk,чимээ
315,Laut::N,dźwięk,анир
316,Laut::N,dźwięk,дуу
317,Ton::N,ton,авиа
318,Ton::N,ton,аялгуу
319,Ton::N,dźwięk,авиа
320,Ton::N,dźwięk,аялгуу
321,Lied::N,pieśń,дуу
322,Lied::N,piosenka,дуу
323,Ruhe::N,spokój,энх
324,Ruhe::N,spokój,тайван
325,Leute::N,ludzie,хүмүүс
326,Volk::N,naród,улс
327,Arbeit::N,praca,ажил
328,Arbeit::N,praca,хөдөлмөр
329,Arbeit::N,robota,ажил
330,Arbeit::N,robota,хөдөлмөр
331,Gast::N,gość,зочин
332,Gast::N,gość,айлчин
333,Geschenk::N,prezent,бэлэг
334,Geschenk::N,podarunek,бэлэг
335,Spiel::N,gra,наадам
336,Spiel::N,gra,тоглоом
337,Spiel::N,zabawa,наадам
338,Spiel::N,zabawa,тоглоом
339,Gesellschaft::N,towarzystwo,хамт байх
340,Hilfe::N,pomoc,тусламж
341,Freund::N,przyjaciel,найз
342,Freund::N,przyjaciel,нөхөр
343,Kamerad::N,kolega,хань
344,Kamerad::N,kolega,нөхөр
345,Angelegenheit::N,sprawa,хэрэг
346,Anzahl::N,ilość,тоо
347,Art::N,rodzaj,төрөл
348,Art::N,rodzaj,янз
349,Stück::N,kawałek,хэсэг
350,Teil::N,część,хувь
351,Teil::N,część,хэсэг
352,Hälfte::N,połowa,хагас
353,Kreis::N,krąg,тойрог
354,Kreis::N,krąg,хүрээ
355,Kreuz::N,krzyż,загалмай
356,Linie::N,linia,шугам
357,Strich::N,kreska,зураас
358,Abstand::N,odstęp,зай
359,Entfernung::N,odległość,зай
360,Entfernung::N,odległość,хол ойр
361,Gegend::N,okolica,хавь
362,Gegend::N,okolica,газар
363,Platz::N,miejsce,зай
364,Platz::N,miejsce,завсар
365,Ort::N,miejsce,газар
366,Ort::N,miejsce,байр
367,Seite::N,bok,тал
368,Seite::N,bok,этгээд
369,Seite::N,strona,тал
370,Seite::N,strona,этгээд
371,Mitte::N,środek,төв
372,Mitte::N,środek,дунд
373,Gegenstand::N,przedmiot,юм
374,Sache::N,rzecz,үйл
375,Sache::N,rzecz,хэрэг
376,Rand::N,skraj,зах
377,Rand::N,skraj,хөвөө
378,Rand::N,krawędź,зах
379,Rand::N,krawędź,хөвөө
380,Kante::N,kant,ирмэг
381,Kante::N,krawędź,ирмэг
382,Ecke::N,róg,өнцөг
383,Spitze::N,ostrze,үзүүр
384,Ende::N,koniec,зах
385,Ende::N,koniec,үзүүр
386,Loch::N,dziura,цоорхой
387,Loch::N,dziura,онгорхой
