,Concept_ID,xal,ba
0,Auge::N,нүдн,күҙ
1,Ohr::N,чикн,ҡолаҡ
2,Nase::N,хамр,танау
3,Mund::N,амн,ауыҙ
4,Zahn::N,шүдн,теш
5,Zunge::N,келн,тел
6,Lippe::N,урл,ирен
7,Wange::N,халх,яцаҡтар
8,Gesicht::N,нүр,бит
9,Stirn::N,маңна,маңлай
10,Haar::N,үсн,сәс
11,Schnurrbart::N,сахл,мылтыҡ
12,Bart::N,сахл,һаҡал
13,Bart::N,өргнә сахл,һаҡал
14,Kinn::N,өргн,эйэк
15,Kiefer[Anatomie]::N,өргн,яңаҡ һөйәге
16,Kehle::N,хол,тамаҡ
17,Hals::N,күзүн,муйын
18,Genick::N,гиҗг,соңҡа
19,Kopf::N,толһа,баш
20,Rücken::N,нурһн,арҡа
21,Bauch::N,гесн,ҡорһаҡ
22,Nabel::N,киисн,кендек
23,Busen::N,көкн,күкрәк
24,Brust::N,чееҗ,түш
25,Schulter::N,ээм,яурын
26,Arm::N,һар,ҡул
27,Ellenbogen::N,тоха,терһәк
28,Hand::N,баһлцг,ҡул
29,Hand::N,баһлцг,ҡул суғы
30,Handfläche::N,альхн,ус төбө
31,Finger::N,хурһн,бармаҡ
32,Finger::N,һарин хурһн,бармаҡ
33,Fingernagel::N,хумсн,тырнаҡ
34,Nagel[Anatomie]::N,хумсн,тырнаҡ
35,Zeh::N,хурһн,бармаҡ
36,Zeh::N,көлин хурһн,бармаҡ
37,Fuß::N,тавг,табан
38,Ferse::N,өскә,үксә
39,Knie::N,өвдг,тубыҡ
40,Oberschenkel::N,һуй,сандыр
41,Bein::N,көл,аяҡ
42,Körper::N,махмуд,тән
43,Haut::N,арсн,тире
44,Blut::N,цусн,ҡан
45,Ader::N,судцн,тамыр
46,Sehne::N,шүрүсн,һеңер
47,Sehne::N,шүрүсн,тарамыш
48,Knochen::N,ясн,һойәк
49,Gehirn::N,экн,мейе
50,Herz::N,зүркн,йорәк
51,Magen::N,гесн,ашҡаҙан
52,Leber::N,элкн,бауыр
53,Atem::N,әмсхл,һулыш
54,Hunger::N,харһнлһн,аслыҡ
55,Träne::N,нульмсн,күҙ иәше
56,Geschmack::N,амтн,тәм
57,Geruch::N,үнр,еҫ
58,Schlaf::N,нөр,йоҡлау
59,Traum::N,зүүдн,төш
60,Himmel::N,теңгр,күк
61,Sonne::N,нарн,ҡояш
62,Mond::N,сар,ай
63,Stern::N,одн,йондоҙ
64,Luft::N,аһар,һауа
65,Wind::N,салькн,ел
66,Welle::N,дольган,тулҡын
67,Wasser::N,усн,һыу
68,Stein::N,чолун,таш
69,Boden::N,Һазр,тупраҡ
70,Erde::N,Һазр,балсҡ
71,Staub::N,тоосн,туҙан
72,Rauch::N,утан,төтөн
73,Funke::N,очн,осҡон
74,Feuer::N,һал,ут
75,Licht::N,герл,яҡтылыҡ
76,Schatten::N,сүүдр,күләгә
77,Wetter::N,теңгр,һауа торошо
78,Nebel::N,будн,төман
79,Wolke::N,үүлн,болот
80,Regen::N,хур,ямғыр
81,Schnee::N,цасн,ҡар
82,Eis::N,мөсн,боҙ
83,Frost::N,киитн,һалҡын
84,Kälte::N,киитн,һыуыҡ
85,Hitze::N,халун,томра
86,Hitze::N,халун,эҫелек
87,Raureif::N,цаң,ҡырау
88,Raureif::N,кирү,ҡырау
89,Regenbogen::N,солңһ,йәйғор
90,Donner::N,оһтрһун дун,күк күкрәү
91,Strömung::N,урсхл,ағым
92,Tropfen::N,дусал,тамсы
93,Schaum::N,көөсн,күбек
94,Schmutz::N,кир,батҡаҡ
95,See::N,нур,күл
96,Sumpf::N,унул,һаҙлык
97,Moor::N,улм,һаҙ
98,Wiese::N,хадлһн,болон
99,Wald::N,ө-модн,урман
100,Hügel::N,толһа,түбә
101,Anhöhe::N,хамр,түбә
102,Anhöhe::N,хамр,ҡалҡыулыҡ
103,Berg::N,уул,тау
104,Gipfel::N,ора,түбә
105,Höhle::N,хадин көндә,мәмерйә
106,Abhang::N,ташу,ипкен
107,Quelle::N,булг,шишмә
108,Bach::N,һооҗур,шишмә
109,Fluss::N,һол,йылға
110,Ufer::N,көвә,яр
111,Küste::N,көвә,яр буйы
112,Küste::N,теңгсин көвә,яр буйы
113,Festland::N,хүүрә һазр,ҡоро ер
114,Meer::N,теңгс,диңгез
115,Bucht::N,цекә,бухта
116,Bucht::N,теңгсин цекә,бухта
117,Insel::N,арл,үтрау
118,Blume::N,цецг,сәскә
119,Gras::N,ноһан,үлән
120,Wurzel::N,уңг,тамыр
121,Baum::N,модн,ағас
122,Stamm::N,шилв,олон
123,Stamm::N,шилв,көбәк
124,Stamm::N,һол модн,олон
125,Stamm::N,һол модн,көбәк
126,Rinde::N,көрсн,ҡабыҡ
127,Ast::N,ац,ботаҡ
128,Zweig::N,ац,ботаҡ
129,Zweig::N,ац,тармаҡ
130,Blatt::N,хамтхасн,япраҡ
131,Birke::N,хусм модн,ҡайын
132,Kiefer[Baum]::N,шар харһа,ҡарғай
133,Weide[Baum]::N,удн,тал
134,Tanne::N,җөөлн цаһан модн,шыршы
135,Horn::N,өвр,мөғөҙ
136,Feder::N,өрвлг,ҡауырһын
137,Fell::N,арсн,тире
138,Flügel::N,җивр,ҡанат
139,Klaue::N,хумсн,тырнаҡ
140,Kralle::N,тавг,аяҡ
141,Schwanz::N,сүл,ҡойроҡ
142,Ei::N,өндгн,йомортҡа
143,Nest::N,үр,оя
144,Bau::N,нүкн,оң
145,Tier::N,мал,жайуан
146,Tier::N,мал,йыртҡыс
147,Herde::N,сүрг мал,көтөү
148,Kuh::N,үкр,һыйыр
149,Bulle::N,бух,үгеҙ
150,Pferd::N,мөрн,ат
151,Schaf::N,хөн,һарыҡ
152,Schwein::N,һаха,сусҡа
153,Hund::N,ноха,эт
154,Katze::N,мис,бесәй
155,Bär::N,аю,айыу
156,Eichhörnchen::N,кермн,тейен
157,Elch::N,хандһа,мышы
158,Fuchs::N,арат,төлкө
159,Hase::N,туула,ҡуян
160,Maus::N,хулһн,сысҡан
161,Wolf::N,чон,бүре
162,Vogel::N,шовун,ҡош
163,Schwarm::N,зел,көтөү
164,Huhn::N,така,тауыҡ
165,Hahn::N,эр така,әтәс
166,Gans::N,һалун,ҡаҙ
167,Adler::N,һәрд,бөркөт
168,Ente::N,нуһсн,өйрәк
169,Eule::N,һурвлһ,өкө
170,Eule::N,һурвлһ,ябалаҡ
171,Kranich::N,тоһрун,торна
172,Krähe::N,шаазһа,ҡарға
173,Kuckuck::N,эргин хуцдг,кәкүк
174,Schwan::N,хун,аҡҡош
175,Fisch::N,заһсн,балыҡ
176,Barsch::N,шүрг,алабуға
177,Hecht::N,цурх,суртан
178,Schlange[Tier]::N,моһа,йылан
179,Wurm::N,өтн,селяүсен
180,Spinne::N,аралҗн,үрмәксе
181,Ameise::N,шорһлҗн,ҡырмыҫҡа
182,Laus::N,бөөсн,бет
183,Mücke::N,бөкүн,серәкәй
184,Fliege::N,батхн,себен
185,Schmetterling::N,эрвәкә,күбәләк
186,Beere::N,бөөлҗрһн,еләк
187,Apfel::N,альмн,алма
188,Pilz::N,теңгрин ки,бәшмәк
189,Zwiebel::N,мәңгрснә толһа,һуган
190,Saat::N,буудян экн,орлоҡ
191,Korn::N,экн,иген
192,Heu::N,өвсн,бесән
193,Schale::N,хальсн,ҡабыҡ
194,Grube::N,нүкн,соҡор
195,Falle::N,урх,тоҙак
196,Falle::N,урх,ҡапҡан
197,Falle::N,хавх,тоҙак
198,Falle::N,хавх,ҡапҡан
199,Schlinge::N,бүтү,тоҙак
200,Spur::N,мөр,әҫер
201,Asche::N,үмсн,көл
202,Dreck::N,бальчг,батҡаҡ
203,Eisen::N,төмр,тимер
204,Gold::N,алтн,алтын
205,Silber::N,мөңгн,көмөш
206,Silber::N,цаһан мөңгн,көмөш
207,Kohle::N,нүүрсн,күмер
208,Glas::N,шил,быяла
209,Lehm::N,шавр,балсыҡ
210,Sand::N,элсн,ҡом
211,Mensch::N,күн,кеше
212,Mensch::N,күмн,кеше
213,Mann::N,эр,ир
214,Frau::N,күүкд күн,ҡатын
215,Kind::N,үрн,бала
216,Junge::N,көвүн,малай
217,Mädchen::N,бичкн күүкн,ҡыҙ
218,Mädchen::N,бичкн күүкн,ҡыҙыҡай
219,Familie::N,бүл,ғаилә
220,Großvater::N,өвк эцк,олатай
221,Großvater::N,наһц эцк,олатай
222,Großmutter::N,эмг эк,әбәй
223,Großmutter::N,наһц эк,әбәй
224,Eltern::N,эк эцк хойр,ата-әсә
225,Vater::N,эцк,атай
226,Mutter::N,эк,әсә
227,Sohn::N,көвүн,ул
228,Tochter::N,күүкн,ҡыҙ
229,Bruder::N,дү көвүн,агай
230,Schwester::N,эгч,алай
231,Schwester::N,эгч,һеңле
232,Schwester::N,дү күүкн,алай
233,Schwester::N,дү күүкн,һеңле
234,Onkel::N,авһ,ағай
235,Onkel::N,наһцх,ағай
236,Tante::N,наһц эгч,апай
237,Ehemann::N,залу,ир
238,Ehefrau::N,гергн,ҡатын
239,Freude::N,байр,шатлыҡ
240,Freude::N,байр,ҡыуаныс
241,Gelächter::N,инәдн,көлөү
242,Glück::N,җирһл,бәхет
243,Glück::N,сәәхн җирһл,бәхет
244,Kummer::N,зовлң,ҡайғы
245,Wunsch::N,дурн,теләк
246,Lust::N,җилвтлһн,әүәҫлек
247,Geist::N,зөрг,аң
248,Geist::N,зөрг,рух
249,Gedanke::N,ухан,уй
250,Gedanke::N,ухан,фекер
251,Gedächtnis::N,чееҗин тодлвр,хәтер
252,Verstand::N,ухан,аҡыл
253,Sinn::N,учр-утх,мәғәня
254,Grund::N,учр,сәбәп
255,Grund::N,шалтан,сәбәп
256,Wahrheit::N,үнн,дөрөҫлөк
257,Gespräch::N,күүндвүр,әңгәмә
258,Märchen::N,тууль,әкиәт
259,Erzählung::N,келвр,хикәйә
260,Nachricht::N,медүллһн,хәбәр
261,Neuigkeit::N,зәңг,яңылыҡ
262,Name::N,нерн,исем
263,Rätsel::N,тәәлвртә тууль,йомаҡ
264,Rede::N,келлһн,телмәр
265,Sprache::N,келн,тел
