,Concept_ID,ka,uz
0,Auge::N,თვალი,ko'z
1,Ohr::N,ყური,quloq
2,Nase::N,ცხვირი,burun
3,Mund::N,პირი,og'iz
4,Zahn::N,კბილი,tish
5,Zunge::N,ენა,til
6,Lippe::N,ბაგე,dudoq
7,Wange::N,ლოყა,bet
8,Gesicht::N,სახე,yuz
9,Stirn::N,შუბლი,manglay
10,Haar::N,თმა,soch
11,Schnurrbart::N,ულვაში,mo'ylov
12,Bart::N,წვერი,soqol
13,Kinn::N,ნიკაპი,ängak
14,Kiefer[Anatomie]::N,ყბა,iyak
15,Kehle::N,ყელი,bo'g'iz
16,Hals::N,ყელი,bo'yin
17,Hals::N,კისერი,bo'yin
18,Genick::N,კეფა,gardan
19,Kopf::N,თავი,bosh
20,Rücken::N,ზურგი,orqa
21,Bauch::N,მუცელი,qorin
22,Nabel::N,ჭიპი,kindik
23,Busen::N,ძუძუ,ämchak
24,Brust::N,მკერდი,ko'krak
25,Schulter::N,მხარი,elka
26,Schulter::N,მკლავი,elka
27,Arm::N,ხელი,bilak
28,Ellenbogen::N,იდაყვი,tirsak
29,Hand::N,ხელი,qo'l
30,Handfläche::N,ნები,kaft
31,Handfläche::N,ხელისგული,kaft
32,Finger::N,თითი,barmoq
33,Fingernagel::N,ფრჩხილი,tirnoq
34,Nagel[Anatomie]::N,ფრჩხილი,tirnoq
35,Zeh::N,ფეხის თითი,oyoq barmog'i
36,Fuß::N,ტერფი,oyoq
37,Fuß::N,ფეხისგული,oyoq
38,Ferse::N,ქუსლი,tovon
39,Knie::N,მუხლი,tiz
40,Oberschenkel::N,ბარძაყი,son
41,Bein::N,ფეხი,oyoq
42,Körper::N,ტანი,badna
43,Körper::N,სხეული,badna
44,Haut::N,კანი,teri
45,Blut::N,სისხლი,qon
46,Ader::N,ძარღვი,qon tomir
47,Sehne::N,მყესი,tomir
48,Knochen::N,ძვალი,suyak
49,Gehirn::N,ტვინი,miya
50,Herz::N,გული,qalb
51,Magen::N,კუჭი,oshqozon
52,Leber::N,ღვიძლი,bag'ir
53,Atem::N,სუნთქვა,dam
54,Hunger::N,შიმშილი,ochlik
55,Träne::N,ცრემლი,yosh
56,Geschmack::N,გემო,tam
57,Geruch::N,სუნი,jid
58,Schlaf::N,ძილი,uyqu
59,Traum::N,სიზმარი,tush
60,Himmel::N,ცა,osmon
61,Sonne::N,მზე,quyosh
62,Mond::N,მთვარე,oy
63,Stern::N,ვარსკვლავი,yulduz
64,Luft::N,ჰაერი,havo
65,Wind::N,ქარი,el
66,Welle::N,ტალღა,to'lqin
67,Wasser::N,წყალი,suv
68,Stein::N,ქვა,tosh
69,Boden::N,მიწა,tuproq
70,Erde::N,ნიადაგი,er
71,Staub::N,მტვერი,chang
72,Rauch::N,ბოლი,tutun
73,Rauch::N,კვამლი,tutun
74,Funke::N,ნაკვესი,yalt
75,Feuer::N,ცეცხლი,o't
76,Licht::N,შუქი,yorug'
77,Licht::N,სინათლე,yorug'
78,Schatten::N,ლანდი,soya
79,Schatten::N,ჩრდილი,soya
80,Wetter::N,ამინდი,havo
81,Nebel::N,ნისლი,tuman
82,Wolke::N,ღრუბელი,bulut
83,Regen::N,წვიმა,yomg'ir
84,Schnee::N,თოვლი,qor
85,Eis::N,თოში,muz
86,Eis::N,ყინული,muz
87,Frost::N,ყინვა,ajoz
88,Kälte::N,სიცივე,ajoz
89,Hitze::N,სიცხე,issiq
90,Raureif::N,ჭირხლი,qirov
91,Raureif::N,თრთვილი,qirov
92,Regenbogen::N,ცისარტყელა,kamalak
93,Donner::N,ქუხილი,guldur
94,Strömung::N,დინება,oqim
95,Tropfen::N,წვეთი,tomchi
96,Schaum::N,ქაფი,ko'pik
97,Schaum::N,დორბლი,ko'pik
98,Schmutz::N,ჭუჭყი,gard
99,Schmutz::N,ტალახი,gard
100,See::N,ტბა,ko'l
101,Sumpf::N,ჭაობი,botqoq
102,Moor::N,ტორფნარი,qir-adir
103,Wiese::N,ველი,o'tzor
104,Wiese::N,მდელო,o'tzor
105,Wald::N,ტყე,o'rmon
106,Hügel::N,ბორცვი,tepa
107,Anhöhe::N,მაღლობი,adir
108,Berg::N,მთა,tog'
109,Gipfel::N,მწვერვალი,cho'qqi
110,Höhle::N,მღვიმე,kavak
111,Höhle::N,გამოქვებული,kavak
112,Abhang::N,ფერდობი,to'sh
113,Quelle::N,წყარო,buloq
114,Quelle::N,სათავე,buloq
115,Bach::N,რუ,o'zan
116,Bach::N,ნაკადული,o'zan
117,Fluss::N,მდინარე,daryo
118,Ufer::N,კიდე,sohil
119,Ufer::N,ნაპირი,sohil
120,Küste::N,ნაპირი,qirg'oq
121,Festland::N,ხმელეთი,materik
122,Meer::N,ზღვა,dengiz
123,Bucht::N,ყურე,qo'ltiq
124,Insel::N,კუნძული,orol
125,Blume::N,ყვავილი,gul
126,Gras::N,ბალახი,sabza
127,Wurzel::N,ძირი,tub
128,Wurzel::N,ძირი,tomir
129,Wurzel::N,ფესვი,tub
130,Wurzel::N,ფესვი,tomir
131,Baum::N,ხე,daraxt
132,Stamm::N,ტანი,o'simta
133,Rinde::N,ქერქი,qobiq
134,Ast::N,ტოტი,shox
135,Zweig::N,შტო,butoq
136,Blatt::N,ფოთოლი,barg
137,Birke::N,არყი,qayin
138,Kiefer[Baum]::N,ფიჭვი,qarag'ay
139,Weide[Baum]::N,ტირიფი,shum
140,Tanne::N,ნაძვი,archa
141,Horn::N,რქა,mugiz
142,Feder::N,ფრთა,par
143,Fell::N,ტყავი,mo'yna
144,Flügel::N,ფრთა,qanot
145,Klaue::N,კლანჭი,tirnoq
146,Kralle::N,ტორი,tirnoq
147,Schwanz::N,კუდი,quyruq
148,Ei::N,კვერცხი,tuxum
149,Nest::N,ბუდე,oshyon
150,Bau::N,სორო,o'pqon
151,Tier::N,ნადირი,hayvon
152,Tier::N,ცხოველი,hayvon
153,Herde::N,ფარა,gala
154,Kuh::N,ფური,inak
155,Kuh::N,ძროხა,inak
156,Bulle::N,ხარი,ho'kiz
157,Pferd::N,რაში,ot
158,Pferd::N,ცხენი,ot
159,Schaf::N,ცხვარი,qo'y
160,Schwein::N,ღორი,cho'chqa
161,Hund::N,ძაღლი,it
162,Katze::N,კატა,mushuk
163,Bär::N,დათვი,ayiq
164,Eichhörnchen::N,ციყვი,tiyin
165,Elch::N,ცხენ-ირემი,los
166,Fuchs::N,მელა,tulki
167,Hase::N,კურდღელი,kuyon
168,Maus::N,თაგვი,sichqon
169,Wolf::N,მგელი,bo'ri
170,Vogel::N,ჩიტი,qush
171,Vogel::N,ფრინველი,qush
172,Schwarm::N,გუნდი,to'da
173,Huhn::N,დედალი,tovuq
174,Hahn::N,მამალი,xo'roz
175,Gans::N,ბატი,g'oz
176,Adler::N,არწივი,burgut
177,Ente::N,იხვი,o'rdak
178,Eule::N,ბუ,boyo'g'li
179,Kranich::N,წერო,turna
180,Krähe::N,ყვავი,qarg'a
181,Kuckuck::N,გუგული,kakku
182,Schwan::N,გედი,oqkush
183,Fisch::N,თევზი,baliq
184,Barsch::N,ქორჭილა,olabug'a
185,Hecht::N,ქარიყლაპია,cho'rtan
186,Schlange[Tier]::N,გველი,ilon
187,Wurm::N,ჭია,qurt
188,Spinne::N,ობობა,o'rgimchak
189,Ameise::N,ჭიანჭველა,chumoli
190,Laus::N,ტილი,bit
191,Laus::N,მკბენარი,bit
192,Mücke::N,კოღო,chivin
193,Fliege::N,ბუზი,pashsha
194,Schmetterling::N,პეპელა,kapalak
195,Beere::N,კენკრა,meva
