,Concept_ID,os,mhr
0,Auge::N,цӕст,шинча́
1,Ohr::N,хъус,пы́лыш
2,Nase::N,фындз,нер
3,Mund::N,дзых,умша́
4,Zahn::N,дӕндаг,пӱй
5,Zunge::N,ӕвзаг,йы́лме
6,Lippe::N,был,тӱ́рвӧ
7,Wange::N,рус,шӱ́ргӧ
8,Wange::N,уадул,шӱ́ргӧ
9,Wange::N,ӕхсӕрфарс,шӱ́ргӧ
10,Gesicht::N,цӕсгом,чури́й
11,Stirn::N,ных,саҥга́
12,Haar::N,хил,ӱп
13,Schnurrbart::N,рихи,ӧ́рыш
14,Bart::N,зачъе,понда́ш
15,Kinn::N,роцъо,оҥыла́ш
16,Kiefer[Anatomie]::N,ӕфсӕр,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,ӕфсӕр,пӱйората́
18,Kehle::N,хъуыр,лога́р
19,Hals::N,къубал,шӱй
20,Genick::N,къӕбут,шӱйло́дыш
21,Kopf::N,сӕр,вуй
22,Rücken::N,фӕсонтӕ,туп
23,Bauch::N,гуыбын,мӱ́шкыр
24,Nabel::N,бикъ,кы́лымде
25,Busen::N,дзидзи,чы́зе
26,Brust::N,риу,оҥ
27,Schulter::N,уӕхск,ва́че
28,Arm::N,цонг,кид
29,Ellenbogen::N,рæмбын,кынерву́й
30,Hand::N,къух,кид
31,Hand::N,къух,копа́
32,Handfläche::N,армытъӕпӕн,со́во
33,Finger::N,ӕнруылдз,парня́
34,Fingernagel::N,ных,кидкӱ́ч
35,Fingernagel::N,ных,парнягӱ́ч
36,Nagel[Anatomie]::N,ных,кӱч
37,Zeh::N,къух,йолварня́
38,Fuß::N,фад,йол
39,Fuß::N,фад,йолкопа́
40,Ferse::N,зӕвӕт,тага́н
41,Knie::N,уӕраг,пулву́й
42,Oberschenkel::N,агъд,э́рде
43,Bein::N,зӕнг,йол
44,Körper::N,буар,кап
45,Haut::N,царм,кова́ште
46,Blut::N,туг,вӱр
47,Ader::N,дадзин,шӧн
48,Ader::N,тугдадзин,шӧн
49,Sehne::N,хъиутæ,шӧн
50,Sehne::N,хъиутæ,кӱсе́н
51,Sehne::N,нуар,шӧн
52,Sehne::N,нуар,кӱсе́н
53,Knochen::N,стӕг,лу
54,Gehirn::N,магъз,вем
55,Gehirn::N,магъз,вуйве́м
56,Herz::N,зӕрдӕ,шӱм
57,Magen::N,ахсӕн,пага́р
58,Leber::N,игæр,мокш
59,Atem::N,улӕфт,шӱ́лыш
60,Hunger::N,стонг,шужыма́ш
61,Träne::N,цæссыг,шинчавӱ́д
62,Geschmack::N,ад,там
63,Geruch::N,смаг,пуш
64,Schlaf::N,хуыссӕг,о́мо
65,Traum::N,фын,йӱдо́мо
66,Himmel::N,арв,кава́
67,Himmel::N,уӕларв,кава́
68,Sonne::N,хур,ке́че
69,Mond::N,мӕй,ты́лзе
70,Stern::N,стъалы,шӱ́дыр
71,Luft::N,уӕлдӕф,юж
72,Wind::N,дымгӕ,марде́ж
73,Welle::N,уылӕн,то́лкын
74,Wasser::N,дон,вӱд
75,Stein::N,дур,кӱ
76,Boden::N,зӕхх,рок
77,Erde::N,сыджыт,мла́нде
78,Staub::N,рыг,пура́к
79,Rauch::N,фӕздӕг,шикш
80,Funke::N,цӕхӕр,сеске́м
81,Funke::N,цӕхӕр,тулйы́п
82,Feuer::N,зынг,тул
83,Licht::N,рухс,со́то
84,Schatten::N,аууон,ӱ́мыл
85,Wetter::N,боныхъӕд,иге́че
86,Nebel::N,мигъ,тӱтыра́
87,Wolke::N,ӕврагъ,пыл
88,Regen::N,уарын,йӱр
89,Schnee::N,мит,лум
90,Eis::N,их,ий
91,Frost::N,ихæн,чатлама́
92,Kälte::N,уазал,йӱ́штӧ
93,Hitze::N,ӕнтӕф,шо́кшо
94,Raureif::N,халас,пӧрш
95,Raureif::N,халас,по́кшым
96,Regenbogen::N,арвырон,шонанпы́л
97,Regenbogen::N,арвырдын,шонанпы́л
98,Donner::N,æрвнæрын,кӱ́дырчӧ
99,Strömung::N,цыд,йо́гын
100,Tropfen::N,æртах,чӱча́лтыш
101,Schaum::N,фынк,шоҥ
102,Schmutz::N,цъыф,лавыра́
103,See::N,цад,ер
104,Sumpf::N,цъыфдзаст,лӱ́кӧ
105,Moor::N,цъыфдзаст,куп
106,Wiese::N,уыгӕрдӕн,о́лык
107,Wald::N,хъӕд,чодыра́
108,Hügel::N,обау,арка́
109,Hügel::N,къуыбыр,арка́
110,Anhöhe::N,уæлвæз,тӧва́
111,Anhöhe::N,уæлвæз,кӱкшака́
112,Anhöhe::N,уæлхох,тӧва́
113,Anhöhe::N,уæлхох,кӱкшака́
114,Berg::N,хох,ку́рык
115,Gipfel::N,цъупп,чаҥга́
116,Gipfel::N,цъупп,курыкву́й
117,Höhle::N,лӕгӕт,пеще́р
118,Höhle::N,лӕгӕт,курыкпо́мыш
119,Abhang::N,къул,та́йыл
120,Quelle::N,суадон,важ
121,Quelle::N,суадон,вӱдшинча́
122,Bach::N,мӕсчъыдон,изэҥе́р
123,Fluss::N,дон,эҥе́р
124,Fluss::N,цӕугӕдон,эҥе́р
125,Ufer::N,был,сер
126,Küste::N,донбыл,вӱдтӱ́р
127,Festland::N,сурзæхх,мла́нде
128,Meer::N,денджыз,те́ҥыз
